"1splitHere46","13660431splitHere46","java.lang.NullPointerException"
"50splitHere46","13662434splitHere46","@Controller"
"51splitHere46","13662434splitHere46","<bean"
"52splitHere46","13662434splitHere46","<bean class=<doubleQuotes46>com.example.Foo<doubleQuotes46> />"
"53splitHere46","13662434splitHere46","@Controller"
"54splitHere46","13662434splitHere46","<context:component-scan base-package=<doubleQuotes46>com.mycompany.maventestwebapp<doubleQuotes46> />"
"55splitHere46","13662434splitHere46","@Controller"
"56splitHere46","13662434splitHere46","@Repository"
"57splitHere46","13662434splitHere46","@Service"
"58splitHere46","13662434splitHere46","@Component"
"59splitHere46","13662434splitHere46","<bean calss=<doubleQuotes46>...<doubleQuotes46> />"
"60splitHere46","13662434splitHere46","<listener><newline46mondego>    <listener-class>org.springframework.web.context.ContextLoaderListener</listener-class><newline46mondego></listener><newline46mondego>"
"61splitHere46","13662434splitHere46","<servlet><newline46mondego>        <servlet-name>main</servlet-name><newline46mondego>        <servlet-class>org.springframework.web.servlet.DispatcherServlet</servlet-class><newline46mondego>        <load-on-startup>1</load-on-startup><newline46mondego>    </servlet><newline46mondego>    <servlet-mapping><newline46mondego>        <servlet-name>main</servlet-name><newline46mondego>        <url-pattern>/</url-pattern><newline46mondego>    </servlet-mapping><newline46mondego>"
"62splitHere46","13662498splitHere46","1:"
"63splitHere46","13662498splitHere46","My Street"
"64splitHere46","13662498splitHere46","String str = <doubleQuotes46>1: My street<doubleQuotes46>;<newline46mondego>String str2 = <doubleQuotes46>3: Hello there world!<doubleQuotes46>;<newline46mondego><newline46mondego>String[] arr = str.split(<doubleQuotes46>(?<=:) <doubleQuotes46>);<newline46mondego>String[] arr2 = str2.split(<doubleQuotes46>(?<=:) <doubleQuotes46>);<newline46mondego><newline46mondego>System.out.printf(<doubleQuotes46>%s%30s\n<doubleQuotes46>, arr[0], arr[1]);<newline46mondego>System.out.printf(<doubleQuotes46>%s%30s<doubleQuotes46>, arr2[0], arr2[1]);<newline46mondego>"
"65splitHere46","13662498splitHere46","1:                     My street<newline46mondego>3:            Hello there world!<newline46mondego>"
"66splitHere46","13662498splitHere46","String#substring"
"67splitHere46","13662498splitHere46","System.out.printf(<doubleQuotes46>%s%30s\n<doubleQuotes46>, str.substring(0, 2), str.substring(3));<newline46mondego>"
"68splitHere46","13662648splitHere46","JLabel label1 = new JLabel(<doubleQuotes46>Test<doubleQuotes46>);<newline46mondego>"
"69splitHere46","13662648splitHere46","label1.setText(<doubleQuotes46>Label Text<doubleQuotes46>);<newline46mondego>"
"70splitHere46","13662648splitHere46","label1.setText(<doubleQuotes46><doubleQuotes46>);<newline46mondego>"
"71splitHere46","13662744splitHere46","Hand"
"72splitHere46","13662744splitHere46","Player"
"73splitHere46","13662744splitHere46","Player"
"74splitHere46","13662744splitHere46","protected Hand hand;<newline46mondego>"
"75splitHere46","13662744splitHere46","Hand"
"76splitHere46","13662744splitHere46","Player"
"77splitHere46","13662744splitHere46","Hand"
"78splitHere46","13662744splitHere46","Player"
"79splitHere46","13662744splitHere46","Player"
"80splitHere46","13662744splitHere46","new Hand()"
"81splitHere46","13662745splitHere46","VericalFieldManager"
"82splitHere46","13662745splitHere46","LabelField title = new LabelField(<doubleQuotes46>Screen Title<doubleQuotes46>);<newline46mondego>    title.setPadding(40, 0, 20, 60);<newline46mondego><newline46mondego>    VerticalFieldManager vfm = new VerticalFieldManager(USE_ALL_WIDTH);<newline46mondego>    vfm.setBackground(BackgroundFactory.createSolidBackground(Color.BLUE));<newline46mondego>    vfm.setPadding(20, 0, 20, 0);<newline46mondego><newline46mondego>    ButtonField btn1 = new ButtonField(<doubleQuotes46>Option 1<doubleQuotes46>);<newline46mondego>    btn1.setPadding(2, 0, 3, 0);<newline46mondego><newline46mondego>    ButtonField btn2 = new ButtonField(<doubleQuotes46>Option 2<doubleQuotes46>);<newline46mondego>    btn2.setPadding(2, 0, 3, 0);<newline46mondego><newline46mondego>    add(title);<newline46mondego>    vfm.add(btn1);<newline46mondego>    vfm.add(btn2);<newline46mondego>    add(vfm);<newline46mondego>"
"83splitHere46","13662745splitHere46","vfm.setBackground(BackgroundFactory.createSolidBackground(Color.BLUE));<newline46mondego>"
"84splitHere46","13662745splitHere46","vfm.setBackground(BackgroundFactory.createBitmapBackground(YOUR BITMAP);<newline46mondego>"
"85splitHere46","13662751splitHere46","if (current.equals(mag))"
"86splitHere46","13662751splitHere46","if (current.magazine.equals(mag))"
"87splitHere46","13662779splitHere46","readContact"
"88splitHere46","13662779splitHere46","public void readContact(long position) throws IOException {<newline46mondego>        raf.seek(position);<newline46mondego>        String name = FixedLengthStringIO.readFixedLengthString(<newline46mondego>                NAME_SIZE, raf);<newline46mondego>        String type = FixedLengthStringIO.readFixedLengthString(<newline46mondego>                TYPE_SIZE, raf);<newline46mondego>        String city = FixedLengthStringIO.readFixedLengthString(<newline46mondego>                CITY_SIZE, raf);<newline46mondego>        String phone = FixedLengthStringIO.readFixedLengthString(<newline46mondego>                PHONE_SIZE, raf);<newline46mondego>        String email = FixedLengthStringIO.readFixedLengthString(<newline46mondego>                EMAIL_SIZE, raf);<newline46mondego><newline46mondego>        jbtName.setText(name);<newline46mondego>        jbtType.setText(type);<newline46mondego>        jbtCity.setText(city);<newline46mondego>        jbtPhone.setText(phone);<newline46mondego>        jbtEmail.setText(email);<newline46mondego><newline46mondego>    }<newline46mondego>"
"89splitHere46","13662779splitHere46","ActionListner"
"90splitHere46","13662779splitHere46","public class ContactSystem extends JFrame implements ActionListener <newline46mondego>{<newline46mondego>  .....<newline46mondego>  jbtAdd.addActionListener(this);<newline46mondego>  jbtFirst.addActionListener(this);<newline46mondego>  .....<newline46mondego><newline46mondego>  @Override<newline46mondego>  public void actionPerformed(ActionEvent e) {<newline46mondego>    String actionCommand = e.getActionCommand();<newline46mondego>    if(actionCommand.equals(<doubleQuotes46>Add<doubleQuotes46>)) {<newline46mondego>        //do add stuff<newline46mondego>    } else if (actionCommand.equals(<doubleQuotes46>First<doubleQuotes46>)) {<newline46mondego>        // move first<newline46mondego>    }<newline46mondego>  }<newline46mondego>}<newline46mondego>"
"91splitHere46","13662900splitHere46","Scanner input = new Scanner(System.in);<newline46mondego>    while(input.hasNextLine()){<newline46mondego>       //all variables are declared as local in the loop<newline46mondego><newline46mondego>        char [] name = new char[10];<newline46mondego>        //read the name<newline46mondego>        String firstName = input.next();<newline46mondego><newline46mondego>        //create the char array<newline46mondego>        for(int j = 0; j < firstName.length(); j++){<newline46mondego>            name [j] = firstName.charAt(j);<newline46mondego>        }<newline46mondego><newline46mondego>       //print the char array(each char in new line)<newline46mondego>        for(int i = 0; i < name.length; i++){<newline46mondego>                System.out.println(name);                <newline46mondego>        }<newline46mondego><newline46mondego>       //read and print ssn<newline46mondego>        long ssn = input.nextLong();<newline46mondego>        System.out.println(ssn); <newline46mondego><newline46mondego><newline46mondego>       //read and print grades<newline46mondego>        double[] grades = new double[4];<newline46mondego>        grades[0]= input.nextDouble();<newline46mondego>        System.out.println(grades[0]); <newline46mondego>        grades[1]= input.nextDouble();<newline46mondego>        System.out.println(grades[1]); <newline46mondego>        grades[2]= input.nextDouble();<newline46mondego>        System.out.println(grades[2]); <newline46mondego>        grades[3]= input.nextDouble();<newline46mondego>        System.out.println(grades[3]); <newline46mondego><newline46mondego>        //ignore the new line char<newline46mondego>        input.nextLine();<newline46mondego>}<newline46mondego><newline46mondego>    //close your input stream<newline46mondego>    input.close();<newline46mondego>"
"92splitHere46","13662986splitHere46","static{<newline46mondego>    try {<newline46mondego>        Class.forName (<doubleQuotes46>oracle.jdbc.OracleDriver<doubleQuotes46>);<newline46mondego>    } catch (ClassNotFoundException e) {<newline46mondego>        e.printStackTrace();<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"93splitHere46","13663004splitHere46","class A {<newline46mondego>    // methods to be looked up<newline46mondego>    // a static method<newline46mondego>    static void a() {};<newline46mondego>    // non-static method<newline46mondego>    void b() {};<newline46mondego><newline46mondego><newline46mondego>    static void c() {<newline46mondego>         // valid reference to another static method<newline46mondego>         a();        <newline46mondego>    }<newline46mondego><newline46mondego>    static void d() {<newline46mondego>         // This would fail to compile as d is a static method <newline46mondego>         // but b is a non-static<newline46mondego>         b();        <newline46mondego>    }<newline46mondego><newline46mondego>    // non-static method would compile fine<newline46mondego>    void e() {<newline46mondego>       a(); // non-static method can find a static method <newline46mondego>       b(); // non-static method can find another non-static method<newline46mondego>    }<newline46mondego><newline46mondego>}<newline46mondego>"
"94splitHere46","13663055splitHere46","Interface.jTextArea1.append(result + <doubleQuotes46>\n<doubleQuotes46>); // I'd like to pause after printing this line"
"95splitHere46","13663055splitHere46","for(int i = 0; i < Short.MAX_VALUE;i++);"
"96splitHere46","13663155splitHere46","String regex = <doubleQuotes46>.*!\\(.*EN.*\\).*<doubleQuotes46>;<newline46mondego>"
"97splitHere46","13663194splitHere46","google-api-services-calendar:v3-rev20-1.12.0-beta"
"98splitHere46","13663194splitHere46","<repositories><newline46mondego>    <repository><newline46mondego>        <id>google-api-services</id><newline46mondego>        <url>https://oss.sonatype.org/content/repositories/releases/</url><newline46mondego>    </repository><newline46mondego>    <repository><newline46mondego>        <id>google-api-services-beta</id><newline46mondego>        <url>http://google-api-client-libraries.appspot.com/mavenrepo</url><newline46mondego>    </repository><newline46mondego></repositories><newline46mondego>"
"99splitHere46","13663194splitHere46","<dependency><newline46mondego>    <groupId>com.google.api-client</groupId><newline46mondego>    <artifactId>google-api-client-java6</artifactId><newline46mondego>    <version>1.12.0-beta</version><newline46mondego></dependency><newline46mondego><dependency><newline46mondego>    <groupId>com.google.oauth-client</groupId><newline46mondego>    <artifactId>google-oauth-client-jetty</artifactId><newline46mondego>    <version>1.12.0-beta</version><newline46mondego></dependency><newline46mondego><dependency><newline46mondego>    <groupId>com.google.http-client</groupId><newline46mondego>    <artifactId>google-http-client-jackson2</artifactId><newline46mondego>    <version>1.12.0-beta</version><newline46mondego></dependency><newline46mondego>"
"100splitHere46","13663204splitHere46","A --> C --> D --> B<newline46mondego>"
"101splitHere46","13663250splitHere46","int getOutput(x, y) {<newline46mondego>    if (x == 0 || y == 0) {<newline46mondego>        return hardCodedInput(x, y);<newline46mondego>    }<newline46mondego>    int leftOutput = getOutput(x - 1, y);<newline46mondego>    int topOutput = getOutput(x, y - 1);<newline46mondego>    return logicGate(x, y).applyLogic(leftOutput, topOutput);<newline46mondego>}<newline46mondego>"
"102splitHere46","13663362splitHere46","<doubleQuotes46>(?:/|^)(\\(\\?<.*?>.*?\\))(?=/|$)<doubleQuotes46><newline46mondego>"
"103splitHere46","13663362splitHere46","Matcher@find"
"104splitHere46","13663362splitHere46","String str = <doubleQuotes46>(?<name>john)/***(?<facet>aaa/bbb/ccc/?)/(?<not>aaa/bbb/?)***<doubleQuotes46>;<newline46mondego>Matcher matcher = Pattern.compile(<doubleQuotes46>(?:/|^)(\\(\\?<.*?>.*?\\))(?=/|$)<doubleQuotes46>).matcher(str);<newline46mondego><newline46mondego>while (matcher.find()) {<newline46mondego>    System.out.println(matcher.group(1));<newline46mondego>}<newline46mondego>"
"105splitHere46","13663362splitHere46","(?<name>john)<newline46mondego>"
"106splitHere46","13663362splitHere46","slash"
"107splitHere46","13663362splitHere46","end of line"
"108splitHere46","13663507splitHere46","<cfdump var=#createObject('java','java.lang.System').getProperties()# /><newline46mondego>"
"109splitHere46","13663540splitHere46","if (mouseAction == 'a') {<newline46mondego>    g.drawString(<doubleQuotes46>Mouse entered at (<doubleQuotes46> + x1 + <doubleQuotes46>, <doubleQuotes46> + y1 + <doubleQuotes46>)<doubleQuotes46>, 25, 25);<newline46mondego>} else if (mouseAction == 'b') {<newline46mondego>    g.drawString(<doubleQuotes46>Mouse exited at (<doubleQuotes46> + x1 + <doubleQuotes46>, <doubleQuotes46> + y1 + <doubleQuotes46>)<doubleQuotes46>, 25, 25);<newline46mondego>} else if (mouseAction == 'c') {<newline46mondego>    g.drawString(<doubleQuotes46>Mouse moved at (<doubleQuotes46> + x2 + <doubleQuotes46>, <doubleQuotes46> + y2 + <doubleQuotes46>)<doubleQuotes46>, 25, 25);<newline46mondego>} else if (mouseAction == 'd') {<newline46mondego>    g.drawString(<doubleQuotes46>Mouse clicked at (<doubleQuotes46> + x1 + <doubleQuotes46>, <doubleQuotes46> + y1 + <doubleQuotes46>)<doubleQuotes46>, 25, 25);<newline46mondego>}<newline46mondego>"
"110splitHere46","13663540splitHere46","mouseAction"
"111splitHere46","13663540splitHere46","a"
"112splitHere46","13663540splitHere46","mouseAction"
"113splitHere46","13663540splitHere46","c"
"114splitHere46","13663540splitHere46","a"
"115splitHere46","13663540splitHere46","c"
"116splitHere46","13663540splitHere46","g.drawString(<doubleQuotes46>Mouse <doubleQuotes46> + (mouseEntered ? <doubleQuotes46>entered<doubleQuotes46> : <doubleQuotes46>exited<doubleQuotes46>) + <doubleQuotes46> at (<doubleQuotes46> + x1 + <doubleQuotes46>, <doubleQuotes46> + y1 + <doubleQuotes46>)<doubleQuotes46>, 25, 50);<newline46mondego>if (mouseAction == 'c') {<newline46mondego>    g.drawString(<doubleQuotes46>Mouse moved at (<doubleQuotes46> + x2 + <doubleQuotes46>, <doubleQuotes46> + y2 + <doubleQuotes46>)<doubleQuotes46>, 25, 25);<newline46mondego>} else if (mouseAction == 'd') {<newline46mondego>    g.drawString(<doubleQuotes46>Mouse clicked at (<doubleQuotes46> + x1 + <doubleQuotes46>, <doubleQuotes46> + y1 + <doubleQuotes46>)<doubleQuotes46>, 25, 25);<newline46mondego>}<newline46mondego>"
"117splitHere46","13663540splitHere46","mouseEntered"
"118splitHere46","13663540splitHere46","boolean"
"119splitHere46","13663540splitHere46","true"
"120splitHere46","13663540splitHere46","mouseEntered"
"121splitHere46","13663540splitHere46","false"
"122splitHere46","13663540splitHere46","mouseExited"
"123splitHere46","13663540splitHere46","paintComponent"
"124splitHere46","13663540splitHere46","paint"
"125splitHere46","13663540splitHere46","paintComponent"
"126splitHere46","13663540splitHere46","paint"
"127splitHere46","13663705splitHere46","Auto"
"128splitHere46","13663705splitHere46","public Auto(Auto a){<newline46mondego>    this.hashCode();<newline46mondego>}<newline46mondego>"
"129splitHere46","13663705splitHere46","hashCode()"
"130splitHere46","13663705splitHere46","public Auto(Auto a){<newline46mondego>    this.brandName = a.brandName;<newline46mondego>    this.garage = a.garage;<newline46mondego>}<newline46mondego>"
"131splitHere46","13663705splitHere46","Auto kopie = new Auto(auto);"
"132splitHere46","13663705splitHere46","kopie"
"133splitHere46","13663705splitHere46","auto"
"134splitHere46","13663855splitHere46","fList.get(i)"
"135splitHere46","13663855splitHere46","fList[i]"
"136splitHere46","13663855splitHere46","fList"
"137splitHere46","13663855splitHere46","File"
"138splitHere46","13663855splitHere46","String"
"139splitHere46","13663855splitHere46","String pes = fList.get(i);<newline46mondego>"
"140splitHere46","13663855splitHere46","File pes = fList[i];<newline46mondego>"
"141splitHere46","13663855splitHere46","if (pes.contains(<doubleQuotes46>.lck<doubleQuotes46>) == true)"
"142splitHere46","13663855splitHere46","if (pes.getName().contains(<doubleQuotes46>.lck<doubleQuotes46>))"
"143splitHere46","13663855splitHere46","extension"
"144splitHere46","13663855splitHere46","endsWith"
"145splitHere46","13663855splitHere46","contains"
"146splitHere46","13663855splitHere46","boolean"
"147splitHere46","13663855splitHere46","=="
"148splitHere46","13663855splitHere46","if (pes.getName().endsWith(<doubleQuotes46>.lck<doubleQuotes46>)) {<newline46mondego>    boolean success = (new File(fList.get(i)).delete());<newline46mondego>}<newline46mondego>"
"149splitHere46","13663915splitHere46","Suppliers.memoize"
"150splitHere46","13663928splitHere46","getLeftSubTree()"
"151splitHere46","13663928splitHere46","BinarySearchTreeInterface1<T>"
"152splitHere46","13663928splitHere46","BinarySearchTreeInterface2<T>"
"153splitHere46","13663928splitHere46","getLeftSubTree()"
"154splitHere46","13663928splitHere46","getLeftSubTree()"
"155splitHere46","13663928splitHere46","public BinarySearchTree<T> getLeftSubTree() {<newline46mondego>    ...<newline46mondego>}<newline46mondego>"
"156splitHere46","13663928splitHere46","getRightSubTree()"
"157splitHere46","13663951splitHere46","String[] result = s.split(<doubleQuotes46>:<doubleQuotes46>, 2);<newline46mondego>"
"158splitHere46","13663982splitHere46","final"
"159splitHere46","13663982splitHere46","Pattern"
"160splitHere46","13663982splitHere46","Pattern"
"161splitHere46","13664025splitHere46","new Color(r, g, b).getRGB()<newline46mondego>"
"162splitHere46","13664130splitHere46","drawHistogram()"
"163splitHere46","13664130splitHere46","drawHistogram(int[], int, int)"
"164splitHere46","13664130splitHere46","PImage"
"165splitHere46","13664211splitHere46","public static void main(String[] arguments) {<newline46mondego>    int limit = 15;<newline46mondego>    int[] egArray = new int[] { 14,1,3,4,6,6,9,12 };<newline46mondego><newline46mondego>    ArrayList<ArrayList<Integer>> a = grouping(limit, egArray);<newline46mondego>    System.out.println(a);<newline46mondego>}<newline46mondego><newline46mondego>public static ArrayList<ArrayList<Integer>> grouping(int limit, int[] array) {<newline46mondego>    // Sort the input array.<newline46mondego>    Arrays.sort(array);<newline46mondego>    // Copy the int[] to an ArrayList<Integer><newline46mondego>    ArrayList<Integer> input = new ArrayList<>();<newline46mondego>    for (int i = 0; i < array.length; i++) {<newline46mondego>        input.add(array[i]);<newline46mondego>    }<newline46mondego><newline46mondego>    // Initialize the groups<newline46mondego>    ArrayList<ArrayList<Integer>> groups = new ArrayList<>();<newline46mondego>    groups.add(new ArrayList<Integer>());<newline46mondego>    // Initialize the sums of the groups, to increase performance (I guess).<newline46mondego>    ArrayList<Integer> sums = new ArrayList<>();<newline46mondego>    sums.add(0);<newline46mondego><newline46mondego>    // Iterate through the input array until there is no number left in it (that means we just added all the numbers<newline46mondego>    // into our groups array).<newline46mondego>    while (!input.isEmpty()) {<newline46mondego>        int n = input.get(0); // Store the number to 'n', to shortcut.<newline46mondego>        if (n > limit) {<newline46mondego>            throw new IllegalArgumentException(<doubleQuotes46>number is greater than the limit. Cannot add number.<doubleQuotes46>);<newline46mondego>            // Or whatever to do if the number is larger than the limit.<newline46mondego>        }<newline46mondego>        boolean match = false;<newline46mondego>        // Search the next groups and check if our current number ('n') fits.<newline46mondego>        for (int i = 0; i < sums.size(); i++) {<newline46mondego>            if (sums.get(i) + n <= limit) {<newline46mondego>                // If it fits, then add the number to the group.<newline46mondego>                sums.set(i, sums.get(i) + n);<newline46mondego>                groups.get(i).add(n);<newline46mondego>                match = true;<newline46mondego>                break;<newline46mondego>            }<newline46mondego>        }<newline46mondego>        // If 'n' doesn't fit in any group, create a new one.<newline46mondego>        if (!match) {<newline46mondego>            ArrayList<Integer> e = new ArrayList<>();<newline46mondego>            e.add(n);<newline46mondego>            groups.add(e);<newline46mondego>            sums.add(n);<newline46mondego>        }<newline46mondego>        // Remove our number.<newline46mondego>        input.remove(0);<newline46mondego>    }<newline46mondego>    return groups;<newline46mondego>}<newline46mondego>"
"166splitHere46","13664211splitHere46","ArrayList<ArrayList<Integer>>"
"167splitHere46","13664211splitHere46","int[][]"
"168splitHere46","13664211splitHere46","main(String)"
"169splitHere46","13664317splitHere46","String excelQuery = <doubleQuotes46>select * from [Sheet$]1<doubleQuotes46>;<newline46mondego>String excelQuery2 = <doubleQuotes46>select * from [Sheet$]2<doubleQuotes46>;<newline46mondego>rs = stmt.executeQuery(excelQuery);<newline46mondego><newline46mondego>while (rs.next()) {<newline46mondego>  System.out.println(rs.getString(<doubleQuotes46>name<doubleQuotes46>) + <doubleQuotes46> <doubleQuotes46> + rs.getString(<doubleQuotes46>age<doubleQuotes46>));<newline46mondego>}<newline46mondego>rs = stmt.executeQuery(excelQuery2);<newline46mondego>while (rs.next()) {<newline46mondego>  System.out.println(rs.getString(<doubleQuotes46>name<doubleQuotes46>) + <doubleQuotes46> <doubleQuotes46> + rs.getString(<doubleQuotes46>age<doubleQuotes46>));<newline46mondego>}<newline46mondego>"
"170splitHere46","13664454splitHere46","public void boo() throws IOException{<newline46mondego>//something raising IOException<newline46mondego>}<newline46mondego><newline46mondego>public void foo(){<newline46mondego>  try{<newline46mondego>      Sound obj = new Sound();<newline46mondego>        obj.boo();<newline46mondego>} catch(IOException io) {<newline46mondego><newline46mondego>//handle your exception<newline46mondego>}<newline46mondego>}<newline46mondego>"
"171splitHere46","13664454splitHere46","public void foo() throws IOException{<newline46mondego>   //your code here<newline46mondego>}<newline46mondego>"
"172splitHere46","13664470splitHere46","String[] names"
"173splitHere46","13664470splitHere46","setLable()"
"174splitHere46","13664470splitHere46","try"
"175splitHere46","13664470splitHere46","public String[] setLable() {<newline46mondego>      String file_name = <doubleQuotes46>path<doubleQuotes46>;<newline46mondego>      String[] names = null;<newline46mondego>      try {<newline46mondego>        ReadFile file = new ReadFile(file_name);<newline46mondego>        String[] aryLines = file.OpenFile();<newline46mondego>        String[] links = new String[aryLines.length];<newline46mondego>        names = new String[aryLines.length];<newline46mondego><newline46mondego>        int i;<newline46mondego>        for(i=2; i < aryLines.length; i++) {<newline46mondego>            //System.out.println(aryLines[i]);<newline46mondego>            int firstquote = aryLines[i].indexOf(<doubleQuotes46>\<doubleQuotes46><doubleQuotes46>)+1;<newline46mondego>            int secondquote = aryLines[i].indexOf(<doubleQuotes46>\<doubleQuotes46><doubleQuotes46>, firstquote+1);<newline46mondego>            int thirdquote = aryLines[i].indexOf(<doubleQuotes46>\<doubleQuotes46><doubleQuotes46>, secondquote+1)+1;<newline46mondego>            int fourthquote = aryLines[i].indexOf(<doubleQuotes46>\<doubleQuotes46><doubleQuotes46>, thirdquote+1);<newline46mondego>            names[i] = aryLines[i].substring(firstquote, secondquote);<newline46mondego>            links[i] = aryLines[i].substring(thirdquote, fourthquote);<newline46mondego>        }<newline46mondego>       }catch (IOException e) {<newline46mondego>        System.out.println( e.getMessage() );<newline46mondego>       }<newline46mondego>       return names;<newline46mondego>    }<newline46mondego>"
"176splitHere46","13664470splitHere46","names"
"177splitHere46","13664470splitHere46","null"
