"1splitHere46","5457590splitHere46","ObjectMapper objectMapper = new ObjectMapper();<newline46mondego>objectMapper.configure(SerializationConfig.Feature.INDENT_OUTPUT, true);<newline46mondego><newline46mondego>String originalJson = ...<newline46mondego>JsonNode tree = objectMapper .readTree(originalJson);<newline46mondego>String formattedJson = objectMapper.writeValueAsString(tree);<newline46mondego>"
"12splitHere46","5459516splitHere46","@XmlAccessorType(XmlAccessType.FIELD)<newline46mondego>@XmlRootElement(name=<doubleQuotes46>SSO-Request<doubleQuotes46>)<newline46mondego>public class SSORequest {<newline46mondego><newline46mondego>    @XmlElement(name=<doubleQuotes46>User-Id<doubleQuotes46>)<newline46mondego>    String userId;<newline46mondego><newline46mondego>    @XmlElementWrapper(name=<doubleQuotes46>Former-User-Ids<doubleQuotes46>)<newline46mondego>    @XmlElement(name=<doubleQuotes46>User-Id<doubleQuotes46>)<newline46mondego>    List<String> formerUserIds;<newline46mondego>}<newline46mondego>"
"13splitHere46","5459521splitHere46","return X ^ Y;<newline46mondego>"
"14splitHere46","5459521splitHere46","return ((X << 16) | (x >> 16)) ^ Y;<newline46mondego>"
"15splitHere46","5459521splitHere46","Date"
"16splitHere46","5459625splitHere46","IAnswer"
"17splitHere46","5459625splitHere46","EasyMock.getCurrentArguments()"
"18splitHere46","5459625splitHere46","expect(processor.process(arg1, list));<newline46mondego>expectLastCall().anyTimes().andAnswer(new IAnswer<Object>() {<newline46mondego>    public Object answer() throws Throwable {<newline46mondego>        List myList = (List) EasyMock.getCurrentArguments()[1];<newline46mondego>        // do your assertions on the list here (or change the order as required)<newline46mondego>    }    <newline46mondego>});<newline46mondego>"
"19splitHere46","5459712splitHere46","exuberant-ctags"
"20splitHere46","5459712splitHere46","vim"
"21splitHere46","5459712splitHere46","java"
"22splitHere46","5459928splitHere46","ServletContextListener"
"23splitHere46","5459928splitHere46","@WebListener<newline46mondego>public class StartupListener implements ServletContextListener {<newline46mondego><newline46mondego>    @Override <newline46mondego>    public void contextInitialized(ServletContextEvent event) {<newline46mondego>        List<Product> products = loadItSomehow();<newline46mondego>        event.getServletContext().setAttribute(<doubleQuotes46>products<doubleQuotes46>, products);<newline46mondego>    }<newline46mondego><newline46mondego>    // ...<newline46mondego>}<newline46mondego>"
"24splitHere46","5459928splitHere46","List<Product> products = (List<Product>) getServletContext().getAttribute(<doubleQuotes46>products<doubleQuotes46>);<newline46mondego>"
"25splitHere46","5459928splitHere46","${products}<newline46mondego>"
"26splitHere46","5459928splitHere46","List<Category>"
"27splitHere46","5459928splitHere46","Category"
"28splitHere46","5459928splitHere46","List<Product>"
"29splitHere46","5459928splitHere46","Map<String, List<Product>>"
"30splitHere46","5460071splitHere46","<listener><newline46mondego>    <listener-class>org.springframework.web.context.ContextLoaderListener</listener-class><newline46mondego></listener><newline46mondego><newline46mondego><context-param><newline46mondego>    <param-name>contextConfigLocation</param-name><newline46mondego>    <param-value><newline46mondego>        classpath:applicationContext.xml <!-- tell Spring to look for context defined on the classpath --><newline46mondego>    </param-value><newline46mondego></context-param><newline46mondego>"
"31splitHere46","5460090splitHere46","<?xml version=<doubleQuotes46>1.0<doubleQuotes46>?><newline46mondego><xml-bindings xmlns=<doubleQuotes46>http://www.eclipse.org/eclipselink/xsds/persistence/oxm<doubleQuotes46>><newline46mondego>    <java-types><newline46mondego>        <java-type name=<doubleQuotes46>example.gettingstarted.Customer<doubleQuotes46>><newline46mondego>            <xml-root-element /><newline46mondego>            <java-attributes><newline46mondego>                <xml-element java-attribute=<doubleQuotes46>name<doubleQuotes46> xml-path=<doubleQuotes46>personal-info/name/text()<doubleQuotes46> /><newline46mondego>                <xml-element java-attribute=<doubleQuotes46>address<doubleQuotes46> xml-path=<doubleQuotes46>contact-info/address<doubleQuotes46> /><newline46mondego>                <xml-transient java-attribute=<doubleQuotes46>phoneNumbers<doubleQuotes46>/><newline46mondego>            </java-attributes><newline46mondego>        </java-type><newline46mondego>    </java-types><newline46mondego></xml-bindings><newline46mondego>"
"32splitHere46","5460200splitHere46","notifyaAll()"
"33splitHere46","5460200splitHere46","notify()"
"34splitHere46","5460299splitHere46","actionPerformed"
"35splitHere46","5460481splitHere46","close()"
"36splitHere46","5460481splitHere46","flush()"
"37splitHere46","5460481splitHere46","close()"
"38splitHere46","5460550splitHere46","SELECT g.filename, g.description, g.uploadDate FROM Garbage<newline46mondego>"
"39splitHere46","5460550splitHere46","Object[]"
"40splitHere46","5460550splitHere46","SELECT g FROM Garbage g<newline46mondego>"
"41splitHere46","5460658splitHere46","m_job = job;<newline46mondego>"
"42splitHere46","5460658splitHere46","NewGlobalRef"
"43splitHere46","5460658splitHere46","JNIEnv* jenv = new JNIEnv();<newline46mondego>applet_java_jvm->AttachCurrentThread((void**)jenv,NULL);<newline46mondego>"
"44splitHere46","5460658splitHere46","JNIEnv* jenv = 0:<newline46mondego>applet_java_jvm->AttachCurrentThread(&jenv,NULL);<newline46mondego>"
"45splitHere46","5460658splitHere46","JNIEnv* jenv = 0:<newline46mondego>applet_java_jvm->AttachCurrentThread((void **) &jenv,NULL);<newline46mondego>"
"46splitHere46","5460737splitHere46","TypeB b = new TypeB();<newline46mondego><newline46mondego>TypeA a = new TypeA();<newline46mondego>a.setBs(ListUtils.createList(b));<newline46mondego>b.setA(a);   <newline46mondego><newline46mondego>this.typeBDao.save(b);<newline46mondego>this.typeADao.save(a);<newline46mondego>"
"47splitHere46","5460794splitHere46","Scanner"
"48splitHere46","5460882splitHere46","String in = <doubleQuotes46>helllo goodbye<doubleQuotes46>;<newline46mondego>  String out = in.replaceAll(<doubleQuotes46>(.)(?=\\1)<doubleQuotes46>, <doubleQuotes46>$1*<doubleQuotes46>);<newline46mondego>  System.out.println(out);<newline46mondego>"
"49splitHere46","5460882splitHere46","hel*l*lo go*odbye<newline46mondego>"
"50splitHere46","5460882splitHere46","(.)     //match any one character into group 1<newline46mondego>(?=\\1) //positive lookahead for that same character by backreferencing group 1<newline46mondego><newline46mondego>$1*     //replace that one character with the character followed by *<newline46mondego>"
"51splitHere46","5460882splitHere46","String in = <doubleQuotes46>xhixhix<doubleQuotes46>;<newline46mondego>  String out = in;<newline46mondego>  while (!out.matches(<doubleQuotes46>[^x]*x*<doubleQuotes46>)) {<newline46mondego>     out = out.replaceAll(<doubleQuotes46>x(.*)<doubleQuotes46>, <doubleQuotes46>$1x<doubleQuotes46>);<newline46mondego>  }<newline46mondego>  System.out.println(out);<newline46mondego>"
"52splitHere46","5460882splitHere46","x(something)"
"53splitHere46","5460882splitHere46","(something)x"
"54splitHere46","5460882splitHere46","x"
"55splitHere46","5461244splitHere46","public void doStuff( String s ){<newline46mondego>     s = <doubleQuotes46>OK<doubleQuotes46>;<newline46mondego> }<newline46mondego>"
"56splitHere46","5461244splitHere46","public void doStuff( final String s ){<newline46mondego>     s = <doubleQuotes46>ERROR s cannot be assigned because it is final!<doubleQuotes46>;//causes error<newline46mondego> }<newline46mondego>"
"57splitHere46","5461605splitHere46","Executors.newSingleThreadExecutor();"
"58splitHere46","5461665splitHere46","object SomeObject { outer =><newline46mondego>  def myMethodOfSomeInstance = {<newline46mondego>    val uiThread = new SomeClass {<newline46mondego>      def run: Unit = {<newline46mondego>        chooser.showOpenDialog(outer)<newline46mondego>      }<newline46mondego>    }<newline46mondego>  }<newline46mondego>}<newline46mondego>"
"59splitHere46","5461665splitHere46","object obj extends SomeOtherClass"
"60splitHere46","5461665splitHere46","obj.this"
"61splitHere46","5461745splitHere46","<form:radiobutton path=<doubleQuotes46>someProperty<doubleQuotes46> value=<doubleQuotes46>true<doubleQuotes46>/><newline46mondego>    <spring:message code=<doubleQuotes46>label.roundYes<doubleQuotes46>/><newline46mondego><form:radiobutton path=<doubleQuotes46>someProperty<doubleQuotes46> value=<doubleQuotes46>false<doubleQuotes46>/><newline46mondego>    <spring:message code=<doubleQuotes46>label.roundNo<doubleQuotes46>/><newline46mondego>"
"62splitHere46","5461745splitHere46","private boolean someProperty = false;<newline46mondego>"
"63splitHere46","5462121splitHere46","write()"
"64splitHere46","5462121splitHere46","for(int i = start; i <= 100; i = i + 2)    { <newline46mondego>    if (i > start) {<newline46mondego>        fout.print(<doubleQuotes46>,<doubleQuotes46>);<newline46mondego>    }<newline46mondego><newline46mondego>    fout.println(i); <newline46mondego>}<newline46mondego>"
"65splitHere46","5462121splitHere46","output()"
"66splitHere46","5462121splitHere46","while((outputline = fin.readLine()) != null) { <newline46mondego>    System.out.print(outputline + <doubleQuotes46> <doubleQuotes46>); <newline46mondego>}<newline46mondego>System.out.println();<newline46mondego>"
"67splitHere46","5462121splitHere46","int count = 0;<newline46mondego>while((outputline = fin.readLine()) != null) { <newline46mondego>    if (count > 0)<newline46mondego>        System.out.print(<doubleQuotes46>, <doubleQuotes46>);<newline46mondego><newline46mondego>    System.out.print(outputline); <newline46mondego>    count++;<newline46mondego>}<newline46mondego>System.out.println();<newline46mondego>"
"68splitHere46","5462206splitHere46","when(serviceValidatorStub.validate(<newline46mondego>    any(),<newline46mondego>    isA(UserCommentRequestValidator.class),<newline46mondego>    eq(UserCommentResponse.class),<newline46mondego>    eq(UserCommentError.class))<newline46mondego>).thenReturn(new UserCommentResponse());<newline46mondego>"
"69splitHere46","5462206splitHere46","eq()"
"70splitHere46","5462206splitHere46","same()"
"71splitHere46","5462206splitHere46","Class<?>"
"72splitHere46","5462206splitHere46","=="
"73splitHere46","5462222splitHere46","@Singleton"
"74splitHere46","5462222splitHere46","SELECT FOR UPDATE"
"75splitHere46","5462252splitHere46","synchronized(theHolder) {<newline46mondego>    SomeMutableData smd = theHolder.cloneData();<newline46mondego>    smd.updateIt();<newline46mondego>    theHolder.storeData(smd);<newline46mondego>}<newline46mondego>"
"76splitHere46","5462252splitHere46","public final class ThreadSafeHolder {<newline46mondego>    private final SomeMutableData data = new SomeMutableData();<newline46mondego><newline46mondego>    public ThreadSafeHolder(SomeMutableData data) {<newline46mondego>        copyFrom(data);<newline46mondego>    }<newline46mondego><newline46mondego>    public synchronized void copyTo(SomeMutableData data) {<newline46mondego>        data.copyFrom(this.data);<newline46mondego>    }<newline46mondego><newline46mondego>    public synchronized void copyFrom(SomeMutableData data) {<newline46mondego>        this.data.copyFrom(data);<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"77splitHere46","5462273splitHere46","swt.jar"
"78splitHere46","5462273splitHere46","META-INF/MANIFEST.MF"
"79splitHere46","5462299splitHere46","try"
"80splitHere46","5462299splitHere46","Robot"
"81splitHere46","5462299splitHere46","NullPointerException"
"82splitHere46","5462299splitHere46","Robot"
"83splitHere46","5462299splitHere46","Robot robot = null;<newline46mondego>try<newline46mondego>{<newline46mondego>    robot = new Robot();<newline46mondego>    robot.mouseMove(260, 500);<newline46mondego>    robot.mousePress(InputEvent.BUTTON1_MASK);<newline46mondego>    // robot.mouseMove(660,700);<newline46mondego>    robot.mouseRelease(InputEvent.BUTTON1_MASK);<newline46mondego><newline46mondego>    robot.keyPress(KeyEvent.VK_CONTROL); // Select all<newline46mondego>    robot.keyPress(KeyEvent.VK_A);<newline46mondego>    robot.keyRelease(KeyEvent.VK_A);<newline46mondego>    robot.keyRelease(KeyEvent.VK_CONTROL);<newline46mondego><newline46mondego>    robot.keyPress(KeyEvent.VK_CONTROL); // Copy<newline46mondego>    robot.keyPress(KeyEvent.VK_C);<newline46mondego>    robot.keyRelease(KeyEvent.VK_C);<newline46mondego>    robot.keyRelease(KeyEvent.VK_CONTROL);<newline46mondego><newline46mondego>    try<newline46mondego>    {<newline46mondego>        //sleep just a little to let the clipboard contents get updated<newline46mondego>        Thread.sleep(25);<newline46mondego>    }<newline46mondego>    catch (InterruptedException e)<newline46mondego>    {<newline46mondego>        e.printStackTrace();<newline46mondego>    }<newline46mondego><newline46mondego>    Transferable t = Toolkit.getDefaultToolkit().getSystemClipboard().getContents(null);<newline46mondego>    try<newline46mondego>    {<newline46mondego>        if (t != null && t.isDataFlavorSupported(DataFlavor.stringFlavor))<newline46mondego>        {<newline46mondego>            String text = (String) t.getTransferData(DataFlavor.stringFlavor);<newline46mondego>            System.out.println(text);<newline46mondego>        }<newline46mondego>    }<newline46mondego>    catch (Exception ex)<newline46mondego>    {<newline46mondego>        ex.printStackTrace();<newline46mondego>    }<newline46mondego>}<newline46mondego>catch (AWTException ex)<newline46mondego>{<newline46mondego>    System.err.println(<doubleQuotes46>Can't start Robot: <doubleQuotes46> + ex);<newline46mondego>}<newline46mondego>"
"84splitHere46","5462598splitHere46","public class TestClass implements TestInterface ...<newline46mondego>"
"85splitHere46","5462598splitHere46","public interface TestInterface {<newline46mondego>  public List testMethod();<newline46mondego>}<newline46mondego>public class TestClass implements TestInterface {<newline46mondego>  @Override<newline46mondego>  public List testMethod() {<newline46mondego>      return Collections.singletonList(1);<newline46mondego>  }<newline46mondego>}<newline46mondego>"
"86splitHere46","5462747splitHere46","java.text.normalizer"
"87splitHere46","5462895splitHere46","String strline;<newline46mondego> while(br.readLine()!=null)<newline46mondego>    if(br.readLine()!=lineToFind){<newline46mondego>    lineaFound=false;<newline46mondego>  }<newline46mondego>"
"88splitHere46","5462895splitHere46","String strline;<newline46mondego>while(strline = br.readLine()!=null)<newline46mondego>    if(strline.equals(lineToFind)){<newline46mondego>    lineaFound=false;<newline46mondego>}<newline46mondego>"
"89splitHere46","5462949splitHere46","Lock lock = new ReentrantLock(true);<newline46mondego>"
"90splitHere46","5463076splitHere46","implement ActionListener"
"91splitHere46","5463076splitHere46","button[i].addActionListener(this)<newline46mondego>"
"92splitHere46","5463076splitHere46","button[i].addActionListener(mcalendar.this)<newline46mondego>"
"93splitHere46","5463305splitHere46","System.setProperty(<doubleQuotes46>javax.net.debug<doubleQuotes46>, <doubleQuotes46>all<doubleQuotes46>);"
"94splitHere46","5463712splitHere46","PrintWriter fout = new PrintWriter(new BufferedWriter(<newline46mondego>    new FileWriter(<doubleQuotes46>numbers.dat<doubleQuotes46>)<newline46mondego>)); <newline46mondego><newline46mondego>String sep = <doubleQuotes46><doubleQuotes46>;<newline46mondego>for(int i = start; i <= 100; i += 2) { <newline46mondego>    fout.print(sep + i);<newline46mondego>    sep = <doubleQuotes46>, <doubleQuotes46>;<newline46mondego>}<newline46mondego>"
"95splitHere46","5463712splitHere46","PrintWriter fout = new PrintWriter(new BufferedWriter(<newline46mondego>    new FileWriter(<doubleQuotes46>numbers.dat<doubleQuotes46>)<newline46mondego>)); <newline46mondego><newline46mondego>for(int i = start; i <= 100; i += 2) { <newline46mondego>    fout.print((i == start ? <doubleQuotes46><doubleQuotes46> : <doubleQuotes46>, <doubleQuotes46>) + i);<newline46mondego>}<newline46mondego>"
"96splitHere46","5463712splitHere46","PrintWriter"
"97splitHere46","5463712splitHere46","StringBuffer"
"98splitHere46","5463712splitHere46","PrintWriter fout = new PrintWriter(new BufferedWriter(<newline46mondego>    new FileWriter(<doubleQuotes46>numbers.dat<doubleQuotes46>)<newline46mondego>));<newline46mondego><newline46mondego>StringBuffer buffer;<newline46mondego><newline46mondego>for(int i = start; i <= 100; i += 2) { <newline46mondego>    buffer.append(i == start ? <doubleQuotes46><doubleQuotes46> : <doubleQuotes46>, <doubleQuotes46>).append(i);<newline46mondego>}<newline46mondego><newline46mondego>fout.print(buffer);<newline46mondego>"
"99splitHere46","5463712splitHere46","PrintWriter fout = new PrintWriter(new BufferedWriter(<newline46mondego>    new FileWriter(<doubleQuotes46>numbers.dat<doubleQuotes46>)<newline46mondego>));<newline46mondego><newline46mondego>StringBuffer buffer;<newline46mondego><newline46mondego>for(int i = start; i <= 100; i += 2) { <newline46mondego>    buffer.append(i).append(<doubleQuotes46>, <doubleQuotes46>);<newline46mondego>}<newline46mondego><newline46mondego>buffer.setLength(buffer.length()-1);<newline46mondego><newline46mondego>fout.print(buffer);<newline46mondego>"
"100splitHere46","5463732splitHere46","import javax.xml.bind.JAXBContext;<newline46mondego>import javax.xml.bind.Marshaller;<newline46mondego>import javax.xml.stream.XMLOutputFactory;<newline46mondego>import javax.xml.stream.XMLStreamWriter;<newline46mondego><newline46mondego>public class Demo {<newline46mondego><newline46mondego>    public static void main(String[] args) throws Exception {<newline46mondego>        XMLOutputFactory xof = XMLOutputFactory.newFactory();<newline46mondego>        XMLStreamWriter xsw = xof.createXMLStreamWriter(System.out);<newline46mondego>        xsw.writeStartDocument();<newline46mondego>        xsw.writeStartElement(<doubleQuotes46>FOO<doubleQuotes46>);<newline46mondego><newline46mondego>        Bar bar = new Bar();<newline46mondego>        bar.setId(1);<newline46mondego>        bar.setPoints(111);<newline46mondego>        bar.setCode(123);<newline46mondego><newline46mondego>        JAXBContext jc = JAXBContext.newInstance(Bar.class);<newline46mondego>        Marshaller marshaller = jc.createMarshaller();<newline46mondego>        marshaller.setProperty(Marshaller.JAXB_FRAGMENT, true);<newline46mondego>        marshaller.marshal(bar, xsw);<newline46mondego><newline46mondego>        xsw.writeEndElement();<newline46mondego>        xsw.writeEndDocument();<newline46mondego>        xsw.close();<newline46mondego>    }<newline46mondego><newline46mondego>}<newline46mondego>"
"101splitHere46","5463732splitHere46","import javax.xml.bind.annotation.XmlRootElement;<newline46mondego>import javax.xml.bind.annotation.XmlType;<newline46mondego>import org.eclipse.persistence.oxm.annotations.XmlPath;<newline46mondego><newline46mondego>@XmlRootElement(name=<doubleQuotes46>FOO<doubleQuotes46>)<newline46mondego>@XmlType(propOrder={<doubleQuotes46>id<doubleQuotes46>, <doubleQuotes46>points<doubleQuotes46>, <doubleQuotes46>code<doubleQuotes46>})<newline46mondego>public class Bar {<newline46mondego><newline46mondego>    private int id;<newline46mondego>    private int points;<newline46mondego>    private int code;<newline46mondego><newline46mondego>    @XmlPath(<doubleQuotes46>BAR/id/text()<doubleQuotes46>)<newline46mondego>    public int getId() {<newline46mondego>        return id;<newline46mondego>    }<newline46mondego><newline46mondego>    public void setId(int id) {<newline46mondego>        this.id = id;<newline46mondego>    }<newline46mondego><newline46mondego>    @XmlPath(<doubleQuotes46>BAR/POINTS/text()<doubleQuotes46>)<newline46mondego>    public int getPoints() {<newline46mondego>        return points;<newline46mondego>    }<newline46mondego><newline46mondego>    public void setPoints(int points) {<newline46mondego>        this.points = points;<newline46mondego>    }<newline46mondego><newline46mondego>    @XmlPath(<doubleQuotes46>BAR/CODE/text()<doubleQuotes46>)<newline46mondego>    public int getCode() {<newline46mondego>        return code;<newline46mondego>    }<newline46mondego><newline46mondego>    public void setCode(int code) {<newline46mondego>        this.code = code;<newline46mondego>    }<newline46mondego><newline46mondego>}<newline46mondego>"
"102splitHere46","5463814splitHere46","String text = <doubleQuotes46>The user {name} has email address {email}.<doubleQuotes46>;<newline46mondego>            Object[] params = { <doubleQuotes46>nameRobert<doubleQuotes46>, <doubleQuotes46>rhume55@gmail.com<doubleQuotes46> };<newline46mondego>            Map map = new HashMap();<newline46mondego>            map.put(<doubleQuotes46>name<doubleQuotes46>, <doubleQuotes46>Robert<doubleQuotes46>);<newline46mondego>            map.put(<doubleQuotes46>email<doubleQuotes46>, <doubleQuotes46>rhume55@gmail.com<doubleQuotes46>);<newline46mondego>            //String msg = MessageFormat.format(text, params);<newline46mondego><newline46mondego>            //System.out.println(<doubleQuotes46>1st : <doubleQuotes46> + msg);<newline46mondego><newline46mondego>            System.out.println(<doubleQuotes46>1st : <doubleQuotes46> + MapFormat.format(text, map));<newline46mondego>"
"103splitHere46","5463815splitHere46","Font"
"104splitHere46","5463815splitHere46","FontMetrics"
"105splitHere46","5463815splitHere46","charWidth(char ch)"
"106splitHere46","5463815splitHere46","stringWidth"
"107splitHere46","5463815splitHere46","String"
"108splitHere46","5463872splitHere46","try<newline46mondego>            {<newline46mondego>                String answer = JOptionPane.showInputDialog(null, <doubleQuotes46>What's my type\n\n\n1) String\n2) integer\n3) double\n4) Quit the program<doubleQuotes46>);<newline46mondego>                choice = Integer.parseInt(strChoice);<newline46mondego><newline46mondego>                //test for valid codes 1, 2, 3, or 4<newline46mondego>                if (choice<1 || choice>4) throw new NumberFormatException();<newline46mondego>                else done = true;<newline46mondego>            }<newline46mondego>                catch(NumberFormatException e)<newline46mondego>            {<newline46mondego>"
"109splitHere46","5463911splitHere46","trim()"
"110splitHere46","5463911splitHere46","elementsList.contains(sym)"
"111splitHere46","5463938splitHere46","<newline46mondego>String[][] array= new String[][]<newline46mondego>{<newline46mondego>    {<doubleQuotes46>a<doubleQuotes46>,<doubleQuotes46>b<doubleQuotes46>,<doubleQuotes46>c<doubleQuotes46>},<newline46mondego>    {<doubleQuotes46>d<doubleQuotes46>,<doubleQuotes46>e<doubleQuotes46>,<doubleQuotes46>f<doubleQuotes46>},<newline46mondego>    {<doubleQuotes46>h<doubleQuotes46>,<doubleQuotes46>i<doubleQuotes46>,<doubleQuotes46>j<doubleQuotes46>},<newline46mondego>    {<doubleQuotes46>k<doubleQuotes46>,<doubleQuotes46>l<doubleQuotes46>,<doubleQuotes46>m<doubleQuotes46>}<newline46mondego>};<newline46mondego>"
"112splitHere46","5463938splitHere46","Math.floor()"
"113splitHere46","5463938splitHere46","<newline46mondego>int arrayLength = array.length;<newline46mondego>int halfWayPoint = Math.floor(arrayLength/2);<newline46mondego>//we also need to know howmany elements are in the array<newline46mondego>int numberOfElementsInArray = array[0].length;<newline46mondego>"
"114splitHere46","5463938splitHere46","<newline46mondego>//the length of the first array will be the half way point which we already have<newline46mondego>String [][] newArrayA = new String[halfWayPoint][numberOfElementsInArray];<newline46mondego>//this copies the data over<newline46mondego>for(int i = 0; i &lt halfWayPoint; i++)<newline46mondego>{<newline46mondego>    newArrayA[i] = array[i];<newline46mondego>}<newline46mondego><newline46mondego>//now create the other array<newline46mondego>int newArrayBLength = array.length - halfWayPoint;<newline46mondego>String[][] newArrayB = new String[newArrayBLength][numberOfElementsInArray];<newline46mondego>/*<newline46mondego> * This copies the data over. Notice that the for loop starts a halfWayPoint.<newline46mondego> * This is because this is where we left of copying in the first array.<newline46mondego> */<newline46mondego>for(int i = halfWayPoint; i &lt array.length; i++)<newline46mondego>{<newline46mondego>    newArrayB[i] = array[i];<newline46mondego>}<newline46mondego>"
"115splitHere46","5463938splitHere46","<newline46mondego>int half = Math.floor(array/2);<newline46mondego>int numberOfElementsInArray = array[0].length;<newline46mondego>String [][] A = new String[half][numberOfElementsInArray];<newline46mondego>String [][] B = new String[array.length - half][numberOfElementsInArray];<newline46mondego>for(int i = 0; i &lt array.length; i++)<newline46mondego>{<newline46mondego>    if(i &lt half)<newline46mondego>    {<newline46mondego>        A[i] = array[i];<newline46mondego>    }<newline46mondego>    else<newline46mondego>    {<newline46mondego>        B[i] = array[i];<newline46mondego>    }<newline46mondego><newline46mondego>}<newline46mondego>"
"116splitHere46","5463938splitHere46","System.arraycopy()"
"117splitHere46","5463938splitHere46","<newline46mondego>int half = Math.floor(array/2);<newline46mondego>int numberOfElementsInArray = array[0].length;<newline46mondego>String [][] A = new String[half][numberOfElementsInArray];<newline46mondego>String [][] B = new String[array.length - half][numberOfElementsInArray];<newline46mondego>System.arraycopy(array,0,A,0,half);<newline46mondego>System.arraycopy(array,half,B,0,array.length - half);<newline46mondego>"
"118splitHere46","5464018splitHere46","Scanner"
"119splitHere46","5464018splitHere46","System.in"
"120splitHere46","5464018splitHere46","java.util.concurrent"
