"1splitHere46","11049972splitHere46","public static int count(List list) {<newline46mondego>  int sum = 0;<newline46mondego>  for(Object o: list) {<newline46mondego>     sum += o instanceof List ? count((List) o) : 1;<newline46mondego>  }<newline46mondego>  return sum;<newline46mondego>}<newline46mondego>"
"21splitHere46","11050521splitHere46","public class JTabbedPaneExample extends JFrame {<newline46mondego><newline46mondego>    private JTabbedPane tabbedPane;<newline46mondego>    private JPanel panel1, panel2, panel3;<newline46mondego>    private int currentTabIndex = 0, previousTabIndex = 0;<newline46mondego><newline46mondego>    public JTabbedPaneExample() {<newline46mondego>        createAndShowUI();<newline46mondego>    }<newline46mondego><newline46mondego>    /**<newline46mondego>     * @param args the command line arguments<newline46mondego>     */<newline46mondego>    public static void main(String[] args) {<newline46mondego>        EventQueue.invokeLater(new Runnable() {<newline46mondego><newline46mondego>            @Override<newline46mondego>            public void run() {<newline46mondego>                JTabbedPaneExample jTabbedPaneExample = new JTabbedPaneExample();<newline46mondego>            }<newline46mondego>        });<newline46mondego>    }<newline46mondego><newline46mondego>    private void createAndShowUI() {<newline46mondego>        setTitle(<doubleQuotes46>JTabbedPaneExample<doubleQuotes46>);<newline46mondego>        setSize(300, 300);<newline46mondego>        setResizable(false);<newline46mondego>        setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);<newline46mondego>        setLocationRelativeTo(null);<newline46mondego>        addComponentsToContentPane(getContentPane());<newline46mondego>        addListeners();<newline46mondego>        //pack();<newline46mondego>        setVisible(true);<newline46mondego>    }<newline46mondego><newline46mondego>    private void addComponentsToContentPane(Container contentPane) {<newline46mondego>        tabbedPane = new JTabbedPane();<newline46mondego>        panel1 = new JPanel();<newline46mondego>        panel2 = new JPanel();<newline46mondego>        panel3 = new JPanel();<newline46mondego>        tabbedPane.insertTab(<doubleQuotes46>tab1<doubleQuotes46>, null, panel1, null, 0);<newline46mondego>        tabbedPane.insertTab(<doubleQuotes46>tab2<doubleQuotes46>, null, panel2, null, 1);<newline46mondego>        tabbedPane.insertTab(<doubleQuotes46>tab3<doubleQuotes46>, null, panel3, null, 2);<newline46mondego>        contentPane.add(tabbedPane);<newline46mondego>    }<newline46mondego><newline46mondego>    private void addListeners() {<newline46mondego>        tabbedPane.addChangeListener(new ChangeListener() {<newline46mondego><newline46mondego>            @Override<newline46mondego>            public void stateChanged(ChangeEvent ce) {<newline46mondego>                previousTabIndex = currentTabIndex;<newline46mondego>                currentTabIndex = tabbedPane.getSelectedIndex();<newline46mondego>                System.out.println(<doubleQuotes46>Current tab is:<doubleQuotes46> + currentTabIndex);<newline46mondego>                System.out.println(<doubleQuotes46>Previous tab is:<doubleQuotes46> + previousTabIndex);<newline46mondego>            }<newline46mondego>        });<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"22splitHere46","11050521splitHere46","public class JTabbedPaneExample extends JFrame {<newline46mondego><newline46mondego>    private JTabbedPane tabbedPane;<newline46mondego>    private JPanel panel1, panel2, panel3;<newline46mondego>    private int currentTabIndex = 0, previousTabIndex = 0;<newline46mondego>    private boolean valid = false;<newline46mondego>    private JButton changeVariableBtn;<newline46mondego><newline46mondego>    public JTabbedPaneExample() {<newline46mondego>        createAndShowUI();<newline46mondego>    }<newline46mondego><newline46mondego>    /**<newline46mondego>     * @param args the command line arguments<newline46mondego>     */<newline46mondego>    public static void main(String[] args) {<newline46mondego>        EventQueue.invokeLater(new Runnable() {<newline46mondego><newline46mondego>            @Override<newline46mondego>            public void run() {<newline46mondego>                JTabbedPaneExample jTabbedPaneExample = new JTabbedPaneExample();<newline46mondego>            }<newline46mondego>        });<newline46mondego>    }<newline46mondego><newline46mondego>    private void createAndShowUI() {<newline46mondego>        setTitle(<doubleQuotes46>JTabbedPaneExample<doubleQuotes46>);<newline46mondego>        setSize(300, 300);<newline46mondego>        setResizable(false);<newline46mondego>        setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);<newline46mondego>        setLocationRelativeTo(null);<newline46mondego>        addComponentsToContentPane(getContentPane());<newline46mondego>        addListeners();<newline46mondego>        //pack();<newline46mondego>        setVisible(true);<newline46mondego>    }<newline46mondego><newline46mondego>    private void addComponentsToContentPane(Container contentPane) {<newline46mondego>        tabbedPane = new JTabbedPane();<newline46mondego>        panel1 = new JPanel();<newline46mondego>        panel2 = new JPanel();<newline46mondego>        panel3 = new JPanel();<newline46mondego>        changeVariableBtn = new JButton(<doubleQuotes46>Set validation to true<doubleQuotes46>);<newline46mondego>        tabbedPane.insertTab(<doubleQuotes46>tab1<doubleQuotes46>, null, panel1, null, 0);<newline46mondego>        tabbedPane.insertTab(<doubleQuotes46>tab2<doubleQuotes46>, null, panel2, null, 1);<newline46mondego>        tabbedPane.insertTab(<doubleQuotes46>tab3<doubleQuotes46>, null, panel3, null, 2);<newline46mondego>        contentPane.add(tabbedPane, BorderLayout.NORTH);<newline46mondego>        contentPane.add(changeVariableBtn, BorderLayout.CENTER);<newline46mondego>    }<newline46mondego><newline46mondego>    private void addListeners() {<newline46mondego>        tabbedPane.addChangeListener(new ChangeListener() {<newline46mondego><newline46mondego>            private boolean automatedStateChange = false;<newline46mondego><newline46mondego>            @Override<newline46mondego>            public void stateChanged(ChangeEvent ce) {<newline46mondego>                //this is used so when we allow the user not to go to the new tab by setting the tabb index to the previous one we dont want our changelistener to fire again as if the user were changing the tabs<newline46mondego>                if (automatedStateChange) {<newline46mondego>                    automatedStateChange = false;<newline46mondego>                } else {<newline46mondego>                    previousTabIndex = currentTabIndex;<newline46mondego>                    currentTabIndex = tabbedPane.getSelectedIndex();<newline46mondego>                }<newline46mondego><newline46mondego>                if (valid) {<newline46mondego>                    System.out.println(<doubleQuotes46>Current tab is:<doubleQuotes46> + currentTabIndex);<newline46mondego>                    System.out.println(<doubleQuotes46>Previous tab is:<doubleQuotes46> + previousTabIndex);<newline46mondego>                    System.out.println(<doubleQuotes46>Validation succeeded: <doubleQuotes46> + valid);<newline46mondego>                    changeVariableBtn.doClick();<newline46mondego>                } else {<newline46mondego>                    System.out.println(<doubleQuotes46>You need to enter all valid data first!<doubleQuotes46>);<newline46mondego>                    automatedStateChange = true;<newline46mondego>                    tabbedPane.setSelectedIndex(previousTabIndex);<newline46mondego>                }<newline46mondego>            }<newline46mondego>        });<newline46mondego>        changeVariableBtn.addActionListener(new ActionListener() {<newline46mondego><newline46mondego>            @Override<newline46mondego>            public void actionPerformed(ActionEvent ae) {<newline46mondego>                if (valid) {<newline46mondego>                    valid = false;<newline46mondego>                    changeVariableBtn.setText(<doubleQuotes46>Set validation to true<doubleQuotes46>);<newline46mondego>                } else {<newline46mondego>                    valid = true;<newline46mondego>                    changeVariableBtn.setText(<doubleQuotes46>Set validation to false<doubleQuotes46>);<newline46mondego>                }<newline46mondego>            }<newline46mondego>        });<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"23splitHere46","11050568splitHere46","BigDecimal"
"24splitHere46","11050596splitHere46","public class MyMain {<newline46mondego>    public static void main(String[] args) {<newline46mondego>        MyService service = new MyServiceImpl();<newline46mondego>        Collection<MyInterface> list = service.myMethod();<newline46mondego>        // This works at runtime.<newline46mondego>        System.out.println(list);<newline46mondego>        for (MyInterface obj : list) {<newline46mondego>            // This doesn't throw a ClassCastException<newline46mondego>            System.out.println(obj);<newline46mondego>        }<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"25splitHere46","11050596splitHere46","[[ My Class 1 ], [ My Class 2 ]]<newline46mondego>[ My Class 1 ]<newline46mondego>[ My Class 2 ]<newline46mondego>"
"26splitHere46","11050613splitHere46","HashMap"
"27splitHere46","11050613splitHere46","HashMap"
"28splitHere46","11050613splitHere46","synchronized"
"29splitHere46","11050613splitHere46","ConcurrentHashMap"
"30splitHere46","11050613splitHere46","HashMap"
"31splitHere46","11050613splitHere46","synchronized {}"
"32splitHere46","11050613splitHere46","Collections.synchronizedMap(new HashMap<...>())"
"33splitHere46","11050613splitHere46","HashMap"
"34splitHere46","11050613splitHere46","HashMap"
"35splitHere46","11050839splitHere46","<doubleQuotes46>"
"36splitHere46","11050839splitHere46","'"
"37splitHere46","11050839splitHere46","\<doubleQuotes46>"
"38splitHere46","11050839splitHere46","'"
"39splitHere46","11050839splitHere46","<p:commandLink process=<doubleQuotes46>@form<doubleQuotes46> listener=<doubleQuotes46>#{foo}<doubleQuotes46> update=<doubleQuotes46>somethingElse<doubleQuotes46> <newline46mondego>    oncomplete=<doubleQuotes46>if (!args.validationFailed) $('#link').click();<doubleQuotes46>><newline46mondego>"
"40splitHere46","11050839splitHere46","<p:commandLink id=<doubleQuotes46>link<doubleQuotes46>>"
"41splitHere46","11050839splitHere46","<doubleQuotes46>link<doubleQuotes46>"
"42splitHere46","11050839splitHere46","<h:form>"
"43splitHere46","11050839splitHere46","id=<doubleQuotes46>formId:link<doubleQuotes46>"
"44splitHere46","11050839splitHere46","<p:commandLink process=<doubleQuotes46>@form<doubleQuotes46> listener=<doubleQuotes46>#{foo}<doubleQuotes46> update=<doubleQuotes46>somethingElse<doubleQuotes46> <newline46mondego>    oncomplete=<doubleQuotes46>if (!args.validationFailed) $('#formId\\:link').click();<doubleQuotes46>><newline46mondego>"
"45splitHere46","11050839splitHere46","listener=<doubleQuotes46>#{foo}<doubleQuotes46>"
"46splitHere46","11050839splitHere46","if (!facesContext.isValidationFailed()) {<newline46mondego>    RequestContext.getCurrentInstance().update(<doubleQuotes46>somethingElse<doubleQuotes46>);<newline46mondego>}<newline46mondego>"
"47splitHere46","11051054splitHere46","Converter"
"48splitHere46","11051054splitHere46","<f:viewParam>"
"49splitHere46","11051054splitHere46","<f:viewParam name=<doubleQuotes46>id<doubleQuotes46> value=<doubleQuotes46>#{bean.entity}<doubleQuotes46> converter=<doubleQuotes46>entityConverter<doubleQuotes46> /><newline46mondego>"
"50splitHere46","11051097splitHere46","Comparable"
"51splitHere46","11051097splitHere46","Comparator"
"52splitHere46","11051097splitHere46","array/collection"
"53splitHere46","11051097splitHere46","Comparable"
"54splitHere46","11051097splitHere46","class InfoClass implements Comparable<InfoClass> {<newline46mondego><newline46mondego>String name;<newline46mondego>String place;<newline46mondego>double distance;<newline46mondego><newline46mondego>@Override<newline46mondego>public int compareTo(InfoClass o) {<newline46mondego>    return new Double(this.distance).compareTo(new Double(o.distance));<newline46mondego>}<newline46mondego>"
"55splitHere46","11051097splitHere46","Arrays.sort(myInfoClass)<newline46mondego>"
"56splitHere46","11051118splitHere46","OnTouchListener"
"57splitHere46","11051118splitHere46","return true"
"58splitHere46","11051118splitHere46","return super.onTouch(v, event)"
"59splitHere46","11051324splitHere46","I want to implement a click event on the listview, but it is not working. <newline46mondego>"
"60splitHere46","11051324splitHere46","list.setOnItemClickListener(new OnItemClickListener() {<newline46mondego>                @Override<newline46mondego>                public void onItemClick(AdapterView<?> parent, View view, int position, long id) {<newline46mondego>                        // @todo<newline46mondego>                }<newline46mondego>        }); <newline46mondego>"
"61splitHere46","11051324splitHere46","1- Imaplent you activity with View.OnClickListener<newline46mondego>2- Pass it to adpter <newline46mondego>3- holder.itemImage.setOnClickListener(mActivity)<newline46mondego>4- override the View.OnClickListener in activity <newline46mondego>"
"62splitHere46","11051375splitHere46","currentMin"
"63splitHere46","11051375splitHere46","currentMinIndex"
"64splitHere46","11051375splitHere46","for(int x=0; x<=reps; x++){<newline46mondego><newline46mondego>   int currentMin = Integer.MAX_VALUE;  // Do this here.<newline46mondego>   //int currentMinIndex = -1;  // This is never used??<newline46mondego><newline46mondego>   for (int i=0; i < ontarioBankInfoInt.size() - 1; i++) {<newline46mondego>        int value = ontarioBankInfoInt.get(i);<newline46mondego>        if (value < currentMin && value > pastMin) {<newline46mondego>            currentMin = value;<newline46mondego>            //currentMinIndex = i;     <newline46mondego>        }<newline46mondego>   }<newline46mondego><newline46mondego>   pastMin = currentMin; // I also think you want this here.<newline46mondego>   yearArray.add(currentMin);<newline46mondego>}<newline46mondego>"
"65splitHere46","11051375splitHere46","reps"
"66splitHere46","11051624splitHere46","org.eclipse.jdt.internal.compiler.CompilationResult.getProblems()[Lorg/eclipse/jdt/core/compiler/CategorizedProblem"
"67splitHere46","11051633splitHere46","ManagementFactory.getPlatformMBeanServer()"
"68splitHere46","11051633splitHere46","JmxClient client = new JmxClient(<doubleQuotes46>localhost<doubleQuotes46>, somePortNumber);<newline46mondego>Set<ObjectName> objectNameSet = client.getBeanNames();<newline46mondego>...<newline46mondego>"
"69splitHere46","11051633splitHere46","myApp"
"70splitHere46","11051633splitHere46","ObjectName"
"71splitHere46","11051633splitHere46","System.identityHashCode(obj)"
"72splitHere46","11051633splitHere46","mprew:00=timers,name=MailServerTimerFactory<newline46mondego>mprew:00=timers,name=MysqlManagerTimerFactory<newline46mondego>mprew:00=timers,name=PointsTimerFactory<newline46mondego>"
"73splitHere46","11051667splitHere46","faces.add(new Face(readStr));<newline46mondego>            }else{<newline46mondego>                cells.add(new Cell(readStr));<newline46mondego>"
"74splitHere46","11051667splitHere46","-mx1g"
"75splitHere46","11051667splitHere46","\n"
"76splitHere46","11051732splitHere46","SimpleDateFormat"
"77splitHere46","11051732splitHere46","public class LengthCheckingDateFormat extends SimpleDateFormat {<newline46mondego><newline46mondego>  public LengthCheckingDateFormat(String pattern) { super(pattern); }<newline46mondego><newline46mondego>  @Override<newline46mondego>  public Date parse(String s, ParsePosition p) {<newline46mondego>    if (s == null || (s.length() - p.getIndex()) < toPattern().length()) {<newline46mondego>      p.setErrorIndex(p.getIndex());<newline46mondego>      return null;<newline46mondego>    }<newline46mondego>    return super.parse(s, p);<newline46mondego>  }<newline46mondego>}<newline46mondego>"
"78splitHere46","11052050splitHere46","hashCode()"
"79splitHere46","11052050splitHere46","String"
"80splitHere46","11052050splitHere46","private int hashCode;<newline46mondego><newline46mondego>public int hashCode() {<newline46mondego>    int hash = hashCode;<newline46mondego>    if (hash == 0) {<newline46mondego>        if (count == 0) {<newline46mondego>            return 0;<newline46mondego>        }<newline46mondego>        final int end = count + offset;<newline46mondego>        final char[] chars = value;<newline46mondego>        for (int i = offset; i < end; ++i) {<newline46mondego>            hash = 31*hash + chars[i];<newline46mondego>        }<newline46mondego>        hashCode = hash;<newline46mondego>    }<newline46mondego>    return hash;<newline46mondego>}<newline46mondego>"
"81splitHere46","11052050splitHere46","hashCode"
"82splitHere46","11052050splitHere46","volatile"
"83splitHere46","11052050splitHere46","hashCode()"
"84splitHere46","11052050splitHere46","hashCode"
"85splitHere46","11052085splitHere46","@PrimaryKey<newline46mondego>@Persistent<newline46mondego>private Integer id;<newline46mondego>"
"86splitHere46","11052085splitHere46","@PrimaryKey<newline46mondego>@Persistent(valueStrategy = IdGeneratorStrategy.IDENTITY)<newline46mondego>private Long id;<newline46mondego>"
"87splitHere46","11052136splitHere46","<?xml version=<doubleQuotes46>1.0<doubleQuotes46> encoding=<doubleQuotes46>UTF-8<doubleQuotes46>?><newline46mondego><application xmlns:xsi=<doubleQuotes46>http://www.w3.org/2001/XMLSchema-instance<doubleQuotes46><newline46mondego>  xmlns=<doubleQuotes46>http://java.sun.com/xml/ns/javaee<doubleQuotes46> xmlns:application=<doubleQuotes46>http://java.sun.com/xml/ns/javaee/application_5.xsd<doubleQuotes46><newline46mondego>  xsi:schemaLocation=<doubleQuotes46>http://java.sun.com/xml/ns/javaee http://java.sun.com/xml/ns/javaee/application_5.xsd<doubleQuotes46><newline46mondego>  id=<doubleQuotes46>Application_ID<doubleQuotes46> version=<doubleQuotes46>5<doubleQuotes46>><newline46mondego>  <display-name>myapp2</display-name><newline46mondego>  <module><newline46mondego>    <web><newline46mondego>      <web-uri>myapp2.war</web-uri><newline46mondego>      <context-root>/myapp2</context-root><newline46mondego>    </web><newline46mondego>  </module><newline46mondego></application><newline46mondego>"
"88splitHere46","11052136splitHere46","<?xml version=<doubleQuotes46>1.0<doubleQuotes46> encoding=<doubleQuotes46>UTF-8<doubleQuotes46>?><newline46mondego><wls:weblogic-web-app xmlns:wls=<doubleQuotes46>http://xmlns.oracle.com/weblogic/weblogic-web-app<doubleQuotes46> xmlns:xsi=<doubleQuotes46>http://www.w3.org/2001/XMLSchema-instance<doubleQuotes46> xsi:schemaLocation=<doubleQuotes46>http://java.sun.com/xml/ns/javaee http://java.sun.com/xml/ns/javaee/web-app_2_5.xsd http://xmlns.oracle.com/weblogic/weblogic-web-app http://xmlns.oracle.com/weblogic/weblogic-web-app/1.0/weblogic-web-app.xsd<doubleQuotes46>><newline46mondego>    <wls:weblogic-version>10.3.2</wls:weblogic-version><newline46mondego>    <wls:context-root>myapp2</wls:context-root><newline46mondego></wls:weblogic-web-app><newline46mondego>"
"89splitHere46","11052166splitHere46","<context-param><newline46mondego><param-name>allowedHosts</param-name><newline46mondego><param-value><newline46mondego>    http://opendap.co-ops.nos.noaa.gov/thredds/wms/NOAA/CBOFS/MODELS/201206/nos.cbofs.fields.nowcast.20120612.t00z.nc?service=WMS&amp;version=1.3.0&amp;request=GetCapabilities<newline46mondego></param-value><newline46mondego>"
"90splitHere46","11052215splitHere46","Main-Class: yourMainClass.class<newline46mondego>"
"91splitHere46","11052215splitHere46","jar cfm JarName.jar Manifest.txt yourMainClass/*.class<newline46mondego>"
"92splitHere46","11052279splitHere46","String numbers=<doubleQuotes46>1,2,3,4,5,6,7<doubleQuotes46>;<newline46mondego>Iterable<String> splitIterator = Splitter.on(',').split(numbers);<newline46mondego>List<String> list= Lists.newArrayList(splitIterator );<newline46mondego>"
"93splitHere46","11052319splitHere46","import java.awt.Color;<newline46mondego>import java.awt.Container;<newline46mondego>import java.awt.EventQueue;<newline46mondego>import java.awt.Graphics;<newline46mondego>import java.util.Random;<newline46mondego>import javax.swing.JFrame;<newline46mondego>import javax.swing.JPanel;<newline46mondego><newline46mondego>/**<newline46mondego> *<newline46mondego> * @author David<newline46mondego> */<newline46mondego>public class JavaApplication142 extends JFrame {<newline46mondego><newline46mondego>    private int width = 300, height = 300;<newline46mondego><newline46mondego>    public JavaApplication142() {<newline46mondego>        createAndShowUI();<newline46mondego>    }<newline46mondego><newline46mondego>    /**<newline46mondego>     * @param args the command line arguments<newline46mondego>     */<newline46mondego>    public static void main(String[] args) {<newline46mondego>        EventQueue.invokeLater(new Runnable() {<newline46mondego><newline46mondego>            @Override<newline46mondego>            public void run() {<newline46mondego>                JavaApplication142 jApp = new JavaApplication142();<newline46mondego>            }<newline46mondego>        });<newline46mondego>    }<newline46mondego><newline46mondego>    private void createAndShowUI() {<newline46mondego>        setTitle(<doubleQuotes46>Painting<doubleQuotes46>);<newline46mondego>        setSize(width, height);<newline46mondego>        setResizable(false);<newline46mondego>        setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);<newline46mondego>        setLocationRelativeTo(null);<newline46mondego>        addComponentsToContentPane(getContentPane());<newline46mondego>        setVisible(true);<newline46mondego>    }<newline46mondego><newline46mondego>    private void addComponentsToContentPane(Container contentPane) {<newline46mondego>        Panel panel1 = new Panel();<newline46mondego>        contentPane.add(panel1);<newline46mondego>    }<newline46mondego><newline46mondego>    class Panel extends JPanel {<newline46mondego><newline46mondego>        private Random rand;<newline46mondego><newline46mondego>        public Panel() {<newline46mondego>            rand = new Random();<newline46mondego>        }<newline46mondego><newline46mondego>        @Override<newline46mondego>        public void paintComponent(Graphics g) {<newline46mondego>            super.paintComponent(g);<newline46mondego>            for (int i = 0; i < 25; i++) {<newline46mondego>                g.drawString(<doubleQuotes46>string name<doubleQuotes46>, (int) rand.nextInt(width), (int) rand.nextInt(height));<newline46mondego>                g.setColor(Color.RED);<newline46mondego>            }<newline46mondego>        }<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"94splitHere46","11052384splitHere46","rendered"
"95splitHere46","11052384splitHere46","rendered"
"96splitHere46","11052384splitHere46","false"
"97splitHere46","11052384splitHere46","UIInput"
"98splitHere46","11052384splitHere46","UIInput#getValue()"
"99splitHere46","11052384splitHere46","<h:selectOneMenu ... binding=<doubleQuotes46>#{type}<doubleQuotes46>><newline46mondego>...<newline46mondego><h:panelGrid rendered=<doubleQuotes46>#{type.value == 'Article'}<doubleQuotes46>><newline46mondego>...<newline46mondego><h:panelGrid rendered=<doubleQuotes46>#{type.value == 'Embed'}<doubleQuotes46>><newline46mondego>"
"100splitHere46","11052454splitHere46","TriggerProcessor"
"101splitHere46","11052454splitHere46","TriggerProcessor"
"102splitHere46","11052500splitHere46","BeanUtilsBean.copyProperties()"
"103splitHere46","11052500splitHere46","BeanUtilsBean.copyProperties()"
"104splitHere46","11052606splitHere46","recycle()"
"105splitHere46","11052613splitHere46","List<List<Integer>> myInput = ...<newline46mondego><newline46mondego>for(int i=0; i<myInput.size(); i++){<newline46mondego>     for (int j=0; j<myInput.get(i).size(); j++){<newline46mondego>        if (j == 0 && i > 0){<newline46mondego>           continue;<newline46mondego>        }<newline46mondego>        List<Integer> result = new ArrayList<Integer>(myInput.size());<newline46mondego>        for(int k=0; k<myInput.size(); k++){<newline46mondego>            if (k == i){<newline46mondego>               result.add(myInput.get(k).get(j));<newline46mondego>            }else{<newline46mondego>               result.add(myInput.get(k).get(0));<newline46mondego>            }<newline46mondego>        }<newline46mondego>        System.out.println(result);<newline46mondego>     }<newline46mondego>}<newline46mondego>"
"106splitHere46","11052736splitHere46","java.util.Random"
"107splitHere46","11052736splitHere46","java.util.Random"
"108splitHere46","11052736splitHere46","protected int next(int bits)"
"109splitHere46","11052736splitHere46","SecureRandom"
"110splitHere46","11052736splitHere46","java.util.Random"
"111splitHere46","11052736splitHere46","Random"
"112splitHere46","11052736splitHere46","SecureRandom"
"113splitHere46","11052736splitHere46","SecureRandom"
"114splitHere46","11053152splitHere46","java.util.concurrent.ExecutorService"
"115splitHere46","11053152splitHere46","java.util.concurrent.Executors"
"116splitHere46","11053152splitHere46","ExecutorService"
"117splitHere46","11053152splitHere46","newFixedThreadPool(int threadsNumber)"
"118splitHere46","11053152splitHere46","newCachedThreadPool"
"119splitHere46","11053152splitHere46","Executors"
"120splitHere46","11053152splitHere46","ExecutorService"
"121splitHere46","11053152splitHere46","web.xml"
"122splitHere46","11053152splitHere46","javax.servlet.ServletContextListener"
"123splitHere46","11053152splitHere46","contextInitialized(ServletContextEvent)"
"124splitHere46","11053152splitHere46","ExecutorService"
"125splitHere46","11053152splitHere46","ServletContext"
"126splitHere46","11053152splitHere46","// following method is invoked one time, when you web application starts (is deployed)<newline46mondego>@Override<newline46mondego>public void contextInitialized(ServletContextEvent servletContextEvent) {<newline46mondego>    // ...<newline46mondego>    final int numberOfThreads = ...;<newline46mondego>    final ExecutorService threadPool = Executors.newFixedThreadPool(numberOfThreads); // starts thread pool<newline46mondego>    final ServletContext servletContext = servletContextEvent.getServletContext();<newline46mondego>    servletContext.setAttribute(<doubleQuotes46>threadPoolAlias<doubleQuotes46>, threadPool);<newline46mondego>    // ...<newline46mondego>}<newline46mondego><newline46mondego>// following method is invoked one time when your web application stops (is undeployed)<newline46mondego>public void contextDestroyed(ServletContextEvent servletContextEvent) {<newline46mondego>    // following code is just to free resources occupied by thread pool when web application is undeployed<newline46mondego>    final ExecutorService threadPool = (ExecutorService) servletContextEvent.getServletContext().getAttribute(<doubleQuotes46>threadPoolAlias<doubleQuotes46>);<newline46mondego>    threadPool.shutdown();<newline46mondego>}<newline46mondego>"
"127splitHere46","11053152splitHere46","Servlet.service"
"128splitHere46","11053152splitHere46","ServletContext"
"129splitHere46","11053152splitHere46","Callable<ResultOfMyTask> callable = new Callable<ResultOfMyTask>() {<newline46mondego>    public ResultOfMyTask call() {<newline46mondego>        // here goes your task code which is to be invoked by thread pool <newline46mondego>    }<newline46mondego>};<newline46mondego><newline46mondego>final ServletContext servletContext = ...;<newline46mondego>final ExecutorsService threadPool = (ExecutorService) servletContext.getAttribute(<doubleQuotes46>threadPoolAlias<doubleQuotes46>);<newline46mondego>final Future<ResultOfMyTask> myTask = threadPool.submit(callable);;<newline46mondego>"
"130splitHere46","11053304splitHere46","Calendar newCal = new Calendar();<newline46mondego>    newCal.setSummary(calTitle);<newline46mondego>    newCal.setTimeZone(<doubleQuotes46>Europe/Paris<doubleQuotes46>);<newline46mondego><newline46mondego>    Calendar createdCalendar = null;<newline46mondego>    try {<newline46mondego>        createdCalendar = service.calendars().insert(newCal).execute();<newline46mondego>    } catch (Exception e){<newline46mondego>        e.printStackTrace();<newline46mondego>    }<newline46mondego>"
"131splitHere46","11053320splitHere46","AsyncTask"
"132splitHere46","11053320splitHere46","Services"
"133splitHere46","11053320splitHere46","Activity"
"134splitHere46","11053320splitHere46","Services"
"135splitHere46","11053320splitHere46","Services"
"136splitHere46","11053320splitHere46","AsyncTask"
"137splitHere46","11053320splitHere46","Services"
"138splitHere46","11053320splitHere46","Service"
"139splitHere46","11053320splitHere46","Service"
"140splitHere46","11053320splitHere46","Service"
"141splitHere46","11053320splitHere46","Services"
"142splitHere46","11053366splitHere46","MyThread"
"143splitHere46","11053366splitHere46","synchronized(this)"
"144splitHere46","11053366splitHere46","synchronized(m)"
"145splitHere46","11053366splitHere46","main()"
"146splitHere46","11053366splitHere46","public void run() {<newline46mondego>    synchronized (this) {<newline46mondego>"
"147splitHere46","11053366splitHere46","public synchronized void run() {<newline46mondego>"
