"1splitHere46","6843305splitHere46","MouseEvent me = new MouseEvent(tree, 0, 0, 0, 100, 100, 1, false);<newline46mondego>for(MouseListener ml: tree.getMouseListeners()){<newline46mondego>    ml.mousePressed(me);<newline46mondego>}<newline46mondego>"
"25splitHere46","6844012splitHere46","System.out.println(first.data);<newline46mondego>System.out.println(first.link.data);<newline46mondego>System.out.println(first.link.link.data);<newline46mondego>"
"26splitHere46","6844031splitHere46","set CATALINA_OPTS=-Xms512m -Xmx512m -XX:MaxPermSize=256m<newline46mondego>"
"27splitHere46","6844031splitHere46","export CATALINA_OPTS=<doubleQuotes46>-Xms512m -Xmx512m -XX:MaxPermSize=256m<doubleQuotes46><newline46mondego>"
"28splitHere46","6844090splitHere46","System#getProperty()"
"29splitHere46","6844090splitHere46","String configLocation = System.getProperty(<doubleQuotes46>config.location<doubleQuotes46>);<newline46mondego>File configFile = new File(configLocation, <doubleQuotes46>config.properties<doubleQuotes46>);<newline46mondego>// ...<newline46mondego>"
"30splitHere46","6844094splitHere46","Months.monthsBetween(<newline46mondego>     date1.withDateOfMonth(0),<newline46mondego>     date2.withDateOfMonth(0)).getMonths()<newline46mondego>"
"31splitHere46","6844126splitHere46","b + 256"
"32splitHere46","6844126splitHere46","b & 255"
"33splitHere46","6844126splitHere46","byte"
"34splitHere46","6844126splitHere46","& 255"
"35splitHere46","6844143splitHere46","${}"
"36splitHere46","6844143splitHere46","User"
"37splitHere46","6844143splitHere46","<doubleQuotes46>user<doubleQuotes46>"
"38splitHere46","6844143splitHere46","request.getSession().setAttribute(<doubleQuotes46>user<doubleQuotes46>, user);<newline46mondego>"
"39splitHere46","6844143splitHere46","${user}<newline46mondego>"
"40splitHere46","6844143splitHere46","name"
"41splitHere46","6844143splitHere46","<p>Welcome, <c:out value=<doubleQuotes46>${user.name}<doubleQuotes46> /></p><newline46mondego>"
"42splitHere46","6844370splitHere46","Double"
"43splitHere46","6844370splitHere46","setName(String)"
"44splitHere46","6844370splitHere46","String"
"45splitHere46","6844370splitHere46","Map<Integer, Double[]> dataMap = new HashMap<Integer, Double[]>();<newline46mondego>dataMap.put(1, new Double[]{100,100});<newline46mondego>// Other stuff...<newline46mondego><newline46mondego>// Replace value in map with a reference to a different array.<newline46mondego>Double[] dob = new Double[] { 100, 200 };<newline46mondego>dataMap.put(1, dob);<newline46mondego>"
"46splitHere46","6844392splitHere46","bg = DefaultLookup.getColor(this, ui, <doubleQuotes46>List.dropCellBackground<doubleQuotes46>);<newline46mondego>    fg = DefaultLookup.getColor(this, ui, <doubleQuotes46>List.dropCellForeground<doubleQuotes46>);<newline46mondego><newline46mondego>if (isSelected) {<newline46mondego>    setBackground(bg == null ? list.getSelectionBackground() : bg);<newline46mondego>    setForeground(fg == null ? list.getSelectionForeground() : fg);<newline46mondego>}<newline46mondego>else {<newline46mondego>    setBackground(list.getBackground());<newline46mondego>    setForeground(list.getForeground());<newline46mondego>}<newline46mondego>"
"47splitHere46","6844428splitHere46","SimpleDateFormat"
"48splitHere46","6844428splitHere46",":"
"49splitHere46","6844428splitHere46",":"
"50splitHere46","6844428splitHere46","SimpleDateFormat sdf = new SimpleDateFormat(<doubleQuotes46>yyyy-MM-dd hh:ss:mmZ<doubleQuotes46>);<newline46mondego>String dateStr = <doubleQuotes46>2011-07-26 17:21:00+0100<doubleQuotes46>;<newline46mondego>System.out.println(sdf.parse(dateStr));<newline46mondego>"
"51splitHere46","6844779splitHere46","<project xmlns=<doubleQuotes46>http://maven.apache.org/POM/4.0.0<doubleQuotes46> xmlns:xsi=<doubleQuotes46>http://www.w3.org/2001/XMLSchema-instance<doubleQuotes46><newline46mondego>    xsi:schemaLocation=<doubleQuotes46>http://maven.apache.org/POM/4.0.0 http://maven.apache.org/maven-v4_0_0.xsd<doubleQuotes46>><newline46mondego><newline46mondego>    <modelVersion>4.0.0</modelVersion><newline46mondego>    <groupId>com.kowsercse</groupId><newline46mondego>    <artifactId>hello-aop</artifactId><newline46mondego>    <version>0.0.1-SNAPSHOT</version><newline46mondego><newline46mondego>    <properties><newline46mondego>        <java-version>1.6</java-version><newline46mondego>        <org.aspectj-version>1.6.9</org.aspectj-version><newline46mondego>    </properties><newline46mondego><newline46mondego>    <dependencies><newline46mondego>        <!-- AspectJ --><newline46mondego>        <dependency><newline46mondego>            <groupId>org.aspectj</groupId><newline46mondego>            <artifactId>aspectjrt</artifactId><newline46mondego>            <version>${org.aspectj-version}</version><newline46mondego>        </dependency><newline46mondego>        <!-- Test --><newline46mondego>        <dependency><newline46mondego>            <groupId>junit</groupId><newline46mondego>            <artifactId>junit</artifactId><newline46mondego>            <version>4.7</version><newline46mondego>            <scope>test</scope><newline46mondego>        </dependency><newline46mondego>    </dependencies><newline46mondego><newline46mondego>    <build><newline46mondego>        <plugins><newline46mondego>            <plugin><newline46mondego>                <groupId>org.apache.maven.plugins</groupId><newline46mondego>                <artifactId>maven-compiler-plugin</artifactId><newline46mondego>                <configuration><newline46mondego>                    <source>${java-version}</source><newline46mondego>                    <target>${java-version}</target><newline46mondego>                </configuration><newline46mondego>            </plugin><newline46mondego>            <plugin><newline46mondego>                <groupId>org.apache.maven.plugins</groupId><newline46mondego>                <artifactId>maven-dependency-plugin</artifactId><newline46mondego>                <executions><newline46mondego>                    <execution><newline46mondego>                        <id>install</id><newline46mondego>                        <phase>install</phase><newline46mondego>                        <goals><newline46mondego>                            <goal>sources</goal><newline46mondego>                        </goals><newline46mondego>                    </execution><newline46mondego>                </executions><newline46mondego>            </plugin><newline46mondego>            <plugin><newline46mondego>                <groupId>org.codehaus.mojo</groupId><newline46mondego>                <artifactId>aspectj-maven-plugin</artifactId><newline46mondego>                <!--<newline46mondego>                    Have to use version 1.2 since version 1.3 does not appear to work<newline46mondego>                    with ITDs<newline46mondego>                --><newline46mondego>                <version>1.2</version><newline46mondego>                <dependencies><newline46mondego>                    <!--<newline46mondego>                        You must use Maven 2.0.9 or above or these are ignored (see<newline46mondego>                        MNG-2972)<newline46mondego>                    --><newline46mondego>                    <dependency><newline46mondego>                        <groupId>org.aspectj</groupId><newline46mondego>                        <artifactId>aspectjrt</artifactId><newline46mondego>                        <version>${org.aspectj-version}</version><newline46mondego>                    </dependency><newline46mondego>                    <dependency><newline46mondego>                        <groupId>org.aspectj</groupId><newline46mondego>                        <artifactId>aspectjtools</artifactId><newline46mondego>                        <version>${org.aspectj-version}</version><newline46mondego>                    </dependency><newline46mondego>                </dependencies><newline46mondego>                <executions><newline46mondego>                    <execution><newline46mondego>                        <goals><newline46mondego>                            <goal>compile</goal><newline46mondego>                            <goal>test-compile</goal><newline46mondego>                        </goals><newline46mondego>                    </execution><newline46mondego>                </executions><newline46mondego>                <configuration><newline46mondego>                    <outxml>true</outxml><newline46mondego>                    <source>${java-version}</source><newline46mondego>                    <target>${java-version}</target><newline46mondego>                </configuration><newline46mondego>            </plugin><newline46mondego>        </plugins><newline46mondego>    </build><newline46mondego></project><newline46mondego>"
"52splitHere46","6844895splitHere46","-Dsun.java2d.opengl=True"
"53splitHere46","6845009splitHere46","validate()"
"54splitHere46","6845009splitHere46","frame"
"55splitHere46","6845009splitHere46","SwingUtilities.invokeLater(new Runnable() {<newline46mondego>    public void run() {<newline46mondego>        frame.remove(l);<newline46mondego>        frame.validate();<newline46mondego>        frame.repaint();<newline46mondego>    }<newline46mondego>});<newline46mondego>"
"56splitHere46","6845172splitHere46","project"
"57splitHere46","6845172splitHere46","c:forEach"
"58splitHere46","6845172splitHere46","ui:repeat"
"59splitHere46","6845177splitHere46","JFrame"
"60splitHere46","6845177splitHere46","setExtendedState()"
"61splitHere46","6845177splitHere46","jFrame = new JFrame(<doubleQuotes46>TESTER<doubleQuotes46>);<newline46mondego>jFrame.setExtendedState(JFrame.MAXIMIZED_BOTH);<newline46mondego>"
"62splitHere46","6845448splitHere46","public class CustomSessionStore extends SecondLevelCacheSessionStore {<newline46mondego><newline46mondego>    @Override<newline46mondego>    public void setAttribute(Request request, String name, Object value) {<newline46mondego>        super.setAttribute(request, name, value);<newline46mondego><newline46mondego>        if (Session.get().getSizeInBytes() > SESSION_WARN_LIMIT) {<newline46mondego>            log.warn(<doubleQuotes46>Session Size is {} bytes<doubleQuotes46>, Session.get().getSizeInBytes());<newline46mondego>        }<newline46mondego>    }<newline46mondego> }<newline46mondego>"
"63splitHere46","6845448splitHere46","public class MyPage extends WebPage {<newline46mondego><newline46mondego>    IModel<HeavyDataObject> heavyModel;<newline46mondego><newline46mondego>    @Override<newline46mondego>    public void onDetach() {<newline46mondego>        if (heavyModel != null)<newline46mondego>            heavyModel.detach();<newline46mondego>    }<newline46mondego><newline46mondego>}<newline46mondego>"
"64splitHere46","6845448splitHere46","org.apache.wicket wicket-devutils"
"65splitHere46","6845520splitHere46","find"
"66splitHere46","6845520splitHere46","keyCode"
"67splitHere46","6845520splitHere46","if(!MyCodesSet.Contains(keyCode)){<newline46mondego>}<newline46mondego>"
"68splitHere46","6845535splitHere46","public static void main(String[] args) {<newline46mondego>    String s = <doubleQuotes46>Color Red, Size 32 / Text text<doubleQuotes46>;<newline46mondego>    Matcher matcher = Pattern.compile(<doubleQuotes46>\\d+<doubleQuotes46>).matcher(s);<newline46mondego>    if (matcher.find()) {<newline46mondego>      String find = matcher.group();<newline46mondego>      Integer i = Integer.parseInt(find);<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"69splitHere46","6845599splitHere46","test.run_service(context);<newline46mondego>"
"70splitHere46","6845599splitHere46","void run_service(Context context){<newline46mondego>     SharedPreferences settings = context.getSharedPreferences(PREFS_NAME, 0);<newline46mondego>}<newline46mondego>"
"71splitHere46","6845707splitHere46","java.beans.Introspector"
"72splitHere46","6845707splitHere46","Method getter = new PropertyDescriptor(propertyName, beanClass).getReadMethod();<newline46mondego>"
"73splitHere46","6845707splitHere46","java.beans.PropertyDescriptor"
"74splitHere46","6845707splitHere46","java.lang.reflect.Method"
"75splitHere46","6845719splitHere46","getPreferredSize"
"76splitHere46","6845719splitHere46","JLabel"
"77splitHere46","6845719splitHere46","textLength"
"78splitHere46","6845719splitHere46","JLabel"
"79splitHere46","6845719splitHere46","SwingUtilities.computeStringWidth(FontMetrics fm, String str)<newline46mondego>"
"80splitHere46","6845719splitHere46","setPreferredSize"
"81splitHere46","6845719splitHere46","JLabel"
"82splitHere46","6845719splitHere46","Integer"
"83splitHere46","6845719splitHere46","SwingUtilities.computeStringWidth"
"84splitHere46","6845719splitHere46","pack();"
"85splitHere46","6845719splitHere46","JDialog"
"86splitHere46","6846000splitHere46","counter"
"87splitHere46","6846000splitHere46","int"
"88splitHere46","6846000splitHere46","List<Integer> numberStars = new ArrayList<Integer>();<newline46mondego>int counter = 0;<newline46mondego>while (file.hasNext()) {<newline46mondego>    String contents = file.next();<newline46mondego>    if (contents.contains(<doubleQuotes46>*<doubleQuotes46>)) {<newline46mondego>        numbStars.add(counter);<newline46mondego>        continue;<newline46mondego>    }<newline46mondego>    counter++;<newline46mondego>}<newline46mondego>numberStars.remove(numberStars.size() - 1); // remove last value<newline46mondego>// all the values are now available in the numberStars list<newline46mondego>"
"89splitHere46","6846108splitHere46","#{score.selectVenue}"
"90splitHere46","6846108splitHere46","#{searchManager.results}"
"91splitHere46","6846108splitHere46","#{searchManager}"
"92splitHere46","6846108splitHere46","results"
"93splitHere46","6846108splitHere46","null"
"94splitHere46","6846108splitHere46","void"
"95splitHere46","6846108splitHere46","@ManagedBean<newline46mondego>@ViewScoped<newline46mondego>public class SearchManager {<newline46mondego>    // ...<newline46mondego>}<newline46mondego>"
"96splitHere46","6846225splitHere46","getParameterMap()"
"97splitHere46","6846225splitHere46","Map<String, String[]>"
"98splitHere46","6846225splitHere46","Map<String, String>"
"99splitHere46","6846225splitHere46","HashMap<String, String> requestMap  = flatten(map);<newline46mondego><newline46mondego>...<newline46mondego><newline46mondego><newline46mondego>public static Map<String, String> flatten(Map<String, String[]> arrayMap){<newline46mondego>  Map<String, String> r = new HashMap<String, String>();<newline46mondego>  for (Map.Entry<String, String[]> entry: arrayMap.entrySet()){<newline46mondego>    String[] value = entry.getValue();<newline46mondego>    if (value !=null && value .length>0) r.put(entry.getKey(), value[0]);<newline46mondego>  }<newline46mondego>  return r;<newline46mondego>}<newline46mondego>"
"100splitHere46","6846315splitHere46","javac"
"101splitHere46","6846315splitHere46","selenium-java-x.y.z-srcs.jar"
"102splitHere46","6846315splitHere46","/loadtest/lib/selenium"
"103splitHere46","6846315splitHere46","-sourcepath"
"104splitHere46","6846315splitHere46","javac"
"105splitHere46","6846315splitHere46","javac"
"106splitHere46","6846517splitHere46","-Dgwt.jjs.traceMethods=Hello.onModuleLoad:OtherClass.otherMethod<newline46mondego>"
"107splitHere46","6846517splitHere46","JProgram"
"108splitHere46","6846699splitHere46","Object.wait()"
"109splitHere46","6846699splitHere46","StringTesting st = new StringTesting();<newline46mondego>synchronized (st) {<newline46mondego>    st.wait(5000);<newline46mondego>}<newline46mondego>"
"110splitHere46","6846975splitHere46","DriverManager#getConnection()"
"111splitHere46","6846975splitHere46","Driver#acceptsURL()"
"112splitHere46","6846975splitHere46","false"
"113splitHere46","6846975splitHere46","jdbc:mysql://[host][,failoverhost...][:port]/[database] »<newline46mondego>[?propertyName1][=propertyValue1][&propertyName2][=propertyValue2]...<newline46mondego>"
"114splitHere46","6846975splitHere46","jdbc:mysql://[host:port],[host:port].../[database] »<newline46mondego>[?propertyName1][=propertyValue1][&propertyName2][=propertyValue2]...<newline46mondego>"
"115splitHere46","6846977splitHere46","<int:router input-channel=<doubleQuotes46>channel_in<doubleQuotes46> default-output-channel=<doubleQuotes46>channel_default<doubleQuotes46> <newline46mondego>  expression=<doubleQuotes46>payload.name<doubleQuotes46> ignore-channel-name-resolution-failures=<doubleQuotes46>true<doubleQuotes46>><newline46mondego>    <int:mapping value=<doubleQuotes46>foo<doubleQuotes46> channel=<doubleQuotes46>channel_one<doubleQuotes46> /><newline46mondego>    <int:mapping value=<doubleQuotes46>bar<doubleQuotes46> channel=<doubleQuotes46>channel_two<doubleQuotes46> /><newline46mondego></int:router><newline46mondego>"
"116splitHere46","6847106splitHere46","{project_root}/src/main/resources/META-INF/persistence.xml"
"117splitHere46","6847106splitHere46","<!-- value=<doubleQuotes46>create<doubleQuotes46> to build a new database on each run; value=<doubleQuotes46>update<doubleQuotes46> <newline46mondego>            to modify an existing database; value=<doubleQuotes46>create-drop<doubleQuotes46> means the same as <doubleQuotes46>create<doubleQuotes46> <newline46mondego>            but also drops tables when Hibernate closes; value=<doubleQuotes46>validate<doubleQuotes46> makes no changes <newline46mondego>            to the database --><newline46mondego>        <property name=<doubleQuotes46>hibernate.hbm2ddl.auto<doubleQuotes46> value=<doubleQuotes46>update<doubleQuotes46> /><newline46mondego>"
"118splitHere46","6847106splitHere46","validate"
"119splitHere46","6847120splitHere46","<init-param><newline46mondego>  <param-name>useFileMappedBuffer</param-name><newline46mondego>  <param-value>true</param-value> <!-- change to false --><newline46mondego></init-param><newline46mondego>"
"120splitHere46","6847219splitHere46","ClientConfig cc = new DefaultClientConfig();<newline46mondego>cc.getClasses().add(PlanetJAXBContextProvider.class);<newline46mondego>Client c = Client.create(cc);<newline46mondego>"
"121splitHere46","6847357splitHere46","(?:"
"122splitHere46","6847435splitHere46","<dependency><newline46mondego>   <groupId>org.apache.tomcat</groupId><newline46mondego>   <artifactId>tomcat-api</artifactId><newline46mondego>   <version>7.0.19</version><newline46mondego></dependency><newline46mondego>"
"123splitHere46","6847564splitHere46","result.getString(<doubleQuotes46>pass<doubleQuotes46>).trim().equals(pass.trim()) <newline46mondego>"
"124splitHere46","6847564splitHere46","while(results.next())"
"125splitHere46","6847564splitHere46","if(results.next())"
"126splitHere46","6847594splitHere46","parseFormula()"
"127splitHere46","6847594splitHere46","parseFormula()"
"128splitHere46","6847594splitHere46","throws ParenthesisException"
"129splitHere46","6847659splitHere46","StackOverFlowError"
"130splitHere46","6847659splitHere46","toString()"
"131splitHere46","6847659splitHere46","toString()"
"132splitHere46","6847659splitHere46","StringBuilder.append(...)"
"133splitHere46","6847659splitHere46","toString"
"134splitHere46","6847659splitHere46","toString()"
"135splitHere46","6847659splitHere46","hashCode"
"136splitHere46","6847659splitHere46","equals"
"137splitHere46","6847659splitHere46","toString()"
"138splitHere46","6847835splitHere46","Integer"
"139splitHere46","6847835splitHere46","i1"
"140splitHere46","6847835splitHere46","i2"
"141splitHere46","6847835splitHere46","Long"
"142splitHere46","6847835splitHere46","Short"
"143splitHere46","6847835splitHere46","Byte"
"144splitHere46","6847904splitHere46","s"
"145splitHere46","6847904splitHere46","getConstraint"
"146splitHere46","6847904splitHere46","getConstraint"
"147splitHere46","6847904splitHere46","String s = getConstraint();<newline46mondego> someGuiLabel.setText(s);<newline46mondego>"
"148splitHere46","6847904splitHere46","myCallback = new AsyncCallback<String>() {<newline46mondego>     public void onSuccess(String result) {<newline46mondego>         someGuiLabel.setText(result);<newline46mondego>     }<newline46mondego> }<newline46mondego> fetchConstraintAsynchronously(myCallback);<newline46mondego>"
"149splitHere46","6847904splitHere46","Future<V>"
"150splitHere46","6848396splitHere46","perform eclipse<newline46mondego>"
"151splitHere46","6848431splitHere46","chooser.setFileHidingEnabled(false);<newline46mondego>"
"152splitHere46","6848493splitHere46","Iterator<Integer> it = ht.keySet().iterator();<newline46mondego>while(it.hasNext()) {<newline46mondego>    i = it.next();<newline46mondego>    System.out.println(i + <doubleQuotes46> : <doubleQuotes46> + ht.get(i));<newline46mondego>}<newline46mondego>"
"153splitHere46","6848493splitHere46","for (Map.Entry<Integer, Object> entry : ht.entrySet()) {<newline46mondego>    System.out.println(entry.getKey() + <doubleQuotes46> : <doubleQuotes46> + entry.getValue());<newline46mondego>}<newline46mondego>"
"154splitHere46","6848493splitHere46","less code == good"
"155splitHere46","6848516splitHere46","<html xmlns=<doubleQuotes46>http://www.w3.org/1999/xhtml<doubleQuotes46>    <newline46mondego>    xmlns:h=<doubleQuotes46>http://java.sun.com/jsf/html<doubleQuotes46><newline46mondego>    xmlns:ui=<doubleQuotes46>http://java.sun.com/jsf/facelets<doubleQuotes46>><newline46mondego>    <h:head><newline46mondego>        <title>Example</title><newline46mondego>        <ui:include src=<doubleQuotes46>/resources/component/head.xhtml<doubleQuotes46>/><newline46mondego>    </h:head><newline46mondego>    <h:body><newline46mondego>        <ui:insert name=<doubleQuotes46>content<doubleQuotes46>/>    <newline46mondego>        <ui:include src=<doubleQuotes46>/resources/component/footer.xhtml<doubleQuotes46>/><newline46mondego>    </h:body><newline46mondego></html><newline46mondego>"
"156splitHere46","6848516splitHere46","template clients"
"157splitHere46","6848516splitHere46","<?xml version=<doubleQuotes46>1.0<doubleQuotes46> encoding=<doubleQuotes46>UTF-8<doubleQuotes46>?> <newline46mondego><newline46mondego><ui:composition<newline46mondego>    xmlns:ui=<doubleQuotes46>http://java.sun.com/jsf/facelets<doubleQuotes46>     <newline46mondego>    template=<doubleQuotes46>/templates/master.xhtml<doubleQuotes46>><newline46mondego><newline46mondego>    <ui:define name=<doubleQuotes46>content<doubleQuotes46>><newline46mondego>        Some content for this page.<newline46mondego>    </ui:define><newline46mondego></ui:composition><newline46mondego>"
"158splitHere46","6848516splitHere46","content"
"159splitHere46","6848516splitHere46","Components"
"160splitHere46","6848516splitHere46","composite-components"
"161splitHere46","6848516splitHere46","<?xml version=<doubleQuotes46>1.0<doubleQuotes46> encoding=<doubleQuotes46>UTF-8<doubleQuotes46>?> <newline46mondego><newline46mondego><ui:composition<newline46mondego>    xmlns:ui=<doubleQuotes46>http://java.sun.com/jsf/facelets<doubleQuotes46><newline46mondego>    xmlns:h=<doubleQuotes46>http://java.sun.com/jsf/html<doubleQuotes46><newline46mondego>    xmlns:cc=<doubleQuotes46>http://java.sun.com/jsf/composite<doubleQuotes46><newline46mondego>><newline46mondego>    <cc:interface/><newline46mondego><newline46mondego>    <cc:implementation>    <newline46mondego>        <p><newline46mondego>            <h:outputText value=<doubleQuotes46>&amp; <doubleQuotes46> escape=<doubleQuotes46>false<doubleQuotes46>/><newline46mondego>        </p>        <newline46mondego>    </cc:implementation><newline46mondego><newline46mondego></ui:composition><newline46mondego>"
"162splitHere46","6848516splitHere46","[web content]/resources/foo/emptyLine.xhtml"
"163splitHere46","6848516splitHere46","<foo:emptyLine/>"
"164splitHere46","6848516splitHere46","<?xml version=<doubleQuotes46>1.0<doubleQuotes46> encoding=<doubleQuotes46>UTF-8<doubleQuotes46>?> <newline46mondego><newline46mondego><ui:composition<newline46mondego>    xmlns:ui=<doubleQuotes46>http://java.sun.com/jsf/facelets<doubleQuotes46><newline46mondego>    xmlns:m4n=<doubleQuotes46>http://java.sun.com/jsf/composite/foo<doubleQuotes46><newline46mondego>    template=<doubleQuotes46>/templates/master.xhtml<doubleQuotes46>><newline46mondego><newline46mondego>    <ui:define name=<doubleQuotes46>content<doubleQuotes46>><newline46mondego>        Some content for this page.<newline46mondego>        <foo:emptyLine/><newline46mondego>    </ui:define><newline46mondego></ui:composition><newline46mondego>"
"165splitHere46","6848516splitHere46","includes"
"166splitHere46","6848516splitHere46","composite components"
"167splitHere46","6848516splitHere46","facelets tags"
"168splitHere46","6848516splitHere46","composite components"
"169splitHere46","6848516splitHere46","facelets tags"
"170splitHere46","6848516splitHere46","composite components"
"171splitHere46","6848599splitHere46","public boolean onKeyDown(int keyCode, KeyEvent event) {<newline46mondego>    if (event.getKeyCode() == KeyEvent.KEYCODE_POWER) {<newline46mondego>        // do what you want with the power button<newline46mondego>        return true;<newline46mondego>    }<newline46mondego>    return super.onKeyDown(keyCode, event);<newline46mondego>}<newline46mondego>"
"172splitHere46","6848724splitHere46","com\sun\org\apache\xerces\internal\impl\msg\XMLSchemaMessages<locale>.properties <newline46mondego>"
"173splitHere46","6848935splitHere46","import javax.mail.*;<newline46mondego>  import javax.mail.internet.*;<newline46mondego><newline46mondego>  import java.util.Properties;<newline46mondego><newline46mondego>  public class Email {<newline46mondego><newline46mondego>     public static void sendMessage(String emailaddress, String subject, String body) {<newline46mondego>        try {<newline46mondego>           Properties props = new Properties();<newline46mondego>           props.setProperty(<doubleQuotes46>mail.transport.protocol<doubleQuotes46>, <doubleQuotes46>smtp<doubleQuotes46>);<newline46mondego>           props.setProperty(<doubleQuotes46>mail.host<doubleQuotes46>, <doubleQuotes46>myhost<doubleQuotes46>);<newline46mondego><newline46mondego>           Session mailSession = Session.getDefaultInstance(props, null);<newline46mondego>           Transport transport = mailSession.getTransport();<newline46mondego><newline46mondego>           MimeMessage message = new MimeMessage(mailSession);<newline46mondego>           message.setSubject(<doubleQuotes46>Testing javamail plain<doubleQuotes46>);<newline46mondego>           message.setContent(<doubleQuotes46>This is a test<doubleQuotes46>, <doubleQuotes46>text/plain<doubleQuotes46>);<newline46mondego>           message.addRecipient(Message.RecipientType.TO, new InternetAddress(<doubleQuotes46>test@example.com<doubleQuotes46>));<newline46mondego><newline46mondego>           transport.connect();<newline46mondego>           transport.sendMessage(message,<newline46mondego>                   message.getRecipients(Message.RecipientType.TO));<newline46mondego>           transport.close();<newline46mondego>        } catch (Exception ex) {<newline46mondego>           ex.printStackTrace();<newline46mondego>        }<newline46mondego>     }<newline46mondego>  }<newline46mondego>"
"174splitHere46","6848944splitHere46","java.sql.Date"
"175splitHere46","6848944splitHere46","java.util.Date"
"176splitHere46","6848944splitHere46","java.sql.Date"
"177splitHere46","6848944splitHere46","DATE"
"178splitHere46","6849080splitHere46","SurfaceView"
"179splitHere46","6849080splitHere46","toClear = true"
"180splitHere46","6849080splitHere46","toClear = 2"
"181splitHere46","6849080splitHere46","if(toClear > 0) { <newline46mondego>   'drawColor'<newline46mondego>   toClear--; <newline46mondego>}<newline46mondego>"
"182splitHere46","6849280splitHere46","g.setColor(Color.red);<newline46mondego>  g.fillRect(valueX, valueY, barWidth - 80, height);<newline46mondego>  g.setColor(Color.black);<newline46mondego>  g.drawRect(valueX, valueY, barWidth - 80, height);<newline46mondego>"
"183splitHere46","6849280splitHere46","g.setColor(Color.red);<newline46mondego>  g.fillRect(valueX, valueY - 20, barWidth - 80, height);<newline46mondego>  g.setColor(Color.black);<newline46mondego>  g.drawRect(valueX, valueY - 20, barWidth - 80, height);<newline46mondego>"
