"1splitHere46","1025915splitHere46","public class HashTable<K, V><newline46mondego>{<newline46mondego>    private LinkedList<V>[] m_storage;<newline46mondego><newline46mondego>    public HashTable(int initialSize)<newline46mondego>    {<newline46mondego>        m_storage = (LinkedList<V>[]) new LinkedList[initialSize];<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"134splitHere46","1033913splitHere46","private void initSaveOrUpdateEventListenerHook(Configuration config) {<newline46mondego>    List<SaveOrUpdateEventListener> l = new ArrayList<SaveOrUpdateEventListener>();<newline46mondego>    SaveOrUpdateEventListener[] listeners =<newline46mondego>            config.getEventListeners().getSaveOrUpdateEventListeners();<newline46mondego>    l.add(new SaveOrUpdateEventListenerHook());<newline46mondego>    l.addAll(Arrays.asList(listeners));<newline46mondego>    SaveOrUpdateEventListener[] newListeners = l.toArray(new SaveOrUpdateEventListener[l.size()]);<newline46mondego>    config.getEventListeners().setSaveOrUpdateEventListeners(newListeners);<newline46mondego>}<newline46mondego>"
"135splitHere46","1033917splitHere46","BasicInteralFrameUI.BorderListener.mouseDragged(event)"
"136splitHere46","1033917splitHere46","getDesktopManager().dragFrame(frame, newX, newY);"
"137splitHere46","1033917splitHere46","BasicInternalFrameUI"
"138splitHere46","1033917splitHere46","DesktopManager"
"139splitHere46","1033917splitHere46","DefaultDesktopManager"
"140splitHere46","1033917splitHere46","dragFrame()"
"141splitHere46","1033917splitHere46","DesktopManager"
"142splitHere46","1033917splitHere46","JDesktopPane"
"143splitHere46","1033917splitHere46","public Demo() {<newline46mondego>        JFrame frame = new JFrame();<newline46mondego>        frame.setSize(300,300);<newline46mondego>        JDesktopPane df = new JDesktopPane();<newline46mondego>        DesktopManager dm = df.getDesktopManager();<newline46mondego>        df.setDesktopManager(new DefaultDesktopManager(){<newline46mondego>        	   public void dragFrame(JComponent f, int newX, int newY) {<newline46mondego>        	      super.dragFrame(f, newX, 5);<newline46mondego>        	   }<newline46mondego><newline46mondego>        });<newline46mondego>        JInternalFrame jif = new JInternalFrame(<doubleQuotes46>test <doubleQuotes46>);<newline46mondego>        jif.setLocation(5, 5);<newline46mondego>        jif.setSize(150,100);<newline46mondego>        jif.setVisible(true);<newline46mondego>        df.add(jif);<newline46mondego>        frame.setContentPane(df);<newline46mondego>        frame.setVisible(true);<newline46mondego>}<newline46mondego>"
"144splitHere46","1033951splitHere46","private static String getString( byte[] bytes ) <newline46mondego>{<newline46mondego>  StringBuffer sb = new StringBuffer();<newline46mondego>  for( int i=0; i<bytes.length; i++ )     <newline46mondego>  {<newline46mondego>     byte b = bytes[ i ];<newline46mondego>     String hex = Integer.toHexString((int) 0x00FF & b);<newline46mondego>     if (hex.length() == 1) <newline46mondego>     {<newline46mondego>        sb.append(<doubleQuotes46>0<doubleQuotes46>);<newline46mondego>     }<newline46mondego>     sb.append( hex );<newline46mondego>  }<newline46mondego>  return sb.toString();<newline46mondego>}<newline46mondego>"
"145splitHere46","1034010splitHere46","import org.xml.sax.*;<newline46mondego>import org.xml.sax.helpers.*;<newline46mondego>import javax.xml.parsers.*;<newline46mondego><newline46mondego>....<newline46mondego><newline46mondego>InputStream in = connection.getInputStream();<newline46mondego><newline46mondego>InputSource responseXML = new InputSource(in);<newline46mondego>final StringBuilder response = new StringBuilder();<newline46mondego>DefaultHandler myHandler = new DefaultHandler() {<newline46mondego><newline46mondego>	public void startElement(String uri, String localName, String qName, <newline46mondego>			Attributes attributes) throws SAXException {<newline46mondego>		if (localName.equals(<doubleQuotes46>elementname<doubleQuotes46>)) {<newline46mondego>			response.append(attributes.getValue(<doubleQuotes46>attributename<doubleQuotes46>));<newline46mondego>			inElement = true;<newline46mondego>		}<newline46mondego>	}<newline46mondego>	public void characters(char [] buf, int offset, int len) {<newline46mondego>		if (inElement) {<newline46mondego>			inElement = false;<newline46mondego>			String s = new String(buf, offset, len);<newline46mondego>			response.append(s);<newline46mondego>			response.append(<doubleQuotes46>\n<doubleQuotes46>);<newline46mondego>		}<newline46mondego>	}<newline46mondego>};<newline46mondego><newline46mondego>SAXParserFactory factory = SAXParserFactory.newInstance();<newline46mondego>try {<newline46mondego>	SAXParser parser = factory.newSAXParser();<newline46mondego>	parser.parse(responseXML, myHandler);<newline46mondego>} catch (ParserConfigurationException e) {<newline46mondego>	// TODO Auto-generated catch block<newline46mondego>	e.printStackTrace();<newline46mondego>} catch (SAXException e) {<newline46mondego>	// TODO Auto-generated catch block<newline46mondego>	e.printStackTrace();<newline46mondego>}<newline46mondego><newline46mondego>in.close();<newline46mondego>connection.disconnect();<newline46mondego><newline46mondego>....<newline46mondego>"
"146splitHere46","1034099splitHere46","doSomethingWithAll(root.getChildNodes());<newline46mondego><newline46mondego>void doSomethingWithAll(NodeList nodeList)<newline46mondego>{<newline46mondego>    for (int i = 0; i < nodeList.getLength(); i++) {<newline46mondego>        Node childNode = nodeList.item(i);<newline46mondego>        if (childNode.getNodeName().equals(<doubleQuotes46>person<doubleQuotes46>)) {<newline46mondego>            //do something with it<newline46mondego>        }<newline46mondego><newline46mondego>        NodeList children = childNode.getChildNodes();<newline46mondego>        if (children != null)<newline46mondego>        {<newline46mondego>            doSomethingWithAll(children);<newline46mondego>        }<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"147splitHere46","1034300splitHere46","public static <T> T as(Class<T> t, Object o) {<newline46mondego>  return t.isInstance(o) ? t.cast(o) : null;<newline46mondego>}<newline46mondego>"
"148splitHere46","1034300splitHere46","MyType a = as(MyType.class, new MyType());   <newline46mondego>// 'a' is not null<newline46mondego><newline46mondego>MyType b = as(MyType.class, <doubleQuotes46><doubleQuotes46>);   <newline46mondego>// b is null<newline46mondego>"
"149splitHere46","1034501splitHere46","Iterable<Boolean>"
"150splitHere46","1034501splitHere46","Iterator<Boolean>"
"151splitHere46","1034501splitHere46","private static Boolean isBitSet(byte b, int bit)<newline46mondego>{<newline46mondego>    return (b & (1 << bit)) != 0;<newline46mondego>}<newline46mondego>"
"152splitHere46","1034501splitHere46","bit"
"153splitHere46","1034501splitHere46","next()"
"154splitHere46","1034618splitHere46","class PrependPrintStream extends PrintStream {<newline46mondego><newline46mondego>PrependPrintStream(PrintStream ps, String pre){...}<newline46mondego>...<newline46mondego>public void print(boolean b) {<newline46mondego>super.print(this.pre);<newline46mondego>super.print(b);<newline46mondego>}<newline46mondego>...<newline46mondego>"
"155splitHere46","1034666splitHere46",">>>"
"156splitHere46","1034666splitHere46",">>"
"157splitHere46","1034687splitHere46","<doc>This is a an <b>example text I made up</b> on the spot! Nutty.</doc><newline46mondego>"
"158splitHere46","1034687splitHere46","<b>"
"159splitHere46","1034687splitHere46","text"
"160splitHere46","1034687splitHere46","<b>"
"161splitHere46","1034687splitHere46","a"
"162splitHere46","1034687splitHere46","an"
"163splitHere46","1034687splitHere46","<doc>"
"164splitHere46","1034687splitHere46","example"
"165splitHere46","1034687splitHere46","<b>"
"166splitHere46","1034687splitHere46","<doc>"
"167splitHere46","1034687splitHere46","def search(raw, regex):<newline46mondego>    tree = parseXml(raw)<newline46mondego>    text = getText(tree)<newline46mondego>    if match(text, regex):<newline46mondego><newline46mondego><newline46mondego>def searchXML(tree, regex):<newline46mondego>    text = getFlatText(tree)<newline46mondego>    if match(text, regex): # check if this text node might match<newline46mondego>        textNodes = getTextNodes(tree)<newline46mondego>        for (tn : textNodes): # check if its contained in a single text node<newline46mondego>            if match(tn, regex):<newline46mondego>                return tn<newline46mondego>        xmlnodes = getXMLNodes(tree)<newline46mondego>        for (xn : xmlnodes): # check if any of the children contain the text<newline46mondego>            match = searchXML(xn, regex)<newline46mondego>            if match<newline46mondego>                return match<newline46mondego>        return tree # matches some combination of text/nodes at this level<newline46mondego>                    # but not at a sublevel<newline46mondego>    else:<newline46mondego>        return None # no match in this subtree<newline46mondego>"
"168splitHere46","1034828splitHere46","String.format(<doubleQuotes46>%08x<doubleQuotes46>, Float.floatToRawIntBits(f))<newline46mondego>"
"169splitHere46","1035012splitHere46","List"
"170splitHere46","1035012splitHere46","Set"
"171splitHere46","1035012splitHere46","List<E>:"
"172splitHere46","1035012splitHere46","Set<E>:"
"173splitHere46","1035058splitHere46","import java.util.*;<newline46mondego>Arrays.sort(stringarray)<newline46mondego>"
"174splitHere46","1035141splitHere46","LinkedList"
"175splitHere46","1035141splitHere46","ArrayList"
"176splitHere46","1035249splitHere46","Class<? extends Super> classObj;<newline46mondego>"
"177splitHere46","1035353splitHere46","O Accept(IObjectVisitorEx<O> visitor);<newline46mondego>"
"178splitHere46","1036098splitHere46","isReset"
"179splitHere46","1036098splitHere46","while (true) {<newline46mondego>     for (i=0; i < alg.length; i++) <newline46mondego>        if (execPanel[i].isReset()) {<newline46mondego>           alg[i].terminate();<newline46mondego>           createProgram(i);<newline46mondego>           alg[i].start();<newline46mondego>           execPanel[i].unreset();<newline46mondego>        }         <newline46mondego>  }<newline46mondego>"
"180splitHere46","1036098splitHere46","Thread.yield()"
"181splitHere46","1036098splitHere46","execPanel"
"182splitHere46","1036098splitHere46","EventListener"
"183splitHere46","1036098splitHere46","public class SkaExecutionPanel {<newline46mondego>    // Anybody who wants to be told when a panel is reset will implement<newline46mondego>    // this interface and call addListener().<newline46mondego>    public interface Listener {<newline46mondego>        void panelReset(SkaExecutionPanel panel);<newline46mondego>    }<newline46mondego><newline46mondego>    // Each panel needs to maintain an internal list of listeners.<newline46mondego>    private List<Listener> listeners = new ArrayList<Listener>();<newline46mondego><newline46mondego>    public void addListener(Listener listener) {<newline46mondego>        listeners.add(listener);<newline46mondego>    }<newline46mondego><newline46mondego>    public void removeListener(Listener listener) {<newline46mondego>        listeners.remove(listener);<newline46mondego>    }<newline46mondego><newline46mondego>    public void reset() {<newline46mondego>        /* Do your thing. */<newline46mondego><newline46mondego>        // When something happens that the listeners will care about, such as a<newline46mondego>        // call to reset() in this case, you iterate through the list and tell<newline46mondego>        // each one what's happened.<newline46mondego>        for (Listener listener: listeners) {<newline46mondego>            listener.panelReset(this);<newline46mondego>        }<newline46mondego>    }<newline46mondego>}<newline46mondego><newline46mondego>public class SkaTest {<newline46mondego>    public static void main(String args[]) {<newline46mondego>        /* Snippety snip. */<newline46mondego><newline46mondego>        for (i=0; i < alg.length; i++) {<newline46mondego>            // Here we need to tell the execPanels that we want to do something<newline46mondego>            // whenever somebody calls reset() on them. We will add a listener<newline46mondego>            // to each panel that does the terminate/createProgram/start dance.<newline46mondego>            // This way we don't have to ask the panels when they are reset; <newline46mondego>            // instead they will tell us when that happens.<newline46mondego>            execPanel[i].addListener(new SkaExecutionPanel.Listener() {<newline46mondego>                final int index = i;<newline46mondego><newline46mondego>                public void panelReset(SkaExecutionPanel panel) {<newline46mondego>                    alg[index].terminate();<newline46mondego>                    createProgram(index);<newline46mondego>                    alg[index].start();<newline46mondego>                    execPanel[index].unreset();<newline46mondego>                }<newline46mondego>            });<newline46mondego>        }<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"184splitHere46","1036421splitHere46","/*<newline46mondego>* returns false if s contains a character different from 'a' 'b' or 'c' <newline46mondego>*/<newline46mondego>public boolean isStringValid(String s){<newline46mondego>     return !Pattern.matches(<doubleQuotes46>($^|[^abc]+)<doubleQuotes46>,s);<newline46mondego>}<newline46mondego>"
"185splitHere46","1036699splitHere46","public String[] getFileNames(String criteria) {<newline46mondego>"
"186splitHere46","1036709splitHere46","Servlet"
"187splitHere46","1036709splitHere46","HttpServlet"
"188splitHere46","1036734splitHere46","BufferedReader"
"189splitHere46","1036734splitHere46","word = new String(word);<newline46mondego>"
"190splitHere46","1036763splitHere46","wait"
"191splitHere46","1036763splitHere46","notify"
"192splitHere46","1036763splitHere46","sleep"
"193splitHere46","1036763splitHere46","wait"
"194splitHere46","1036763splitHere46","notify"
"195splitHere46","1036763splitHere46","synchronized"
"196splitHere46","1036763splitHere46","sleep"
"197splitHere46","1036763splitHere46","Object mon = ...;<newline46mondego>synchronized (mon) {<newline46mondego>    mon.wait();<newline46mondego>} <newline46mondego>"
"198splitHere46","1036763splitHere46","synchronized (mon) { mon.notify(); }<newline46mondego>"
"199splitHere46","1036763splitHere46","mon"
"200splitHere46","1036763splitHere46","notifyAll"
"201splitHere46","1036763splitHere46","wait"
"202splitHere46","1036763splitHere46","synchronized"
"203splitHere46","1036763splitHere46","wait"
"204splitHere46","1036763splitHere46","Object"
"205splitHere46","1036763splitHere46","sleep"
"206splitHere46","1036763splitHere46","Thread"
"207splitHere46","1036763splitHere46","wait"
"208splitHere46","1036763splitHere46","wait"
"209splitHere46","1036763splitHere46","synchronized {<newline46mondego>    while (!condition) { mon.wait(); }<newline46mondego>}<newline46mondego>"
"210splitHere46","1036993splitHere46","conf/server.xml"
"211splitHere46","1036993splitHere46","<Executor name=<doubleQuotes46>tomcatThreadPool<doubleQuotes46> namePrefix=<doubleQuotes46>catalina-exec-<doubleQuotes46> <newline46mondego>    maxThreads=<doubleQuotes46>16<doubleQuotes46> minSpareThreads=<doubleQuotes46>1<doubleQuotes46>/><newline46mondego>"
"212splitHere46","1036993splitHere46","<Connector executor=<doubleQuotes46>tomcatThreadPool<doubleQuotes46><newline46mondego>           port=<doubleQuotes46>8080<doubleQuotes46> protocol=<doubleQuotes46>HTTP/1.1<doubleQuotes46> <newline46mondego>           connectionTimeout=<doubleQuotes46>20000<doubleQuotes46> <newline46mondego>           redirectPort=<doubleQuotes46>8443<doubleQuotes46> <newline46mondego>           /><newline46mondego>"
"213splitHere46","1036993splitHere46","<Connector port=<doubleQuotes46>8080<doubleQuotes46> protocol=<doubleQuotes46>HTTP/1.1<doubleQuotes46> <newline46mondego>           connectionTimeout=<doubleQuotes46>20000<doubleQuotes46> <newline46mondego>           redirectPort=<doubleQuotes46>8443<doubleQuotes46> <newline46mondego>           maxThreads='16'/><newline46mondego>"
