"1splitHere46","19157638splitHere46","setMaximizable(bool enabled)"
"15splitHere46","19158352splitHere46","<LinearLayout<newline46mondego>    android:layout_width=<doubleQuotes46>0dp<doubleQuotes46>             //Correction here<newline46mondego>        android:layout_weight=<doubleQuotes46>0.5<doubleQuotes46>          //Correction here<newline46mondego>    android:layout_height=<doubleQuotes46>wrap_content<doubleQuotes46><newline46mondego>        android:gravity=<doubleQuotes46>left<doubleQuotes46><newline46mondego>        android:id=<doubleQuotes46>@+id/first_language<doubleQuotes46><newline46mondego>        android:layout_marginLeft=<doubleQuotes46>10dp<doubleQuotes46>><newline46mondego><newline46mondego>        <ImageView<newline46mondego>            android:layout_width=<doubleQuotes46>wrap_content<doubleQuotes46><newline46mondego>            android:layout_height=<doubleQuotes46>wrap_content<doubleQuotes46><newline46mondego>            android:id=<doubleQuotes46>@+id/lang_source_icon<doubleQuotes46><newline46mondego>            android:src=<doubleQuotes46>@drawable/ic_flag_en<doubleQuotes46><newline46mondego>            android:contentDescription=<doubleQuotes46>@string/language_direction<doubleQuotes46><newline46mondego>            android:layout_gravity=<doubleQuotes46>center_horizontal<doubleQuotes46>/><newline46mondego><newline46mondego>        <TextView<newline46mondego>            android:layout_width=<doubleQuotes46>wrap_content<doubleQuotes46><newline46mondego>            android:layout_height=<doubleQuotes46>wrap_content<doubleQuotes46><newline46mondego>            android:textAppearance=<doubleQuotes46>?android:attr/textAppearanceMedium<doubleQuotes46><newline46mondego>            android:text=<doubleQuotes46>English<doubleQuotes46><newline46mondego>            android:id=<doubleQuotes46>@+id/lang_source_text<doubleQuotes46><newline46mondego>            android:gravity=<doubleQuotes46>center_vertical<doubleQuotes46><newline46mondego>            android:layout_marginTop=<doubleQuotes46>4dp<doubleQuotes46><newline46mondego>            android:layout_marginLeft=<doubleQuotes46>6dp<doubleQuotes46><newline46mondego>            android:layout_marginRight=<doubleQuotes46>10dp<doubleQuotes46><newline46mondego>            android:textColor=<doubleQuotes46>@color/text_source_phrase<doubleQuotes46>/><newline46mondego><newline46mondego>    </LinearLayout><newline46mondego><newline46mondego>    <ImageView<newline46mondego>        android:layout_width=<doubleQuotes46>wrap_content<doubleQuotes46><newline46mondego>        android:layout_height=<doubleQuotes46>wrap_content<doubleQuotes46><newline46mondego>        android:id=<doubleQuotes46>@+id/language_direction<doubleQuotes46><newline46mondego>        android:src=<doubleQuotes46>@drawable/ic_arrowlist<doubleQuotes46><newline46mondego>        android:contentDescription=<doubleQuotes46>@string/language_direction<doubleQuotes46><newline46mondego>        android:layout_marginTop=<doubleQuotes46>8dp<doubleQuotes46><newline46mondego>        android:layout_marginLeft=<doubleQuotes46>10dp<doubleQuotes46><newline46mondego>        android:layout_marginRight=<doubleQuotes46>10dp<doubleQuotes46>/><newline46mondego><newline46mondego>    <LinearLayout<newline46mondego>    android:layout_width=<doubleQuotes46>0dp<doubleQuotes46>                //Correction here<newline46mondego>        android:layout_weight=<doubleQuotes46>0.5<doubleQuotes46>           //Correction here<newline46mondego>    android:layout_height=<doubleQuotes46>wrap_content<doubleQuotes46><newline46mondego>        android:gravity=<doubleQuotes46>right<doubleQuotes46><newline46mondego>        android:id=<doubleQuotes46>@+id/second_language<doubleQuotes46>><newline46mondego><newline46mondego>        <ImageView<newline46mondego>            android:layout_width=<doubleQuotes46>wrap_content<doubleQuotes46><newline46mondego>            android:layout_height=<doubleQuotes46>wrap_content<doubleQuotes46><newline46mondego>            android:id=<doubleQuotes46>@+id/lang_destination_icon<doubleQuotes46><newline46mondego>            android:src=<doubleQuotes46>@drawable/ic_flag_es<doubleQuotes46><newline46mondego>            android:contentDescription=<doubleQuotes46>@string/language_direction<doubleQuotes46><newline46mondego>            android:layout_gravity=<doubleQuotes46>left<doubleQuotes46>/><newline46mondego><newline46mondego>        <TextView<newline46mondego>            android:layout_width=<doubleQuotes46>wrap_content<doubleQuotes46><newline46mondego>            android:layout_height=<doubleQuotes46>wrap_content<doubleQuotes46><newline46mondego>            android:textAppearance=<doubleQuotes46>?android:attr/textAppearanceMedium<doubleQuotes46><newline46mondego>            android:text=<doubleQuotes46>Espanol<doubleQuotes46><newline46mondego>            android:id=<doubleQuotes46>@+id/lang_destination_text<doubleQuotes46><newline46mondego>            android:gravity=<doubleQuotes46>center_vertical<doubleQuotes46><newline46mondego>            android:layout_marginTop=<doubleQuotes46>4dp<doubleQuotes46><newline46mondego>            android:layout_marginLeft=<doubleQuotes46>6dp<doubleQuotes46><newline46mondego>            android:textColor=<doubleQuotes46>@color/text_source_phrase<doubleQuotes46>/><newline46mondego>    </LinearLayout><newline46mondego>"
"16splitHere46","19158488splitHere46","Webdriver"
"17splitHere46","19158488splitHere46","WebDriver driver = new PhantomJSDriver(caps);<newline46mondego>"
"18splitHere46","19158488splitHere46","this.driver = new PhantomJSDriver(caps);<newline46mondego>"
"19splitHere46","19158570splitHere46","first= WordUtils.capitalize(first);<newline46mondego>"
"20splitHere46","19158570splitHere46","first"
"21splitHere46","19158570splitHere46","capitalize"
"22splitHere46","19158570splitHere46","String first= <doubleQuotes46>test<doubleQuotes46>;<newline46mondego>    WordUtils.capitalize(first); <newline46mondego>   //Above method returns a new String,you are not receiving that<newline46mondego><newline46mondego>    // Still first is <doubleQuotes46>test<doubleQuotes46> because String is immutable.<newline46mondego>     first= WordUtils.capitalize(first);  <newline46mondego>    //Now  first  = <doubleQuotes46>TEST<doubleQuotes46><newline46mondego>"
"23splitHere46","19158649splitHere46","{{"
"24splitHere46","19158649splitHere46","}}"
"25splitHere46","19158649splitHere46","StringBuilder output = new StringBuilder();<newline46mondego>char[] input = text.toCharArray();<newline46mondego>int braceLevel = 0;<newline46mondego>for (int i = 0; i < input.length; i++) {<newline46mondego>   final char c = input[i];<newline46mondego>   if (c == '{') {<newline46mondego>      // Check for {{<newline46mondego>      if (i < input.length - 1 && input[i+1] == '{') {<newline46mondego>         // Yep, it's a double brace - increase the level, consume<newline46mondego>         // the second character and continue with the next char<newline46mondego>         braceLevel++;<newline46mondego>         i++;<newline46mondego>         continue;<newline46mondego>      }<newline46mondego>   }<newline46mondego>   else if (c == '}' && braceLevel > 0) {<newline46mondego>      // Check for a closing brace similar to above<newline46mondego>      if (i < input.length - 1 && input[i+1] == '}') {<newline46mondego>         braceLevel--;<newline46mondego>         i++;<newline46mondego>         continue;<newline46mondego>      }<newline46mondego>   }<newline46mondego><newline46mondego>   if (braceLevel == 0) {<newline46mondego>      output.append(c);<newline46mondego>   }<newline46mondego>}<newline46mondego><newline46mondego>// Now output contains every character that was not contained within brackets<newline46mondego>"
"26splitHere46","19159211splitHere46","left"
"27splitHere46","19159211splitHere46","x"
"28splitHere46","19159211splitHere46","right"
"29splitHere46","19159211splitHere46","x"
"30splitHere46","19159211splitHere46","top"
"31splitHere46","19159211splitHere46","bottom"
"32splitHere46","19159211splitHere46","left right<newline46mondego>        { ' ', ' ', ' ', ' ' }, <newline46mondego> top    { ' ', ' ', 'x', ' ' }, <newline46mondego>        { ' ', 'x', ' ', ' ' }, <newline46mondego> bottom { ' ', 'x', 'x', ' ' }<newline46mondego>"
"33splitHere46","19159211splitHere46","int left = INT_MAX, right = -1, top = INT_MAX, bottom = -1<newline46mondego>for (int y = 0; y < Y; y++)<newline46mondego>  for (int x = 0; x < X; x++)<newline46mondego>    if (t[x][y] == 'x')<newline46mondego>    {<newline46mondego>      if (left > x) left = x<newline46mondego>      if (right < x) right = x<newline46mondego>      if (top > y) top = y<newline46mondego>      bottom = y // we don't need if! :)<newline46mondego>    }<newline46mondego>"
"34splitHere46","19159211splitHere46","left   == 1<newline46mondego>right  == 2<newline46mondego>top    == 1<newline46mondego>bottom == 3<newline46mondego>"
"35splitHere46","19159262splitHere46","install"
"36splitHere46","19159262splitHere46","script"
"37splitHere46","19159262splitHere46",".travis.yml"
"38splitHere46","19159262splitHere46","language: java<newline46mondego>install: mvn install -Dmaven.compiler.target=1.6 -Dmaven.compiler.source=1.6 -DskipTests=true<newline46mondego>script: mvn test -Dmaven.compiler.target=1.6 -Dmaven.compiler.source=1.6<newline46mondego>"
"39splitHere46","19159262splitHere46","pom.xml"
"40splitHere46","19159262splitHere46","mvn test"
"41splitHere46","19159517splitHere46","q"
"42splitHere46","19159517splitHere46","service.files().list().setQ(mimeType != 'application/vnd.google-apps.folder and 'Id' in parents and trashed=false<doubleQuotes46>).execute();<newline46mondego>"
"43splitHere46","19159583splitHere46","android:exported=<doubleQuotes46>false<doubleQuotes46>"
"44splitHere46","19159583splitHere46","<doubleQuotes46>true<doubleQuotes46>"
"45splitHere46","19159583splitHere46","<doubleQuotes46>false<doubleQuotes46>"
"46splitHere46","19159583splitHere46","<doubleQuotes46>false<doubleQuotes46>"
"47splitHere46","19160268splitHere46","long"
"48splitHere46","19160268splitHere46","double"
"49splitHere46","19160268splitHere46","double"
"50splitHere46","19160268splitHere46","float"
"51splitHere46","19160268splitHere46","float"
"52splitHere46","19160268splitHere46","long"
"53splitHere46","19160268splitHere46","long"
"54splitHere46","19160268splitHere46","int"
"55splitHere46","19160268splitHere46","int"
"56splitHere46","19160268splitHere46","byte"
"57splitHere46","19160675splitHere46","persist()"
"58splitHere46","19160675splitHere46","find()"
"59splitHere46","19160675splitHere46","em.clear()"
"60splitHere46","19160675splitHere46","em.flush()"
"61splitHere46","19160675splitHere46","persist().flush()"
"62splitHere46","19160675splitHere46","Session.refresh()"
"63splitHere46","19160767splitHere46","Photos=(TabHost) findViewById(R.id.PhotoButton);<newline46mondego>"
"64splitHere46","19160767splitHere46","R.id.PhotoButton"
"65splitHere46","19160767splitHere46","Button"
"66splitHere46","19160767splitHere46","TabHost"
"67splitHere46","19160767splitHere46","10-03 18:49:34.740: E/AndroidRuntime(561): Caused by: java.lang.ClassCastException: android.widget.Button<newline46mondego>10-03 18:49:34.740: E/AndroidRuntime(561):  at com.project.findmybuffet.AndroidTabRestaurantDescListView.onCreate(AndroidTabRestaurantDescListView.java:27)<newline46mondego>"
"68splitHere46","19160910splitHere46","body += args[j];<newline46mondego>"
"69splitHere46","19160910splitHere46","body += args[j] + <doubleQuotes46> <doubleQuotes46>;<newline46mondego>"
"70splitHere46","19160913splitHere46","quakeLevelsNormalized"
"71splitHere46","19160913splitHere46","public class ARRAYminAndmax0RichterScale {<newline46mondego>    public static void main(String[] args) {<newline46mondego>        double[] quakeLevels = { 5.6, 6.2, 4.0, 5.5, 5.7, 6.1, 7.4, 8.5, 5.5,<newline46mondego>                6.3, 6.4, 2.1, 6.9, 4.3, 3.1, 7.0, 10.1 };<newline46mondego>        int i;<newline46mondego>        int minIndex = 0; // start with 0th element as min<newline46mondego>        for (i = 1; i < quakeLevels.length; i++) {<newline46mondego>            if (quakeLevels[i] < quakeLevels[minIndex]) {<newline46mondego>                minIndex = i;<newline46mondego>            }<newline46mondego>        }<newline46mondego>        System.out.print(<doubleQuotes46>Min: <doubleQuotes46> + quakeLevels[minIndex] + <doubleQuotes46>    <doubleQuotes46>);<newline46mondego>        int maxIndex = 0; // start with 0th element as max<newline46mondego>        for (i = 1; i < quakeLevels.length; i++) {<newline46mondego>            if (quakeLevels[i] > quakeLevels[maxIndex]) {<newline46mondego>                maxIndex = i;<newline46mondego>            }<newline46mondego>        }<newline46mondego>        System.out.println(<doubleQuotes46>Max: <doubleQuotes46> + quakeLevels[maxIndex]);<newline46mondego>        System.out.println();<newline46mondego>        System.out.println(<doubleQuotes46>The Richter values, excluding the extrema, are as follows: <doubleQuotes46>);<newline46mondego>        double arrayTotal = 0;<newline46mondego>        // make a new array excluding the max and min<newline46mondego>        for (i = 0; i < quakeLevels.length; i++) {<newline46mondego>            if (i != minIndex && i != maxIndex) {<newline46mondego>                System.out.printf(<doubleQuotes46>%6s\n<doubleQuotes46>, quakeLevels[i]);<newline46mondego>                arrayTotal += quakeLevels[i];<newline46mondego>            }<newline46mondego>        }<newline46mondego>        double average = arrayTotal / (quakeLevels.length - 2);<newline46mondego>        // output<newline46mondego>        System.out.printf(<doubleQuotes46>%s%.1f\n<doubleQuotes46>, <doubleQuotes46>Average Quake Level = <doubleQuotes46>, average);<newline46mondego>    }<newline46mondego><newline46mondego>}<newline46mondego>"
"72splitHere46","19160966splitHere46","<c:forEach var=<doubleQuotes46>listVar<doubleQuotes46> items=<doubleQuotes46>${listName}<doubleQuotes46>> //add the model attribute of list in items<newline46mondego>    <option value =<doubleQuotes46>10<doubleQuotes46>><c:out value=<doubleQuotes46>${listVar.attribute}<doubleQuotes46>/></option><newline46mondego></c:forEach><newline46mondego>"
"73splitHere46","19160988splitHere46","JScrollPane.setCorner()"
"74splitHere46","19160988splitHere46","import java.awt.Dimension;<newline46mondego>import javax.swing.*;<newline46mondego><newline46mondego>public class TestCornerComponent {<newline46mondego><newline46mondego>    public static void main(String args[]) {<newline46mondego>        JTable table = new JTable(22, 5);<newline46mondego>        table.setPreferredScrollableViewportSize(new Dimension(400, 300));<newline46mondego>        final JScrollPane scrollPane = new JScrollPane(table);<newline46mondego>        JButton cornerButton = new JButton(<doubleQuotes46>#<doubleQuotes46>);<newline46mondego>        scrollPane.setCorner(JScrollPane.UPPER_TRAILING_CORNER, cornerButton);<newline46mondego>        scrollPane.setVerticalScrollBarPolicy(JScrollPane.VERTICAL_SCROLLBAR_ALWAYS);<newline46mondego>        SwingUtilities.invokeLater(new Runnable() {<newline46mondego>            @Override<newline46mondego>            public void run() {<newline46mondego>                JFrame frame = new JFrame(<doubleQuotes46>Test corner component<doubleQuotes46>);<newline46mondego>                frame.add(scrollPane);<newline46mondego>                frame.pack();<newline46mondego>                frame.setVisible(true);<newline46mondego>            }<newline46mondego>        });<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"75splitHere46","19161031splitHere46","z != 'a' || z != 'e'<newline46mondego>"
"76splitHere46","19161031splitHere46","z"
"77splitHere46","19161031splitHere46","'a'"
"78splitHere46","19161031splitHere46","z"
"79splitHere46","19161031splitHere46","'e'"
"80splitHere46","19161031splitHere46","z"
"81splitHere46","19161031splitHere46","'e'"
"82splitHere46","19161031splitHere46","z"
"83splitHere46","19161031splitHere46","'a'"
"84splitHere46","19161031splitHere46","z"
"85splitHere46","19161031splitHere46","'a'"
"86splitHere46","19161031splitHere46","'e'"
"87splitHere46","19161031splitHere46","&&"
"88splitHere46","19161031splitHere46","z != 'a' && z != 'e' && ...<newline46mondego>"
"89splitHere46","19161031splitHere46","<doubleQuotes46>aeiou<doubleQuotes46>.indexOf(z) < 0<newline46mondego>"
"90splitHere46","19161139splitHere46","StringBuilder"
"91splitHere46","19161139splitHere46","if-else"
"92splitHere46","19161139splitHere46","SELECT"
"93splitHere46","19161139splitHere46","String par1 = <doubleQuotes46>par1<doubleQuotes46>; // intialized for testing<newline46mondego>String par2 = null;<newline46mondego>String par3 = <doubleQuotes46>par3<doubleQuotes46>;<newline46mondego><newline46mondego>StringBuilder query = new StringBuilder(<doubleQuotes46>select * from table t<doubleQuotes46>);<newline46mondego><newline46mondego>if (par1 != null || par2 != null || par3 != null) {<newline46mondego>    query.append(<doubleQuotes46> where <doubleQuotes46>);<newline46mondego>    if (par1 != null) {<newline46mondego>        query.append(<doubleQuotes46>t.var1 = ?<doubleQuotes46>);<newline46mondego>    }<newline46mondego>    if (par2 != null) {<newline46mondego>        if (par1 != null) {<newline46mondego>            query.append(<doubleQuotes46> AND <doubleQuotes46>);<newline46mondego>        }<newline46mondego>        query.append(<doubleQuotes46>t.var2 = ?<doubleQuotes46>);<newline46mondego>    }<newline46mondego>    if (par3 != null) {<newline46mondego>        if (par1 != null || par2 != null) {<newline46mondego>            query.append(<doubleQuotes46> AND <doubleQuotes46>);<newline46mondego>        }<newline46mondego>        query.append(<doubleQuotes46>t.var3 = ?<doubleQuotes46>);<newline46mondego>    }<newline46mondego>}<newline46mondego><newline46mondego>System.out.println(query);<newline46mondego>"
"94splitHere46","19161139splitHere46","select * from table t where t.var1 = ? AND t.var3 = ?<newline46mondego>"
"95splitHere46","19161139splitHere46","Connection conn = DataBase.getConnection();<newline46mondego>PreparedStatement s = conn.prepareStatement(query.toString());<newline46mondego><newline46mondego>if (par1 != null || par2 != null || par3 != null) {<newline46mondego>    int n = 1;<newline46mondego>    if (par1 != null) {<newline46mondego>        s.setString(n++, par1);<newline46mondego>    }<newline46mondego>    if (par2 != null) {<newline46mondego>        s.setString(n++, par2);<newline46mondego>    }<newline46mondego>    if (par3 != null) {<newline46mondego>        s.setString(n, par3);<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"96splitHere46","19161233splitHere46","image1 = getResources().getDrawable (R.drawable.image1);<newline46mondego>"
"97splitHere46","19161233splitHere46","image1 = ((MyApp)getApplication()).getImage1();<newline46mondego>"
"98splitHere46","19161291splitHere46","<solver><newline46mondego>  ...<newline46mondego>  <localSearch><newline46mondego>    <constructionHeuristic><newline46mondego>       ...    <newline46mondego>    </constructionHeuristic><newline46mondego>    ...<newline46mondego>  </localSearch><newline46mondego><solver><newline46mondego>"
"99splitHere46","19161291splitHere46","<solver><newline46mondego>  ...<newline46mondego>  <constructionHeuristic><newline46mondego>    ...    <newline46mondego>  </constructionHeuristic><newline46mondego>  <localSearch><newline46mondego>    ...<newline46mondego>  </localSearch><newline46mondego><solver><newline46mondego>"
"100splitHere46","19161543splitHere46","toString()"
"101splitHere46","19161566splitHere46","geoShapes[1] = new Triangle(<doubleQuotes46>Red<doubleQuotes46>  , 89 , new double[] {2,4,3});<newline46mondego>"
"102splitHere46","19161566splitHere46","varargs"
"103splitHere46","19161566splitHere46","public Triangle(String color, int opacity, double... side) {<newline46mondego>    super(color, opacity);<newline46mondego>    this.side = side ;<newline46mondego>}<newline46mondego>"
"104splitHere46","19161566splitHere46","geoShapes[1] = new Triangle(<doubleQuotes46>Red<doubleQuotes46>, 89 , 2, 4, 3);<newline46mondego>"
"105splitHere46","19161566splitHere46","public Triangle() {<newline46mondego>    this(<doubleQuotes46><doubleQuotes46>,0,side);<newline46mondego>}<newline46mondego>"
"106splitHere46","19161566splitHere46","side"
"107splitHere46","19161566splitHere46","side"
"108splitHere46","19161566splitHere46","this()"
"109splitHere46","19161566splitHere46","super()"
"110splitHere46","19161566splitHere46","public Triangle() {<newline46mondego>    this(<doubleQuotes46><doubleQuotes46>, 0, new double[] {0, 0, 0});<newline46mondego>}<newline46mondego>"
"111splitHere46","19161656splitHere46","MimeMessage mimeMessage = new MimeMessage((MimeMessage) message);<newline46mondego> Flags flags = mimeMessage.getFlags();<newline46mondego> mimeMessage.setFlags(flags, false);<newline46mondego>"
"112splitHere46","19161702splitHere46","to"
"113splitHere46","19161702splitHere46","T"
"114splitHere46","19161702splitHere46","T"
"115splitHere46","19161702splitHere46","U"
"116splitHere46","19161702splitHere46","U"
"117splitHere46","19161702splitHere46","to"
"118splitHere46","19161702splitHere46","mapping"
"119splitHere46","19161702splitHere46","T"
"120splitHere46","19161702splitHere46","mapping"
"121splitHere46","19161702splitHere46","T"
"122splitHere46","19161702splitHere46","T"
"123splitHere46","19161702splitHere46","Object"
"124splitHere46","19161702splitHere46","to"
"125splitHere46","19161702splitHere46","mapping"
"126splitHere46","19161702splitHere46","U"
"127splitHere46","19161702splitHere46","Mapping"
"128splitHere46","19161702splitHere46","U"
"129splitHere46","19161702splitHere46","U"
"130splitHere46","19161702splitHere46","T"
"131splitHere46","19161702splitHere46","U"
"132splitHere46","19161702splitHere46","function &to<U>(mapping: TFunc<T, U>): Maybe<U>;<newline46mondego>"
"133splitHere46","19161702splitHere46","U"
"134splitHere46","19161702splitHere46","function &to<U: class; V: U>(mapping: TFunc<T, V>): Maybe<U>;<newline46mondego>"
"135splitHere46","19161702splitHere46","V"
"136splitHere46","19161702splitHere46","to"
"137splitHere46","19161702splitHere46","U"
"138splitHere46","19161702splitHere46","Maybe"
"139splitHere46","19161702splitHere46","to"
"140splitHere46","19161702splitHere46","if Self is TUnknown<T> then<newline46mondego>  Result := unknown<U><newline46mondego>else<newline46mondego>  Result := definitely(mapping(TDefiniteValue<T>(Self).value));<newline46mondego>"
"141splitHere46","19161706splitHere46","ZipInputStream zis = new ZipInputStream(in);<newline46mondego>out = new FileOutputStream(entryDestination);<newline46mondego>out.write(zis.read());<newline46mondego>out.flush();<newline46mondego>out.close();<newline46mondego>"
"142splitHere46","19161706splitHere46","finally"
"143splitHere46","19161706splitHere46","byte[] buffer = new byte[8192];<newline46mondego>int bytes;<newline46mondego>while ((bytes = input.read(buffer)) > 0) {<newline46mondego>    output.write(buffer, 0, bytes);<newline46mondego>}<newline46mondego>"
"144splitHere46","19161706splitHere46","ByteStreams"
"145splitHere46","19161706splitHere46","Files"
"146splitHere46","19161762splitHere46","javax.net.ssl.keyStore*"
"147splitHere46","19161762splitHere46","SSLContext"
"148splitHere46","19161762splitHere46","javax.net.ssl.SSLHandshakeException: no cipher suites in common"
"149splitHere46","19161762splitHere46","KeyManager"
"150splitHere46","19161762splitHere46","java.security.KeyManagementException: Default SSLContext is initialized automatically"
"151splitHere46","19161762splitHere46","SSLContext"
"152splitHere46","19161762splitHere46","SSLContext sc = SSLContext.getInstance(<doubleQuotes46>TLS<doubleQuotes46>);<newline46mondego>"
"153splitHere46","19161967splitHere46","public class SampleTest<newline46mondego>{<newline46mondego><newline46mondego>    public static void main(String[] args)<newline46mondego>    {<newline46mondego><newline46mondego>        int noOfThreads = 100;<newline46mondego>        int maxThreadinQue = 100;<newline46mondego><newline46mondego>        LinkedBlockingQueue<Runnable> processOneworkQueue = new LinkedBlockingQueue<Runnable>();<newline46mondego><newline46mondego>        ThreadPoolExecutor processOneThreadPoolExecutor = new ThreadPoolExecutor(noOfThreads, noOfThreads, 0L,<newline46mondego>                TimeUnit.SECONDS,<newline46mondego><newline46mondego>                processOneworkQueue, new ThreadFactory()<newline46mondego>                {<newline46mondego>                    private AtomicInteger itsCounter = new AtomicInteger();<newline46mondego><newline46mondego>                    public Thread newThread(Runnable theRunnable)<newline46mondego>                    {<newline46mondego>                        Thread aThread = new Thread(theRunnable, <doubleQuotes46>theThreadName<doubleQuotes46> + <doubleQuotes46>#<doubleQuotes46> + itsCounter.getAndIncrement());<newline46mondego>                        aThread.setDaemon(true);<newline46mondego>                        return aThread;<newline46mondego>                    }<newline46mondego>                });<newline46mondego><newline46mondego>        LinkedBlockingQueue<Runnable> processTwoworkQueue = new LinkedBlockingQueue<Runnable>();<newline46mondego><newline46mondego>        ThreadPoolExecutor processTwoThreadPoolExecutor = new ThreadPoolExecutor(noOfThreads, noOfThreads, 0L,<newline46mondego>                TimeUnit.SECONDS,<newline46mondego><newline46mondego>                processTwoworkQueue, new ThreadFactory()<newline46mondego>                {<newline46mondego>                    private AtomicInteger itsCounter = new AtomicInteger();<newline46mondego><newline46mondego>                    public Thread newThread(Runnable theRunnable)<newline46mondego>                    {<newline46mondego>                        Thread aThread = new Thread(theRunnable, <doubleQuotes46>theThreadName<doubleQuotes46> + <doubleQuotes46>#<doubleQuotes46> + itsCounter.getAndIncrement());<newline46mondego>                        aThread.setDaemon(true);<newline46mondego>                        return aThread;<newline46mondego>                    }<newline46mondego>                });<newline46mondego><newline46mondego>        ArrayList<SampleObject> sampleObjects = new ArrayList<SampleObject>();<newline46mondego>        sampleObjects.add(new SampleObject());<newline46mondego>        sampleObjects.add(new SampleObject());<newline46mondego>        sampleObjects.add(new SampleObject());<newline46mondego>        sampleObjects.add(new SampleObject());<newline46mondego>        sampleObjects.add(new SampleObject());<newline46mondego>        sampleObjects.add(new SampleObject());<newline46mondego>        sampleObjects.add(new SampleObject());<newline46mondego>        sampleObjects.add(new SampleObject());<newline46mondego>        sampleObjects.add(new SampleObject());<newline46mondego>        sampleObjects.add(new SampleObject());<newline46mondego>        sampleObjects.add(new SampleObject());<newline46mondego>        sampleObjects.add(new SampleObject());<newline46mondego>        sampleObjects.add(new SampleObject());<newline46mondego>        sampleObjects.add(new SampleObject());<newline46mondego><newline46mondego>        while (true)<newline46mondego>        {<newline46mondego>            Iterator<SampleObject> it = sampleObjects.iterator();<newline46mondego>            while (it.hasNext())<newline46mondego>            {<newline46mondego><newline46mondego>                final SampleObject sampleObject = it.next();<newline46mondego><newline46mondego>                if (sampleObject.getStatus() == 0)<newline46mondego>                {<newline46mondego>                    if (processOneworkQueue.size() < maxThreadinQue)<newline46mondego>                    {<newline46mondego>                        processOneThreadPoolExecutor.submit(new Runnable()<newline46mondego>                        {<newline46mondego>                            @Override<newline46mondego>                            public void run()<newline46mondego>                            {<newline46mondego>                                process1(sampleObject);<newline46mondego><newline46mondego>                            }<newline46mondego>                        });<newline46mondego>                    }<newline46mondego>                }<newline46mondego>                else if (sampleObject.getStatus() == 1)<newline46mondego>                {<newline46mondego>                    if (processTwoworkQueue.size() < maxThreadinQue)<newline46mondego>                    {<newline46mondego>                        processTwoThreadPoolExecutor.submit(new Runnable()<newline46mondego>                        {<newline46mondego>                            @Override<newline46mondego>                            public void run()<newline46mondego>                            {<newline46mondego>                                process2(sampleObject);<newline46mondego><newline46mondego>                            }<newline46mondego>                        });<newline46mondego>                    }<newline46mondego>                }<newline46mondego>                else if (sampleObject.getStatus() == 2)<newline46mondego>                {<newline46mondego><newline46mondego>                    it.remove();<newline46mondego><newline46mondego>                }<newline46mondego>            }<newline46mondego>        }<newline46mondego>    }<newline46mondego><newline46mondego>    static void process1(SampleObject sampleObject)<newline46mondego>    {<newline46mondego>        System.out.println(<doubleQuotes46>process1<doubleQuotes46>);<newline46mondego>        sampleObject.setStatus(1);<newline46mondego><newline46mondego>    }<newline46mondego><newline46mondego>    static void process2(SampleObject sampleObject)<newline46mondego>    {<newline46mondego>        System.out.println(<doubleQuotes46>process2<doubleQuotes46>);<newline46mondego>        sampleObject.setStatus(2);<newline46mondego>    }<newline46mondego><newline46mondego>}<newline46mondego><newline46mondego>class SampleObject<newline46mondego>{<newline46mondego>    int status=0;<newline46mondego><newline46mondego>    public int getStatus()<newline46mondego>    {<newline46mondego>        return status;<newline46mondego>    }<newline46mondego><newline46mondego>    public void setStatus(int status)<newline46mondego>    {<newline46mondego>        this.status = status;<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"154splitHere46","19162107splitHere46","t == 5<newline46mondego>"
"155splitHere46","19162107splitHere46","for(int t = 1; t <= 5; t = t+1) {<newline46mondego>"
