"1splitHere46","21514988splitHere46","List<Point> points = new ArrayList<Point>();<newline46mondego><newline46mondego>Point pointOne = new Point(x,y);<newline46mondego>Point pointTwo = new Point(x+25,y);<newline46mondego>Point pointThree = new Point(x+25,y+5);<newline46mondego>Point pointFour = new Point(x,y+5);<newline46mondego>points.add(pointOne );<newline46mondego>points.add(pointTwo );<newline46mondego>points.add(pointThree );<newline46mondego>points.add(pointFour);<newline46mondego><newline46mondego><newline46mondego><newline46mondego>Path path = new Path();<newline46mondego>path.moveTo(pointOne.x, pointOne.y);<newline46mondego>path.lineTo(pointTwo.x, pointTwo.y);<newline46mondego>//and so on<newline46mondego>path.close();<newline46mondego><newline46mondego>//and then<newline46mondego>pList.add(points); <newline46mondego>"
"16splitHere46","21515359splitHere46","NullPointer"
"17splitHere46","21515359splitHere46","Main"
"18splitHere46","21515359splitHere46","54"
"19splitHere46","21515359splitHere46","54"
"20splitHere46","21515359splitHere46","null"
"21splitHere46","21515359splitHere46","onPlayerUse"
"22splitHere46","21515359splitHere46","org.bukkit.block.Block block"
"23splitHere46","21515359splitHere46","Block block = evnt.getClickedBlock();"
"24splitHere46","21515359splitHere46","org.bukkit.inventory.ItemStack"
"25splitHere46","21515359splitHere46","ItemStack"
"26splitHere46","21515359splitHere46","@EventHandler(priority=EventPriority.HIGH)<newline46mondego>public void onPlayerUse (PlayerInteractEvent evnt) {<newline46mondego>    if(evnt.getAction().equals(Action.LEFT_CLICK_BLOCK){//make sure that they are infact hitting a block<newline46mondego>        if(evt.getItem() == new ItemStack(Material.DIAMOND_HOE)){ //make sure they are using a diamond hoe<newline46mondego>            Block block = evnt.getClickedBlock();<newline46mondego>            //ItemStack item = evnt.getItem();<newline46mondego>            //we don't need the above line any more<newline46mondego>            Player player = evnt.getPlayer();<newline46mondego><newline46mondego>            World world = block.getWorld();<newline46mondego>            ItemMeta itemmeta = item.getItemMeta();<newline46mondego>         }<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"27splitHere46","21515359splitHere46","onPlayerUse"
"28splitHere46","21515359splitHere46","@EventHandler(priority=EventPriority.HIGH)<newline46mondego>    public void onPlayerUse (PlayerInteractEvent evnt) {<newline46mondego>        if(evnt.getAction().equals(Action.LEFT_CLICK_BLOCK)){//make sure that they are infact hitting a block<newline46mondego>            if(evnt.getItem() == new ItemStack(Material.DIAMOND_HOE)){ //make sure they are using a diamond hoe<newline46mondego>               if(evnt.getItem().getItemMeta().getDisplayName().equals(ChatColor.DARK_AQUA + <doubleQuotes46>Bedrock Breaker<doubleQuotes46>)){ //make sure the name of the diamond hoe is <doubleQuotes46>Bedrock Breaker<doubleQuotes46> in DARK_AQUA<newline46mondego><newline46mondego>                Block block = evnt.getClickedBlock();<newline46mondego>                World world = block.getWorld();<newline46mondego>                Player player = evnt.getPlayer();<newline46mondego>                if(block.getType() == Material.BEDROCK){ //make sure the block clicked is bedrock<newline46mondego><newline46mondego>                    BlockBreakEvent breakEvent = new BlockBreakEvent(block, player);<newline46mondego>                    Bukkit.getServer().getPluginManager().callEvent(breakEvent);<newline46mondego>                    ItemStack drop = new ItemStack(block.getType());<newline46mondego>                    drop.setAmount(1);<newline46mondego>                    drop.setType(Material.BEDROCK);<newline46mondego>                    block.setType(Material.AIR);<newline46mondego><newline46mondego>                    world.dropItemNaturally(block.getLocation(), drop);<newline46mondego>                    player.sendMessage(<doubleQuotes46>Bedrock Broken!<doubleQuotes46>);<newline46mondego>                }<newline46mondego>            }<newline46mondego>        }<newline46mondego>    }<newline46mondego>    }<newline46mondego>"
"29splitHere46","21515359splitHere46",".equals(String)"
"30splitHere46","21515359splitHere46","== String"
"31splitHere46","21515359splitHere46","Action.LEFT_CLICK_BLOCK"
"32splitHere46","21515359splitHere46","NullPointerException"
"33splitHere46","21515520splitHere46","Base32"
"34splitHere46","21515520splitHere46","Base32 base32 = new Base32();<newline46mondego>System.out.println(base32.encodeAsString(<doubleQuotes46>test<doubleQuotes46>.getBytes()));<newline46mondego>"
"35splitHere46","21515520splitHere46","ORSXG5A=<newline46mondego>"
"36splitHere46","21515531splitHere46","(w, x, y, z)"
"37splitHere46","21515531splitHere46","( 1 - 2 * ( y * y + z * z )      2 * ( x * y - z * w )      2 * (x * z + y * w ) )<newline46mondego>  R = (     2 * ( x * y + z * w )  1 - 2 * ( x * x + z * z )      2 * (y * z - x * w ) )<newline46mondego>      (     2 * ( x * z - y * w )      2 * ( y * z + x * w )  1 - 2 * (x * x + y * y ) )<newline46mondego>"
"38splitHere46","21515531splitHere46","(0, 0, -1)"
"39splitHere46","21515531splitHere46","R"
"40splitHere46","21515610splitHere46","<authentication-manager><newline46mondego>           <authentication-provider><newline46mondego>            <jdbc-user-service data-source-ref=<doubleQuotes46>dmDataSource<doubleQuotes46><newline46mondego><newline46mondego>               users-by-username-query=<doubleQuotes46><newline46mondego>                  select login as username,password, 1 as enabled <newline46mondego>                  from users where login=?<doubleQuotes46> <newline46mondego><newline46mondego>               authorities-by-username-query=<doubleQuotes46><newline46mondego>                  select login as username, role as authority from users <newline46mondego>                  where login =?  <doubleQuotes46> <newline46mondego><newline46mondego>            /><newline46mondego>           </authentication-provider><newline46mondego>        </authentication-manager><newline46mondego>"
"41splitHere46","21515759splitHere46","ClassInstanceCreationExpression:<newline46mondego>    new TypeArgumentsopt TypeDeclSpecifier TypeArgumentsOrDiamondopt<newline46mondego>                                                            ( ArgumentListopt ) ClassBodyopt<newline46mondego>    Primary . new TypeArgumentsopt Identifier TypeArgumentsOrDiamondopt<newline46mondego>                                                            ( ArgumentListopt ) ClassBodyopt<newline46mondego><newline46mondego>TypeArgumentsOrDiamond:<newline46mondego>    TypeArguments<newline46mondego>    <> <newline46mondego><newline46mondego>ArgumentList:<newline46mondego>    Expression<newline46mondego>    ArgumentList , Expression<newline46mondego>"
"42splitHere46","21516088splitHere46","NoteRemover"
"43splitHere46","21516088splitHere46","NoteRemover"
"44splitHere46","21516088splitHere46","Activity"
"45splitHere46","21516088splitHere46","Activities"
"46splitHere46","21516088splitHere46","myRemover"
"47splitHere46","21516088splitHere46","class WriteUtils<newline46mondego>{<newline46mondego>    public static void write(List<Note> editedNotesList, Integer rnID, Context context)<newline46mondego>    {<newline46mondego>       File notesDB = new File(context.getExternalCacheDir(), <doubleQuotes46>notesDB.txt<doubleQuotes46>);<newline46mondego>       // and so on.. use context.get... <newline46mondego>    }<newline46mondego>}<newline46mondego>"
"48splitHere46","21516096splitHere46","Activity"
"49splitHere46","21516249splitHere46","if (anArray[i] == anArray[j]) { <newline46mondego>    count++; <newline46mondego>}<newline46mondego>"
"50splitHere46","21516271splitHere46","GridLayout"
"51splitHere46","21516271splitHere46","GridLayout"
"52splitHere46","21516271splitHere46","JPanel"
"53splitHere46","21516271splitHere46","FlowLayout"
"54splitHere46","21516271splitHere46","JPanel p1 = new JPanel(new FlowLayout(FlowLayout.LEADING));<newline46mondego>JPanel p2 = new JPanel(new GridLayout(13, 1));<newline46mondego>for (int i = 0; i < 13; i++) {<newline46mondego>    p2.add(new JButton(<doubleQuotes46>Button <doubleQuotes46> + i));<newline46mondego>}<newline46mondego>p1.add(p2);<newline46mondego>"
"55splitHere46","21516271splitHere46","import java.awt.FlowLayout;<newline46mondego>import java.awt.GridLayout;<newline46mondego>import javax.swing.JButton;<newline46mondego>import javax.swing.JFrame;<newline46mondego>import javax.swing.JPanel;<newline46mondego>import javax.swing.SwingUtilities;<newline46mondego><newline46mondego>public class Test6 {<newline46mondego><newline46mondego>    public Test6() {<newline46mondego>        JPanel p1 = new JPanel(new FlowLayout(FlowLayout.LEADING));<newline46mondego>        JPanel p2 = new JPanel(new GridLayout(13, 1));<newline46mondego>        for (int i = 0; i < 13; i++) {<newline46mondego>            p2.add(new JButton(<doubleQuotes46>Button <doubleQuotes46> + i));<newline46mondego>        }<newline46mondego>        p1.add(p2);<newline46mondego><newline46mondego>        JFrame frame = new JFrame(<doubleQuotes46>Test Card<doubleQuotes46>);<newline46mondego>        frame.add(p1);<newline46mondego>        frame.setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);<newline46mondego>        frame.pack();<newline46mondego>        frame.setVisible(true);<newline46mondego>        frame.setExtendedState(JFrame.MAXIMIZED_BOTH);<newline46mondego>    }<newline46mondego><newline46mondego>    public static void main(String[] args) {<newline46mondego>        SwingUtilities.invokeLater(new Runnable() {<newline46mondego>            @Override<newline46mondego>            public void run() {<newline46mondego>                Test6 test = new Test6();<newline46mondego>            }<newline46mondego>        });<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"56splitHere46","21516296splitHere46","5"
"57splitHere46","21516296splitHere46","Runnable"
"58splitHere46","21516296splitHere46","Runnable"
"59splitHere46","21516296splitHere46","ExecutorService service = Executors.newFixedThreadPool(5);<newline46mondego>for(int i = 0; i < 5; i++) {<newline46mondego>    service.execute(new Runnable() {<newline46mondego>        public void run() {<newline46mondego>            doWork();<newline46mondego>        }<newline46mondego>    });<newline46mondego>}<newline46mondego>service.shutdown();<newline46mondego>"
"60splitHere46","21516336splitHere46","Student X linked to student Y because of Z.<newline46mondego>"
"61splitHere46","21516474splitHere46","import  java.util.Iterator;<newline46mondego>import  java.util.Map;<newline46mondego>import  java.util.Set;<newline46mondego>import  java.util.TreeMap;<newline46mondego>/**<newline46mondego>   <P>{@code java FindElementsThatAreSumsOfOthers}</P><newline46mondego> **/<newline46mondego>public class FindElementsThatAreSumsOfOthers  {<newline46mondego>   public static final void main(String[] igno_red)  {<newline46mondego>      int[] ai = new int[]{10, 51, 137, 464, 589, 61, 452};<newline46mondego><newline46mondego>      //All numbers in a map, key is array-value, value is array-index<newline46mondego>      Map<Integer,Integer> mpValIdxAll = new TreeMap<Integer,Integer>();<newline46mondego><newline46mondego>      for(int i = 0; i < ai.length; i++)  {<newline46mondego>         mpValIdxAll.put(ai[i], i);<newline46mondego>      }<newline46mondego><newline46mondego>      //Only those elements in the array that are *sums* of other elements<newline46mondego>      //Key is array-index of sum, value is SumInfo object<newline46mondego>      Map<Integer,SumInfo> mpValIdxSums = new TreeMap<Integer,SumInfo>();<newline46mondego><newline46mondego>      for(int i = 0; i < ai.length; i++)  {<newline46mondego>         //j + 1: So we don't test the same combination twice.<newline46mondego>         for(int j = i + 1; j < ai.length; j++)  {<newline46mondego>            int iSum = ai[i] + ai[j];<newline46mondego><newline46mondego>            if(mpValIdxAll.containsKey(iSum))  {<newline46mondego>               //The all-map contains the sum, so add it to the sum-map<newline46mondego>               mpValIdxSums.put(mpValIdxAll.get(iSum), new SumInfo(ai[i], i, ai[j], j));<newline46mondego>            }<newline46mondego>         }<newline46mondego>      }<newline46mondego><newline46mondego>      Set<Integer> stSumIdxs = mpValIdxSums.keySet();<newline46mondego>      Iterator<Integer> itrSumIdxs = stSumIdxs.iterator();<newline46mondego>      while(itrSumIdxs.hasNext())  {<newline46mondego>         int iIdxSum = itrSumIdxs.next();<newline46mondego>         SumInfo si = mpValIdxSums.get(iIdxSum);<newline46mondego>         System.out.println(ai[iIdxSum] + <doubleQuotes46> (element <doubleQuotes46> + iIdxSum + <doubleQuotes46>)  is the sum of elements <doubleQuotes46> + si.iA + <doubleQuotes46> (idx=<doubleQuotes46> + si.iIdxA + <doubleQuotes46>) and <doubleQuotes46> + si.iB + <doubleQuotes46> (idx=<doubleQuotes46> + si.iIdxB + <doubleQuotes46>)<doubleQuotes46>);<newline46mondego>      }<newline46mondego>   }<newline46mondego>}<newline46mondego>//The two elements that are a sum of another element<newline46mondego>class SumInfo  {<newline46mondego>   public final int iA;<newline46mondego>   public final int iIdxA;<newline46mondego>   public final int iB;<newline46mondego>   public final int iIdxB;<newline46mondego>   public SumInfo(int i_addendA, int i_ndexA, int i_addendB, int i_ndexB)  {<newline46mondego>      iA = i_addendA;<newline46mondego>      iIdxA = i_ndexA;<newline46mondego>      iB = i_addendB;<newline46mondego>      iIdxB = i_ndexB;<newline46mondego>   }<newline46mondego>}<newline46mondego>"
"62splitHere46","21516474splitHere46","[C:\java_code\]java FindElementsThatAreSumsOfOthers<newline46mondego>589 (element 4)  is the sum of elements 137 (idx=2) and 452 (idx=6)<newline46mondego>61 (element 5)  is the sum of elements 10 (idx=0) and 51 (idx=1) <newline46mondego>"
"63splitHere46","21516542splitHere46","org.hibernate.exception.ViolatedConstraintNameExtracter"
"64splitHere46","21516542splitHere46","org.hibernate.exception.spi.ViolatedConstraintNameExtracter"
"65splitHere46","21516633splitHere46","updateUI"
"66splitHere46","21516633splitHere46","JComponents"
"67splitHere46","21516633splitHere46","SwingUtilities.updateComponentTreeUI(java.awt.Component)"
"68splitHere46","21516633splitHere46","updateUI"
"69splitHere46","21516633splitHere46","updateUI"
"70splitHere46","21516633splitHere46","updateUI"
"71splitHere46","21516829splitHere46","<activity<newline46mondego>    android:name=<doubleQuotes46>com.example.myfirstapptwo.DisplayMessageActivity<doubleQuotes46><newline46mondego>    android:label=<doubleQuotes46>@string/title_activity_display_message<doubleQuotes46><newline46mondego>    android:parentActivityName=<doubleQuotes46>com.example.myfirstapp.MainActivity<doubleQuotes46> ><newline46mondego>    <meta-data<newline46mondego>        android:name=<doubleQuotes46>android.support.PARENT_ACTIVITY<doubleQuotes46><newline46mondego>        android:value=<doubleQuotes46>com.example.myfirstapp.MainActivity<doubleQuotes46> /><newline46mondego></activity><newline46mondego>"
"72splitHere46","21516829splitHere46","<activity<newline46mondego>    android:name=<doubleQuotes46>com.example.myfirstapptwo.DisplayMessageActivity<doubleQuotes46><newline46mondego>    android:label=<doubleQuotes46>@string/title_activity_display_message<doubleQuotes46><newline46mondego>    android:parentActivityName=<doubleQuotes46>com.example.myfirstapptwo.MainActivity<doubleQuotes46> ><newline46mondego>    <meta-data<newline46mondego>        android:name=<doubleQuotes46>android.support.PARENT_ACTIVITY<doubleQuotes46><newline46mondego>        android:value=<doubleQuotes46>com.example.myfirstapptwo.MainActivity<doubleQuotes46> /><newline46mondego></activity><newline46mondego>"
"73splitHere46","21516871splitHere46","List<? extends MusicComponent>"
"74splitHere46","21516901splitHere46","BigDecimal bigResult = BigDecimal.valueOf(1.0 + monthlyInterestRate);"
"75splitHere46","21516901splitHere46","1.0 + monthlyInterestRate"
"76splitHere46","21516901splitHere46","BigDecimal"
"77splitHere46","21516901splitHere46","add()"
"78splitHere46","21516901splitHere46","BigDecimal"
"79splitHere46","21516901splitHere46","BigDecimal"
"80splitHere46","21516901splitHere46","pow()"
"81splitHere46","21516901splitHere46","BigDecimal"
"82splitHere46","21516901splitHere46","BigDecimals"
"83splitHere46","21516901splitHere46","int"
"84splitHere46","21516901splitHere46","double"
"85splitHere46","21517017splitHere46","JPanel"
"86splitHere46","21517017splitHere46","JLabel"
"87splitHere46","21517017splitHere46","JButton"
"88splitHere46","21517017splitHere46","JPanel"
"89splitHere46","21517017splitHere46","JPanel"
"90splitHere46","21517017splitHere46","GridBadLayout"
"91splitHere46","21517017splitHere46","getPreferredSize()"
"92splitHere46","21517017splitHere46","JPanel"
"93splitHere46","21517017splitHere46","boolean icon1, icon2, icon3;"
"94splitHere46","21517017splitHere46","JPanel"
"95splitHere46","21517017splitHere46","mouseXxx"
"96splitHere46","21517017splitHere46","public void mouseClicked(MouseEvent e) {<newline46mondego>    icon1 = true;<newline46mondego>    icon2 = false;<newline46mondego>    icon3 = false;<newline46mondego>    imagePanel.repaint();<newline46mondego>}<newline46mondego>....<newline46mondego>protected void paintComponent(Graphics g) {<newline46mondego>    if (icon1) {<newline46mondego>        g.drawImage(image1, .....);<newline46mondego>    }<newline46mondego>    if (icon2) { ... }<newline46mondego>    if (icon3) { ... }<newline46mondego>}<newline46mondego>"
"97splitHere46","21517017splitHere46","pack()"
"98splitHere46","21517017splitHere46","import java.awt.*;<newline46mondego>import java.awt.image.BufferedImage;<newline46mondego>import java.io.IOException;<newline46mondego>import java.net.*;<newline46mondego>import java.util.logging.*;<newline46mondego>import javax.imageio.ImageIO;<newline46mondego>import javax.swing.*;<newline46mondego><newline46mondego><newline46mondego>public class TestButtonOverImage {<newline46mondego><newline46mondego>    public TestButtonOverImage() {<newline46mondego>        JFrame frame = new JFrame(<doubleQuotes46>Test Card<doubleQuotes46>);<newline46mondego>        frame.add(new ImagePanel());<newline46mondego>        frame.setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);<newline46mondego>        frame.pack();<newline46mondego>        frame.setVisible(true);<newline46mondego>    }<newline46mondego><newline46mondego>    public static void main(String[] args) {<newline46mondego>        SwingUtilities.invokeLater(new Runnable(){<newline46mondego>            public void run() {<newline46mondego>                new TestButtonOverImage();<newline46mondego>            }<newline46mondego>        });<newline46mondego>    }<newline46mondego><newline46mondego>    public class ImagePanel extends JPanel {<newline46mondego><newline46mondego>        BufferedImage img;<newline46mondego><newline46mondego>        public ImagePanel() {<newline46mondego>            setLayout(new GridBagLayout());<newline46mondego>            add(new JButton(<doubleQuotes46>StackOverflow Button<doubleQuotes46>));<newline46mondego><newline46mondego>            try {<newline46mondego>                img = ImageIO.read(new URL(<doubleQuotes46>http://d8u1nmttd4enu.cloudfront.net/designs/logo-stackoverflow-logo-design-99designs_447080~36d200d82d83d7b2e738cebd2a48de07180cef3a_largecrop<doubleQuotes46>));<newline46mondego>            } catch (MalformedURLException ex) {<newline46mondego>                Logger.getLogger(TestButtonOverImage.class.getName()).log(Level.SEVERE, null, ex);<newline46mondego>            } catch (IOException ex) {<newline46mondego>                Logger.getLogger(TestButtonOverImage.class.getName()).log(Level.SEVERE, null, ex);<newline46mondego>            }<newline46mondego><newline46mondego>        }<newline46mondego><newline46mondego>        @Override<newline46mondego>        protected void paintComponent(Graphics g) {<newline46mondego>            super.paintComponent(g);<newline46mondego>            g.drawImage(img, 100, 100, 300, 300, this);<newline46mondego>        }<newline46mondego><newline46mondego>        public Dimension getPreferredSize() {<newline46mondego>            return new Dimension(500, 500);<newline46mondego>        }<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"99splitHere46","21517059splitHere46","byte[] imageData = Base64.decode(str);<newline46mondego>"
"100splitHere46","21517108splitHere46","private void registerCallClickBack() {<newline46mondego>    // TODO Auto-generated method stub<newline46mondego>    ListView list = (ListView)findViewById(R.id.listView1);<newline46mondego>    list.setOnItemClickListener(new AdapterView.OnItemClickListener() {<newline46mondego><newline46mondego>        @Override<newline46mondego>        public void onItemClick(AdapterView<?> parent, View viewClicked, int position,<newline46mondego>                long id) {<newline46mondego>            // TODO Auto-generated method stub<newline46mondego>            //String message = <doubleQuotes46>You have chosen the <doubleQuotes46> + id + <doubleQuotes46>item<doubleQuotes46>;<newline46mondego>            //Toast.makeText(MainActivity.this, message, Toast.LENGTH_SHORT).show();<newline46mondego>            Intent intent = new Intent(<doubleQuotes46>package.Activity name<doubleQuotes46>);<newline46mondego>            startActivity(intent);<newline46mondego>        }<newline46mondego>    });<newline46mondego>}<newline46mondego>"
"101splitHere46","21517182splitHere46","4<newline46mondego>         /<newline46mondego>        1<newline46mondego>"
"102splitHere46","21517182splitHere46","if(node.left != null)<newline46mondego>        {<newline46mondego><newline46mondego><newline46mondego>        insert(node.left, value);   <newline46mondego>        System.out.println(<doubleQuotes46>Parent node of node<doubleQuotes46>+ node.left.value+<doubleQuotes46>is:<doubleQuotes46>+prevnode.value);<newline46mondego>        }<newline46mondego>"
"103splitHere46","21517182splitHere46","4<newline46mondego>         /<newline46mondego>        1<newline46mondego>         \<newline46mondego>          2<newline46mondego>"
"104splitHere46","21517182splitHere46","System.out.println(<doubleQuotes46>Parent node of node<doubleQuotes46>+ node.left.value+<doubleQuotes46>is:<doubleQuotes46>+prevnode.value);<newline46mondego>"
"105splitHere46","21517182splitHere46","public void printParents(Node n){<newline46mondego>    if(n.left!= null){<newline46mondego>        printParents(n.left);<newline46mondego>    }<newline46mondego>    if(n.right!=null){<newline46mondego>        printParents(n.right);<newline46mondego>    }<newline46mondego>    if(n.parent != null){<newline46mondego>        System.out.println(<doubleQuotes46>Parent of <doubleQuotes46> + n.value + <doubleQuotes46> is <doubleQuotes46> + n.parent.value);<newline46mondego>    }<newline46mondego>    else{<newline46mondego>        System.out.println(<doubleQuotes46>The root node is<doubleQuotes46> + n.value);<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"106splitHere46","21517182splitHere46","public static void main(String args [])<newline46mondego>{<newline46mondego>binarytree obj = new binarytree();<newline46mondego>obj.creatBST();<newline46mondego>Node n = obj.root;<newline46mondego>obj.printParents(n);<newline46mondego>//obj.printInOrder();<newline46mondego>//obj.check();<newline46mondego>}<newline46mondego>"
"107splitHere46","21517243splitHere46","for(int i = 0; i < myShapes.length; i++)<newline46mondego>{<newline46mondego>     System.out.print(<doubleQuotes46>Object <doubleQuotes46> + i + <doubleQuotes46> is a<doubleQuotes46>);<newline46mondego><newline46mondego>     if(myShapes[i] instanceof Rectangle)<newline46mondego>          System.out.print(<doubleQuotes46> rectangle: <doubleQuotes46>);<newline46mondego><newline46mondego>     else if(myShapes[i] instanceof Circle)<newline46mondego>          System.out.print(<doubleQuotes46> circle: <doubleQuotes46>);<newline46mondego><newline46mondego>     else if(myShapes[i] instanceof Box)<newline46mondego>          System.out.print(<doubleQuotes46> box: <doubleQuotes46>);<newline46mondego><newline46mondego>     else if(myShapes[i] instanceof Cylinder)<newline46mondego>          System.out.print(<doubleQuotes46> cylinder: <doubleQuotes46>);<newline46mondego><newline46mondego>     System.out.println(myShapes[i].toString());<newline46mondego><newline46mondego>}<newline46mondego>"
"108splitHere46","21517415splitHere46","public void main(String[] args){"
"109splitHere46","21517415splitHere46","public static void main(String[] args)"
"110splitHere46","21517415splitHere46","total = sum(numbers[]);"
"111splitHere46","21517415splitHere46","total = sum(numbers);"
"112splitHere46","21517415splitHere46","int numbers[] = {12, 15, 67, 18, 29, 40, 23, 4, 59, 5};"
"113splitHere46","21517415splitHere46","main"
"114splitHere46","21517415splitHere46","static"
"115splitHere46","21517415splitHere46","main"
"116splitHere46","21517415splitHere46","public static void main(String[] args){<newline46mondego>    int numbers[] = {12, 15, 67, 18, 29, 40, 23, 4, 59, 5};<newline46mondego>    int total;<newline46mondego>    total = sum(numbers);<newline46mondego>    System.out.println(<doubleQuotes46>Total: <doubleQuotes46> + total);<newline46mondego>}<newline46mondego>"
"117splitHere46","21517858splitHere46","Activity"
"118splitHere46","21517858splitHere46","GameView gameView ;<newline46mondego> @Override<newline46mondego>    protected void onCreate(Bundle savedInstanceState) {<newline46mondego>        super.onCreate(savedInstanceState);<newline46mondego>        requestWindowFeature(Window.FEATURE_NO_TITLE);<newline46mondego>        gameView = new GameView(this); <newline46mondego>        setContentView(gameView);<newline46mondego>    }<newline46mondego><newline46mondego> @Override<newline46mondego>protected void onPause() {<newline46mondego>    // TODO Auto-generated method stub<newline46mondego>    super.onPause();<newline46mondego>    gameView.StopView();<newline46mondego><newline46mondego>}<newline46mondego>"
"119splitHere46","21517858splitHere46","StopView()"
"120splitHere46","21517858splitHere46","GameView"
"121splitHere46","21517858splitHere46","public void StopView() {<newline46mondego><newline46mondego>    if (gameLoopThread != null) {<newline46mondego>        gameLoopThread.setRunning(false);<newline46mondego><newline46mondego>    }<newline46mondego>}<newline46mondego>"
"122splitHere46","21517864splitHere46","Context"
"123splitHere46","21517866splitHere46","public ArrayList<ArrayList<Integer>> deepCopy(ArrayList<ArrayList<Integer>> list) {<newline46mondego>    ArrayList<ArrayList<Integer>> ret = new ArrayList<ArrayList<Integer>>();<newline46mondego>    deepCopy(list.iterator, ret);<newline46mondego>    return ret;<newline46mondego>}<newline46mondego><newline46mondego>private void deepCopy(Iterator<ArrayList<Integer>> it, ArrayList<ArrayList<Integer>> ret) {<newline46mondego>    if (it.hasNext()) {<newline46mondego>        ret.add(new ArrayList(it.next()));<newline46mondego>        deepCopy(it, ret);<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"124splitHere46","21517949splitHere46","-1"
"125splitHere46","21517964splitHere46","man strftime"
"126splitHere46","21517964splitHere46","Time.format"
"127splitHere46","21517964splitHere46","%H"
"128splitHere46","21517964splitHere46","%20"
"129splitHere46","21517964splitHere46","+"
"130splitHere46","21517965splitHere46","public static String fight(Hero hero1, Hero hero2) {<newline46mondego>"
"131splitHere46","21517965splitHere46","fight()"
"132splitHere46","21517965splitHere46","Hero.fight(Superman, Batman);<newline46mondego>"
"133splitHere46","21518027splitHere46","WeakHashMap"
"134splitHere46","21518027splitHere46","String"
"135splitHere46","21518027splitHere46","String"
"136splitHere46","21518027splitHere46","String"
"137splitHere46","21518027splitHere46","InetSocketAddress"
"138splitHere46","21518027splitHere46","InetAddress"
"139splitHere46","21518027splitHere46","InetAddress"
"140splitHere46","21518027splitHere46","WebSocket"
"141splitHere46","21518027splitHere46","InetAddress"
"142splitHere46","21518027splitHere46","WebSocket"
