"1splitHere46","8938876splitHere46","new EventHandler<ActionEvent>() {<newline46mondego>        @Override // <- notice the annotation, it overrides from the interface.<newline46mondego>        public void handle(ActionEvent event) {<newline46mondego>                System.out.print(<doubleQuotes46>Hello World !!<doubleQuotes46>);<newline46mondego>        }<newline46mondego>    }<newline46mondego>"
"21splitHere46","8939576splitHere46","package com.mypackage;<newline46mondego><newline46mondego>import org.json.JSONArray;<newline46mondego>import org.json.JSONException;<newline46mondego>import org.json.JSONObject;<newline46mondego><newline46mondego>public class Main {<newline46mondego>    public static void main(String[] args) {<newline46mondego>        String jsonStr = <doubleQuotes46>{\<doubleQuotes46>status\<doubleQuotes46>: \<doubleQuotes46>OK\<doubleQuotes46>,\<doubleQuotes46>origin_addresses\<doubleQuotes46>: [ \<doubleQuotes46>Vancouver, BC, Canada\<doubleQuotes46>, \<doubleQuotes46>Seattle, État de Washington, États-Unis\<doubleQuotes46> ],\<doubleQuotes46>destination_addresses\<doubleQuotes46>: [ \<doubleQuotes46>San Francisco, Californie, États-Unis\<doubleQuotes46>, \<doubleQuotes46>Victoria, BC, Canada\<doubleQuotes46> ],\<doubleQuotes46>rows\<doubleQuotes46>: [ {\<doubleQuotes46>elements\<doubleQuotes46>: [ {\<doubleQuotes46>status\<doubleQuotes46>: \<doubleQuotes46>OK\<doubleQuotes46>,\<doubleQuotes46>duration\<doubleQuotes46>: {\<doubleQuotes46>value\<doubleQuotes46>: 340110,\<doubleQuotes46>text\<doubleQuotes46>: \<doubleQuotes46>3 jours 22 heures\<doubleQuotes46>},\<doubleQuotes46>distance\<doubleQuotes46>: {\<doubleQuotes46>value\<doubleQuotes46>: 1734542,\<doubleQuotes46>text\<doubleQuotes46>: \<doubleQuotes46>1 735 km\<doubleQuotes46>}}, {\<doubleQuotes46>status\<doubleQuotes46>: \<doubleQuotes46>OK\<doubleQuotes46>,\<doubleQuotes46>duration\<doubleQuotes46>: {\<doubleQuotes46>value\<doubleQuotes46>: 24487,\<doubleQuotes46>text\<doubleQuotes46>: \<doubleQuotes46>6 heures 48 minutes\<doubleQuotes46>},\<doubleQuotes46>distance\<doubleQuotes46>: {\<doubleQuotes46>value\<doubleQuotes46>: 129324,\<doubleQuotes46>text\<doubleQuotes46>: \<doubleQuotes46>129 km\<doubleQuotes46>}} ]}, {\<doubleQuotes46>elements\<doubleQuotes46>: [ {\<doubleQuotes46>status\<doubleQuotes46>: \<doubleQuotes46>OK\<doubleQuotes46>,\<doubleQuotes46>duration\<doubleQuotes46>: {\<doubleQuotes46>value\<doubleQuotes46>: 288834,\<doubleQuotes46>text\<doubleQuotes46>: \<doubleQuotes46>3 jours 8 heures\<doubleQuotes46>},\<doubleQuotes46>distance\<doubleQuotes46>: {\<doubleQuotes46>value\<doubleQuotes46>: 1489604,\<doubleQuotes46>text\<doubleQuotes46>: \<doubleQuotes46>1 490 km\<doubleQuotes46>}}, {\<doubleQuotes46>status\<doubleQuotes46>: \<doubleQuotes46>OK\<doubleQuotes46>,\<doubleQuotes46>duration\<doubleQuotes46>: {\<doubleQuotes46>value\<doubleQuotes46>: 14388,\<doubleQuotes46>text\<doubleQuotes46>: \<doubleQuotes46>4 heures 0 minutes\<doubleQuotes46>},\<doubleQuotes46>distance\<doubleQuotes46>: {\<doubleQuotes46>value\<doubleQuotes46>: 135822,\<doubleQuotes46>text\<doubleQuotes46>: \<doubleQuotes46>136 km\<doubleQuotes46>}} ]} ]}<doubleQuotes46>;<newline46mondego><newline46mondego>        try {<newline46mondego>            JSONObject rootObject = new JSONObject(jsonStr); // Parse the JSON to a JSONObject<newline46mondego>            JSONArray rows = rootObject.getJSONArray(<doubleQuotes46>rows<doubleQuotes46>); // Get all JSONArray rows<newline46mondego><newline46mondego>            for(int i=0; i < rows.length(); i++) { // Loop over each each row<newline46mondego>                JSONObject row = rows.getJSONObject(i); // Get row object<newline46mondego>                JSONArray elements = row.getJSONArray(<doubleQuotes46>elements<doubleQuotes46>); // Get all elements for each row as an array<newline46mondego><newline46mondego>                for(int j=0; j < elements.length(); j++) { // Iterate each element in the elements array<newline46mondego>                    JSONObject element =  elements.getJSONObject(j); // Get the element object<newline46mondego>                    JSONObject duration = element.getJSONObject(<doubleQuotes46>duration<doubleQuotes46>); // Get duration sub object<newline46mondego>                    JSONObject distance = element.getJSONObject(<doubleQuotes46>distance<doubleQuotes46>); // Get distance sub object<newline46mondego><newline46mondego>                    System.out.println(<doubleQuotes46>Duration: <doubleQuotes46> + duration.getInt(<doubleQuotes46>value<doubleQuotes46>)); // Print int value<newline46mondego>                    System.out.println(<doubleQuotes46>Distance: <doubleQuotes46> + distance.getInt(<doubleQuotes46>value<doubleQuotes46>)); // Print int value<newline46mondego>                }<newline46mondego>            }<newline46mondego>        } catch (JSONException e) {<newline46mondego>            // JSON Parsing error<newline46mondego>            e.printStackTrace();<newline46mondego>        }<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"22splitHere46","8939629splitHere46","^(?:([^.]+)\.?){6}_tid<newline46mondego>"
"23splitHere46","8939629splitHere46","^(?:[^.]+\.){5}([^.]+)_tid<newline46mondego>"
"24splitHere46","8939669splitHere46","public class Elevator {<newline46mondego><newline46mondego>    // the floor that the elevator is currently on<newline46mondego>    private int currentFloor;<newline46mondego><newline46mondego>    /**<newline46mondego>     * Creates an elevator at the specified floor.<newline46mondego>     *<newline46mondego>     * @param initialFloor the initial floor<newline46mondego>     */<newline46mondego>    public Elevator(int initialFloor) {<newline46mondego>        this.currentFloor = initialFloor;<newline46mondego>    }<newline46mondego><newline46mondego>    /**<newline46mondego>     * @return the currentFloor<newline46mondego>     */<newline46mondego>    public int getCurrentFloor() {<newline46mondego>        return currentFloor;<newline46mondego>    }<newline46mondego><newline46mondego>    /**<newline46mondego>     * Moves the elevator to the specified floor.<newline46mondego>     *<newline46mondego>     * @param floor the floor to go to.<newline46mondego>     */<newline46mondego>    public void goToFloor(int floor) {<newline46mondego>        if (floor < currentFloor) {<newline46mondego>            goDownToFloor(floor);<newline46mondego>        } else if (floor > currentFloor) {<newline46mondego>            goUpToFloor(floor);<newline46mondego>        }<newline46mondego>        System.out.println(<doubleQuotes46>The elevator has arrived<doubleQuotes46>);<newline46mondego>    }<newline46mondego><newline46mondego>    /**<newline46mondego>     * Moves the elevator up to the specified floor.<newline46mondego>     *<newline46mondego>     * @param floor the floor to go up to.<newline46mondego>     */<newline46mondego>    private void goUpToFloor(int floor) {<newline46mondego>        System.out.println(<doubleQuotes46>The elevator is on its way up...<doubleQuotes46>);<newline46mondego><newline46mondego>        //TODO: put loop to go up to the floor here<newline46mondego>    }<newline46mondego><newline46mondego>    /**<newline46mondego>     * Moves the elevator down to the specified floor<newline46mondego>     *<newline46mondego>     * @param floor the floor to go down to.<newline46mondego>     */<newline46mondego>    private void goDownToFloor(int floor) {<newline46mondego>        System.out.println(<doubleQuotes46>The elevator is on its way down...<doubleQuotes46>);<newline46mondego><newline46mondego>        //TODO: put loop to go down to the floor here        <newline46mondego>    }<newline46mondego>}<newline46mondego>"
"25splitHere46","8939669splitHere46","main"
"26splitHere46","8939669splitHere46","Elevator"
"27splitHere46","8939669splitHere46","public static void main(String[] args) throws Exception {<newline46mondego><newline46mondego>    //create an elevator at a random floor<newline46mondego>    Elevator elevator = new Elevator(new Random().nextInt(11));<newline46mondego><newline46mondego>    int elevatorFloor = elevator.getCurrentFloor();<newline46mondego>    System.out.println(<doubleQuotes46>The elevator is now on floor <doubleQuotes46> + elevatorFloor);<newline46mondego><newline46mondego>    System.out.print(<doubleQuotes46>Which floor are you at now? (0-10) where 0 = basement: <doubleQuotes46>);<newline46mondego>    int personFloor = Keyboard.readInt();<newline46mondego>    if(personFloor == elevatorFloor) {<newline46mondego>        System.out.println(<doubleQuotes46>Enter the elevator<doubleQuotes46>);<newline46mondego>    }<newline46mondego>    else {<newline46mondego>        elevator.goToFloor(personFloor);<newline46mondego>    }<newline46mondego><newline46mondego>    System.out.println(<doubleQuotes46>To which floor would you want to go (0-10) where 0 = basement<doubleQuotes46>);<newline46mondego>    int destinationFloor = Keyboard.readInt();<newline46mondego>    elevator.goToFloor(destinationFloor);<newline46mondego>}<newline46mondego>"
"28splitHere46","8939685splitHere46","merge"
"29splitHere46","8939685splitHere46","merge"
"30splitHere46","8939685splitHere46","SERIALIZABLE"
"31splitHere46","8939685splitHere46","merge"
"32splitHere46","8939723splitHere46","mvn clean"
"33splitHere46","8939723splitHere46","mvn compile site"
"34splitHere46","8939754splitHere46","Scanner"
"35splitHere46","8939754splitHere46","String authorString = <doubleQuotes46>Originally Posted By:<doubleQuotes46>;<newline46mondego>Scanner scanner = new Scanner(realClean);<newline46mondego>try {<newline46mondego>  while ( scanner.hasNextLine() ){<newline46mondego>    String line = scanner.nextLine();<newline46mondego>    if(line.contains(authorString){<newline46mondego>       Log.d(<doubleQuotes46>AUTHORS!<doubleQuotes46>, line.split(authorString)[1] + <doubleQuotes46>\n<doubleQuotes46>);<newline46mondego>  }<newline46mondego>}<newline46mondego>"
"36splitHere46","8939791splitHere46","int, double, float, char"
"37splitHere46","8939791splitHere46","Integer, Double, Float..."
"38splitHere46","8939791splitHere46","public Date date(Date dt) throws NullPointerException { <newline46mondego>  if (dt == null) throw new NullPointerException();<newline46mondego>  ...<newline46mondego>}<newline46mondego>"
"39splitHere46","8939791splitHere46","java.lang.Integer"
"40splitHere46","8939791splitHere46","int"
"41splitHere46","8939874splitHere46","ScheduledThreadPoolExecutor"
"42splitHere46","8939874splitHere46","AlarmManager"
"43splitHere46","8939892splitHere46","select t from Table t<newline46mondego>left join fetch t.list2<newline46mondego>where ...<newline46mondego>"
"44splitHere46","8939899splitHere46","factory.setNamespaceAware(true)"
"45splitHere46","8939899splitHere46","public static void main(String[] args) throws ParserConfigurationException, SAXException,<newline46mondego>        IOException<newline46mondego>{<newline46mondego>    DocumentBuilderFactory factory = DocumentBuilderFactory.newInstance();<newline46mondego>    factory.setNamespaceAware(true);<newline46mondego>    DocumentBuilder builder = factory.newDocumentBuilder();<newline46mondego>    Document doc = builder.parse(new File(args[0]));<newline46mondego>    Element root = doc.getDocumentElement();<newline46mondego>    //prints root name space<newline46mondego>    printAttributesInfo((Node) root);<newline46mondego><newline46mondego>    NodeList childNodes = root.getChildNodes();<newline46mondego>    for (int i = 0; i < childNodes.getLength(); i++)<newline46mondego>    {<newline46mondego>        printAttributesInfo(childNodes.item(i));<newline46mondego>    }<newline46mondego>}<newline46mondego><newline46mondego>public static void printAttributesInfo(Node root)<newline46mondego>{<newline46mondego>    NamedNodeMap attributes = root.getAttributes();<newline46mondego>    if (attributes != null)<newline46mondego>    {<newline46mondego>        for (int i = 0; i < attributes.getLength(); i++)<newline46mondego>        {<newline46mondego>            Node node = attributes.item(i);<newline46mondego>            if (node.getNodeType() == Node.ATTRIBUTE_NODE)<newline46mondego>            {<newline46mondego>                String name = node.getNodeName();<newline46mondego>                System.out.println(name + <doubleQuotes46> <doubleQuotes46> + node.getNamespaceURI());<newline46mondego>            }<newline46mondego>        }<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"46splitHere46","8939902splitHere46","MBeanServer"
"47splitHere46","8940040splitHere46","SwingUtilities.invokeLater(new Runnable() {<newline46mondego><newline46mondego>        @Override<newline46mondego>        public void run() {<newline46mondego>            label.setText(s);<newline46mondego>        }<newline46mondego>    });<newline46mondego>"
"48splitHere46","8940247splitHere46","HEADER BODY<newline46mondego>HEADER BODY<newline46mondego>HEADER BODY<newline46mondego>"
"49splitHere46","8940295splitHere46","package foo;<newline46mondego><newline46mondego>public class MyClass {<newline46mondego>    public static void main(String[] args) {<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"50splitHere46","8940295splitHere46","java foo.MyClass<newline46mondego>"
"51splitHere46","8940295splitHere46","MyClass"
"52splitHere46","8940295splitHere46","com.example.main"
"53splitHere46","8940311splitHere46","Runnable cleaner = new Runnable() {<newline46mondego>public void run() { /* remove expired objects here */ <newline46mondego>     //Using get method check whether object is expired <newline46mondego>   }<newline46mondego>};<newline46mondego>Executors.newScheduledThreadPool(1)<newline46mondego>       .scheduleWithFixedDelay(cleaner, 0, 30, TimeUnit.SECONDS);<newline46mondego>"
"54splitHere46","8940351splitHere46","@Configurable<newline46mondego>"
"55splitHere46","8940484splitHere46","// Create a calendar object and set year and moth<newline46mondego><newline46mondego>Calendar mycal = new GregorianCalendar(1999, Calendar.FEBRUARY, 1);<newline46mondego><newline46mondego>// Get the number of days in that month<newline46mondego>int daysInMonth = mycal.getActualMaximum(Calendar.DAY_OF_MONTH); // 28<newline46mondego><newline46mondego>// Try month in a leap year<newline46mondego>mycal = new GregorianCalendar(2000, Calendar.FEBRUARY, 1);<newline46mondego>daysInMonth= mycal.getActualMaximum(Calendar.DAY_OF_MONTH);     // 29<newline46mondego>"
"56splitHere46","8940600splitHere46","DocumentSummaryInformation summaryInfo=doc.getDocumentSummaryInformation();<newline46mondego>        String category = summaryInfo.getCategory();<newline46mondego>        String company = summaryInfo.getCompany();<newline46mondego>        int lineCount=summaryInfo.getLineCount();<newline46mondego>"
"57splitHere46","8940806splitHere46","public static void main(String args[]) {<newline46mondego><newline46mondego>     new Thread(new ThreadTask(new File(<doubleQuotes46>D:/test1.log<doubleQuotes46>)),<doubleQuotes46>thread1<doubleQuotes46>).start();<newline46mondego>     new Thread(new ThreadTask(new File(<doubleQuotes46>D:/test2.log<doubleQuotes46>)),<doubleQuotes46>thread2<doubleQuotes46>).start();<newline46mondego>}<newline46mondego><newline46mondego>private static class ThreadTask implements Runnable {<newline46mondego>    private File logFilePath;        <newline46mondego><newline46mondego>    // you should inject the file path of the log file to watch<newline46mondego>    public ThreadTask(File logFilePath) {<newline46mondego>        this.logFilePath = logFilePath;<newline46mondego>    }<newline46mondego><newline46mondego>    public void run() {<newline46mondego>        // read file<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"58splitHere46","8940823splitHere46","public void internalFrameIconified(InternalFrameEvent e) {<newline46mondego>        System.out.print(<doubleQuotes46>Maximised<doubleQuotes46>); // Should be <doubleQuotes46>Iconified<doubleQuotes46><newline46mondego>    }<newline46mondego><newline46mondego>    public void internalFrameDeiconified(InternalFrameEvent e) {<newline46mondego>        System.out.print(<doubleQuotes46>Minimised<doubleQuotes46>); // Should be <doubleQuotes46>Deiconified<doubleQuotes46><newline46mondego>    }<newline46mondego><newline46mondego>    //...<newline46mondego>"
"59splitHere46","8940823splitHere46","InternalFrameListener"
"60splitHere46","8940823splitHere46","InternalFrameListener"
"61splitHere46","8940823splitHere46","InternalFrameListener"
"62splitHere46","8940823splitHere46","InternalFrameListener internalFrameListener = new InternalFrameListener() {<newline46mondego><newline46mondego>    public void internalFrameOpened(InternalFrameEvent e) {<newline46mondego>        System.out.print(<doubleQuotes46>Opened<doubleQuotes46>);<newline46mondego>    }<newline46mondego><newline46mondego>    public void internalFrameClosing(InternalFrameEvent e) {<newline46mondego>        System.out.print(<doubleQuotes46>Closing<doubleQuotes46>);<newline46mondego>    }<newline46mondego><newline46mondego>    public void internalFrameClosed(InternalFrameEvent e) {<newline46mondego>        System.out.print(<doubleQuotes46>Closed<doubleQuotes46>);<newline46mondego>    }<newline46mondego><newline46mondego>    public void internalFrameIconified(InternalFrameEvent e) {<newline46mondego>        System.out.print(<doubleQuotes46>Iconified<doubleQuotes46>);<newline46mondego>    }<newline46mondego><newline46mondego>    public void internalFrameDeiconified(InternalFrameEvent e) {<newline46mondego>        System.out.print(<doubleQuotes46>Deiconified<doubleQuotes46>);<newline46mondego>    }<newline46mondego><newline46mondego>    public void internalFrameActivated(InternalFrameEvent e) {<newline46mondego>        System.out.print(<doubleQuotes46>Activated<doubleQuotes46>);<newline46mondego>    }<newline46mondego><newline46mondego>    public void internalFrameDeactivated(InternalFrameEvent e) {<newline46mondego>        System.out.print(<doubleQuotes46>Deactivated<doubleQuotes46>);<newline46mondego>    }<newline46mondego> };<newline46mondego> interFrame.addInternalFrameListener(internalFrameListener);<newline46mondego>"
"63splitHere46","8940966splitHere46","public void someMethod() {<newline46mondego>   MyObject myObject = new MyObject();<newline46mondego>   myObject.doSomething();  //last use of myObject in this scope<newline46mondego>   myObject = null; //Now available for gc<newline46mondego>   doAnotherThing();<newline46mondego>   andEvenMoreThings();<newline46mondego>}<newline46mondego>"
"64splitHere46","8940989splitHere46","String input = <doubleQuotes46>2009-09-30<doubleQuotes46>;<newline46mondego>SimpleDateFormat dateFormat = new SimpleDateFormat(<doubleQuotes46>yyyy-MM-dd<doubleQuotes46>);<newline46mondego>Date myDate = dateFormat.parse(input);<newline46mondego>Calendar cal1 = Calendar.getInstance();<newline46mondego>cal1.setTime(myDate);<newline46mondego>cal1.add(Calendar.DAY_OF_YEAR, -1);<newline46mondego>Date previousDate = cal1.getTime();<newline46mondego>"
"65splitHere46","8941255splitHere46","private void buttonConnectActionPerformed(java.awt.event.ActionEvent evt) {<newline46mondego>        jLabel.setText(<doubleQuotes46>Connecting ...<doubleQuotes46>);<newline46mondego><newline46mondego>        new Thread(new Runnable()<newline46mondego>        {<newline46mondego>            @Override<newline46mondego>            public void run()<newline46mondego>            {<newline46mondego>                try {<newline46mondego>                         String url = <doubleQuotes46>jdbc:mysql://domain.com:3306/tablename<doubleQuotes46>;<newline46mondego>                         String user = <doubleQuotes46>username<doubleQuotes46>;<newline46mondego>                         String password = <doubleQuotes46>userpassword<doubleQuotes46>;<newline46mondego><newline46mondego><newline46mondego><newline46mondego>                         con = DriverManager.getConnection(url, user, password);        <newline46mondego><newline46mondego>                     } catch (SQLException ex) {<newline46mondego>                         Logger.getLogger(connection.class.getName()).log(Level.SEVERE, null, ex);<newline46mondego>}<newline46mondego>            }<newline46mondego>        }<newline46mondego>        )).start()        <newline46mondego>}<newline46mondego>"
"66splitHere46","8941255splitHere46","con"
"67splitHere46","8941255splitHere46","run()"
"68splitHere46","8941255splitHere46","final"
"69splitHere46","8941376splitHere46","OutputStream"
"70splitHere46","8941376splitHere46","PrintStream"
"71splitHere46","8941376splitHere46","public void write(String txt, OutputStream out) {<newline46mondego>    PrintWriter printer = new PrintWriter(out);<newline46mondego>    printer.print(txt);<newline46mondego>    printer.flush();<newline46mondego>    //it is very unpolite to close someone else's streams!<newline46mondego>    //printer.close();<newline46mondego>}<newline46mondego>"
"72splitHere46","8941376splitHere46","print"
"73splitHere46","8941376splitHere46","write"
"74splitHere46","8941463splitHere46","LayoutParams params = allForm.getLayoutParams();<newline46mondego>params.width=1080;<newline46mondego>params.height=540;<newline46mondego>allForm.setLayoutParams(params);<newline46mondego>"
"75splitHere46","8941540splitHere46","X-Forwarded-For"
"76splitHere46","8941540splitHere46","if (request.getHeader(<doubleQuotes46>X-Forwarded-For<doubleQuotes46>) != null) {<newline46mondego>    // Client is likely using a proxy.<newline46mondego>}<newline46mondego>"
"77splitHere46","8941540splitHere46","getRemoteAddr()"
"78splitHere46","8941558splitHere46","for(int i = 0; i<xmlTagInfo.size(); i++);<newline46mondego>"
"79splitHere46","8941558splitHere46","for(int i = 0; i<xmlTagInfo.size(); i++)<newline46mondego>"
"80splitHere46","8941627splitHere46","public String readLine()<newline46mondego>                throws IOException<newline46mondego><newline46mondego>Read a line of text. A line is considered to be terminated by any one of a <newline46mondego>line feed ('\n'), a carriage return ('\r'), or a carriage return followed <newline46mondego>immediately by a linefeed.<newline46mondego><newline46mondego>Returns:<newline46mondego>    A String containing the contents of the line, not including any <newline46mondego>    line-termination characters, or null if the end of the stream has been <newline46mondego>    reached <newline46mondego>Throws:<newline46mondego>    IOException - If an I/O error occurs<newline46mondego>"
"81splitHere46","8941627splitHere46","IOException"
"82splitHere46","8941942splitHere46","replace()"
"83splitHere46","8941942splitHere46","string receivedUrlString = <doubleQuotes46>http:\/\/somewebsite.com\/somepage.asp<doubleQuotes46>;<br /><newline46mondego>string cleanedUrlString  = receivedUrlString.replace('\', '');<newline46mondego>"
"84splitHere46","8941942splitHere46","cleanedUrlString"
"85splitHere46","8941942splitHere46","<doubleQuotes46>http://somewebsite.com/somepage.asp<doubleQuotes46>"
"86splitHere46","8942038splitHere46","<doubleQuotes46>&amp;<doubleQuotes46>"
"87splitHere46","8942038splitHere46","<doubleQuotes46>&<doubleQuotes46>"
"88splitHere46","8942038splitHere46","<doubleQuotes46>&amp;<doubleQuotes46>"
"89splitHere46","8942038splitHere46","<doubleQuotes46>&<doubleQuotes46>"
"90splitHere46","8942277splitHere46","public class Whatever<T> {<newline46mondego>    private List<T> list;<newline46mondego>    private Foo<T> baz;<newline46mondego><newline46mondego>    public void bazToList() {<newline46mondego>        list.add(baz.bar());<newline46mondego>    }<newline46mondego><newline46mondego>    public void listToBaz() {<newline46mondego>        baz.foo(list.get(1));<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"91splitHere46","8942277splitHere46","Whatever<String>"
"92splitHere46","8942277splitHere46","Whatever<?>"
"93splitHere46","8942277splitHere46","public class Whatever {<newline46mondego>    private WhateverHolder<?> holder;<newline46mondego><newline46mondego>    public void bazToList() {<newline46mondego>        holder.bazToList();<newline46mondego>    }<newline46mondego><newline46mondego>    public void listToBaz() {<newline46mondego>        holder.listToBaz();<newline46mondego>    }<newline46mondego><newline46mondego>    private static class WhateverHolder<T> {<newline46mondego>        private List<T> list;<newline46mondego>        private Foo<T> baz;<newline46mondego><newline46mondego>        public void bazToList() {<newline46mondego>            list.add(baz.bar());<newline46mondego>        }<newline46mondego><newline46mondego>        public void listToBaz() {<newline46mondego>            baz.foo(list.get(1));<newline46mondego>        }<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"94splitHere46","8942281splitHere46","public class UrlTest {<newline46mondego><newline46mondego>    static public void urltest(String s) {<newline46mondego>        long start = System.currentTimeMillis();<newline46mondego>        try {<newline46mondego>            new URL(s);<newline46mondego>            System.out.println(<doubleQuotes46>successfully created URL after <doubleQuotes46>+(System.currentTimeMillis()-start)+<doubleQuotes46> milliseconds. URL: <doubleQuotes46>+s);<newline46mondego>        } catch(Exception e) {<newline46mondego>            System.out.println(e.toString()+<doubleQuotes46> after <doubleQuotes46>+(System.currentTimeMillis()-start)+<doubleQuotes46> milliseconds. URL: <doubleQuotes46>+s);         <newline46mondego>        }<newline46mondego>    }<newline46mondego><newline46mondego>    static public void main(String[] args) {<newline46mondego>        System.out.println(System.getProperty(<doubleQuotes46>java.version<doubleQuotes46>));<newline46mondego>        urltest(null);<newline46mondego>        urltest(<doubleQuotes46>://<doubleQuotes46>);<newline46mondego>        urltest(<doubleQuotes46>/abc<doubleQuotes46>);<newline46mondego><newline46mondego>    }<newline46mondego>}<newline46mondego>"
"95splitHere46","8942281splitHere46","1.6.0_18-ea<newline46mondego>java.net.MalformedURLException after 0 milliseconds. URL: null<newline46mondego>java.net.MalformedURLException: no protocol: :// after 1 milliseconds. URL: ://<newline46mondego>java.net.MalformedURLException: no protocol: /abc after 0 milliseconds. URL: /abc<newline46mondego>"
"96splitHere46","8942281splitHere46","equals()"
"97splitHere46","8942336splitHere46","ModelAndView"
"98splitHere46","8942354splitHere46","List<Future<? extends BaseClass<? extends AnotherClass>>> futures<newline46mondego>"
"99splitHere46","8942510splitHere46","JTextField textFieldA;<newline46mondego>    JTextField textFieldB;<newline46mondego>    boolean updating = false;<newline46mondego><newline46mondego>    textFieldA.getDocument().addDocumentListener(new DocumentListener() {<newline46mondego>        public void insertUpdate(DocumentEvent e) {  <newline46mondego>            if(!updating) {<newline46mondego>            updating = true;<newline46mondego>            Document doc = (Document)e.getDocument();<newline46mondego>            String line = doc.getText(0, doc.getLength());  <newline46mondego>            textFieldB.setText(line);<newline46mondego>            updating = false;<newline46mondego>            }<newline46mondego>        }<newline46mondego>    textFieldB.getDocument().addDocumentListener(new DocumentListener() {<newline46mondego>        public void insertUpdate(DocumentEvent e) {  <newline46mondego>            if(!updating) {<newline46mondego>            updating = true;<newline46mondego>            Document doc = (Document)e.getDocument();<newline46mondego>            String line = doc.getText(0, doc.getLength());  <newline46mondego>            textFieldA.setText(line);<newline46mondego>            updating = false;<newline46mondego>            }<newline46mondego>        }<newline46mondego>"
"100splitHere46","8942515splitHere46","finally"
