"1splitHere46","5918714splitHere46","<a href=<doubleQuotes46><c:url value=<doubleQuotes46>/profile<doubleQuotes46> /><doubleQuotes46> >Profile</a><newline46mondego>"
"17splitHere46","5919648splitHere46","NullPointerException"
"18splitHere46","5919648splitHere46","Transaction.java"
"19splitHere46","5919648splitHere46","SummaryMenuItem"
"20splitHere46","5919648splitHere46","File.add(SummaryMenuItem);"
"21splitHere46","5919708splitHere46","/**<newline46mondego> * @hide - hide this constructor because it has a parameter<newline46mondego> * of type ILocationManager, which is a system private class. The<newline46mondego> * right way to create an instance of this class is using the <newline46mondego> * factory Context.getSystemService.<newline46mondego> */<newline46mondego>public LocationManager(ILocationManager service) {<newline46mondego>    if (Config.LOGD) {<newline46mondego>        Log.d(TAG, <doubleQuotes46>Constructor: service = <doubleQuotes46> + service);<newline46mondego>    }<newline46mondego>    mService = service;<newline46mondego>}<newline46mondego>"
"22splitHere46","5919829splitHere46","read"
"23splitHere46","5919829splitHere46","int bytesRead;<newline46mondego><newline46mondego>while ((bytesRead = inputStream.read(buffer, 0, buffer.length)) > 0)<newline46mondego>{<newline46mondego>    // Use bytesRead here<newline46mondego>}<newline46mondego>"
"24splitHere46","5920046splitHere46","provider.create(apple1)"
"25splitHere46","5920046splitHere46","provider.create(apple1)"
"26splitHere46","5920046splitHere46","provider.create(apple1)"
"27splitHere46","5920046splitHere46","@GeneratedValue"
"28splitHere46","5920157splitHere46","TypeKey"
"29splitHere46","5920157splitHere46","TypeValue"
"30splitHere46","5920157splitHere46","for (TypeKey name: example.keySet()){<newline46mondego><newline46mondego>            String key =name.toString();<newline46mondego>            String value = example.get(name).toString();  <newline46mondego>            System.out.println(key + <doubleQuotes46> <doubleQuotes46> + value);  <newline46mondego><newline46mondego><newline46mondego>} <newline46mondego>"
"31splitHere46","5920157splitHere46","keySet()"
"32splitHere46","5920202splitHere46","java.util.EventListener"
"33splitHere46","5920295splitHere46","try {<newline46mondego><newline46mondego>/*Getting the connection variable from session*/<newline46mondego><newline46mondego>con=(Connection)session.getAttribute(<doubleQuotes46>connection<doubleQuotes46>);<newline46mondego>stmt =  con.createStatement();<newline46mondego><newline46mondego>String Query = <doubleQuotes46>SELECT * from student where studentid = \'<doubleQuotes46>+disluserid+<doubleQuotes46>\'<doubleQuotes46>;<newline46mondego>System.out.println(Query);<newline46mondego>rs = stmt.executeQuery(Query);<newline46mondego>} catch(Exception e) { System.out.println(<doubleQuotes46>Exception<doubleQuotes46>+e);<newline46mondego>"
"34splitHere46","5920465splitHere46","<OBJECT <newline46mondego>  classid=<doubleQuotes46>clsid:8AD9C840-044E-11D1-B3E9-00805F499D93<doubleQuotes46><newline46mondego>  width=<doubleQuotes46>200<doubleQuotes46> height=<doubleQuotes46>200<doubleQuotes46>><newline46mondego>  <PARAM name=<doubleQuotes46>code<doubleQuotes46> value=<doubleQuotes46>Applet1.class<doubleQuotes46>><newline46mondego></OBJECT><newline46mondego>"
"35splitHere46","5920465splitHere46","classid"
"36splitHere46","5920550splitHere46","String titleText = doc.getElementsByTagName(<doubleQuotes46>title<doubleQuotes46>).item(0).getTextContent(); <newline46mondego>"
"37splitHere46","5920550splitHere46","String titleText = doc.getElementsByTagName(<doubleQuotes46>title<doubleQuotes46>).item(0).getFirstChild().getNodeValue(); <newline46mondego>"
"38splitHere46","5920776splitHere46","request.getContentLength()"
"39splitHere46","5920776splitHere46","reqest.getHeaders(<doubleQuotes46>Content-Length<doubleQuotes46>)"
"40splitHere46","5920815splitHere46","new"
"41splitHere46","5920815splitHere46","TestedClass tc = spy(new TestedClass());<newline46mondego>LoginContext lcMock = mock(LoginContext.class);<newline46mondego>when(tc.login(anyString(), anyString())).thenReturn(lcMock);<newline46mondego>"
"42splitHere46","5920907splitHere46","DataBaseHelper"
"43splitHere46","5920907splitHere46","Context"
"44splitHere46","5920907splitHere46","this"
"45splitHere46","5920977splitHere46","Period normalizedPeriod = period.normalizeStandard();<newline46mondego>"
"46splitHere46","5920977splitHere46","Period normalizedPeriod = period.normalizeStandardPeriodType();<newline46mondego>"
"47splitHere46","5920977splitHere46","period = period.normalizedStandard();<newline46mondego>"
"48splitHere46","5921007splitHere46","jonatan:~ $ java -version<newline46mondego>java version <doubleQuotes46>1.6.0_24<doubleQuotes46><newline46mondego>Java(TM) SE Runtime Environment (build 1.6.0_24-b07-334-10M3326)<newline46mondego>Java HotSpot(TM) 64-Bit Server VM (build 19.1-b02-334, mixed mode)<newline46mondego>"
"49splitHere46","5921007splitHere46","http://support.apple.com/downloads/Java_for_Mac_OS_X_10_5_Update_4<newline46mondego>"
"50splitHere46","5921022splitHere46","XMLInputFactory f = XMLInputFactory.newInstance();<newline46mondego>FileReader fr = new FileReader(<doubleQuotes46>somefile.xml<doubleQuotes46>);<newline46mondego>XMLStreamReader reader = f.createXMLStreamReader(fr);<newline46mondego><newline46mondego>// process xml<newline46mondego><newline46mondego>reader.close();<newline46mondego>fr.close();<newline46mondego><newline46mondego>//suggest using apache commons IOUtils.closeQuietly(fr); this way you<newline46mondego>// don't have to deal with exceptions if you don't want<newline46mondego>"
"51splitHere46","5921109splitHere46","static byte[] bytesarray = new byte[32];"
"52splitHere46","5921164splitHere46","toDelete.getWidget(i)"
"53splitHere46","5921164splitHere46","toDelete.getWidget(0)"
"54splitHere46","5921164splitHere46","toDelete"
"55splitHere46","5921215splitHere46","@Path(<doubleQuotes46>/dealer<doubleQuotes46>)<newline46mondego>public class Dealers {<newline46mondego>    @GET<newline46mondego>    public List<Dealer> getAll() { ... }<newline46mondego>    @GET<newline46mondego>    @Path(<doubleQuotes46>search/byZip<doubleQuotes46>)<newline46mondego>    public List<URI> getByZip(@QueryParam(<doubleQuotes46>zip<doubleQuotes46>) String zip, ...) { ... }<newline46mondego>    @Path(<doubleQuotes46>{dealerId:[^/]+}<doubleQuotes46>)<newline46mondego>    public Dealer getDealer(@PathParam(<doubleQuotes46>dealerId<doubleQuotes46>) String id) { ... }<newline46mondego>}<newline46mondego>"
"56splitHere46","5921233splitHere46","System.out.println(<doubleQuotes46>method called from C<doubleQuotes46>);"
"57splitHere46","5921233splitHere46","m"
"58splitHere46","5921233splitHere46","C"
"59splitHere46","5921233splitHere46","C"
"60splitHere46","5921233splitHere46","D"
"61splitHere46","5921233splitHere46","D"
"62splitHere46","5921233splitHere46","C x = new D();<newline46mondego>"
"63splitHere46","5921233splitHere46","D"
"64splitHere46","5921233splitHere46","C"
"65splitHere46","5921233splitHere46","D"
"66splitHere46","5921233splitHere46","C"
"67splitHere46","5921233splitHere46","D x = new C();<newline46mondego>"
"68splitHere46","5921233splitHere46","D"
"69splitHere46","5921233splitHere46","C"
"70splitHere46","5921248splitHere46","(?=[+*/()^])|(?<=[+*/()^])|(?<=\d-)|(?<=\d)(?=-)<newline46mondego>"
"71splitHere46","5921248splitHere46","# Split on:<newline46mondego>(?=[+*/()^])    #   the empty space that has one of: +, *, /, (, ), ^ ahead of it<newline46mondego>|               #   OR<newline46mondego>(?<=[+*/()^])   #   the empty space that has one of: +, *, /, (, ), ^ before it <newline46mondego>|               #   OR<newline46mondego>(?<=\d-)        #   the empty space that has a digit followed by a minus sign before it<newline46mondego>|               #   OR<newline46mondego>(?<=\d)(?=-)    #   the empty space that has a digit before it and a minus sign ahead of it<newline46mondego>"
"72splitHere46","5921391splitHere46","InputStream"
"73splitHere46","5921391splitHere46","InputStreamReader"
"74splitHere46","5921391splitHere46","Content-Type"
"75splitHere46","5921391splitHere46","Reader reader = new InputStreamReader(input, <doubleQuotes46>UTF-8<doubleQuotes46>);<newline46mondego>// ...<newline46mondego>"
"76splitHere46","5921391splitHere46","String html = Jsoup.connect(<doubleQuotes46>http://stackoverflow.com<doubleQuotes46>).get().html();<newline46mondego>"
"77splitHere46","5921391splitHere46","URLConnection"
"78splitHere46","5921391splitHere46","IOUtils"
"79splitHere46","5921391splitHere46","InputStream"
"80splitHere46","5921391splitHere46","String"
"81splitHere46","5921391splitHere46","String contentType = connection.getHeaderField(<doubleQuotes46>Content-Type<doubleQuotes46>);<newline46mondego>String charset = <doubleQuotes46>UTF-8<doubleQuotes46>; // Default to UTF-8<newline46mondego>for (String param : contentType.replace(<doubleQuotes46> <doubleQuotes46>, <doubleQuotes46><doubleQuotes46>).split(<doubleQuotes46>;<doubleQuotes46>)) {<newline46mondego>    if (param.startsWith(<doubleQuotes46>charset=<doubleQuotes46>)) {<newline46mondego>        charset = param.split(<doubleQuotes46>=<doubleQuotes46>, 2)[1];<newline46mondego>        break;<newline46mondego>    }<newline46mondego>}<newline46mondego><newline46mondego>String html = IOUtils.toString(input, charset);<newline46mondego>"
"82splitHere46","5921391splitHere46","System.out.println(html);<newline46mondego>"
"83splitHere46","5921391splitHere46","FileWriter"
"84splitHere46","5921391splitHere46","InputStream"
"85splitHere46","5921391splitHere46","OutputStream"
"86splitHere46","5921391splitHere46","String"
"87splitHere46","5921391splitHere46","String"
"88splitHere46","5921391splitHere46","new OutputStreamWriter(output, <doubleQuotes46>UTF-8<doubleQuotes46>)"
"89splitHere46","5921409splitHere46","java.net.URLConnection"
"90splitHere46","5921409splitHere46","getHeaderFields()"
"91splitHere46","5921409splitHere46","Set-Cookie"
"92splitHere46","5921409splitHere46","URLConnection connection = new URL(<doubleQuotes46>http://google.com<doubleQuotes46>).openConnection();<newline46mondego>List<String> cookies = connection.getHeaderFields().get(<doubleQuotes46>Set-Cookie<doubleQuotes46>);<newline46mondego>// ...<newline46mondego>"
"93splitHere46","5921455splitHere46","(20 * 232792560)"
"94splitHere46","5921455splitHere46","int"
"95splitHere46","5921455splitHere46","360883904"
"96splitHere46","5921455splitHere46","20"
"97splitHere46","5921455splitHere46","System.out.println(<doubleQuotes46>Strange <doubleQuotes46> + (20 * 232792560L) / 20);<newline46mondego>"
"98splitHere46","5921455splitHere46","L"
"99splitHere46","5921455splitHere46","long"
"100splitHere46","5921455splitHere46","int"
"101splitHere46","5921847splitHere46","new Date(String)"
"102splitHere46","5921847splitHere46","DateFormat.parse(String)"
"103splitHere46","5921847splitHere46","DateFormat"
"104splitHere46","5921847splitHere46","parse(String)"
"105splitHere46","5921847splitHere46","java.util.Date"
"106splitHere46","5921866splitHere46","totalTax = totalTax;<newline46mondego>total = total;<newline46mondego>"
"107splitHere46","5921866splitHere46","this.totalTax = totalTax;<newline46mondego>this.total = total;<newline46mondego>"
"108splitHere46","5921866splitHere46","totalTax = totalTax"
"109splitHere46","5921866splitHere46","this.totalTax"
"110splitHere46","5921868splitHere46","JButton Size - java.awt.Dimension[width=400,height=40]<newline46mondego>JPanel Size - java.awt.Dimension[width=640,height=480]<newline46mondego>JFrame Size - java.awt.Dimension[width=646,height=505]<newline46mondego>"
"111splitHere46","5921868splitHere46","setDefaultCloseOperation()"
"112splitHere46","5921868splitHere46","import java.awt.BorderLayout;<newline46mondego>import java.awt.Dimension;<newline46mondego>import java.awt.event.ActionEvent;<newline46mondego>import java.awt.event.ActionListener;<newline46mondego>import javax.swing.JButton;<newline46mondego>import javax.swing.JFrame;<newline46mondego>import javax.swing.JPanel;<newline46mondego><newline46mondego>public class FrameSize {<newline46mondego><newline46mondego>    private JFrame frm = new JFrame();<newline46mondego>    private JPanel pnl = new JPanel();<newline46mondego>    private JButton btn = new JButton(<doubleQuotes46>Get ScreenSize for JComponents<doubleQuotes46>);<newline46mondego><newline46mondego>    public FrameSize() {<newline46mondego>        btn.setPreferredSize(new Dimension(400, 40));<newline46mondego>        btn.addActionListener(new ActionListener() {<newline46mondego><newline46mondego>            @Override<newline46mondego>            public void actionPerformed(ActionEvent e) {<newline46mondego>                System.out.println(<doubleQuotes46>JButton Size - <doubleQuotes46> + btn.getSize());<newline46mondego>                System.out.println(<doubleQuotes46>JPanel Size - <doubleQuotes46> + pnl.getSize());<newline46mondego>                System.out.println(<doubleQuotes46>JFrame Size - <doubleQuotes46> + frm.getSize());<newline46mondego>            }<newline46mondego>        });<newline46mondego>        pnl.setPreferredSize(new Dimension(640, 480));<newline46mondego>        pnl.add(btn, BorderLayout.SOUTH);<newline46mondego>        frm.add(pnl, BorderLayout.CENTER);<newline46mondego>        frm.setLocation(150, 100);<newline46mondego>        frm.setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE); // EDIT<newline46mondego>        frm.setResizable(false);<newline46mondego>        frm.pack();<newline46mondego>        frm.setVisible(true);<newline46mondego>    }<newline46mondego><newline46mondego>    public static void main(String[] args) {<newline46mondego>        java.awt.EventQueue.invokeLater(new Runnable() {<newline46mondego><newline46mondego>            @Override<newline46mondego>            public void run() {<newline46mondego>                FrameSize fS = new FrameSize();<newline46mondego>            }<newline46mondego>        });<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"113splitHere46","5921918splitHere46","<!DOCTYPE ui:UiBinder SYSTEM <doubleQuotes46>http://dl.google.com/gwt/DTD/xhtml.ent<doubleQuotes46>><newline46mondego><ui:UiBinder xmlns:ui=<doubleQuotes46>urn:ui:com.google.gwt.uibinder<doubleQuotes46><newline46mondego>    xmlns:g=<doubleQuotes46>urn:import:com.google.gwt.user.client.ui<doubleQuotes46>><newline46mondego>    <ui:style><newline46mondego>        .important { font-weight: bold;}<newline46mondego>        .westPanel{background-color: #EEE;}<newline46mondego>        .northPanel{background-color: #39F;<newline46mondego>                border-width: 1px;<newline46mondego>                border-style: solid;<newline46mondego>                border-color: blue;}<newline46mondego>             .h2 {color: #cacaca;<newline46mondego>                 text-align: center;<newline46mondego>                 font-family: Arial, Helvetica;<newline46mondego>                 font-weight: bold;<newline46mondego>                 font-size: 1.3em;}<newline46mondego>        .southPanel{background-color: #99C;}<newline46mondego>        .centerPanel{background-color: #FFC;}<newline46mondego>        .botaoR{width: 120px; <newline46mondego>            height: 40px; <newline46mondego>            cursor: pointer;}<newline46mondego>    </ui:style><newline46mondego><newline46mondego>    <g:DockLayoutPanel unit='EM'><newline46mondego><newline46mondego>        <g:north size='2'><newline46mondego>            <g:FlowPanel styleName=<doubleQuotes46>{style.northPanel}<doubleQuotes46>><newline46mondego>                <g:Label styleName=<doubleQuotes46>{style.h2}<doubleQuotes46> text=<doubleQuotes46>Gestor de Horarios<doubleQuotes46>/><newline46mondego>            </g:FlowPanel><newline46mondego>        </g:north><newline46mondego><newline46mondego><!-- Aqui foi inserido um StackPanel dentro do DockPanel tipo Acordeao --><newline46mondego>    <g:west size=<doubleQuotes46>15<doubleQuotes46>><newline46mondego>        <g:StackLayoutPanel unit='EM'><newline46mondego>            <g:stack><newline46mondego>                <g:header size='3'><newline46mondego>                    Docentes<newline46mondego>                </g:header><newline46mondego>                    <g:Button styleName=<doubleQuotes46>{style.botaoR}<doubleQuotes46> ui:field=<doubleQuotes46>botao<doubleQuotes46> text=<doubleQuotes46>Ver Docentes<doubleQuotes46> /><newline46mondego>            </g:stack><newline46mondego>            <g:stack><newline46mondego>                <g:customHeader size='3'><newline46mondego>                    <g:Label>Cursos</g:Label><newline46mondego>                </g:customHeader><newline46mondego><newline46mondego>                <g:VerticalPanel><newline46mondego>                    <g:Label>Exemplo </g:Label><newline46mondego>                    <g:Label>Exemplo </g:Label><newline46mondego>                    <g:Label>Exemplo </g:Label><newline46mondego>                    <g:Label>Exemplo </g:Label><newline46mondego>                </g:VerticalPanel><newline46mondego><newline46mondego>            </g:stack><newline46mondego>            <g:stack><newline46mondego>                <g:customHeader size='3'><newline46mondego>                    <g:Label>Turmas</g:Label><newline46mondego>                </g:customHeader><newline46mondego>                    <g:Label>Mais uma turma para adicionar, olarilolela</g:Label><newline46mondego>            </g:stack><newline46mondego>        </g:StackLayoutPanel><newline46mondego>    </g:west><newline46mondego><newline46mondego>        <g:center><newline46mondego>            <g:FlowPanel styleName=<doubleQuotes46>{style.centerPanel}<doubleQuotes46>><newline46mondego>                <g:Label>Painel Central</g:Label><newline46mondego>            </g:FlowPanel><newline46mondego>        </g:center><newline46mondego><newline46mondego>        <g:south size ='2'><newline46mondego>            <g:FlowPanel styleName=<doubleQuotes46>{style.southPanel}<doubleQuotes46>><newline46mondego>                <g:Label>Painel de Rodape</g:Label><newline46mondego>            </g:FlowPanel><newline46mondego>        </g:south><newline46mondego><newline46mondego>    </g:DockLayoutPanel>    <newline46mondego></ui:UiBinder>     <newline46mondego>"
"114splitHere46","5921918splitHere46","import com.google.gwt.core.client.GWT;<newline46mondego>import com.google.gwt.event.dom.client.ClickEvent;<newline46mondego>import com.google.gwt.event.dom.client.ClickHandler;<newline46mondego>import com.google.gwt.uibinder.client.UiBinder;<newline46mondego>import com.google.gwt.uibinder.client.UiField;<newline46mondego>import com.google.gwt.user.client.Window;<newline46mondego>import com.google.gwt.user.client.ui.Button;<newline46mondego>import com.google.gwt.user.client.ui.Composite;<newline46mondego>import com.google.gwt.user.client.ui.Widget;<newline46mondego><newline46mondego><newline46mondego>public class DockPanel extends Composite {<newline46mondego><newline46mondego>    private static DockPanelUiBinder uiBinder = GWT<newline46mondego>            .create(DockPanelUiBinder.class);<newline46mondego><newline46mondego>    interface DockPanelUiBinder extends UiBinder<Widget, DockPanel> {<newline46mondego>    }<newline46mondego><newline46mondego>    @UiField Button botao;<newline46mondego>    public DockPanel() {<newline46mondego>        initWidget(uiBinder.createAndBindUi(this));<newline46mondego><newline46mondego>        //Botao para mostrar qq coisa<newline46mondego>        botao.addClickHandler(new ClickHandler() {<newline46mondego>            @Override<newline46mondego>            public void onClick(ClickEvent event) {<newline46mondego>                //Aqui coloquei um link, mas depois sera colocado uma accao<newline46mondego>                Window.Location.assign(<doubleQuotes46>http://www.sapo.pt<doubleQuotes46>);   <newline46mondego>            }<newline46mondego>        });<newline46mondego><newline46mondego>    }<newline46mondego><newline46mondego>}    <newline46mondego>"
"115splitHere46","5921918splitHere46","<g:HorizontalSplitPanel width=<doubleQuotes46>1024px<doubleQuotes46> height=<doubleQuotes46>768px<doubleQuotes46> splitPosition=<doubleQuotes46>200x<doubleQuotes46> styleName=<doubleQuotes46>{style.resize-bar}<doubleQuotes46>><newline46mondego><newline46mondego>...put here the code for StackLayoutPanel.... <newline46mondego>... create a css style for resize-bar<newline46mondego><newline46mondego></g:HorizontalSplitPanel>    <newline46mondego>"
"116splitHere46","5922046splitHere46","Date date = new Date();<newline46mondego>    Calendar cal = Calendar.getInstance();<newline46mondego>    cal.setTime(date);<newline46mondego>    cal.add(Calendar.MONTH, 6);<newline46mondego><newline46mondego>            java.util.Date expirationDate = cal.getTime();<newline46mondego><newline46mondego>    System.err.println(expirationDate);<newline46mondego>"
"117splitHere46","5922217splitHere46","void foo(std::string bar); // by copy<newline46mondego>void foo(std::string& bar); // by reference<newline46mondego>void foo(std::string* bar); // by address<newline46mondego>"
"118splitHere46","5922217splitHere46","const"
"119splitHere46","5922217splitHere46","void foo(const std::string& bar); // by const reference<newline46mondego>"
"120splitHere46","5922217splitHere46","// Java using <doubleQuotes46>object references<doubleQuotes46>:<newline46mondego>public static void foo(String bar)<newline46mondego>{<newline46mondego>    bar = <doubleQuotes46>hello world<doubleQuotes46>;<newline46mondego>}<newline46mondego><newline46mondego>public static void main(String[] argv)<newline46mondego>{<newline46mondego>    String bar = <doubleQuotes46>goodbye world<doubleQuotes46>;<newline46mondego>    foo(bar);<newline46mondego>    System.out.println(bar); // prints <doubleQuotes46>goodbye world<doubleQuotes46><newline46mondego>}<newline46mondego><newline46mondego>// C++ using <doubleQuotes46>references<doubleQuotes46>:<newline46mondego>void foo(std::string& bar)<newline46mondego>{<newline46mondego>    bar = <doubleQuotes46>hello world<doubleQuotes46>;<newline46mondego>}<newline46mondego><newline46mondego>int main()<newline46mondego>{<newline46mondego>    std::string bar = <doubleQuotes46>goodbye world<doubleQuotes46>;<newline46mondego>    foo(bar);<newline46mondego>    std::cout << bar << std::endl; // prints <doubleQuotes46>hello world<doubleQuotes46><newline46mondego>}<newline46mondego><newline46mondego>// C++ using pointers:<newline46mondego>void foo(std::string* bar)<newline46mondego>{<newline46mondego>    bar = new std::string(<doubleQuotes46>goodbye world<doubleQuotes46>);<newline46mondego>    delete bar; // you don't want to leak<newline46mondego>}<newline46mondego><newline46mondego>int main()<newline46mondego>{<newline46mondego>    std::string bar = <doubleQuotes46>goodbye world<doubleQuotes46>;<newline46mondego>    foo(&bar);<newline46mondego>    std::cout << bar << std::endl; // prints <doubleQuotes46>hello world<doubleQuotes46><newline46mondego>}<newline46mondego>"
"121splitHere46","5922217splitHere46","&"
"122splitHere46","5922217splitHere46","foo(&bar)"
"123splitHere46","5922217splitHere46","->"
"124splitHere46","5922217splitHere46","NULL"
"125splitHere46","5922217splitHere46","NULL"
"126splitHere46","5922217splitHere46","NULL"
"127splitHere46","5922217splitHere46","NULL"
"128splitHere46","5922255splitHere46","Object[]"
"129splitHere46","5922255splitHere46","String[]"
"130splitHere46","5922255splitHere46","String[] myentries = entries.toArray(new String[entries.size()]);<newline46mondego>"
"131splitHere46","5922387splitHere46","int[] list = null;<newline46mondego>if (...) {<newline46mondego>    list = new int[10];<newline46mondego>}<newline46mondego>Do what so ever with list.<newline46mondego>"
"132splitHere46","5922469splitHere46","String"
"133splitHere46","5922469splitHere46","byte[]"
"134splitHere46","5922492splitHere46","Content-Type"
"135splitHere46","5922492splitHere46","Content-Type"
"136splitHere46","5922492splitHere46","text"
"137splitHere46","5922492splitHere46","text"
"138splitHere46","5923009splitHere46","FlowLayout"
"139splitHere46","5923009splitHere46","JPanel"
"140splitHere46","5923009splitHere46","GridLayout"
"141splitHere46","5923009splitHere46","setVisibleRowCount()"
"142splitHere46","5923009splitHere46","pack()"
"143splitHere46","5923095splitHere46","Shape"
"144splitHere46","5923477splitHere46","actionPerformed"
"145splitHere46","5923477splitHere46","clear.addActionListener(new ActionListener() {<newline46mondego>    @Override<newline46mondego>    public void actionPerformed(ActionEvent actionEvent) {<newline46mondego>      // Clear two values.<newline46mondego>    }<newline46mondego>});`<newline46mondego>"
"146splitHere46","5923477splitHere46","ActionListener"
"147splitHere46","5923477splitHere46","JMenuItem"
"148splitHere46","5923562splitHere46","OutOfMemmoryError"
"149splitHere46","5923607splitHere46","public Map<LocalDate, List<Foo>> groupByDate(List<Foo> foos) {<newline46mondego>  Map<LocalDate, List<Foo>> groupedFoo = new HashMap()<..><newline46mondego>  for(Foo foo : foos) {<newline46mondego>    Date javaDate = foo.getDate();<newline46mondego>    LocalDate jodaDate = new LocalDate(javaDate);<newline46mondego>    List<Foo> dateGroupedFoos = groupedFoo.get(jodaDate);<newline46mondego>    if (null == dateGroupedFoos) {<newline46mondego>      dateGroupedFoos = new ArrayList()<..>;<newline46mondego>      groupedFoo.put(jodaDate, dateGroupedFoos);<newline46mondego>    }<newline46mondego>    dateGroupedFoos.add(foo);<newline46mondego>  }<newline46mondego>}<newline46mondego>"
"150splitHere46","5923610splitHere46","System.out.println(<doubleQuotes46>ADC<doubleQuotes46>.matches(<doubleQuotes46>A.*?C<doubleQuotes46>));<newline46mondego>"
"151splitHere46","5923610splitHere46","true"
"152splitHere46","5923610splitHere46","ABC"
"153splitHere46","5923610splitHere46","ABC"
"154splitHere46","5923610splitHere46","A.?C|C.?A|D.?C|C.?D|A.?F|F.?A<newline46mondego>"
"155splitHere46","5923610splitHere46","A.*?C   or<newline46mondego>C.*?A   or<newline46mondego>D.*?C   or<newline46mondego>C.*?D   or<newline46mondego>A.*?F   or<newline46mondego>F.*?A<newline46mondego>"
"156splitHere46","5923610splitHere46","Something that starts with A and ends with C, or<newline46mondego>Something that starts with C and ends with A, or<newline46mondego>Something that starts with D and ends with C, or<newline46mondego>....<newline46mondego>Something that starts with F and ends with A,<newline46mondego>"
"157splitHere46","5923610splitHere46","<doubleQuotes46>DEAGHHF"
"158splitHere46","5923610splitHere46","D"
"159splitHere46","5923610splitHere46","F"
"160splitHere46","5923610splitHere46","Matcher.find"
"161splitHere46","5923675splitHere46","String json1 = new Gson().toJson(object1); <newline46mondego>String json2 = new Gson().toJson(object2); <newline46mondego>response.setContentType(<doubleQuotes46>application/json<doubleQuotes46>); <newline46mondego>response.setCharacterEncoding(<doubleQuotes46>utf-8<doubleQuotes46>); <newline46mondego>String bothJson = <doubleQuotes46>[<doubleQuotes46>+json1+<doubleQuotes46>,<doubleQuotes46>+json2+<doubleQuotes46>]<doubleQuotes46>; //Put both objects in an array of 2 elements<newline46mondego>response.getWriter().write(bothJson);<newline46mondego>"
"162splitHere46","5923675splitHere46","$.getJSON(<doubleQuotes46>MyServlet<doubleQuotes46>, paramenters, function (data){ <newline46mondego>   var data1=data[0], data2=data[1]; //We get both data1 and data2 from the array<newline46mondego>   $(<doubleQuotes46>h3#name<doubleQuotes46>).text(data1[<doubleQuotes46>name<doubleQuotes46>]); <newline46mondego>   $(<doubleQuotes46>span#level<doubleQuotes46>).text(data1[<doubleQuotes46>level<doubleQuotes46>]); <newline46mondego>   $(<doubleQuotes46>span#college<doubleQuotes46>).text(data2[<doubleQuotes46>college<doubleQuotes46>]); <newline46mondego>   $(<doubleQuotes46>span#department<doubleQuotes46>).text(data2[<doubleQuotes46>department<doubleQuotes46>]);<newline46mondego>});<newline46mondego>"
"163splitHere46","5923764splitHere46","ed"
"164splitHere46","5923764splitHere46","ed"
"165splitHere46","5923764splitHere46","EditText ed;<newline46mondego>List<EditText> allEds = new ArrayList<EditText>();<newline46mondego><newline46mondego>for (int i = 0; i < count; i++) {   <newline46mondego><newline46mondego>    ed = new EditText(Activity2.this);<newline46mondego>    allEds.add(ed);<newline46mondego>    ed.setBackgroundResource(R.color.blackOpacity);<newline46mondego>    ed.setId(id);   <newline46mondego>    ed.setLayoutParams(new LayoutParams(LayoutParams.FILL_PARENT,<newline46mondego>            LayoutParams.WRAP_CONTENT));<newline46mondego>    linear.addView(ed);<newline46mondego>}<newline46mondego>"
"166splitHere46","5923764splitHere46","allEds"
