"1splitHere46","788873splitHere46","// somewhere out there<newline46mondego>public enum Events {<newline46mondego>  TERMINATE, DO_SOMETHING, BAKE_SOMETHING<newline46mondego>}<newline46mondego><newline46mondego>// inside consumer<newline46mondego>Events e;<newline46mondego>while( (e = queue.take()) != TERMINATE ) {<newline46mondego>  switch(e) {<newline46mondego>    case DO_SOMETHING:<newline46mondego>      // blah blah<newline46mondego>  }<newline46mondego>}<newline46mondego><newline46mondego>// somewhere else in another thread<newline46mondego>Events e = BAKE_SOMETHING;<newline46mondego>if( queue.offer(e) )<newline46mondego>   // the queue gladly accepted our BAKE_SOMETHING event!<newline46mondego>else<newline46mondego>   // oops! we could block with put() if we want...<newline46mondego>"
"12splitHere46","790754splitHere46","public class Worker implements Runnable {<newline46mondego>   private Queue<String> myQueue = new Queue<String>();<newline46mondego>   public void run()<newline46mondego>   {<newline46mondego>       while (true) {<newline46mondego>          string messageToProcess = null;<newline46mondego>          synchronized (myQueue) {<newline46mondego>             if (!myQueue.empty()) {<newline46mondego>                 // get your data from queue<newline46mondego>                 messageToProcess = myQueue.pop();<newline46mondego>             }<newline46mondego>          }<newline46mondego>          if (messageToProcess != null) {<newline46mondego>             // do your stuff<newline46mondego>          }<newline46mondego>          Thread.sleep(500); // to avoid spinning<newline46mondego>       }<newline46mondego>   }<newline46mondego>   public void queueMessage(String message)<newline46mondego>   {<newline46mondego>      synchronized(myQueue) {<newline46mondego>         myQueue.add(message);<newline46mondego>      }<newline46mondego>   }<newline46mondego>}<newline46mondego>"
"13splitHere46","790754splitHere46","while (true) {<newline46mondego>   String msg = getNewCreatedMessage(); // you get your messages from here<newline46mondego>   int id = getNewCreatedMessageId();   // you get your rec's id from here<newline46mondego>   Worker w = myHash(id);<newline46mondego>   if (w == null) {   // create new Worker thread<newline46mondego>      w = new Worker();<newline46mondego>      new Thread(w).start();<newline46mondego>   }<newline46mondego>   w.queueMessage(msg);<newline46mondego>}<newline46mondego>"
"14splitHere46","791406splitHere46","InterruptedException"
"15splitHere46","791406splitHere46","Thread.interrupt"
"16splitHere46","791406splitHere46","done"
"17splitHere46","791406splitHere46","IllegalStateException"
"18splitHere46","791406splitHere46","publish"
"19splitHere46","791406splitHere46","process"
"20splitHere46","791406splitHere46","ExecutionException"
"21splitHere46","791406splitHere46","SwingWorker"
"22splitHere46","791547splitHere46","// {{{<newline46mondego><newline46mondego>// }}}<newline46mondego>"
"23splitHere46","791552splitHere46","while(iterator.hasNext()) {<newline46mondego>  x = iterator.next(); // get element<newline46mondego>  // do with x what you want<newline46mondego>  if (/*you want to remove x from the underlying list*/)<newline46mondego>      iterator.remove();<newline46mondego>}<newline46mondego>"
"24splitHere46","791818splitHere46","public interface Trader {<newline46mondego>    Trader copyTrader();<newline46mondego>    ...<newline46mondego>}<newline46mondego><newline46mondego><newline46mondego>public final class MyTrader implements Trader {<newline46mondego>    MyTrader copyTrader() {<newline46mondego>        return new MyTrader(this);<newline46mondego>    }<newline46mondego>    ...<newline46mondego>}<newline46mondego>"
"25splitHere46","791818splitHere46","Trader"
"26splitHere46","791818splitHere46","public interface Trader<THIS extends Trader> {<newline46mondego>    THIS copyTrader();<newline46mondego>    ...<newline46mondego>}<newline46mondego><newline46mondego><newline46mondego>public final class MyTrader implements Trader<MyTrader> {<newline46mondego>    public MyTrader copyTrader() {<newline46mondego>        return new MyTrader(this);<newline46mondego>    }<newline46mondego>    ...<newline46mondego>}<newline46mondego>"
"27splitHere46","791852splitHere46","doStuff()"
"28splitHere46","791852splitHere46","Error"
"29splitHere46","791852splitHere46","catch (Exception e)"
"30splitHere46","791852splitHere46","catch (Throwable t)"
"31splitHere46","791852splitHere46","Thread.stop()"
"32splitHere46","791853splitHere46","FLOAT_PAIR"
"33splitHere46","791853splitHere46","0.0<newline46mondego>"
"34splitHere46","791853splitHere46","FLOAT 0"
"35splitHere46","791853splitHere46","FLOAT .0"
"36splitHere46","791853splitHere46","FLOAT 0."
"37splitHere46","791853splitHere46","FLOAT 0"
"38splitHere46","791853splitHere46","0.0"
"39splitHere46","791853splitHere46","12345<newline46mondego>"
"40splitHere46","791853splitHere46","INTEGER 12, INTEGER 345"
"41splitHere46","791853splitHere46","INTEGER_PAIR"
"42splitHere46","791853splitHere46","INTEGER 123, INTEGER 45"
"43splitHere46","791853splitHere46","INTEGER_PAIR"
"44splitHere46","791853splitHere46","INTEGER 12345"
"45splitHere46","791853splitHere46","INTEGER_PAIR"
"46splitHere46","791853splitHere46","FLOAT_PAIR"
"47splitHere46","791853splitHere46","INTEGER"
"48splitHere46","791853splitHere46","FLOAT"
"49splitHere46","791853splitHere46","<doubleQuotes46>----42<doubleQuotes46>"
"50splitHere46","791853splitHere46","INTEGER"
"51splitHere46","791853splitHere46","DIGIT"
"52splitHere46","791853splitHere46","DIGIT"
"53splitHere46","791853splitHere46","DIGIT"
"54splitHere46","791853splitHere46","[0-9]"
"55splitHere46","791853splitHere46","DIGIT"
"56splitHere46","791907splitHere46","IConnection"
"57splitHere46","791907splitHere46","send()"
"58splitHere46","791907splitHere46","recv()"
"59splitHere46","791907splitHere46","LocalConnection"
"60splitHere46","791907splitHere46","LongDistanceConnection"
"61splitHere46","791907splitHere46","TelephoneCall"
"62splitHere46","791907splitHere46","TelephoneCall call = new TelephoneCall(new LocalConnection());<newline46mondego>"
"63splitHere46","791907splitHere46","TelephoneCall call = new TelephoneCall(new LongDistanceConnection());<newline46mondego>"
"64splitHere46","791907splitHere46","public TelephoneCall(IConnection connect);<newline46mondego>"
"65splitHere46","791908splitHere46","File tempDir = new File(System.getProperty(<doubleQuotes46>java.io.tmpdir<doubleQuotes46>));<newline46mondego>File temporaryFile = new File(tempDir, <doubleQuotes46>templateCopy.dot<doubleQuotes46>);<newline46mondego>InputStream templateStream = getClass().getResourceAsStream(<doubleQuotes46>myTemplate.dot<doubleQuotes46>);<newline46mondego>IOUtils.copy(templateStream, new FileOutputStream(temporaryFile));<newline46mondego>String absolutePath = temporaryFile.getAbsolutePath();<newline46mondego>"
"66splitHere46","792010splitHere46","<listener><newline46mondego>    <listener-class>com.mypackage.MyServletContextListener</listener-class><newline46mondego></listener><newline46mondego>"
"67splitHere46","792010splitHere46","public class MyServletContextListener implements ServletContextListener {<newline46mondego><newline46mondego>    private MyThreadClass myThread = null;<newline46mondego><newline46mondego>    public void contextInitialized(ServletContextEvent sce) {<newline46mondego>        if ((myThread == null) || (!myThread.isAlive())) {<newline46mondego>            myThread = new MyThreadClass();<newline46mondego>            myThread.start();<newline46mondego>        }<newline46mondego>    }<newline46mondego><newline46mondego>    public void contextDestroyed(ServletContextEvent sce){<newline46mondego>        try {<newline46mondego>            myThread.doShutdown();<newline46mondego>            myThread.interrupt();<newline46mondego>        } catch (Exception ex) {<newline46mondego>        }<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"68splitHere46","792049splitHere46","Runtime r = Runtime.getRuntime();<newline46mondego>Process p = r.exec(<doubleQuotes46>uname -a<doubleQuotes46>);<newline46mondego>p.waitFor();<newline46mondego>BufferedReader b = new BufferedReader(new InputStreamReader(p.getInputStream()));<newline46mondego>String line = <doubleQuotes46><doubleQuotes46>;<newline46mondego><newline46mondego>while ((line = b.readLine()) != null) {<newline46mondego>  System.out.println(line);<newline46mondego>}<newline46mondego>"
"69splitHere46","792276splitHere46","<doubleQuotes46>%02d<doubleQuotes46>.format(5)"
"70splitHere46","792276splitHere46","format"
"71splitHere46","792276splitHere46","String"
"72splitHere46","792276splitHere46","String"
"73splitHere46","792276splitHere46","String"
"74splitHere46","792276splitHere46","String"
"75splitHere46","792382splitHere46","m:\directory"
"76splitHere46","792382splitHere46","\\server\share\directory"
"77splitHere46","792383splitHere46","class Parent<newline46mondego>{<newline46mondego>    protected int x;<newline46mondego>}<newline46mondego><newline46mondego>class Child1 extends Parent<newline46mondego>class Child2 extends Parent<newline46mondego>class Grandchild extends Child1<newline46mondego>"
"78splitHere46","792383splitHere46","Child1"
"79splitHere46","792383splitHere46","Parent.x"
"80splitHere46","792383splitHere46","Child1"
"81splitHere46","792383splitHere46","Grandchild"
"82splitHere46","792383splitHere46","new Parent().x"
"83splitHere46","792383splitHere46","new Child2().x"
"84splitHere46","792401splitHere46","Note: If a component has been added to a container that has been displayed, <newline46mondego>validate must be called on that container to display the new component. <newline46mondego>If multiple components are being added, you can improve efficiency by <newline46mondego>calling validate only once, after all the components have been added.<newline46mondego>"
"85splitHere46","792627splitHere46","if (body.isXML()) {<newline46mondego>  // do XML stuff<newline46mondego>}<newline46mondego>else if (body.isJSON()) {<newline46mondego>  // do JSON stuff<newline46mondego>}<newline46mondego>"
"86splitHere46","792627splitHere46","public interface BodyWrapper {<newline46mondego>   Object doStuff();<newline46mondego>}<newline46mondego><newline46mondego>public class DOMBodyWrapper implements BodyWrapper {<newline46mondego>   public Object doStuff() {<newline46mondego>   }<newline46mondego>}<newline46mondego><newline46mondego>public class JSONBodyWrapper implements BodyWrapper {<newline46mondego>   public Object doStuff() {<newline46mondego>      // do something and return a success/failure result. I've<newline46mondego>      // deliberately not defined what this object is....<newline46mondego>   }<newline46mondego>}<newline46mondego>"
"87splitHere46","792627splitHere46","// get the body via a factory or similar<newline46mondego>body.doStuff();<newline46mondego>"
"88splitHere46","792627splitHere46","BodyWrapper"
"89splitHere46","792791splitHere46","Options"
"90splitHere46","792791splitHere46","Results"
"91splitHere46","792791splitHere46","analyseText()"
"92splitHere46","793250splitHere46","serverURLS = <doubleQuotes46>https://abc.my.domain.com:55555/update<doubleQuotes46>;<newline46mondego>"
"93splitHere46","793250splitHere46","host"
"94splitHere46","793250splitHere46","null"
"95splitHere46","793498splitHere46","class ParentClass<newline46mondego>{<newline46mondego>    protected final static Set THE_SET;<newline46mondego><newline46mondego>    static {<newline46mondego>        THE_SET = new HashSet();<newline46mondego>        THE_SET.add(<doubleQuotes46>one<doubleQuotes46>);<newline46mondego>        THE_SET.add(<doubleQuotes46>two<doubleQuotes46>);<newline46mondego>        THE_SET.add(<doubleQuotes46>three<doubleQuotes46>);<newline46mondego>    }<newline46mondego>}<newline46mondego><newline46mondego><newline46mondego>class SubClass extends ParentClass<newline46mondego>{<newline46mondego>    protected final static Set THE_SECOND_SET;<newline46mondego><newline46mondego>    static {<newline46mondego>        THE_SECOND_SET = new HashSet();<newline46mondego>        THE_SECOND_SET.add(<doubleQuotes46>four<doubleQuotes46>);<newline46mondego>        THE_SECOND_SET.add(<doubleQuotes46>five<doubleQuotes46>);<newline46mondego>        THE_SECOND_SET.add(<doubleQuotes46>six<doubleQuotes46>);<newline46mondego>        union(ParentClass.THE_SET); /* [1] */<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"96splitHere46","793711splitHere46","time spent on a switch case call: 1<newline46mondego>time spent on a polymorphism call: 1.1<newline46mondego>time spent on a reflection call: 1.9-2.0<newline46mondego>"
"97splitHere46","793928splitHere46","/WEB-INF"
"98splitHere46","793928splitHere46","/WEB-INF/classes"
"99splitHere46","793928splitHere46","/WEB-INF/lib"
"100splitHere46","794013splitHere46","<%@ page isELIgnored=<doubleQuotes46>false<doubleQuotes46> %><newline46mondego>"
"101splitHere46","794076splitHere46","Address address = (Address)JXPathContext.newContext(vendor).<newline46mondego>         getValue(<doubleQuotes46>locations[address/zipCode='90210']/address<doubleQuotes46>);<newline46mondego>"
"102splitHere46","794879splitHere46","BufferedImage bufferedImage =<newline46mondego>        new BufferedImage(5, 5, BufferedImage.TYPE_INT_ARGB);<newline46mondego><newline46mondego>Graphics2D g2 = bufferedImage.createGraphics();<newline46mondego>g2.setColor(backColor);<newline46mondego>g2.fillRect(0, 0, 5, 5);<newline46mondego>g2.setColor(stripeColor);<newline46mondego>g2.drawLine(0, 0, 5, 5); // \<newline46mondego>g2.drawLine(0, 5, 5, 0); // /<newline46mondego><newline46mondego>// paint with the texturing brush<newline46mondego>Rectangle2D rect = new Rectangle2D.Double(0, 0, 5, 5);<newline46mondego>g2d.setPaint(new TexturePaint(bufferedImage, rect));<newline46mondego>g2d.fill(shape);<newline46mondego>"
"103splitHere46","794967splitHere46","a.compareTo(b)"
"104splitHere46","794967splitHere46","a.equals(b)"
"105splitHere46","794967splitHere46","false"
"106splitHere46","794967splitHere46","Comparator<MyClass>"
"107splitHere46","794967splitHere46","SortedMap"
"108splitHere46","794967splitHere46","SortedSet"
"109splitHere46","794967splitHere46","Comparator"
