"1splitHere46","3843825splitHere46","1) goto configure build path on the test project<newline46mondego>2) in that dialog you will see a <doubleQuotes46>tab<doubleQuotes46> for <doubleQuotes46>projects<doubleQuotes46>, click it<newline46mondego>3) add the dependent project and click apply<newline46mondego>"
"27splitHere46","3844602splitHere46","System.out.print(<doubleQuotes46>\<doubleQuotes46>Hello\<doubleQuotes46><doubleQuotes46>);<newline46mondego>"
"28splitHere46","3844691splitHere46","x"
"29splitHere46","3844691splitHere46","5"
"30splitHere46","3844691splitHere46","explainOutputs()"
"31splitHere46","3844691splitHere46","nsObj1"
"32splitHere46","3844691splitHere46","nsObj2"
"33splitHere46","3844691splitHere46","NotSimple nsObj1 = new NotSimple();"
"34splitHere46","3844691splitHere46","5"
"35splitHere46","3844691splitHere46","NotSimple nsObj2 = new NotSimple(50, <doubleQuotes46>Another immutable string!<doubleQuotes46>);"
"36splitHere46","3844691splitHere46","nsObj2 = nsObj1; nsObj2.setData(10); nsObj1.setData(100);"
"37splitHere46","3844691splitHere46","nsObj1 = new NotSimple();"
"38splitHere46","3844691splitHere46","nsObj2 = new NotSimple();"
"39splitHere46","3844691splitHere46","nsObj2.setData(10);"
"40splitHere46","3844709splitHere46","private boolean consumed"
"41splitHere46","3844709splitHere46","true"
"42splitHere46","3844709splitHere46","@Inject"
"43splitHere46","3844735splitHere46","print"
"44splitHere46","3844735splitHere46","print"
"45splitHere46","3844735splitHere46","i"
"46splitHere46","3844844splitHere46","for"
"47splitHere46","3844844splitHere46","val"
"48splitHere46","3844844splitHere46","var"
"49splitHere46","3844933splitHere46","list"
"50splitHere46","3844933splitHere46","ArrayList<Object>"
"51splitHere46","3844933splitHere46","T"
"52splitHere46","3844933splitHere46","Object"
"53splitHere46","3844933splitHere46","static void mix(ArrayList<Object> list, Object t)<newline46mondego>"
"54splitHere46","3844933splitHere46","Integer"
"55splitHere46","3844933splitHere46","Object"
"56splitHere46","3844933splitHere46","String"
"57splitHere46","3844933splitHere46","Object obj = new Integer(3);<newline46mondego>obj = <doubleQuotes46>Hello<doubleQuotes46>; //No CCE here<newline46mondego>"
"58splitHere46","3844959splitHere46","x = x ^ (y = y ^ (x = x ^ y));<newline46mondego>"
"59splitHere46","3844959splitHere46","x = x ^ (y = y ^ (x = x ^ y))<newline46mondego>x = 1 ^ (y = 2 ^ (x = 1 ^ 2))<newline46mondego>x = 1 ^ (y = 2 ^ (x = 3))<newline46mondego>x = 1 ^ (y = 2 ^ 3)             // x is set to 3 <newline46mondego>x = 1 ^ (y = 1)<newline46mondego>x = 1 ^ 1                       // y is set to 1<newline46mondego>x = 0                           // x is set to 0<newline46mondego>"
"60splitHere46","3844959splitHere46","x = (y = (x = x ^ y) ^ y) ^ x<newline46mondego>x = (y = (x = 1 ^ 2) ^ y) ^ x<newline46mondego>x = (y = (x = 3) ^ y) ^ x <newline46mondego>x = (y = 3 ^ y) ^ x             // x is set to 3<newline46mondego>x = (y = 3 ^ 2) ^ x<newline46mondego>x = (y = 1) ^ x<newline46mondego>x = 1 ^ x                       // y is set to 1<newline46mondego>x = 1 ^ 3<newline46mondego>x = 2                           // x is set to 2<newline46mondego>"
"61splitHere46","3844959splitHere46","x = (y ^= x ^= y) ^ x;<newline46mondego>"
"62splitHere46","3845074splitHere46","subRange"
"63splitHere46","3845074splitHere46","end"
"64splitHere46","3845074splitHere46","start"
"65splitHere46","3845074splitHere46","start"
"66splitHere46","3845074splitHere46","end"
"67splitHere46","3845074splitHere46","subRange"
"68splitHere46","3845074splitHere46","start"
"69splitHere46","3845546splitHere46","Element"
"70splitHere46","3845546splitHere46","javax.swing.text.html.InlineView"
"71splitHere46","3845546splitHere46","InlineElement ie = new InlineView(element)"
"72splitHere46","3845546splitHere46","ie.getAttributes)"
"73splitHere46","3845650splitHere46","SpinnerDateModel model = new SpinnerDateModel();<newline46mondego>model.setCalendarField(Calendar.MINUTE);<newline46mondego><newline46mondego>spinner= new JSpinner();<newline46mondego>spinner.setModel(model);<newline46mondego>spinner.setEditor(new JSpinner.DateEditor(spinner, <doubleQuotes46>h:mm a<doubleQuotes46>));<newline46mondego>"
"74splitHere46","3845710splitHere46","Book"
"75splitHere46","3845710splitHere46","Genre"
"76splitHere46","3845710splitHere46","Book"
"77splitHere46","3845710splitHere46","merge"
"78splitHere46","3845710splitHere46","Genre.addBook"
"79splitHere46","3845710splitHere46","Book.idGenre"
"80splitHere46","3845710splitHere46","<class name = <doubleQuotes46>Book<doubleQuotes46> table = <doubleQuotes46>virtual_bookcase.books<doubleQuotes46>><newline46mondego>    ...<newline46mondego>    <many-to-one name=<doubleQuotes46>idGenre<doubleQuotes46> column=<doubleQuotes46>idGenre<doubleQuotes46> class=<doubleQuotes46>Genre<doubleQuotes46> not-null=<doubleQuotes46>true<doubleQuotes46>/><newline46mondego></class><newline46mondego>"
"81splitHere46","3845710splitHere46","<set name = <doubleQuotes46>books<doubleQuotes46> cascade = <doubleQuotes46>all-delete-orphan<doubleQuotes46>><newline46mondego>    <key column = <doubleQuotes46>idGenre<doubleQuotes46>/><newline46mondego>    <one-to-many class = <doubleQuotes46>Book<doubleQuotes46>/><newline46mondego>  </set><newline46mondego>"
"82splitHere46","3845710splitHere46","long idGenre"
"83splitHere46","3845710splitHere46","Genre"
"84splitHere46","3845710splitHere46","Book"
"85splitHere46","3845710splitHere46","private Genre genre;<newline46mondego>"
"86splitHere46","3845804splitHere46","{ return LocalEnvironment$.MODULE$; }<newline46mondego>"
"87splitHere46","3845804splitHere46","ObjectName$"
"88splitHere46","3845804splitHere46","MODULE$"
"89splitHere46","3845804splitHere46","ObjectName"
"90splitHere46","3845804splitHere46","ObjectName.methodName"
"91splitHere46","3845804splitHere46","object"
"92splitHere46","3845813splitHere46","package MyPkg;<newline46mondego><newline46mondego>sub class_method {<newline46mondego>    my ($self, @params) = @_;<newline46mondego>    die <doubleQuotes46>used as an object method<doubleQuotes46> if ref $self;<newline46mondego>    # your code        <newline46mondego>} <newline46mondego>"
"93splitHere46","3845886splitHere46","ImageWriteParam"
"94splitHere46","3845886splitHere46","TIFFImageWriterSpi spi = new TIFFImageWriterSpi();<newline46mondego>ImageWriter writer = spi.createWriterInstance();<newline46mondego>ImageWriteParam param = writer.getDefaultWriteParam();<newline46mondego>param.setCompressionMode(ImageWriteParam.MODE_DISABLED);<newline46mondego><newline46mondego>ImageOutputStream ios = ImageIO.createImageOutputStream(new File(<doubleQuotes46>output.tif<doubleQuotes46>));<newline46mondego>writer.setOutput(ios);<newline46mondego>writer.write(null, new IIOImage(bmp, null, null), param);<newline46mondego>"
"95splitHere46","3845922splitHere46","0100 1000    72<newline46mondego>1011 0111    All bits inverted<newline46mondego>1011 1000    Add one<newline46mondego>"
"96splitHere46","3845922splitHere46","10111000"
"97splitHere46","3845922splitHere46","10111000"
"98splitHere46","3845922splitHere46","read()"
"99splitHere46","3845922splitHere46","11111111 11111111 11111111 10111000"
"100splitHere46","3845922splitHere46","0xff"
"101splitHere46","3845922splitHere46","00000000 00000000 00000000 10111000"
"102splitHere46","3846216splitHere46","public class Facebook {<newline46mondego><newline46mondego>    private MutableLong id = new MutableLong();<newline46mondego>    public Long getId() { return id.longValue(); }<newline46mondego>    public void setId(Long id) { this.id.setValue(id); }<newline46mondego><newline46mondego>    public MutableLong getIdAsMutableLong() {<newline46mondego>        return id;<newline46mondego>    }<newline46mondego><newline46mondego>    private Collection<MyFriends> myFriends = new ArrayList<MyFriends>();<newline46mondego>    public Collection<MyFriends> getMyFriends() { return myFriends; }<newline46mondego>    public void setMyFriends(Collection<MyFriends> myFriends) { this.myFriends = myFriends; }<newline46mondego><newline46mondego>    /**<newline46mondego>     * add convenience method<newline46mondego>     */<newline46mondego>    public void addFriend(Facebook myFriendFacebook) {<newline46mondego>        myFriends.add(new MyFriends(this, myFriendFacebook));<newline46mondego>    }<newline46mondego><newline46mondego>}<newline46mondego>"
"103splitHere46","3846216splitHere46","public class MyFriends {<newline46mondego><newline46mondego>    private MyFriendsId myFriendId;<newline46mondego>    public MyFriendsId getmyFriendId(){ return this.myFriendId; }<newline46mondego>    public void setmyFriendId(MyFriendsId myFriendId){ this.myFriendId = myFriendId; }<newline46mondego><newline46mondego>    private Facebook me;<newline46mondego>    public Facebook getme() { return this.me; }<newline46mondego>    public void setme(Facebook me){ this.me = me; }<newline46mondego><newline46mondego>    private Facebook myFriend;<newline46mondego>    public Facebook getmyFriend() { return this.myFriend; }<newline46mondego>    public void setmyFriend(Facebook friend) { this.myFriend = friend; }<newline46mondego><newline46mondego>    public MyFriends() {}<newline46mondego>    public MyFriends(Facebook meFacebook, Facebook myFriendFacebook){<newline46mondego>        this.me = meFacebook ;<newline46mondego>        this.myFriend = myFriendFacebook;<newline46mondego><newline46mondego>        this.myFriendId = new MyFriendsId(meFacebook.getIdAsMutableLong(), myFriendFacebook.getIdAsMutableLong());<newline46mondego>    }<newline46mondego><newline46mondego>    public static class MyFriendsId implements Serializable {<newline46mondego><newline46mondego>        private MutableLong meId = new MutableLong();<newline46mondego>        public Long getMeId() { return this.meId.longValue(); }<newline46mondego>        public void setMeId(Long id) { this.meId.setValue(id); }<newline46mondego><newline46mondego>        private MutableLong myFriendId = new MutableLong();<newline46mondego>        public Long getMyFriendId(){ return this.myFriendId.longValue(); }<newline46mondego>        public void setMyFriendId(Long id) { this.myFriendId.setValue(id); }<newline46mondego><newline46mondego>        public MyFriendsId() {}<newline46mondego>        public MyFriendsId(MutableLong meId, MutableLong myFriendId) {<newline46mondego>            this.meId = meId;<newline46mondego>            this.myFriendId = myFriendId;<newline46mondego>        }<newline46mondego><newline46mondego>        @Override<newline46mondego>        public boolean equals(Object o) {<newline46mondego>            if (!(o instanceof MyFriendsId))<newline46mondego>                return false;<newline46mondego><newline46mondego>            MyFriendsId other = (MyFriendsId) o;<newline46mondego>            return new EqualsBuilder()<newline46mondego>                       .append(getMeId(), other.getMeId())<newline46mondego>                       .append(getMyFriendId(), getMyFriendId())<newline46mondego>                       .isEquals();<newline46mondego>        }<newline46mondego><newline46mondego>        @Override<newline46mondego>        public int hashCode() {<newline46mondego>            return new HashCodeBuilder()<newline46mondego>                       .append(getMeId())<newline46mondego>                       .append(getMyFriendId())<newline46mondego>                       .hashCode();<newline46mondego>        }<newline46mondego><newline46mondego>    }<newline46mondego>}<newline46mondego>"
"104splitHere46","3846216splitHere46","<hibernate-mapping package=<doubleQuotes46>br.com._3845772.model.domain<doubleQuotes46>><newline46mondego>    <class name=<doubleQuotes46>User<doubleQuotes46>><newline46mondego>        <id name=<doubleQuotes46>id<doubleQuotes46>><newline46mondego>            <generator class=<doubleQuotes46>native<doubleQuotes46>/><newline46mondego>        </id><newline46mondego>        <many-to-one cascade=<doubleQuotes46>all<doubleQuotes46> class=<doubleQuotes46>Facebook<doubleQuotes46> name=<doubleQuotes46>facebook<doubleQuotes46>/><newline46mondego>    </class><newline46mondego>    <class name=<doubleQuotes46>Facebook<doubleQuotes46>><newline46mondego>        <id name=<doubleQuotes46>id<doubleQuotes46>><newline46mondego>            <generator class=<doubleQuotes46>native<doubleQuotes46>/><newline46mondego>        </id><newline46mondego>        <bag cascade=<doubleQuotes46>all<doubleQuotes46> name=<doubleQuotes46>myFriends<doubleQuotes46>><newline46mondego>            <key column=<doubleQuotes46>ME_FACEBOOK_ID<doubleQuotes46> update=<doubleQuotes46>false<doubleQuotes46>/><newline46mondego>            <one-to-many class=<doubleQuotes46>MyFriends<doubleQuotes46>/><newline46mondego>        </bag><newline46mondego>    </class><newline46mondego>    <class name=<doubleQuotes46>MyFriends<doubleQuotes46>><newline46mondego>        <composite-id class=<doubleQuotes46>MyFriends$MyFriendsId<doubleQuotes46> name=<doubleQuotes46>myFriendId<doubleQuotes46>><newline46mondego>            <key-property column=<doubleQuotes46>ME_FACEBOOK_ID<doubleQuotes46> name=<doubleQuotes46>meId<doubleQuotes46>/><newline46mondego>            <key-property column=<doubleQuotes46>MY_FRIEND_FACEBOOK_ID<doubleQuotes46> name=<doubleQuotes46>myFriendId<doubleQuotes46>/><newline46mondego>        </composite-id><newline46mondego>        <many-to-one class=<doubleQuotes46>Facebook<doubleQuotes46> column=<doubleQuotes46>ME_FACEBOOK_ID<doubleQuotes46> insert=<doubleQuotes46>false<doubleQuotes46> name=<doubleQuotes46>me<doubleQuotes46> update=<doubleQuotes46>false<doubleQuotes46>/><newline46mondego>        <many-to-one class=<doubleQuotes46>Facebook<doubleQuotes46> column=<doubleQuotes46>MY_FRIEND_FACEBOOK_ID<doubleQuotes46> insert=<doubleQuotes46>false<doubleQuotes46> name=<doubleQuotes46>myFriend<doubleQuotes46> update=<doubleQuotes46>false<doubleQuotes46>/><newline46mondego>    </class><newline46mondego></hibernate-mapping><newline46mondego>"
"105splitHere46","3846216splitHere46","Facebook meFacebook = new Facebook();<newline46mondego>Facebook myFriendFacebook = new Facebook();<newline46mondego><newline46mondego>meFacebook.addFriend(myFriendFacebook);<newline46mondego><newline46mondego>Session session = sessionFactory.openSession();<newline46mondego>session.beginTransaction();<newline46mondego><newline46mondego>session.save(myFriendFacebook);<newline46mondego>session.save(meFacebook);<newline46mondego><newline46mondego>session.getTransaction().commit();<newline46mondego>session.close();<newline46mondego>"
"106splitHere46","3846216splitHere46","Hibernate: insert into Facebook values ( )<newline46mondego>Hibernate: insert into Facebook values ( )<newline46mondego>Hibernate: select myfriends_.ME_FACEBOOK_ID, myfriends_.MY_FRIEND_FACEBOOK_ID from MyFriends myfriends_ where myfriends_.ME_FACEBOOK_ID=? and myfriends_.MY_FRIEND_FACEBOOK_ID=?<newline46mondego>Hibernate: insert into MyFriends (ME_FACEBOOK_ID, MY_FRIEND_FACEBOOK_ID) values (?, ?)<newline46mondego>"
"107splitHere46","3846241splitHere46","Ptd.x = getWidth() / 2 + P.x * 20;<newline46mondego>Ptd.y = getHeight() / 2 - P.y * 20;<newline46mondego>"
"108splitHere46","3846241splitHere46","Ptd"
"109splitHere46","3846241splitHere46","pTd"
"110splitHere46","3846241splitHere46","pointTranslated"
"111splitHere46","3846241splitHere46","P"
"112splitHere46","3846241splitHere46","p"
"113splitHere46","3846241splitHere46","point"
"114splitHere46","3846335splitHere46","listB.removeAll(listA)<newline46mondego>"
"115splitHere46","3846335splitHere46","listB"
"116splitHere46","3846335splitHere46","[e, f]"
"117splitHere46","3846458splitHere46","SessionFactory.getCurrentSession()"
"118splitHere46","3846458splitHere46","org.hibernate.classic.Session"
"119splitHere46","3846458splitHere46","org.hibernate.Session"
"120splitHere46","3846458splitHere46","org.hibernate.classic.Session session = Mockito.mock(org.hibernate.classic.Session.class);<newline46mondego>"
"121splitHere46","3846580splitHere46","ListModel bigData = new AbstractListModel() {<newline46mondego>    ArrayList customers;<newline46mondego>    public int getSize() { return customers.size() }<newline46mondego>    public Object getElementAt(int index) { return customers.get(index); }<newline46mondego>};<newline46mondego><newline46mondego>JList bigDataList = new JList(bigData);<newline46mondego>"
"122splitHere46","3846580splitHere46","revalidate()"
"123splitHere46","3846580splitHere46","repaint()"
"124splitHere46","3846885splitHere46","System.out.checkError();<newline46mondego>"
"125splitHere46","3846885splitHere46","PrintStream.checkError()"
"126splitHere46","3846885splitHere46","true"
"127splitHere46","3846885splitHere46","IOException"
"128splitHere46","3846885splitHere46","InterruptedIOException"
"129splitHere46","3846885splitHere46","setError"
"130splitHere46","3846885splitHere46","System.out"
"131splitHere46","3846885splitHere46","PrintStream"
"132splitHere46","3846885splitHere46","System.out"
"133splitHere46","3846897splitHere46","Hibernate.initialize(collection)"
"134splitHere46","3846897splitHere46","Hibernate.isInitialized(collection)"
"135splitHere46","3846897splitHere46","initialize(..)"
"136splitHere46","3846954splitHere46","ArrayList<String> tokens = new ArrayList<String>();<newline46mondego>"
"137splitHere46","3846954splitHere46","while (tokenize.hasNext()) {<newline46mondego>"
"138splitHere46","3846981splitHere46","ArrayList"
"139splitHere46","3846981splitHere46","HashSet"
"140splitHere46","3847091splitHere46","int counts[1000000];<newline46mondego><newline46mondego>while(each number as n)<newline46mondego>{<newline46mondego>    counts[n]++;<newline46mondego>    // then insert number into array<newline46mondego>}<newline46mondego>"
"141splitHere46","3847092splitHere46","NoSuchElementException"
"142splitHere46","3847299splitHere46","<doubleQuotes46>[^0-9]<doubleQuotes46><newline46mondego>"
"143splitHere46","3847321splitHere46","List<? super Number>"
"144splitHere46","3847321splitHere46","Number"
"145splitHere46","3847321splitHere46","Number extends Object implements Serializable"
"146splitHere46","3847321splitHere46","List<? super Number>"
"147splitHere46","3847321splitHere46","List<Number>"
"148splitHere46","3847321splitHere46","List<Object>"
"149splitHere46","3847321splitHere46","List<Serializable>"
"150splitHere46","3847321splitHere46","add(Integer.valueOf(0))"
"151splitHere46","3847321splitHere46","add(new Object())"
"152splitHere46","3847321splitHere46","List<Number>"
"153splitHere46","3847321splitHere46","List<Serializable>"
"154splitHere46","3847321splitHere46","add"
"155splitHere46","3847321splitHere46","Number"
"156splitHere46","3847321splitHere46","List<? super Number>"
"157splitHere46","3847321splitHere46","List<? super Number>"
"158splitHere46","3847321splitHere46","Object"
"159splitHere46","3847321splitHere46","Number"
"160splitHere46","3847321splitHere46","Number"
"161splitHere46","3847321splitHere46","List<Number>"
"162splitHere46","3847321splitHere46","extends"
"163splitHere46","3847321splitHere46","super"
"164splitHere46","3847321splitHere46","new Integer(0)"
"165splitHere46","3847321splitHere46","valueOf"
"166splitHere46","3847384splitHere46","ManyToMany"
"167splitHere46","3847384splitHere46","Map"
"168splitHere46","3847384splitHere46","@Entity<newline46mondego>public class Student {<newline46mondego>    ...<newline46mondego>    @ManyToMany<newline46mondego>    @JoinTable(<newline46mondego>        name=<doubleQuotes46>STUDENT_TEACHER_COURSE<doubleQuotes46>, <newline46mondego>        joinColumns= { @JoinColumn(name=<doubleQuotes46>STUDENT_ID<doubleQuotes46>) },<newline46mondego>        inverseJoinColumns= { @JoinColumn(name=<doubleQuotes46>TEACHER_ID<doubleQuotes46>) }<newline46mondego>    )<newline46mondego>    @MapKeyManyToMany(joinColumns = @JoinColumn(name=<doubleQuotes46>COURSE_ID<doubleQuotes46>,unique = false))<newline46mondego>    protected Map<Course,Teacher> teachers ;<newline46mondego>    ...<newline46mondego>}<newline46mondego>"
"169splitHere46","3847384splitHere46","List<Teacher>"
"170splitHere46","3847384splitHere46","Map"
"171splitHere46","3847384splitHere46","List"
"172splitHere46","3847482splitHere46","if (String.valueOf(x).contains(<doubleQuotes46>0<doubleQuotes46>))<newline46mondego>"
"173splitHere46","3847488splitHere46","DelegatingFilterProxy"
"174splitHere46","3847488splitHere46","<filter>"
"175splitHere46","3847488splitHere46","targetBeanName"
"176splitHere46","3847488splitHere46","<init-param><newline46mondego>    <param-name>targetBeanName</param-name><newline46mondego>    <param-value>creditFilter</param-value><newline46mondego></init-param><newline46mondego>"
"177splitHere46","3847781splitHere46","<?xml version=<doubleQuotes46>1.0<doubleQuotes46> encoding=<doubleQuotes46>UTF-8<doubleQuotes46>?><newline46mondego><persons><newline46mondego>    <person id=<doubleQuotes46>1<doubleQuotes46>><newline46mondego>        <name>John Doe</name><newline46mondego>        <age>30</age><newline46mondego>        <address><newline46mondego>            <street>Main street 1</street><newline46mondego>            <city>Los Angeles</city><newline46mondego>        </address><newline46mondego>    </person><newline46mondego>    <person id=<doubleQuotes46>2<doubleQuotes46>><newline46mondego>        <name>Jane Doe</name><newline46mondego>        <age>40</age><newline46mondego>        <address><newline46mondego>            <street>Park Avenue 1</street><newline46mondego>            <city>New York</city><newline46mondego>        </address><newline46mondego>    </person><newline46mondego></persons><newline46mondego>"
"178splitHere46","3847781splitHere46","Document document = Jsoup.parse(new File(<doubleQuotes46>/persons.xml<doubleQuotes46>), <doubleQuotes46>UTF-8<doubleQuotes46>);<newline46mondego><newline46mondego>Element person2 = document.select(<doubleQuotes46>person[id=2]<doubleQuotes46>).first();<newline46mondego>System.out.println(person2.select(<doubleQuotes46>name<doubleQuotes46>).text());<newline46mondego><newline46mondego>Elements streets = document.select(<doubleQuotes46>street<doubleQuotes46>);<newline46mondego>for (Element street : streets) {<newline46mondego>    System.out.println(street.text());<newline46mondego>}<newline46mondego>"
"179splitHere46","3847951splitHere46","x"
"180splitHere46","3847951splitHere46","y"
"181splitHere46","3847951splitHere46","x > y"
"182splitHere46","3847951splitHere46","x"
"183splitHere46","3847951splitHere46","y"
"184splitHere46","3847951splitHere46","A -> B"
"185splitHere46","3847951splitHere46","C -> D"
"186splitHere46","3848058splitHere46","url.openStream()"
"187splitHere46","3848058splitHere46","InputSource is = new InputSource(new GZIPInputStream(url.openStream()));<newline46mondego>"
"188splitHere46","3848058splitHere46","URLConnection connection = url.openConnection();<newline46mondego>InputStream stream = connection.getInputStream();<newline46mondego>if (<doubleQuotes46>gzip<doubleQuotes46>.equals(connection.getContentEncoding())) {<newline46mondego>  stream = new GZIPInputStream(stream));<newline46mondego>}<newline46mondego>InputSource is = new InputSource(stream);<newline46mondego>"
"189splitHere46","3848257splitHere46","+"
"190splitHere46","3848257splitHere46","+"
"191splitHere46","3848257splitHere46","<doubleQuotes46>Hi<doubleQuotes46>+6"
"192splitHere46","3848257splitHere46","<doubleQuotes46>Hi6<doubleQuotes46>"
"193splitHere46","3848257splitHere46","<doubleQuotes46>Hi6<doubleQuotes46>+10"
"194splitHere46","3848257splitHere46","<doubleQuotes46>Hi610<doubleQuotes46>"
"195splitHere46","3848257splitHere46","<doubleQuotes46>16Hi<doubleQuotes46>"
"196splitHere46","3848299splitHere46","a"
"197splitHere46","3848299splitHere46","Account"
"198splitHere46","3848299splitHere46","account"
"199splitHere46","3848299splitHere46","a"
"200splitHere46","3848347splitHere46","Learn Objective-C on the Mac"
