"1splitHere46","12471528splitHere46","private float readUsage() {<newline46mondego>try {<newline46mondego>    RandomAccessFile reader = new RandomAccessFile(<doubleQuotes46>/proc/stat<doubleQuotes46>, <doubleQuotes46>r<doubleQuotes46>);<newline46mondego>    String load = reader.readLine();<newline46mondego><newline46mondego>    String[] toks = load.split(<doubleQuotes46> <doubleQuotes46>);<newline46mondego><newline46mondego>    long idle1 = Long.parseLong(toks[5]);<newline46mondego>    long cpu1 = Long.parseLong(toks[2]) + Long.parseLong(toks[3]) + Long.parseLong(toks[4])<newline46mondego>          + Long.parseLong(toks[6]) + Long.parseLong(toks[7]) + Long.parseLong(toks[8]);<newline46mondego><newline46mondego>    try {<newline46mondego>        Thread.sleep(360);<newline46mondego>    } catch (Exception e) {}<newline46mondego><newline46mondego>    reader.seek(0);<newline46mondego>    load = reader.readLine();<newline46mondego>    reader.close();<newline46mondego><newline46mondego>    toks = load.split(<doubleQuotes46> <doubleQuotes46>);<newline46mondego><newline46mondego>    long idle2 = Long.parseLong(toks[5]);<newline46mondego>    long cpu2 = Long.parseLong(toks[2]) + Long.parseLong(toks[3]) + Long.parseLong(toks[4])<newline46mondego>        + Long.parseLong(toks[6]) + Long.parseLong(toks[7]) + Long.parseLong(toks[8]);<newline46mondego><newline46mondego>    return (float)(cpu2 - cpu1) / ((cpu2 + idle2) - (cpu1 + idle1));<newline46mondego><newline46mondego>} catch (IOException ex) {<newline46mondego>    ex.printStackTrace();<newline46mondego>   }<newline46mondego><newline46mondego>    return 0;<newline46mondego>} <newline46mondego>"
"30splitHere46","12472889splitHere46","public class Main {<newline46mondego>    private static boolean canStop=false;<newline46mondego><newline46mondego>    private static void stopPHPDataChecker() {<newline46mondego>        canStop=true;<newline46mondego>    }<newline46mondego><newline46mondego>    public static void main(String[] args) {<newline46mondego>        // Setup a task for checking data and then schedule it<newline46mondego>        PHPDataChecker pdc = new PHPDataChecker();<newline46mondego>        ScheduledExecutorService scheduler = Executors.newScheduledThreadPool(1);<newline46mondego>        final ScheduledFuture<?> pdcHandle = scheduler.scheduleAtFixedRate(pdc, 0L, 5L, TimeUnit.MINUTES);// Start pooling<newline46mondego><newline46mondego>        // Setup a new task to kill the polling after 25 minutes<newline46mondego>        scheduler.schedule(new Runnable() {<newline46mondego><newline46mondego>            public void run() {<newline46mondego>                System.out.println(<doubleQuotes46>>> TRY TO STOP!!!<doubleQuotes46>);<newline46mondego>                pdcHandle.cancel(true);<newline46mondego>                Main.stopPHPDataChecker();<newline46mondego>                System.out.println(<doubleQuotes46>DONE<doubleQuotes46>);<newline46mondego>            }<newline46mondego><newline46mondego>        }, 25L, TimeUnit.MINUTES);<newline46mondego><newline46mondego>        // Actively wait stop condition (canStop)<newline46mondego>        do {<newline46mondego>            if (canStop) {<newline46mondego>                scheduler.shutdown();<newline46mondego>            }<newline46mondego>        } while (!canStop);<newline46mondego><newline46mondego>        System.out.println(<doubleQuotes46>END<doubleQuotes46>);<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"31splitHere46","12472950splitHere46","\(\d{1,3}\/\d{1,3}\)<newline46mondego>"
"32splitHere46","12472950splitHere46","s.matches(<doubleQuotes46>\\(\\d{1,3}\\/\\d{1,3}\\)<doubleQuotes46>);<newline46mondego>"
"33splitHere46","12472982splitHere46","private Dialog getInstanceMyDialog() {<newline46mondego>  final Dialog bookMarkDialog= new Dialog(this,R.style.BookmarkDialogNoTitle);<newline46mondego>  bookMarkDialog.setContentView(R.layout.bookmark_dialog);<newline46mondego><newline46mondego>  Button addButton = (Button)bookMarkDialog.findViewById(R.id.dialogAddButton);<newline46mondego>  addButton.setOnClickListener(new OnClick .........)<newline46mondego>  ......... same for cancel.<newline46mondego><newline46mondego>  return bookMarkDialog;<newline46mondego>}<newline46mondego>"
"34splitHere46","12472985splitHere46","`mvn <goal> -PTest`<newline46mondego>"
"35splitHere46","12472985splitHere46","mvn dependency:tree"
"36splitHere46","12473162splitHere46","&"
"37splitHere46","12473162splitHere46","18 = 10010<newline46mondego>16 = 10000<newline46mondego>----------<newline46mondego>16 = 10000<newline46mondego><newline46mondego><newline46mondego>18 = 10010<newline46mondego> 8 = 01000<newline46mondego>----------<newline46mondego> 0 = 00000<newline46mondego>"
"38splitHere46","12473162splitHere46","if"
"39splitHere46","12473181splitHere46","com.sun.faces:jsf-api:jar:2.0.3-FCS"
"40splitHere46","12473181splitHere46","http://repo1.maven.org/maven2/"
"41splitHere46","12473181splitHere46","jsf-api.jar"
"42splitHere46","12473181splitHere46","2.0.3-FCS"
"43splitHere46","12473214splitHere46","new File()"
"44splitHere46","12473214splitHere46","file.mkdirs();"
"45splitHere46","12473214splitHere46","file"
"46splitHere46","12473336splitHere46",".ear"
"47splitHere46","12473336splitHere46","APP-INF/classes/"
"48splitHere46","12473336splitHere46","classes/"
"49splitHere46","12473336splitHere46",".jar"
"50splitHere46","12473438splitHere46","InputStream"
"51splitHere46","12473438splitHere46","InputStream"
"52splitHere46","12473438splitHere46","InputStream is=...;<newline46mondego>byte[] bytes=new byte[1028];<newline46mondego>while(is.read(bytes)!=-1) {<newline46mondego>log(bytes); //call function to log<newline46mondego>parse(bytes);//call function to parse<newline46mondego>}<newline46mondego>"
"53splitHere46","12473438splitHere46","Thread"
"54splitHere46","12473438splitHere46","Runnable"
"55splitHere46","12473438splitHere46","thread.join();"
"56splitHere46","12473438splitHere46","InputStream is=...;<newline46mondego>byte[] bytes=new byte[1028];<newline46mondego>while(is.read(bytes)!=-1) {<newline46mondego>Thread t1=new Thread(new Runnable() {<newline46mondego>        @Override<newline46mondego>        public void run() {<newline46mondego>          log(bytes); //call function to log<newline46mondego>        }<newline46mondego>    });<newline46mondego>Thread t2=new Thread(new Runnable() {<newline46mondego>        @Override<newline46mondego>        public void run() {<newline46mondego>           parse(bytes);//call function to parse<newline46mondego>        }<newline46mondego>    });<newline46mondego>     t1.start();<newline46mondego>     t2.start();<newline46mondego>try {<newline46mondego>     t1.join();<newline46mondego>     t2.join();<newline46mondego>    }catch(Exception ex) {<newline46mondego>      ex.printStackTrace();<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"57splitHere46","12473450splitHere46","ByteArrayOutputStream baos = new ByteArrayOutputStream();  <newline46mondego>        bitmap.compress(Bitmap.CompressFormat.JPEG, 100, baos);<newline46mondego>        byte[] b = baos.toByteArray();<newline46mondego>        base64String = Base64.encodeToString(b, Base64.DEFAULT);<newline46mondego>"
"58splitHere46","12473563splitHere46","bank.account.number"
"59splitHere46","12473614splitHere46","String string_date = <doubleQuotes46>12-December-2012<doubleQuotes46>;<newline46mondego><newline46mondego>SimpleDateFormat f = new SimpleDateFormat(<doubleQuotes46>dd-MMM-yyyy<doubleQuotes46>);<newline46mondego>Date d = f.parse(string_date);<newline46mondego>long milliseconds = d.getTime();<newline46mondego>"
"60splitHere46","12473672splitHere46","Car<String.class>"
"61splitHere46","12473672splitHere46","Car<Class<String>>"
"62splitHere46","12473672splitHere46","String.class"
"63splitHere46","12473672splitHere46","Class<String>"
"64splitHere46","12473732splitHere46","new MyOuter().new MyInner();<newline46mondego>"
"65splitHere46","12473732splitHere46","// Within an instance method<newline46mondego>this.new MyInner();<newline46mondego>"
"66splitHere46","12473960splitHere46","String splits[] = yourString.split(<doubleQuotes46>:<doubleQuotes46>);<newline46mondego>  //splits will contain: <newline46mondego>  //splits[0] = <doubleQuotes46>BOOLEAN<doubleQuotes46>;<newline46mondego>  //splits[1] = <doubleQuotes46>Mr. Coffee - Recall<doubleQuotes46>;<newline46mondego>  //splits[2] = <doubleQuotes46>8a42bb8b36a6b0820136aa5e05dc01b3<doubleQuotes46>;<newline46mondego>  //splits[3] = <doubleQuotes46>1346790794980<doubleQuotes46>;<newline46mondego>"
"67splitHere46","12474027splitHere46","import java.io.InputStream;<newline46mondego><newline46mondego>import net.sf.json.JSONObject;<newline46mondego>import net.sf.json.JSONSerializer;<newline46mondego><newline46mondego>import org.apache.commons.io.IOUtils;<newline46mondego><newline46mondego>public class JsonParsing {<newline46mondego><newline46mondego>    public static void main(String[] args) throws Exception {<newline46mondego>        InputStream is = <newline46mondego>                JsonParsing.class.getResourceAsStream( <doubleQuotes46>sample-json.txt<doubleQuotes46>);<newline46mondego>        String jsonTxt = IOUtils.toString( is );<newline46mondego><newline46mondego>        JSONObject json = (JSONObject) JSONSerializer.toJSON( jsonTxt );        <newline46mondego>        double coolness = json.getDouble( <doubleQuotes46>coolness<doubleQuotes46> );<newline46mondego>        int altitude = json.getInt( <doubleQuotes46>altitude<doubleQuotes46> );<newline46mondego>        JSONObject pilot = json.getJSONObject(<doubleQuotes46>pilot<doubleQuotes46>);<newline46mondego>        String firstName = pilot.getString(<doubleQuotes46>firstName<doubleQuotes46>);<newline46mondego>        String lastName = pilot.getString(<doubleQuotes46>lastName<doubleQuotes46>);<newline46mondego><newline46mondego>        System.out.println( <doubleQuotes46>Coolness: <doubleQuotes46> + coolness );<newline46mondego>        System.out.println( <doubleQuotes46>Altitude: <doubleQuotes46> + altitude );<newline46mondego>        System.out.println( <doubleQuotes46>Pilot: <doubleQuotes46> + lastName );<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"68splitHere46","12474137splitHere46",".matches()"
"69splitHere46","12474137splitHere46",".find()"
"70splitHere46","12474137splitHere46","Pattern regex = Pattern.compile(<doubleQuotes46>\\b<doubleQuotes46> + Pattern.quote(name) + <doubleQuotes46>\\b<doubleQuotes46>);<newline46mondego>Matcher regexMatcher = regex.matcher(subjectString);<newline46mondego>foundMatch = regexMatcher.find();<newline46mondego>"
"71splitHere46","12474137splitHere46","\b"
"72splitHere46","12474137splitHere46","name"
"73splitHere46","12474137splitHere46","putFillerData"
"74splitHere46","12474137splitHere46","putFillerData()"
"75splitHere46","12474161splitHere46","public void sort(Comparable[] data) {<newline46mondego>  Comparable[] temp=new Comparable[data.size()];<newline46mondego>  ...<newline46mondego>}<newline46mondego>"
"76splitHere46","12474268splitHere46","System.currentTimeMillis()"
"77splitHere46","12474268splitHere46","System.nanoTime()"
"78splitHere46","12474282splitHere46","breakpoints"
"79splitHere46","12474302splitHere46","itr"
"80splitHere46","12474302splitHere46","eventQueue"
"81splitHere46","12474302splitHere46","insertTasks()"
"82splitHere46","12474492splitHere46","ArrayList<Integer> id = new ArrayList<Integer>();<newline46mondego>for (int i = 0; i <= 79; i++) {<newline46mondego>  id.add(getResources().getIdentifier(<doubleQuotes46>d<doubleQuotes46>+i, <doubleQuotes46>raw<doubleQuotes46>, getPackageName()));<newline46mondego>}<newline46mondego>"
"83splitHere46","12474528splitHere46","final"
"84splitHere46","12474528splitHere46","List"
"85splitHere46","12474528splitHere46","List"
"86splitHere46","12474528splitHere46","ImmutableList"
"87splitHere46","12474528splitHere46","ImmutableList"
"88splitHere46","12474528splitHere46","ImmutableList"
"89splitHere46","12474528splitHere46","List"
"90splitHere46","12474561splitHere46","public enum CellType {<newline46mondego>      TbComboBox {<newline46mondego>         @Override<newline46mondego>         public UIComponent newComponent() {<newline46mondego>            return new xxx();<newline46mondego>         }<newline46mondego>      },<newline46mondego>      TbDate {<newline46mondego>         @Override<newline46mondego>         public UIComponent newComponent() {<newline46mondego>            return new xxx();<newline46mondego>         }<newline46mondego>      }<newline46mondego><newline46mondego>      public abstract UIComponent newComponent();<newline46mondego>}<newline46mondego>"
"91splitHere46","12474561splitHere46","IFs"
"92splitHere46","12474561splitHere46","if"
"93splitHere46","12474654splitHere46","Right Soft Key (RSK)"
"94splitHere46","12474654splitHere46","added commands GoTo, Menu and Names"
"95splitHere46","12474683splitHere46","<VirtualHost *:80><newline46mondego>  # This first-listed virtual host is also the default for *:80<newline46mondego>  ServerName www.example.com<newline46mondego>  DocumentRoot /www/domain<newline46mondego></VirtualHost><newline46mondego>"
"96splitHere46","12474683splitHere46","80"
"97splitHere46","12474683splitHere46","www.example.com"
"98splitHere46","12474683splitHere46","/www/domain"
"99splitHere46","12474820splitHere46","DefaultCellEditor,"
"100splitHere46","12475042splitHere46","Open_CAM.setOnClickListener(new View.OnClickListener() {<newline46mondego>    public void onClick(View v)  {<newline46mondego>                Intent photoPickerIntent= new Intent(MediaStore.ACTION_IMAGE_CAPTURE);<newline46mondego>                photoPickerIntent.putExtra(MediaStore.EXTRA_OUTPUT, getTempFile());<newline46mondego>                photoPickerIntent.putExtra(<doubleQuotes46>outputFormat<doubleQuotes46>, Bitmap.CompressFormat.JPEG.toString());<newline46mondego>                photoPickerIntent.putExtra(<doubleQuotes46>return-data<doubleQuotes46>, true);<newline46mondego>                startActivityForResult(photoPickerIntent,TAKE_PICTURE);}}<newline46mondego><newline46mondego> private Uri getTempFile() <newline46mondego> {<newline46mondego>      File root = new File(Environment.getExternalStorageDirectory(), <doubleQuotes46>ServiceMySigns<doubleQuotes46>);<newline46mondego>      if (!root.exists()) <newline46mondego>      {<newline46mondego>          root.mkdirs();<newline46mondego>      }<newline46mondego>     final Calendar c = Calendar.getInstance();<newline46mondego>     int y = c.get(Calendar.YEAR);<newline46mondego>     int m = c.get(Calendar.MONTH);<newline46mondego>     int d = c.get(Calendar.DAY_OF_MONTH);<newline46mondego><newline46mondego>     int h = c.get(Calendar.HOUR_OF_DAY);<newline46mondego>     int mi = c.get(Calendar.MINUTE);<newline46mondego><newline46mondego>      //String filename=<doubleQuotes46><doubleQuotes46>+y+<doubleQuotes46>-<doubleQuotes46>+<doubleQuotes46>-<doubleQuotes46>+(m+1)+<doubleQuotes46>-<doubleQuotes46>+d+<doubleQuotes46> <doubleQuotes46>+h+<doubleQuotes46>:<doubleQuotes46>+mi;<newline46mondego>      String filename=<doubleQuotes46><doubleQuotes46>+System.currentTimeMillis();<newline46mondego>      File file = new File(root,filename+<doubleQuotes46>.jpeg<doubleQuotes46> );<newline46mondego>      muri = Uri.fromFile(file);<newline46mondego>      selectedImagePath=muri.getPath();<newline46mondego>      Log.v(<doubleQuotes46>take picture path<doubleQuotes46>,selectedImagePath);<newline46mondego>      return muri;<newline46mondego>  }<newline46mondego><newline46mondego>  public void onActivityResult(int requestcode,int resultcode ,Intent data)<newline46mondego>  {<newline46mondego>      switch(requestcode)<newline46mondego>      { <newline46mondego>      case TAKE_PICTURE: <newline46mondego>          if(resultcode==RESULT_OK)<newline46mondego>          { <newline46mondego>              BitmapFactory.Options o = new BitmapFactory.Options();<newline46mondego>              o.inSampleSize=8;<newline46mondego>              Bitmap newImage = Bitmap.createScaledBitmap(BitmapFactory.decodeFile(selectedImagePath,o), <newline46mondego>                                                         150, <newline46mondego>                                                         150, <newline46mondego>                                                         false);}}}<newline46mondego>"
"101splitHere46","12475147splitHere46","final"
"102splitHere46","12475147splitHere46","final"
"103splitHere46","12475510splitHere46","Button"
"104splitHere46","12475510splitHere46","RadioGroupFieldEditor"
"105splitHere46","12475510splitHere46","public static void main(String[] args) {<newline46mondego>    final Display display = new Display();<newline46mondego>    final Shell shell = new Shell(display);<newline46mondego>    shell.setLayout(new FillLayout());<newline46mondego><newline46mondego>    String[][] radioButtonOptions = new String[][] { { <doubleQuotes46>Button1<doubleQuotes46>, <doubleQuotes46>button1<doubleQuotes46> }, { <doubleQuotes46>Button2<doubleQuotes46>, <doubleQuotes46>button2<doubleQuotes46> } };<newline46mondego><newline46mondego>    final RadioGroupFieldEditor radioButtonGroup = new RadioGroupFieldEditor(<doubleQuotes46>PrefValue<doubleQuotes46>, <doubleQuotes46>Choose Button1 or Button2<doubleQuotes46>, 2, radioButtonOptions, shell, true);<newline46mondego><newline46mondego>    Button button = new Button(shell, SWT.PUSH);<newline46mondego>    button.setText(<doubleQuotes46>Deselect<doubleQuotes46>);<newline46mondego><newline46mondego>    button.addListener(SWT.Selection, new Listener() {<newline46mondego><newline46mondego>        @Override<newline46mondego>        public void handleEvent(Event arg0) {<newline46mondego>            Composite temp = radioButtonGroup.getRadioBoxControl(shell);<newline46mondego>            Control[] children = temp.getChildren();<newline46mondego><newline46mondego>            for(Control child : children)<newline46mondego>            {<newline46mondego>                if(child instanceof Button)<newline46mondego>                {<newline46mondego>                    ((Button)child).setSelection(false);<newline46mondego>                }<newline46mondego>            }<newline46mondego>        }<newline46mondego>    });<newline46mondego><newline46mondego><newline46mondego>    shell.pack();<newline46mondego>    shell.open();<newline46mondego>    while (!shell.isDisposed()) {<newline46mondego>        if (!display.readAndDispatch()) {<newline46mondego>            display.sleep();<newline46mondego>        }<newline46mondego>    }<newline46mondego>    display.dispose();<newline46mondego>}<newline46mondego>"
"106splitHere46","12475539splitHere46","propOrder"
"107splitHere46","12475539splitHere46","@XmlTransient"
"108splitHere46","12475539splitHere46","@XmlTransient"
"109splitHere46","12475539splitHere46","Search"
"110splitHere46","12475539splitHere46","@XmlTransient"
"111splitHere46","12475539splitHere46","searchExtended"
"112splitHere46","12475539splitHere46","<xs:complexType name=<doubleQuotes46>searchExtended<doubleQuotes46>><newline46mondego>    <xs:complexContent><newline46mondego>      <xs:extension base=<doubleQuotes46>search<doubleQuotes46>><newline46mondego>        <xs:sequence><newline46mondego>          <xs:element name=<doubleQuotes46>three<doubleQuotes46> type=<doubleQuotes46>three<doubleQuotes46> minOccurs=<doubleQuotes46>0<doubleQuotes46>/><newline46mondego>        </xs:sequence><newline46mondego>      </xs:extension><newline46mondego>    </xs:complexContent><newline46mondego>  </xs:complexType><newline46mondego><newline46mondego>  <xs:complexType name=<doubleQuotes46>search<doubleQuotes46>><newline46mondego>    <xs:sequence><newline46mondego>      <xs:element name=<doubleQuotes46>one<doubleQuotes46> type=<doubleQuotes46>one<doubleQuotes46> minOccurs=<doubleQuotes46>0<doubleQuotes46>/><newline46mondego>      <xs:element name=<doubleQuotes46>two<doubleQuotes46> type=<doubleQuotes46>two<doubleQuotes46> minOccurs=<doubleQuotes46>0<doubleQuotes46>/><newline46mondego>    </xs:sequence><newline46mondego>  </xs:complexType><newline46mondego>"
"113splitHere46","12475539splitHere46","import java.io.IOException;<newline46mondego>import javax.xml.bind.*;<newline46mondego>import javax.xml.transform.Result;<newline46mondego>import javax.xml.transform.stream.StreamResult;<newline46mondego><newline46mondego>public class Demo {<newline46mondego><newline46mondego>    public static void main(String[] args) throws Exception {<newline46mondego>        JAXBContext jc = JAXBContext.newInstance(SearchExtended.class);<newline46mondego>        jc.generateSchema(new SchemaOutputResolver() {<newline46mondego><newline46mondego>            @Override<newline46mondego>            public Result createOutput(String namespaceUri,<newline46mondego>                    String suggestedFileName) throws IOException {<newline46mondego>                StreamResult result = new StreamResult(System.out);<newline46mondego>                result.setSystemId(suggestedFileName);<newline46mondego>                return result;<newline46mondego>            }<newline46mondego><newline46mondego>        });<newline46mondego>    }<newline46mondego><newline46mondego>}<newline46mondego>"
"114splitHere46","12475547splitHere46","1/24"
"115splitHere46","12475547splitHere46","1/86400"
"116splitHere46","12475675splitHere46","checkElementIndex()"
"117splitHere46","12475675splitHere46","checkPositionIndex()"
"118splitHere46","12475675splitHere46","add(0, obj)"
"119splitHere46","12475781splitHere46","T extends First<T>"
"120splitHere46","12475781splitHere46","Second<String>"
"121splitHere46","12475781splitHere46","String"
"122splitHere46","12475781splitHere46","First<T>"
"123splitHere46","12475781splitHere46","class Third<T extends First<?>> {<newline46mondego>}<newline46mondego>"
"124splitHere46","12475860splitHere46","<form:checkboxes>"
"125splitHere46","12475860splitHere46","<form:checkboxes items=<doubleQuotes46>${avacourses}<doubleQuotes46> path=<doubleQuotes46>courseList<doubleQuotes46> /><newline46mondego>"
"126splitHere46","12475879splitHere46","&"
"127splitHere46","12475965splitHere46","String html = <doubleQuotes46><font>fsdfs<font>dfsdf</font>dasdasd</font><doubleQuotes46>;<newline46mondego>Document doc = Jsoup.parse(html);<newline46mondego>Elements elements = doc.select(<doubleQuotes46>font<doubleQuotes46>);<newline46mondego><newline46mondego><newline46mondego>// rename all 'font'-tags to 'span'-tags, will also keep attributs etc.<newline46mondego>elements.tagName(<doubleQuotes46>span<doubleQuotes46>);<newline46mondego><newline46mondego>System.out.println(doc.html());<newline46mondego>"
"128splitHere46","12476621splitHere46","String pdfvariable = <doubleQuotes46>D:/pdftest.pdf<doubleQuotes46>;<newline46mondego>Process pr = rt.exec(<doubleQuotes46>java -jar C:/sample/sample.jar <doubleQuotes46> + pdfVariable);<newline46mondego>"
"129splitHere46","12476720splitHere46","l2"
"130splitHere46","12476720splitHere46","List<Integer> subList = new ArrayList<Integer>(l2.subList(0, 4));<newline46mondego>l2.clear();<newline46mondego>l2.addAll(subList);<newline46mondego>"
"131splitHere46","12476767splitHere46","select item from Item item<newline46mondego>where year(item.d1) < year(:d2) or<newline46mondego>     (year(item.d1) = year(:d2)<newline46mondego>      and month(item.d1) <= month(:d2))<newline46mondego>"
"132splitHere46","12476767splitHere46","y1 < y2 || (y1 == y2 && m1 <= m2)<newline46mondego>"
"133splitHere46","12476767splitHere46","y1 <= y2"
"134splitHere46","12476942splitHere46","Security"
"135splitHere46","12476942splitHere46","data"
"136splitHere46","12476942splitHere46","DataBase, etc"
"137splitHere46","12476942splitHere46","Galaxy S2"
"138splitHere46","12476942splitHere46","HTC Explorer"
"139splitHere46","12476942splitHere46","Galaxy Note"
"140splitHere46","12477006splitHere46","insert into table (name, id) values (?, ?)<newline46mondego>.........................<newline46mondego><newline46mondego>binding '1' to parameter: 2<newline46mondego>"
"141splitHere46","12477006splitHere46","insert into grouptable (name, id) values ('Name', 1)<newline46mondego>"
"142splitHere46","12477170splitHere46","android:numColumns"
"143splitHere46","12477170splitHere46","setNumColumns(int)"
