"1splitHere46","5227861splitHere46","for (SearchResult result : docSearch)  {<newline46mondego>  if (iter2 >= 50) break;<newline46mondego><newline46mondego>  //do stuff<newline46mondego>  iter2 += 1;<newline46mondego>}<newline46mondego>"
"18splitHere46","5228964splitHere46","<?xml version=<doubleQuotes46>1.0<doubleQuotes46> encoding=<doubleQuotes46>utf-8<doubleQuotes46>?><newline46mondego><newline46mondego><TableLayout xmlns:android=<doubleQuotes46>http://schemas.android.com/apk/res/android<doubleQuotes46><newline46mondego>         android:id = <doubleQuotes46>@+id/RHE<doubleQuotes46><newline46mondego>         android:layout_width=<doubleQuotes46>wrap_content<doubleQuotes46><newline46mondego>         android:layout_height=<doubleQuotes46>wrap_content<doubleQuotes46><newline46mondego>         android:layout_weight=<doubleQuotes46>0<doubleQuotes46><newline46mondego>         android:padding=<doubleQuotes46>5dp<doubleQuotes46>><newline46mondego><newline46mondego>     <TableRow android:layout_height=<doubleQuotes46>wrap_content<doubleQuotes46>><newline46mondego>         <TextView<newline46mondego>             android:id=<doubleQuotes46>@+id/runLabel<doubleQuotes46><newline46mondego>             android:text=<doubleQuotes46>R<doubleQuotes46><newline46mondego>             android:layout_height=<doubleQuotes46>wrap_content<doubleQuotes46><newline46mondego>             /><newline46mondego>         <TextView<newline46mondego>             android:id=<doubleQuotes46>@+id/hitLabel<doubleQuotes46><newline46mondego>             android:text=<doubleQuotes46>H<doubleQuotes46><newline46mondego>             android:layout_height=<doubleQuotes46>wrap_content<doubleQuotes46><newline46mondego>             /><newline46mondego>         <TextView<newline46mondego>             android:id=<doubleQuotes46>@+id/errorLabel<doubleQuotes46><newline46mondego>             android:text=<doubleQuotes46>E<doubleQuotes46><newline46mondego>             android:layout_height=<doubleQuotes46>wrap_content<doubleQuotes46><newline46mondego>             /><newline46mondego>     </TableRow><newline46mondego><newline46mondego>     <TableRow android:layout_height=<doubleQuotes46>wrap_content<doubleQuotes46>><newline46mondego>         <TextView<newline46mondego>             android:id=<doubleQuotes46>@+id/visitorRuns<doubleQuotes46><newline46mondego>             android:text=<doubleQuotes46>0<doubleQuotes46><newline46mondego>             android:layout_height=<doubleQuotes46>wrap_content<doubleQuotes46><newline46mondego>             /><newline46mondego>         <TextView<newline46mondego>             android:id=<doubleQuotes46>@+id/visitorHits<doubleQuotes46><newline46mondego>             android:text=<doubleQuotes46>0<doubleQuotes46><newline46mondego>             android:layout_height=<doubleQuotes46>wrap_content<doubleQuotes46><newline46mondego>             /><newline46mondego>         <TextView<newline46mondego>             android:id=<doubleQuotes46>@+id/visitorErrors<doubleQuotes46><newline46mondego>             android:text=<doubleQuotes46>0<doubleQuotes46><newline46mondego>             android:layout_height=<doubleQuotes46>wrap_content<doubleQuotes46><newline46mondego>             /><newline46mondego>     </TableRow><newline46mondego><newline46mondego>     <TableRow android:layout_height=<doubleQuotes46>wrap_content<doubleQuotes46>><newline46mondego>         <TextView<newline46mondego>             android:id=<doubleQuotes46>@+id/homeRuns<doubleQuotes46><newline46mondego>             android:text=<doubleQuotes46>0<doubleQuotes46><newline46mondego>             android:layout_height=<doubleQuotes46>wrap_content<doubleQuotes46><newline46mondego>             /><newline46mondego>         <TextView<newline46mondego>             android:id=<doubleQuotes46>@+id/homeHits<doubleQuotes46><newline46mondego>             android:text=<doubleQuotes46>0<doubleQuotes46><newline46mondego>             android:layout_height=<doubleQuotes46>wrap_content<doubleQuotes46><newline46mondego>             /><newline46mondego>         <TextView<newline46mondego>             android:id=<doubleQuotes46>@+id/homeErrors<doubleQuotes46><newline46mondego>             android:text=<doubleQuotes46>0<doubleQuotes46><newline46mondego>             android:layout_height=<doubleQuotes46>wrap_content<doubleQuotes46><newline46mondego>             /><newline46mondego>     </TableRow><newline46mondego></TableLayout><newline46mondego>"
"19splitHere46","5228964splitHere46","// reference the table layout<newline46mondego>TableLayout tbl = (TableLayout)findViewById(R.id.RHE);<newline46mondego>// delcare a new row<newline46mondego>TableRow newRow = new TableRow(this);<newline46mondego>// add views to the row<newline46mondego>newRow.addView(new TextView(this)); // you would actually want to set properties on this before adding it<newline46mondego>// add the row to the table layout<newline46mondego>tbl.addView(newRow);<newline46mondego>"
"20splitHere46","5229014splitHere46","dialog.pack();<newline46mondego>dialog.setVisible( true );<newline46mondego>dialog.add( someComponent );<newline46mondego>"
"21splitHere46","5229014splitHere46","dialog.add( someComponent );<newline46mondego>dialog.pack();<newline46mondego>dialog.setVisible( true );<newline46mondego>"
"22splitHere46","5229157splitHere46","java.sql.blob"
"23splitHere46","5229157splitHere46","byte[]"
"24splitHere46","5229157splitHere46","MultipartFile"
"25splitHere46","5229157splitHere46","CommonsMultipartFile"
"26splitHere46","5229157splitHere46","MultipartFile"
"27splitHere46","5229157splitHere46","HttpServletRequest"
"28splitHere46","5229157splitHere46","MultipartFile"
"29splitHere46","5229157splitHere46","@RequestMapping(value = <doubleQuotes46>/upload<doubleQuotes46>, method = RequestMethod.POST)<newline46mondego>public void exampleFileUpload(@RequestParam(<doubleQuotes46>file<doubleQuotes46>) MultipartFile file) {<newline46mondego>    if (!file.isEmpty()) {<newline46mondego>        try {<newline46mondego>            byte[] fileBytes = file.getBytes();<newline46mondego><newline46mondego>            // Persist those bytes using JPA here<newline46mondego><newline46mondego>        } catch (IOException e) {<newline46mondego>            // Exception handling here<newline46mondego>        }<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"30splitHere46","5229157splitHere46","byte[]"
"31splitHere46","5229714splitHere46","import com.google.appengine.api.quota.QuotaService;<newline46mondego>import com.google.appengine.api.quota.QuotaServiceFactory;<newline46mondego><newline46mondego>...<newline46mondego>QuotaService qs = QuotaServiceFactory.getQuotaService();<newline46mondego>long start = qs.getCpuTimeInMegaCycles();<newline46mondego>doSomethingExpensive();<newline46mondego>long end = qs.getCpuTimeInMegaCycles();<newline46mondego>double cpuSeconds = qs.convertMegacyclesToCpuSeconds(end - start);<newline46mondego>"
"32splitHere46","5229801splitHere46","-Xmx1024m"
"33splitHere46","5229801splitHere46","null"
"34splitHere46","5229801splitHere46","# jmap -dump:format=b,file=dump.hprof <pid><newline46mondego>"
"35splitHere46","5229890splitHere46","null"
"36splitHere46","5229890splitHere46","Object"
"37splitHere46","5229890splitHere46","char[]"
"38splitHere46","5229890splitHere46","Integer"
"39splitHere46","5229890splitHere46","Object"
"40splitHere46","5229890splitHere46","char[]"
"41splitHere46","5229890splitHere46","Object"
"42splitHere46","5229890splitHere46","char[]"
"43splitHere46","5229890splitHere46","char[]"
"44splitHere46","5229890splitHere46","Integer"
"45splitHere46","5229890splitHere46","Object"
"46splitHere46","5229890splitHere46","null"
"47splitHere46","5229890splitHere46","Object"
"48splitHere46","5229890splitHere46","char[] x = null;<newline46mondego>doSomething(x);<newline46mondego>"
"49splitHere46","5229890splitHere46","null"
"50splitHere46","5229923splitHere46","private SmartDBHelper dBHelper = new SmartDBHelper(this);"
"51splitHere46","5229923splitHere46","private SmartDBHelper dBHelper;"
"52splitHere46","5230307splitHere46","class Client<T> implements IClient<T>"
"53splitHere46","5230310splitHere46","mail.smtp.auth"
"54splitHere46","5230310splitHere46","true"
"55splitHere46","5230406splitHere46","${entry.value.countTier1}"
"56splitHere46","5230406splitHere46","var=<doubleQuotes46>entry<doubleQuotes46>"
"57splitHere46","5230406splitHere46","finalJspList"
"58splitHere46","5230406splitHere46","fn:"
"59splitHere46","5230449splitHere46","<newline46mondego>namespace java lserver.gen<newline46mondego><newline46mondego>service LuceneServer {<newline46mondego><newline46mondego>   list<map<string,string>> search(1:string term)<newline46mondego><newline46mondego>}"
"60splitHere46","5230449splitHere46","HashMap<String, String> res = new HashMap();"
"61splitHere46","5230449splitHere46","ArrayList<HashMap> result = new ArrayList<HashMap>();<newline46mondego><newline46mondego>//blah blah blah<newline46mondego><newline46mondego>return result;"
"62splitHere46","5230597splitHere46","public static YourObject getMyObject(File configFile){<newline46mondego>    //process and create an object configure it and return it<newline46mondego>}<newline46mondego>"
"63splitHere46","5230680splitHere46","System.out.println(d.equals(0d)); // is false ?! now true<newline46mondego>"
"64splitHere46","5230680splitHere46","Integer"
"65splitHere46","5230680splitHere46","System.out.println(d.equals(0)); // is false ?!<newline46mondego>"
"66splitHere46","5230680splitHere46","0"
"67splitHere46","5230680splitHere46","Integer"
"68splitHere46","5230680splitHere46","equals()"
"69splitHere46","5230680splitHere46","Double"
"70splitHere46","5230680splitHere46","@Override<newline46mondego>    public boolean equals(Object object) {<newline46mondego>        return (object == this)<newline46mondego>                || (object instanceof Double)<newline46mondego>                && (doubleToLongBits(this.value) == doubleToLongBits(((Double) object).value));<newline46mondego>    }<newline46mondego>"
"71splitHere46","5230680splitHere46","=="
"72splitHere46","5230680splitHere46","equals()"
"73splitHere46","5230680splitHere46","Object"
"74splitHere46","5230680splitHere46","d1.equals(0)"
"75splitHere46","5230680splitHere46","0"
"76splitHere46","5230695splitHere46","Iterator"
"77splitHere46","5230695splitHere46","size()"
"78splitHere46","5230695splitHere46","Iterator<Element> iterator = set.iterator();<newline46mondego><newline46mondego>if (!iterator.hasNext()) {<newline46mondego>    throw new RuntimeException(<doubleQuotes46>Collection is empty<doubleQuotes46>);<newline46mondego>}<newline46mondego><newline46mondego>Element element = iterator.next();<newline46mondego><newline46mondego>if (iterator.hasNext()) {<newline46mondego>    throw new RuntimeException(<doubleQuotes46>Collection contains more than one item<doubleQuotes46>);<newline46mondego>}<newline46mondego><newline46mondego>return element;<newline46mondego>"
"79splitHere46","5230695splitHere46","public static <E> E getOnlyElement(Iterable<E> iterable) {<newline46mondego>    Iterator<E> iterator = iterable.iterator();<newline46mondego><newline46mondego>    // The code I mentioned above...<newline46mondego>}<newline46mondego>"
"80splitHere46","5230695splitHere46","Iterables"
"81splitHere46","5230695splitHere46","Element element = Iterables.getOnlyElement(set);<newline46mondego>"
"82splitHere46","5230695splitHere46","Iterators"
"83splitHere46","5230695splitHere46","Iterables"
"84splitHere46","5230695splitHere46","Iterators"
"85splitHere46","5230695splitHere46","/**<newline46mondego>   * Returns the single element contained in {@code iterator}.<newline46mondego>   *<newline46mondego>   * @throws NoSuchElementException if the iterator is empty<newline46mondego>   * @throws IllegalArgumentException if the iterator contains multiple<newline46mondego>   *     elements.  The state of the iterator is unspecified.<newline46mondego>   */<newline46mondego>  public static <T> T getOnlyElement(Iterator<T> iterator) {<newline46mondego>    T first = iterator.next();<newline46mondego>    if (!iterator.hasNext()) {<newline46mondego>      return first;<newline46mondego>    }<newline46mondego><newline46mondego>    StringBuilder sb = new StringBuilder();<newline46mondego>    sb.append(<doubleQuotes46>expected one element but was: <<doubleQuotes46> + first);<newline46mondego>    for (int i = 0; i < 4 && iterator.hasNext(); i++) {<newline46mondego>      sb.append(<doubleQuotes46>, <doubleQuotes46> + iterator.next());<newline46mondego>    }<newline46mondego>    if (iterator.hasNext()) {<newline46mondego>      sb.append(<doubleQuotes46>, ...<doubleQuotes46>);<newline46mondego>    }<newline46mondego>    sb.append('>');<newline46mondego><newline46mondego>    throw new IllegalArgumentException(sb.toString());<newline46mondego>  }<newline46mondego>"
"86splitHere46","5230721splitHere46","Resultset"
"87splitHere46","5230721splitHere46","rs.next()"
"88splitHere46","5230721splitHere46","ResultSet"
"89splitHere46","5230775splitHere46","if (true) return;<newline46mondego><newline46mondego>someOtherCode(); // this code will never execute, but the compiler will still allow it<newline46mondego>"
"90splitHere46","5230775splitHere46","static final boolean"
"91splitHere46","5230775splitHere46","if"
"92splitHere46","5230775splitHere46","if"
"93splitHere46","5230775splitHere46","while"
"94splitHere46","5230775splitHere46","while (true) return;<newline46mondego><newline46mondego>someOtherCode(); // this will be flagged as an unreachable statement<newline46mondego>"
"95splitHere46","5230820splitHere46","JTable"
"96splitHere46","5230820splitHere46","javax.swing.plaf.basic.BasicTableUI"
"97splitHere46","5230820splitHere46","SCROLL_DOWN_CHANGE_SELECTION"
"98splitHere46","5230820splitHere46","javax.swing.plaf.basic.BasicTableUI.Actions.actionPerformed(ActionEvent)"
"99splitHere46","5230833splitHere46","@XmlSchema(<newline46mondego>    namespace = <doubleQuotes46>http://www.example.org/package<doubleQuotes46>,<newline46mondego>    elementFormDefault = XmlNsForm.QUALIFIED)<newline46mondego>package example;<newline46mondego><newline46mondego>import javax.xml.bind.annotation.XmlNsForm;<newline46mondego>import javax.xml.bind.annotation.XmlSchema;<newline46mondego>"
"100splitHere46","5230920splitHere46","htaccess.txt"
"101splitHere46","5230920splitHere46","AccessFileName"
"102splitHere46","5230963splitHere46","deselectAll()"
"103splitHere46","5230963splitHere46","TreeViewer"
"104splitHere46","5230963splitHere46","Tree"
"105splitHere46","5230963splitHere46","data"
"106splitHere46","5230963splitHere46","TreeViewer view = (TreeViewer) event.getSource().getData();<newline46mondego>"
"107splitHere46","5231034splitHere46","HttpServletResponse hsr = (HttpServletResponse) response;<newline46mondego>hsr.setHeader(<doubleQuotes46>Cache-Control<doubleQuotes46>, <doubleQuotes46>no-cache, no-store, must-revalidate<doubleQuotes46>); // HTTP 1.1.<newline46mondego>hsr.setHeader(<doubleQuotes46>Pragma<doubleQuotes46>, <doubleQuotes46>no-cache<doubleQuotes46>); // HTTP 1.0.<newline46mondego>hsr.setDateHeader(<doubleQuotes46>Expires<doubleQuotes46>, 0); // Proxies.<newline46mondego>chain.doFilter(request, response);<newline46mondego>"
"108splitHere46","5231122splitHere46","MODE"
"109splitHere46","5231122splitHere46","MODE_READ_ONLY"
"110splitHere46","5231253splitHere46","private String[] months <newline46mondego>"
"111splitHere46","5231253splitHere46","private static String[] months <newline46mondego>"
"112splitHere46","5231253splitHere46","public Date3( String m, int d, int y){<newline46mondego>    this(m, d, y);<newline46mondego>}<newline46mondego>"
"113splitHere46","5231253splitHere46","public Date3( String m, int d, int y){<newline46mondego>    this(convMonth(m), d, y);<newline46mondego>}<newline46mondego>public static int convMonth(String m) {<newline46mondego>    int index =1; // january will be 1<newline46mondego>    for(String month : months) {<newline46mondego>        if(m.equals(month)) break;<newline46mondego>        index++;<newline46mondego>    }<newline46mondego>    return index;<newline46mondego>}<newline46mondego>"
"114splitHere46","5231253splitHere46","/*public Date3( int m, int y){<newline46mondego>    this(m,0, y);<newline46mondego>}*/<newline46mondego>"
"115splitHere46","5231253splitHere46","//System.out.println(myDate3); <newline46mondego>"
"116splitHere46","5231266splitHere46","Comparator"
"117splitHere46","5231266splitHere46","List<Map<String, Object>> listMap = new ArrayList<Map<String, Object>>();<newline46mondego>Collections.sort(listMap,new Comparator<Map<String, Object>>() {<newline46mondego><newline46mondego>            public int compare(Map<String, Object> o1, Map<String, Object> o2) {<newline46mondego>                //your logic goes here<newline46mondego>            }<newline46mondego>});<newline46mondego>"
"118splitHere46","5231348splitHere46","MySQL5InnoDBDialect"
"119splitHere46","5231348splitHere46","MySQLInnoDBDialect"
"120splitHere46","5231356splitHere46","/#\W*(.*)/<newline46mondego>"
"121splitHere46","5231356splitHere46","#"
"122splitHere46","5231562splitHere46","String s = <doubleQuotes46><position lat=\<doubleQuotes46>59.3252414125\<doubleQuotes46> long=\<doubleQuotes46>18.0750236375\<doubleQuotes46> accuracy=\<doubleQuotes46>1000\<doubleQuotes46>></position><doubleQuotes46>;<newline46mondego>    InputSource is = new InputSource(new StringReader(s));<newline46mondego>    DOMParser dp = new DOMParser();<newline46mondego>    dp.parse(is);<newline46mondego>    Document doc = dp.getDocument();<newline46mondego>    NodeList nl = doc.getElementsByTagName(<doubleQuotes46>position<doubleQuotes46>);<newline46mondego>    Node n = nl.item(0);<newline46mondego>    NamedNodeMap nnm = n.getAttributes();<newline46mondego>    String lat = nnm.getNamedItem(<doubleQuotes46>lat<doubleQuotes46>).getFirstChild().getTextContent();<newline46mondego>    String longg = nnm.getNamedItem(<doubleQuotes46>long<doubleQuotes46>).getFirstChild().getTextContent();<newline46mondego>    String accuracy = nnm.getNamedItem(<doubleQuotes46>accuracy<doubleQuotes46>).getFirstChild().getTextContent();<newline46mondego>"
"123splitHere46","5231615splitHere46","Foo foo = context.getBean( <doubleQuotes46>foo<doubleQuotes46>, Foo.class );<newline46mondego> foo.foo(); // <-- annotatoon works here<newline46mondego>"
"124splitHere46","5231615splitHere46","foo()"
"125splitHere46","5231615splitHere46","this.foo2()"
"126splitHere46","5231615splitHere46","foo2()"
"127splitHere46","5231643splitHere46","<database-object>"
"128splitHere46","5231711splitHere46","setMembers"
"129splitHere46","5231711splitHere46","addMember"
"130splitHere46","5231915splitHere46","public class ExtendedComboBox extends JComboBox {<newline46mondego><newline46mondego>    public ExtendedComboBox() {<newline46mondego>        setModel(new ExtendedComboBoxModel());<newline46mondego>        setRenderer(new ExtendedListCellRenderer());<newline46mondego>    }<newline46mondego><newline46mondego>    public void addDelimiter(String text) {<newline46mondego>        this.addItem(new Delimiter(text));<newline46mondego>    }<newline46mondego><newline46mondego>    private static class ExtendedComboBoxModel extends DefaultComboBoxModel {<newline46mondego>        @Override<newline46mondego>        public void setSelectedItem(Object anObject) {<newline46mondego>            if (!(anObject instanceof Delimiter)) {<newline46mondego>                super.setSelectedItem(anObject);<newline46mondego>            } else {<newline46mondego>                int index = getIndexOf(anObject);<newline46mondego>                if (index < getSize()) {<newline46mondego>                    setSelectedItem(getElementAt(index+1));<newline46mondego>                }<newline46mondego>            }<newline46mondego>        }<newline46mondego><newline46mondego>    }<newline46mondego><newline46mondego>    private static class ExtendedListCellRenderer <newline46mondego>                    extends DefaultListCellRenderer {<newline46mondego><newline46mondego>        @Override<newline46mondego>        public Component getListCellRendererComponent(JList list, Object value,<newline46mondego>                        int index, boolean isSelected, boolean cellHasFocus) {<newline46mondego>            if (!(value instanceof Delimiter)) {<newline46mondego>                return super.getListCellRendererComponent(list, value, index,<newline46mondego>                        isSelected, cellHasFocus);<newline46mondego>            } else {<newline46mondego>                JLabel label = new JLabel(value.toString());<newline46mondego>                Font f = label.getFont();<newline46mondego>                label.setFont(f.deriveFont(f.getStyle() <newline46mondego>                           | Font.BOLD | Font.ITALIC));<newline46mondego>                return label;<newline46mondego>            }<newline46mondego>        }<newline46mondego>    }<newline46mondego><newline46mondego>    private static class Delimiter {<newline46mondego>        private String text;<newline46mondego><newline46mondego>        private Delimiter(String text) {<newline46mondego>            this.text = text;<newline46mondego>        }<newline46mondego><newline46mondego>        @Override<newline46mondego>        public String toString() {<newline46mondego>            return text.toString();<newline46mondego>        }<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"131splitHere46","5231952splitHere46","idOrder"
"132splitHere46","5231952splitHere46","Customer_idCustomer"
"133splitHere46","5232070splitHere46","<c:forEach var=<doubleQuotes46>result<doubleQuotes46> items=<doubleQuotes46>${resultList}<doubleQuotes46>><newline46mondego>    <tr><newline46mondego>    <td class=<doubleQuotes46>td-highlighted-2<doubleQuotes46>><newline46mondego>     <div align=<doubleQuotes46>left<doubleQuotes46>><a href=<doubleQuotes46>UpdateProject.html<doubleQuotes46>>${result.projId}</a></div><newline46mondego>    </td><newline46mondego>    <td class=<doubleQuotes46>td-highlighted-2<doubleQuotes46>><newline46mondego>      <div align=<doubleQuotes46>left<doubleQuotes46>>${result.projname}</div><newline46mondego>    </td><newline46mondego>    <td class=<doubleQuotes46>td-highlighted-2<doubleQuotes46>><newline46mondego>      <div align=<doubleQuotes46>left<doubleQuotes46>>${result.cost}</div><newline46mondego>    </td><newline46mondego>    <td class=<doubleQuotes46>td-highlighted-2<doubleQuotes46>><newline46mondego>      <div align=<doubleQuotes46>left<doubleQuotes46>>${result.manager}</div><newline46mondego>    </td><newline46mondego>    </tr><newline46mondego></c:forEach><newline46mondego>"
"134splitHere46","5232278splitHere46","import java.awt.*;<newline46mondego>import java.awt.event.*;<newline46mondego>import javax.swing.*;<newline46mondego><newline46mondego>public class TextEditor implements ActionListener {<newline46mondego>    JFrame frame;<newline46mondego>    JTextArea textArea;<newline46mondego>    JScrollPane scrollPane;<newline46mondego>    JMenuBar menuBar;<newline46mondego><newline46mondego>    public TextEditor() {<newline46mondego>        frame = new JFrame(<doubleQuotes46>Note Pad<doubleQuotes46>);<newline46mondego>        frame.setVisible(true);<newline46mondego>        frame.setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);<newline46mondego>        frame.setIconImage(Toolkit.getDefaultToolkit().getImage(<doubleQuotes46>image.gif<doubleQuotes46>));<newline46mondego><newline46mondego>        textArea = new JTextArea(500, 500);<newline46mondego>        scrollPane = new JScrollPane(textArea);<newline46mondego><newline46mondego>        menuBar = new JMenuBar();<newline46mondego><newline46mondego>        JMenu fileMenu = new JMenu(<doubleQuotes46>File<doubleQuotes46>);<newline46mondego>        JMenu editMenu = new JMenu(<doubleQuotes46>Edit<doubleQuotes46>);<newline46mondego><newline46mondego>        JMenuItem newItem = new JMenuItem(<doubleQuotes46>New<doubleQuotes46>);<newline46mondego>        JMenuItem open = new JMenuItem(<doubleQuotes46>Open<doubleQuotes46>);<newline46mondego>        JMenuItem save = new JMenuItem(<doubleQuotes46>Save<doubleQuotes46>);<newline46mondego>        JMenuItem close = new JMenuItem(<doubleQuotes46>Close<doubleQuotes46>);<newline46mondego><newline46mondego>        JMenuItem cut = new JMenuItem(<doubleQuotes46>Cut<doubleQuotes46>);<newline46mondego>        JMenuItem copy = new JMenuItem(<doubleQuotes46>Copy<doubleQuotes46>);<newline46mondego>        JMenuItem paste = new JMenuItem(<doubleQuotes46>Paste<doubleQuotes46>);<newline46mondego>        JMenuItem delete = new JMenuItem(<doubleQuotes46>Delete<doubleQuotes46>);<newline46mondego><newline46mondego>        newItem.addActionListener(this);<newline46mondego>        open.addActionListener(this);<newline46mondego>        save.addActionListener(this);<newline46mondego>        close.addActionListener(this);<newline46mondego><newline46mondego>        cut.addActionListener(this);<newline46mondego>        copy.addActionListener(this);<newline46mondego>        paste.addActionListener(this);<newline46mondego>        delete.addActionListener(this);<newline46mondego><newline46mondego>        fileMenu.add(newItem);<newline46mondego>        fileMenu.add(open);<newline46mondego>        fileMenu.add(save);<newline46mondego>        fileMenu.add(close);<newline46mondego><newline46mondego>        editMenu.add(cut);<newline46mondego>        editMenu.add(copy);<newline46mondego>        editMenu.add(paste);<newline46mondego>        editMenu.add(delete);<newline46mondego><newline46mondego>        menuBar.add(fileMenu);<newline46mondego>        menuBar.add(editMenu);<newline46mondego><newline46mondego>        frame.setJMenuBar(menuBar);<newline46mondego>        frame.add(scrollPane, BorderLayout.CENTER);<newline46mondego><newline46mondego>        // Very important!<newline46mondego>        frame.pack();<newline46mondego><newline46mondego>        // Sheesh!  You kids and your enormous screens!<newline46mondego>        //frame.setSize(1000, 1000);<newline46mondego>        frame.setSize(600, 400);<newline46mondego>    }<newline46mondego><newline46mondego>    public static void main(String[] args) {<newline46mondego>        // Always a good idea.<newline46mondego>        Runnable r = new Runnable() {<newline46mondego>            public void run() {<newline46mondego>                TextEditor te = new TextEditor();<newline46mondego>            }<newline46mondego>        };<newline46mondego>        SwingUtilities.invokeLater(r);<newline46mondego>    }<newline46mondego><newline46mondego>    @Override<newline46mondego>    public void actionPerformed(ActionEvent e) {<newline46mondego>        if(e.getSource()==menuBar.getMenu(0).getMenuComponent(0)) {<newline46mondego>            JFrame frame2=new JFrame();<newline46mondego>            frame2.setSize(300,300);<newline46mondego>            frame2.setVisible(true);<newline46mondego>            frame2.setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);<newline46mondego>        }<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"135splitHere46","5232338splitHere46","Window > Preferences > General > Editors > Text Editors > Annotations<newline46mondego>"
"136splitHere46","5232371splitHere46","IllegalArgumentException"
"137splitHere46","5232371splitHere46","switch (titlePosition) {<newline46mondego>      case ABOVE_TOP:<newline46mondego>      case TOP:<newline46mondego>      case BELOW_TOP:<newline46mondego>      case ABOVE_BOTTOM:<newline46mondego>      case BOTTOM:<newline46mondego>      case BELOW_BOTTOM:<newline46mondego>      case DEFAULT_POSITION:<newline46mondego>            this.titlePosition = titlePosition;<newline46mondego>            break;<newline46mondego>      default:<newline46mondego>        throw new IllegalArgumentException(titlePosition +<newline46mondego>                                    <doubleQuotes46> is not a valid title position.<doubleQuotes46>);<newline46mondego>    }<newline46mondego>"
"138splitHere46","5232447splitHere46","javax.inject.*"
"139splitHere46","5232447splitHere46","javax.inject.Qualifier"
"140splitHere46","5232447splitHere46","@Service"
"141splitHere46","5232447splitHere46","@Component"
"142splitHere46","5232447splitHere46","@Bean"
"143splitHere46","5232447splitHere46","Book"
"144splitHere46","5232667splitHere46","JTabbedPane"
"145splitHere46","5232735splitHere46","String.valueOf(getResources( ).getStringArray( R.array.test_array ).length)<newline46mondego>"
