"1splitHere46","11522953splitHere46","<?xml version=<doubleQuotes46>1.0<doubleQuotes46> encoding=<doubleQuotes46>UTF-8<doubleQuotes46>?><newline46mondego><faces-config<newline46mondego>        xmlns=<doubleQuotes46>http://java.sun.com/xml/ns/javaee<doubleQuotes46><newline46mondego>        xmlns:xsi=<doubleQuotes46>http://www.w3.org/2001/XMLSchema-instance<doubleQuotes46><newline46mondego>        xsi:schemaLocation=<doubleQuotes46>http://java.sun.com/xml/ns/javaee<newline46mondego>            http://java.sun.com/xml/ns/javaee/web-facesconfig_2_0.xsd<doubleQuotes46><newline46mondego>        version=<doubleQuotes46>2.0<doubleQuotes46>><newline46mondego><newline46mondego>    <!-- JSF and Spring are integrated --><newline46mondego>    <application><newline46mondego>        <el-resolver><newline46mondego>            org.springframework.web.jsf.el.SpringBeanFacesELResolver<newline46mondego>        </el-resolver><newline46mondego>    </application><newline46mondego><newline46mondego>    <!-- configuration of navigation rules --><newline46mondego>    <navigation-rule><newline46mondego>        <from-view-id>pages/index.xhtml</from-view-id><newline46mondego>        <navigation-case><newline46mondego>            <from-outcome>success</from-outcome><newline46mondego>            <to-view-id>pages/success.xhtml</to-view-id><newline46mondego>        </navigation-case><newline46mondego>        <navigation-case><newline46mondego>            <from-outcome>error</from-outcome><newline46mondego>            <to-view-id>pages/error.xhtml</to-view-id><newline46mondego>        </navigation-case><newline46mondego>    </navigation-rule><newline46mondego><newline46mondego></faces-config><newline46mondego>"
"51splitHere46","11524801splitHere46",">>"
"52splitHere46","11524801splitHere46",">>"
"53splitHere46","11524801splitHere46","122 = 01111010 >> 1 = 00111101 = 61<newline46mondego>"
"54splitHere46","11524885splitHere46","Handler"
"55splitHere46","11524885splitHere46","Handler mHandler = new Handler();<newline46mondego>    mHandler.postDelayed(new Runnable() {<newline46mondego>        @Override public void run() {<newline46mondego>            // You can set a flag or if you run your method <newline46mondego>            // on another thread, you can interrupt that thread. <newline46mondego>        }<newline46mondego>    }, 5000);<newline46mondego>"
"56splitHere46","11524885splitHere46","Thread mThread = new Thread(new Runnable() {<newline46mondego>        @Override public void run() {<newline46mondego>            // Call your method here and keep a reference to this thread.<newline46mondego>        }<newline46mondego>    });<newline46mondego>    mThread.run();<newline46mondego>"
"57splitHere46","11524986splitHere46","."
"58splitHere46","11524986splitHere46","javac -cp <doubleQuotes46>.;bc-j-mapi-w-2.4.jar;apache-commons/*;json-org/*;lib/*<doubleQuotes46> BrightcoveVideoQueryPOI.java<newline46mondego>"
"59splitHere46","11524986splitHere46","."
"60splitHere46","11524986splitHere46","-cp"
"61splitHere46","11524986splitHere46","."
"62splitHere46","11524986splitHere46","."
"63splitHere46","11524986splitHere46","."
"64splitHere46","11524986splitHere46",";"
"65splitHere46","11524986splitHere46",":"
"66splitHere46","11525061splitHere46","modelGroup"
"67splitHere46","11525061splitHere46","periodId"
"68splitHere46","11525061splitHere46","domainId"
"69splitHere46","11525061splitHere46","modelTypeId"
"70splitHere46","11525061splitHere46","@RequestBody"
"71splitHere46","11525061splitHere46","@JsonArg"
"72splitHere46","11525061splitHere46","boolean createModel( @JsonArg SettlementModelGroup modelGroup, <newline46mondego>                     @JsonArg Integer periodId,<newline46mondego>                     @JsonArg Integer domainId,<newline46mondego>                     @JsonArg Integer modelTypeId );<newline46mondego>"
"73splitHere46","11525061splitHere46","boolean supportsParameter(MethodParameter parameter){<newline46mondego>  return (parameter.getParameterAnnotation(JsonArg.class)!=null);<newline46mondego>}<newline46mondego>"
"74splitHere46","11525061splitHere46","public Object resolveArgument(MethodParameter methodParameter, ModelAndViewContainer mavContainer, NativeWebRequest webRequest, WebDataBinderFactory binderFactory) throws Exception {<newline46mondego>"
"75splitHere46","11525157splitHere46","reader = new BufferedReader(new InputStreamReader(new FileInputStream(...), <doubleQuotes46>you have to know it<doubleQuotes46>));<newline46mondego>  writer = new OutputStreamWriter(new FileOutputStream(...), <doubleQuotes46>UTF-8<doubleQuotes46>); <newline46mondego>  String line;<newline46mondego>  while ((line=reader.readLine())!=null) {<newline46mondego>     writer.write(line);<newline46mondego>  }<newline46mondego>"
"76splitHere46","11525625splitHere46","FROM ObjectTexts WHERE programID='<doubleQuotes46>+ JsonProgramID  +<doubleQuotes46>' AND objName =' <doubleQuotes46>+JsonobjName +<doubleQuotes46>'<doubleQuotes46><newline46mondego>"
"77splitHere46","11525625splitHere46","Statement st = tmsDB.createStatement( <doubleQuotes46>SELECT * FROM ObjectTexts WHERE programID=? AND objName = ?<doubleQuotes46>);<newline46mondego>st.prepare();<newline46mondego>st.bind(1, JasonProgramID);<newline46mondego>st.bind(2, JsonobjName);<newline46mondego>Cursor c = st.getCursor();<newline46mondego>...<newline46mondego>"
"78splitHere46","11525628splitHere46","UIInput#getValue()"
"79splitHere46","11525628splitHere46","null"
"80splitHere46","11525628splitHere46","UIInput#getValue()"
"81splitHere46","11525628splitHere46","null"
"82splitHere46","11525628splitHere46","UIInput#getSubmittedValue()"
"83splitHere46","11525628splitHere46","UIInput#getValue()"
"84splitHere46","11525628splitHere46","String"
"85splitHere46","11525628splitHere46","<o:validateAllOrNone>"
"86splitHere46","11525628splitHere46","<h:inputText id=<doubleQuotes46>city<doubleQuotes46> value=<doubleQuotes46>#{search.city}<doubleQuotes46> /><newline46mondego><h:inputText id=<doubleQuotes46>state<doubleQuotes46> value=<doubleQuotes46>#{search.state}<doubleQuotes46> /><newline46mondego><o:validateAllOrNone id=<doubleQuotes46>cityAndState<doubleQuotes46> components=<doubleQuotes46>city state<doubleQuotes46> message=<doubleQuotes46>Please fill both city and state.<doubleQuotes46> /><newline46mondego><h:message for=<doubleQuotes46>cityAndState<doubleQuotes46> /><newline46mondego>"
"87splitHere46","11525663splitHere46","public <T> boolean checkPercent(List<T> associates)<newline46mondego>{<newline46mondego>    // snip...<newline46mondego>}<newline46mondego>"
"88splitHere46","11525663splitHere46","public boolean checkPercent(List<?> associates)<newline46mondego>{<newline46mondego>    // snip...<newline46mondego>}<newline46mondego>"
"89splitHere46","11525778splitHere46","substring"
"90splitHere46","11525778splitHere46","substring"
"91splitHere46","11526003splitHere46","Public List<myPojoClass> getDataByCriterion( List<Criterion> restrictionList) {<newline46mondego>Session s = HibernateUtil.currentSession();<newline46mondego>Criteria c = s.createCriteria(myPojo.class);<newline46mondego>for (Criterion crit : restrictionList){<newline46mondego>    c.add(crit);<newline46mondego>}<newline46mondego><newline46mondego>List<myPojoClass> response = c.list();<newline46mondego>"
"92splitHere46","11526086splitHere46","if (foo == false);<newline46mondego>"
"93splitHere46","11526086splitHere46","if (foo == false) {//your code}<newline46mondego>"
"94splitHere46","11526147splitHere46","<bean id=<doubleQuotes46>myController<doubleQuotes46> class=<doubleQuotes46>mypath.MyController<doubleQuotes46>><newline46mondego><property name=<doubleQuotes46>dao<doubleQuotes46> ref=<doubleQuotes46>jdbcContactDao<doubleQuotes46>/><newline46mondego></bean><newline46mondego>"
"95splitHere46","11526147splitHere46","public JdbcContactDao dao;<newline46mondego><newline46mondego>@Resource(name=<doubleQuotes46>dao<doubleQuotes46>)<newline46mondego>public void setDao(JdbcContactDao dao){<newline46mondego>    this.dao = dao;<newline46mondego>}<newline46mondego><newline46mondego><newline46mondego>@RequestMapping(value=<doubleQuotes46>/contact/list2<doubleQuotes46>,method = RequestMethod.GET)<newline46mondego>public String getAll(ModelMap model) {<newline46mondego><newline46mondego>    List<Contact> contacts = dao.findAll();<newline46mondego><newline46mondego>    // Attach persons to the Model<newline46mondego>    model.addAttribute(<doubleQuotes46>contacts<doubleQuotes46>, contacts);<newline46mondego><newline46mondego><newline46mondego>    return <doubleQuotes46>contact.list<doubleQuotes46>;<newline46mondego><newline46mondego>}<newline46mondego>"
"96splitHere46","11526284splitHere46","JAVA_HOME"
"97splitHere46","11526284splitHere46","javac"
"98splitHere46","11526284splitHere46","PATH"
"99splitHere46","11526284splitHere46","javac"
"100splitHere46","11526284splitHere46","javac"
"101splitHere46","11526284splitHere46","JAVA_HOME"
"102splitHere46","11526284splitHere46","tools.jar"
"103splitHere46","11526284splitHere46","JAVA_HOME"
"104splitHere46","11526284splitHere46","/some/path/here/jre"
"105splitHere46","11526284splitHere46","jre"
"106splitHere46","11526284splitHere46","JAVA_HOME"
"107splitHere46","11526284splitHere46","/some/path/here"
"108splitHere46","11526293splitHere46","HashMap"
"109splitHere46","11526293splitHere46","? extends"
"110splitHere46","11526293splitHere46","private Map<JPanel,String> PanelNames = new HashMap<JPanel, String>();<newline46mondego><newline46mondego>public void setPanelNames(Map<JPanel,String> panelNames) {<newline46mondego>  ...<newline46mondego>}<newline46mondego>"
"111splitHere46","11526293splitHere46","Map<? extends JPanel, String>"
"112splitHere46","11526293splitHere46","JPanel"
"113splitHere46","11526293splitHere46","MyPanel"
"114splitHere46","11526293splitHere46","JPanel"
"115splitHere46","11526293splitHere46","new HashMap<...>()"
"116splitHere46","11526293splitHere46","JPanel"
"117splitHere46","11526293splitHere46","MyPanel"
"118splitHere46","11526293splitHere46","new HashMap<JPanel, String>()"
"119splitHere46","11526293splitHere46","JPanels"
"120splitHere46","11526293splitHere46","? extends JPanel"
"121splitHere46","11526293splitHere46","Map<JPanel, String>"
"122splitHere46","11526293splitHere46","Map<MyPanel, String>"
"123splitHere46","11526293splitHere46","JPanels"
"124splitHere46","11526293splitHere46","Map<MyPanel, String>"
"125splitHere46","11526486splitHere46","context.lookup"
"126splitHere46","11526486splitHere46","PortalWorkset"
"127splitHere46","11526486splitHere46","lookup()"
"128splitHere46","11526486splitHere46","Object"
"129splitHere46","11526486splitHere46","IPcdContext"
"130splitHere46","11526486splitHere46","lookup"
"131splitHere46","11526486splitHere46","IPcdContext"
"132splitHere46","11526486splitHere46","instanceof"
"133splitHere46","11526486splitHere46","IPcdContext context;<newline46mondego>Object obj = context.lookup(<doubleQuotes46>foo<doubleQuotes46>);<newline46mondego>if (obj instanceof IPcdContext) {<newline46mondego>    context = (IPcdContext)obj;<newline46mondego>}<newline46mondego>else {<newline46mondego>    // You got back something else.  What to do?<newline46mondego>}<newline46mondego>"
"134splitHere46","11526487splitHere46","public class Mythread implements Runnable{<newline46mondego><newline46mondego><newline46mondego><newline46mondego>public synchronized void goo(){<newline46mondego><newline46mondego>System.out.println(<doubleQuotes46>Before Wait<doubleQuotes46>);<newline46mondego><newline46mondego>wait();<newline46mondego><newline46mondego>System.out.println(<doubleQuotes46>After Wait<doubleQuotes46>);<newline46mondego><newline46mondego><newline46mondego>}<newline46mondego><newline46mondego><newline46mondego>public synchronized void foo(){<newline46mondego><newline46mondego>System.out.println(<doubleQuotes46>Before Notify<doubleQuotes46>);<newline46mondego><newline46mondego>notify();<newline46mondego><newline46mondego>System.out.println(<doubleQuotes46>After Notify<doubleQuotes46>);<newline46mondego><newline46mondego>}<newline46mondego><newline46mondego><newline46mondego>public class Test{<newline46mondego><newline46mondego>public static  void main(String[] args){<newline46mondego><newline46mondego>Thread t = new Thread(new Mythread);<newline46mondego><newline46mondego>t.start();<newline46mondego><newline46mondego> }<newline46mondego>}<newline46mondego>"
"135splitHere46","11526633splitHere46","int n = (a[0] ? 2 : 0) + (a[1] ? 1 : 0);<newline46mondego>"
"136splitHere46","11526633splitHere46","int n = 0, l = a.length;<newline46mondego>for (int i = 0; i < l; ++i) {<newline46mondego>    n = (n << 1) + (a[i] ? 1 : 0);<newline46mondego>}<newline46mondego>"
"137splitHere46","11526709splitHere46","JTextComponent testingArea = new JTextPane();<newline46mondego>....<newline46mondego>int caretPos = testingArea.getCaretPosition();<newline46mondego>int rowNum = (caretPos == 0) ? 1 : 0;<newline46mondego>for (int offset = caretPos; offset > 0;) {<newline46mondego>    offset = Utilities.getRowStart(textArea, offset) - 1;<newline46mondego>    rowNum++;<newline46mondego>}<newline46mondego>System.out.println(<doubleQuotes46>Row: <doubleQuotes46> + rowNum);<newline46mondego>"
"138splitHere46","11526792splitHere46","minBtn.setOnMouseClicked(new EventHandler<MouseEvent>() {<newline46mondego><newline46mondego>    @Override<newline46mondego>    public void handle(MouseEvent arg0) {<newline46mondego>        ((Stage) ((Node) arg0.getSource()).getScene().getWindow()).setIconified(true);<newline46mondego>        // OR<newline46mondego>        ((Stage) minBtn.getScene().getWindow()).setIconified(true);<newline46mondego>    }<newline46mondego>});<newline46mondego>"
"139splitHere46","11526985splitHere46","b >>> 2"
"140splitHere46","11526985splitHere46","b"
"141splitHere46","11526985splitHere46","11111111 11111111 11111111 10000010<newline46mondego>"
"142splitHere46","11526985splitHere46","00111111 11111111 11111111 11100000<newline46mondego>"
"143splitHere46","11527275splitHere46","static mapping = {<newline46mondego>    tablePerHierarchy true<newline46mondego>}    <newline46mondego>"
"144splitHere46","11527363splitHere46","ArrayList<String> jsonStringToArray(String jsonString) throws JSONException {<newline46mondego><newline46mondego>    ArrayList<String> stringArray = new ArrayList<String>();<newline46mondego><newline46mondego>    JSONArray jsonArray = new JSONArray(jsonString);<newline46mondego><newline46mondego>    for (int i = 0; i < jsonArray.length(); i++) {<newline46mondego>        stringArray.add(jsonArray.getString(i));<newline46mondego>    }<newline46mondego><newline46mondego>    return stringArray;<newline46mondego>}<newline46mondego>"
"145splitHere46","11527597splitHere46","get_account_tree"
"146splitHere46","11527597splitHere46","GET /folders/{folder id}"
"147splitHere46","11527613splitHere46","DefaultTableModel"
"148splitHere46","11527613splitHere46","Custom code"
"149splitHere46","11527613splitHere46","isCellEditable()"
"150splitHere46","11527630splitHere46","char"
"151splitHere46","11527630splitHere46","uint16"
"152splitHere46","11527630splitHere46","char"
"153splitHere46","11527630splitHere46","byte"
"154splitHere46","11527630splitHere46","byte"
"155splitHere46","11527630splitHere46","int"
"156splitHere46","11527630splitHere46","char"
"157splitHere46","11527630splitHere46","byte"
"158splitHere46","11527630splitHere46","char"
"159splitHere46","11527630splitHere46","char"
"160splitHere46","11527630splitHere46","byte"
"161splitHere46","11527630splitHere46","char c;<newline46mondego>byte b = (byte)c; // Truncates to 8 bits<newline46mondego>"
"162splitHere46","11527630splitHere46","byte"
"163splitHere46","11527630splitHere46","byte b;<newline46mondego>int foo = (b & 0xFF);<newline46mondego>"
"164splitHere46","11527630splitHere46","byte b;<newline46mondego>if (b & 0x80) ... // Test a flag<newline46mondego>b |= 0x40; // Set a flag<newline46mondego>b ^= 0x20; // Flip a flag from 0 to 1 or 1 to 0<newline46mondego>b ^= ~0x10; // Clear a flag<newline46mondego>byte x = b << 3; // Shift left 3 bits and assign<newline46mondego>byte x = b >>> 4; // Shift right 4 bits and assign (WITHOUT sign extension)<newline46mondego>"
"165splitHere46","11527641splitHere46","listCountries"
"166splitHere46","11527641splitHere46","public void initlistCountries(){<newline46mondego>        listCountries = new ArrayList<String>();<newline46mondego>        listCountries.add(<doubleQuotes46>Afghanistan<doubleQuotes46>);<newline46mondego>        listCountries.add(<doubleQuotes46>Albania<doubleQuotes46>);<newline46mondego>        listCountries.add(<doubleQuotes46>Algeria<doubleQuotes46>);<newline46mondego>        listCountries.add(<doubleQuotes46>Andorra<doubleQuotes46>);<newline46mondego>        listCountries.add(<doubleQuotes46>Angola<doubleQuotes46>);<newline46mondego>        ......<newline46mondego>    }<newline46mondego>"
"167splitHere46","11527834splitHere46","setType(java.awt.Window.Type.POPUP);<newline46mondego>"
"168splitHere46","11527834splitHere46","Type.NORMAL"
"169splitHere46","11527834splitHere46","public static void main(String args[]) {<newline46mondego>    EventQueue.invokeLater( new Runnable() {<newline46mondego>      @Override<newline46mondego>      public void run() {<newline46mondego>        new KrazGUI();<newline46mondego>      }<newline46mondego>    } );<newline46mondego>  }<newline46mondego>"
"170splitHere46","11528025splitHere46","for (MyClass myObject : myList.subList(1, myList.size()) {<newline46mondego>       myObject.doSomething();<newline46mondego>}<newline46mondego>"
"171splitHere46","11528086splitHere46","// Matches 3 digits, a dash, 2 digits, a dash, and four digits, and then all text<newline46mondego>// until it finds another SSN<newline46mondego>String text = <doubleQuotes46>987-65-4320 some info 987-65-4321 other \ninfo<doubleQuotes46>;<newline46mondego>Pattern p = Pattern.compile(<doubleQuotes46>(\\d{3}-\\d{2}-\\d{4})((?:.(?!\\d{3}-\\d{2}-\\d{4}))*)<doubleQuotes46>, Pattern.DOTALL);<newline46mondego>Matcher m = p.matcher(text);<newline46mondego>while (m.find())<newline46mondego>    System.out.println(m.group(1) + <doubleQuotes46>: <doubleQuotes46> + m.group(2));<newline46mondego>"
"172splitHere46","11528237splitHere46","$SRC"
"173splitHere46","11528237splitHere46","$BIN"
"174splitHere46","11528237splitHere46","javac -sourcepath $SRC -d $BIN A.java B.java<newline46mondego>"
"175splitHere46","11528237splitHere46","java -cp $BIN com.mypackage.B<newline46mondego>"
"176splitHere46","11528237splitHere46","-d"
"177splitHere46","11528260splitHere46","@Provider<newline46mondego>@Produces(<doubleQuotes46>application/vnd.openxmlformats-officedocument.spreadsheetml.sheet<doubleQuotes46>)<newline46mondego>public class CustomXSSFWorkbookWriter implements MessageBodyWriter {<newline46mondego>    //This methode is the most important for you<newline46mondego>    @Override<newline46mondego>public void writeTo(Object target, Class type, Type genericType,<newline46mondego>        Annotation[] annotations, MediaType mediaType,<newline46mondego>        MultivaluedMap httpHeaders, OutputStream outputStream)<newline46mondego>        throws IOException {<newline46mondego>"
"178splitHere46","11528260splitHere46","web.xml"
"179splitHere46","11528260splitHere46","<servlet><newline46mondego>    <servlet-name>Jersey REST Service</servlet-name><newline46mondego>    <servlet-class>com.sun.jersey.spi.container.servlet.ServletContainer</servlet-class><newline46mondego>    <init-param><newline46mondego>        <param-name>com.sun.jersey.config.property.packages</param-name><newline46mondego>        <param-value>com.packages.to.your.views;com.packages.to.your.providers</param-value><newline46mondego>    </init-param><newline46mondego>"
"180splitHere46","11528287splitHere46","</p><newline46mondego><newline46mondego><pre><code>public Block(double id, String type, int sound, int light, boolean breaks, boolean solid) {<newline46mondego>    this.id = id;<newline46mondego>    this.type = type;<newline46mondego>    this.sound = sound;<newline46mondego>    this.light = light;<newline46mondego>    this.breaks = breaks;<newline46mondego>    this.solid = solid;<newline46mondego>}<newline46mondego>"
"181splitHere46","11528373splitHere46","String[] index = null;"
"182splitHere46","11528373splitHere46","index[c] = line;"
"183splitHere46","11528491splitHere46","Iterable<Certificate> recipients = null;<newline46mondego>KeyGenerator gen = KeyGenerator.getInstance(<doubleQuotes46>AES<doubleQuotes46>);<newline46mondego>gen.init(256);<newline46mondego>SecretKey contentEncryptionKey = gen.generateKey();<newline46mondego>"
"184splitHere46","11528491splitHere46","Cipher contentCipher = Cipher.getInstance(<doubleQuotes46>AES/CBC/PKCS5Padding<doubleQuotes46>);<newline46mondego>contentCipher.init(Cipher.ENCRYPT_MODE, contentEncryptionKey);<newline46mondego>AlgorithmParameters params = contentCipher.getParameters();<newline46mondego>byte[] iv = params.getParameterSpec(IvParameterSpec.class).getIV();<newline46mondego>"
"185splitHere46","11528491splitHere46","Cipher keyEncryptionCipher = Cipher.getInstance(<doubleQuotes46>RSA/ECB/PKCS1Padding<doubleQuotes46>);<newline46mondego>for (Certificate recipient : recipients) {<newline46mondego>  keyEncryptionCipher.init(Cipher.WRAP_MODE, recipient);<newline46mondego>  byte[] encryptedKey = keyEncryptionCipher.wrap(contentEncryptionKey);<newline46mondego>  /* Store the encryptedKey with an identifier for the recipient... */<newline46mondego>}<newline46mondego>/* Store the IV... */ <newline46mondego>/* Encrypt the file... */<newline46mondego>"
"186splitHere46","11528532splitHere46","<uses-permisssion android:name=<doubleQuotes46>android.permission.INTERNET<doubleQuotes46>/><newline46mondego>"
