"1splitHere46","17981343splitHere46","curl -v -X PUT -H <doubleQuotes46>Content-Type: text/uri-list<doubleQuotes46> \<newline46mondego>-d <doubleQuotes46>http://localhost:7070/study-spring-data/teacher/1<doubleQuotes46> http://localhost:7070/study-spring-data/course/123/teacher<newline46mondego>"
"64splitHere46","17982909splitHere46","state.executeUpdate(<doubleQuotes46>INSERT INTO deneme (name) VALUES ('<doubleQuotes46> + name + <doubleQuotes46>')<doubleQuotes46>);<newline46mondego>"
"65splitHere46","17982909splitHere46","try"
"66splitHere46","17982909splitHere46","try {<newline46mondego>        Class.forName(<doubleQuotes46>com.mysql.jdbc.Driver<doubleQuotes46>);<newline46mondego>    } catch (ClassNotFoundException e) {<newline46mondego>        String msg = <doubleQuotes46>The com.mysql.jdbc.Driver is missing\n<doubleQuotes46><newline46mondego>                + <doubleQuotes46>install and rerun the application<doubleQuotes46>;<newline46mondego>        JOptionPane.showMessageDialog(this, msg, this.getTitle(), JOptionPane.ERROR_MESSAGE);<newline46mondego>        System.exit(1);<newline46mondego>    }<newline46mondego>"
"67splitHere46","17982912splitHere46","int contentLength = connection.getContentLength();"
"68splitHere46","17982912splitHere46","content-length"
"69splitHere46","17982912splitHere46","Scanner"
"70splitHere46","17982912splitHere46","URL"
"71splitHere46","17982912splitHere46","Scanner s = new Scanner(new URL(<doubleQuotes46>http://www.google.com<doubleQuotes46>).openStream(), <doubleQuotes46>UTF-8<doubleQuotes46>).useDelimiter(<doubleQuotes46>\\A<doubleQuotes46>);<newline46mondego>out = s.next();<newline46mondego>s.close();<newline46mondego>"
"72splitHere46","17982912splitHere46","String convertStreamToString(InputStream is) throws UnsupportedEncodingException {<newline46mondego><newline46mondego>      BufferedReader reader = new BufferedReader(new    <newline46mondego>                              InputStreamReader(is, <doubleQuotes46>UTF-8<doubleQuotes46>));<newline46mondego>      StringBuilder sb = new StringBuilder();<newline46mondego>      String line = null;<newline46mondego>      try {<newline46mondego>          while ((line = reader.readLine()) != null)<newline46mondego>              sb.append(line + <doubleQuotes46>\n<doubleQuotes46>);<newline46mondego>      } catch (IOException e) {<newline46mondego>          // Handle exception<newline46mondego>      } finally {<newline46mondego>          try {<newline46mondego>              is.close();<newline46mondego>          } catch (IOException e) {<newline46mondego>              // Handle exception<newline46mondego>          }<newline46mondego>      }<newline46mondego>      return sb.toString();<newline46mondego>   }<newline46mondego>}<newline46mondego>"
"73splitHere46","17982924splitHere46","<doubleQuotes46>C:\Users\Aaron\Documents\MinecraftForge\forge\mcp<doubleQuotes46>"
"74splitHere46","17982924splitHere46","File file = new File(<doubleQuotes46>C:\\Users\\Aaron\\Documents\\MinecraftForge\\forge\\mcp<doubleQuotes46>);<newline46mondego>    for(File s : file.listFiles())<newline46mondego>    {<newline46mondego>        if(s.getName().equals(<doubleQuotes46>recompile.bat<doubleQuotes46>))<newline46mondego>        {<newline46mondego>            DefaultExecutor executor = new DefaultExecutor();<newline46mondego>            executor.setWorkingDirectory(file);<newline46mondego>            CommandLine commandLine = new CommandLine(s.getAbsolutePath());<newline46mondego><newline46mondego>            try<newline46mondego><newline46mondego>        {<newline46mondego>            executor.execute(commandLine);<newline46mondego>        } catch (ExecuteException e)<newline46mondego>        {<newline46mondego>            e.printStackTrace();<newline46mondego>        } catch (IOException e)<newline46mondego>        {<newline46mondego>            e.printStackTrace();<newline46mondego>        }<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"75splitHere46","17982948splitHere46","StringWriter"
"76splitHere46","17982948splitHere46","StreamResult"
"77splitHere46","17982948splitHere46","String"
"78splitHere46","17982948splitHere46","StringWriter"
"79splitHere46","17982948splitHere46","toString"
"80splitHere46","17983178splitHere46","Image[][] displayedMap = new Image[MAP[0].length][MAP.length];<newline46mondego>public Town() {<newline46mondego>    System.out.println(<doubleQuotes46>Map len<doubleQuotes46> + MAP.length);<newline46mondego>    for (int x = 0; x < MAP.length; x++) {<newline46mondego>        for (int y = 0; y < MAP[0].length; y++) {<newline46mondego>            System.out.println(<doubleQuotes46>X:<doubleQuotes46> + x + <doubleQuotes46>,Y:<doubleQuotes46> + y);<newline46mondego>            setImageContent(x, y);<newline46mondego>        }<newline46mondego>    }<newline46mondego>}<newline46mondego><newline46mondego>private void setImageContent(int x, int y) {<newline46mondego>    Terrain t = Terrain.getTerrainFor(MAP[x][y]);<newline46mondego>    displayedMap[x][y] = t.getImage();<newline46mondego>}<newline46mondego>"
"81splitHere46","17983178splitHere46","MAP.length"
"82splitHere46","17983178splitHere46","x"
"83splitHere46","17983178splitHere46","MAP[0].length"
"84splitHere46","17983178splitHere46","y"
"85splitHere46","17983302splitHere46","tf1.setText(action)<newline46mondego>"
"86splitHere46","17983302splitHere46","tf1.setText(tf1.getText() + action)<newline46mondego>"
"87splitHere46","17983395splitHere46","<TextView<newline46mondego>    android:layout_width=<doubleQuotes46>wrap_content<doubleQuotes46><newline46mondego>    android:textColor=<doubleQuotes46>@color/white<doubleQuotes46><newline46mondego>    android:layout_height=<doubleQuotes46>wrap_content<doubleQuotes46><newline46mondego>    android:layout_weight=<doubleQuotes46>1<doubleQuotes46><newline46mondego>    android:text=<doubleQuotes46>HIIIII<doubleQuotes46> /><newline46mondego><newline46mondego>    <Button<newline46mondego>    android:layout_width=<doubleQuotes46>wrap_content<doubleQuotes46><newline46mondego>    android:textColor=<doubleQuotes46>@color/black<doubleQuotes46><newline46mondego>    android:layout_height=<doubleQuotes46>wrap_content<doubleQuotes46><newline46mondego>    android:layout_weight=<doubleQuotes46>1<doubleQuotes46><newline46mondego>    android:text=<doubleQuotes46>Badoop<doubleQuotes46> /><newline46mondego>"
"88splitHere46","17983498splitHere46","@Test<newline46mondego>public void testIntegerValue() {<newline46mondego>    Integer num = new Integer(1);<newline46mondego>    setInteger(num);<newline46mondego>    System.out.println(num); // still return one, why? because Integer will convert to <newline46mondego>                            // int internally and int is primitive in Java, so it's pass by value<newline46mondego><newline46mondego>}<newline46mondego><newline46mondego>public void setInteger(Integer i) {<newline46mondego>    i +=1;<newline46mondego>}<newline46mondego>"
"89splitHere46","17983754splitHere46","int checkCount = 0;<newline46mondego>if (chk1.isSelected()) {<newline46mondego>    checkCount++;<newline46mondego>}<newline46mondego>if (chk2.isSelected()) {<newline46mondego>    checkCount++;<newline46mondego>}    <newline46mondego>if (chk3.isSelected()) {<newline46mondego>    checkCount++;<newline46mondego>}    <newline46mondego>if (chk4.isSelected()) {<newline46mondego>    checkCount++;<newline46mondego>}    <newline46mondego>if (chk5.isSelected()) {<newline46mondego>    checkCount++;<newline46mondego>}    <newline46mondego>if (chk6.isSelected()) {<newline46mondego>    checkCount++;<newline46mondego>}<newline46mondego><newline46mondego>tFee = 2640 * checkCount;<newline46mondego>lblMis.setText(Double.toString(misFee));<newline46mondego>lblT.setText(Double.toString(tFee));<newline46mondego>"
"90splitHere46","17983754splitHere46","JCheckBox[] boxes = new JCheckBox[]{chk1, chk2, chk3, chk4, chk5, chk6};<newline46mondego>tFee = 0;<newline46mondego>for (JCheckBox box : boxes) {<newline46mondego>    if (box.isSelected()) {<newline46mondego>        tFee += 2640;<newline46mondego>    }<newline46mondego>}<newline46mondego>lblMis.setText(Double.toString(misFee));<newline46mondego>lblT.setText(Double.toString(tFee));<newline46mondego>"
"91splitHere46","17983799splitHere46","static"
"92splitHere46","17983803splitHere46","HttpClient"
"93splitHere46","17983922splitHere46","new"
"94splitHere46","17983922splitHere46","Button button =  new Button(shell, SWT.PUSH);<newline46mondego>final String someString = <doubleQuotes46>hello world!<doubleQuotes46>;<newline46mondego>button.addSelectionListener(new SelectionAdapter() { <newline46mondego>    @Override<newline46mondego>    public void widgetSelected(SelectionEvent e) {<newline46mondego>        // Handle the selection event<newline46mondego>        System.out.println(someString);<newline46mondego>    }<newline46mondego>});<newline46mondego>"
"95splitHere46","17983922splitHere46","someString"
"96splitHere46","17983922splitHere46","PropertyChangeEvent"
"97splitHere46","17983922splitHere46","PropertyChangeEvent"
"98splitHere46","17983931splitHere46","class LevelBSONEncoder extends org.bson.Transformer {<newline46mondego>  def transform(o: Any): AnyRef =<newline46mondego>    o match {<newline46mondego>      case level: org.apache.logging.log4j.Level => new java.lang.Integer(level.intLevel())<newline46mondego>    }<newline46mondego>}<newline46mondego><newline46mondego>// which is used like this<newline46mondego><newline46mondego>org.bson.BSON.addEncodingHook(org.apache.logging.log4j.Level.ERROR.getClass, new LevelBSONEncoder())<newline46mondego>"
"99splitHere46","17984121splitHere46","LinearLayout billLL, tipRateLL, tipLL;  // declare here so they can be used anywhere in the Activity<newline46mondego><newline46mondego>@Override<newline46mondego>protected void onCreate(Bundle savedInstanceState) {<newline46mondego>    super.onCreate(savedInstanceState);<newline46mondego>    setContentView(R.layout.activity_tip_calc);<newline46mondego><newline46mondego>    // but initialize here<newline46mondego>    billLL = (LinearLayout)findViewById(R.id.billLayout);<newline46mondego>    tipRateLL = (LinearLayout)findViewById(R.id.tipRateLayout);<newline46mondego>    tipLL = (LinearLayout)findViewById(R.id.tipLayout);<newline46mondego>"
"100splitHere46","17984263splitHere46","else if (type == TokenType.SIGN) { <newline46mondego>    int x = stack.pop();<newline46mondego>    x = -x;<newline46mondego>    stack.push( x);<newline46mondego>} <newline46mondego>"
"101splitHere46","17984264splitHere46","List<String>"
"102splitHere46","17984264splitHere46","List<MyClassType>"
"103splitHere46","17984349splitHere46","JFrame"
"104splitHere46","17984349splitHere46","JDialog"
"105splitHere46","17984349splitHere46","if ( JOptionPane.showConfirmDialog( null, <doubleQuotes46>this is a message<doubleQuotes46>,<newline46mondego>                    <doubleQuotes46>this is a title<doubleQuotes46>, JOptionPane.YES_NO_OPTION, <newline46mondego>                        JOptionPane.WARNING_MESSAGE ) == JOptionPane.YES_OPTION )<newline46mondego>{<newline46mondego>    // do something since the user selected yes<newline46mondego>}<newline46mondego>"
"106splitHere46","17984426splitHere46","static final int DATABASE_VERSION = 2;<newline46mondego>"
"107splitHere46","17984498splitHere46","Exception"
"108splitHere46","17984498splitHere46","throw new Exception(<doubleQuotes46>Error<doubleQuotes46>) {<newline46mondego>    // Here is what makes the exception user-defined.<newline46mondego>    // You do not need to override anything, but if you want, you can:<newline46mondego>    public String getMessage() {<newline46mondego>        return <doubleQuotes46>Here is your user-defined exception!<doubleQuotes46>;<newline46mondego>    }<newline46mondego>};<newline46mondego>"
"109splitHere46","17984632splitHere46","String[] myText = originalText.split(<doubleQuotes46>\r\n<doubleQuotes46>);<newline46mondego>"
"110splitHere46","17984635splitHere46","writeObject()"
"111splitHere46","17984638splitHere46","Immutable"
"112splitHere46","17984949splitHere46","KeyStroke"
"113splitHere46","17984949splitHere46","KeyStroke.getKeyStroke('w')"
"114splitHere46","17984949splitHere46","typed w"
"115splitHere46","17984949splitHere46","panel.getInputMap().put(KeyStroke.getKeyStroke(<doubleQuotes46>W<doubleQuotes46>),<doubleQuotes46>forward<doubleQuotes46>);<newline46mondego>"
"116splitHere46","17984949splitHere46","panel.getInputMap().put(KeyStroke.getKeyStroke(KeyEvent.VK_W, 0),<doubleQuotes46>forward<doubleQuotes46>);<newline46mondego>"
"117splitHere46","17984949splitHere46","InputMap"
"118splitHere46","17984949splitHere46","panel.getInputMap(JComponent.WHEN_IN_FOCUSED_WINDOW)...<newline46mondego>"
"119splitHere46","17984949splitHere46","JComponent"
"120splitHere46","17984949splitHere46","import java.awt.BorderLayout;<newline46mondego>import java.awt.EventQueue;<newline46mondego>import java.awt.event.ActionEvent;<newline46mondego>import java.awt.event.KeyEvent;<newline46mondego>import javax.swing.AbstractAction;<newline46mondego>import javax.swing.JComponent;<newline46mondego>import javax.swing.JFrame;<newline46mondego>import javax.swing.JPanel;<newline46mondego>import javax.swing.KeyStroke;<newline46mondego>import javax.swing.UIManager;<newline46mondego>import javax.swing.UnsupportedLookAndFeelException;<newline46mondego><newline46mondego>public class Test extends JFrame {<newline46mondego><newline46mondego>    private JPanel panel;<newline46mondego><newline46mondego>    public Test() {<newline46mondego>        super();<newline46mondego>        setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);<newline46mondego>        setSize(500, 500);<newline46mondego>        setLayout(new BorderLayout());<newline46mondego>        setVisible(true);<newline46mondego>        panel = new JPanel();<newline46mondego><newline46mondego>        // HERE ARE THE KEY BINDINGS<newline46mondego>        panel.getInputMap(JComponent.WHEN_IN_FOCUSED_WINDOW).put(KeyStroke.getKeyStroke(KeyEvent.VK_W, 0), <doubleQuotes46>forward<doubleQuotes46>);<newline46mondego>        panel.getActionMap().put(<doubleQuotes46>forward<doubleQuotes46>, new AbstractAction() {<newline46mondego>            @Override<newline46mondego>            public void actionPerformed(ActionEvent e) {<newline46mondego>                System.out.println(<doubleQuotes46>test<doubleQuotes46>);<newline46mondego>            }<newline46mondego>        });<newline46mondego>        // END OF KEY BINDINGS<newline46mondego><newline46mondego>        add(panel, BorderLayout.CENTER);<newline46mondego>    }<newline46mondego><newline46mondego>    public static void main(String[] args) {<newline46mondego>        EventQueue.invokeLater(new Runnable() {<newline46mondego>            @Override<newline46mondego>            public void run() {<newline46mondego>                try {<newline46mondego>                    UIManager.setLookAndFeel(UIManager.getSystemLookAndFeelClassName());<newline46mondego>                } catch (ClassNotFoundException | InstantiationException | IllegalAccessException | UnsupportedLookAndFeelException ex) {<newline46mondego>                }<newline46mondego><newline46mondego>                new Test();<newline46mondego>            }<newline46mondego>        });<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"121splitHere46","17984960splitHere46","iterator"
"122splitHere46","17984960splitHere46","LinkedList.toArray"
"123splitHere46","17985141splitHere46","U+FFFD"
"124splitHere46","17985141splitHere46","InputStreamReader"
"125splitHere46","17985141splitHere46","StringBuilder buffer = new StringBuilder();<newline46mondego>try (InputStream encoded = ...) {<newline46mondego>  Reader decoded = new InputStreamReader(encoded, StandardCharsets.UTF_8);<newline46mondego>  char[] buffer = new char[1024];<newline46mondego>  while (true) {<newline46mondego>    int n = decoded.read(buffer);<newline46mondego>    if (n < 0)<newline46mondego>      break;<newline46mondego>    buffer.append(buffer, 0, n);<newline46mondego>  }<newline46mondego>}<newline46mondego>String verse = buffer.toString();<newline46mondego>"
"126splitHere46","17985182splitHere46","ProcessBuilder pb = new ProcessBuilder(<doubleQuotes46>java<doubleQuotes46>, <doubleQuotes46>-jar<doubleQuotes46>, <doubleQuotes46>absolute path upto jar<doubleQuotes46>);<newline46mondego>Process p = pb.start();<newline46mondego>"
"127splitHere46","17985182splitHere46","File commands = new File(<doubleQuotes46>absolute path to inputs file<doubleQuotes46>);<newline46mondego>File dirOut = new File(<doubleQuotes46>absolute path to outputs file<doubleQuotes46>);<newline46mondego>File dirErr = new File(<doubleQuotes46>absolute path to error file<doubleQuotes46>);<newline46mondego><newline46mondego>dirProcess.redirectInput(commands);<newline46mondego>dirProcess.redirectOutput(dirOut);<newline46mondego>dirProcess.redirectError(dirErr);<newline46mondego>"
"128splitHere46","17985184splitHere46","HashSet"
"129splitHere46","17985184splitHere46","ArrayList"
"130splitHere46","17985184splitHere46","hashcode()"
"131splitHere46","17985184splitHere46","equals(Object)"
"132splitHere46","17985184splitHere46","contains(...)"
"133splitHere46","17985184splitHere46","Map"
"134splitHere46","17985184splitHere46","hashcode"
"135splitHere46","17985184splitHere46","equals"
"136splitHere46","17985184splitHere46","equals(Object)"
"137splitHere46","17985274splitHere46","int[]"
"138splitHere46","17985274splitHere46","primes[index] = prime;<newline46mondego> index++;<newline46mondego>"
"139splitHere46","17985274splitHere46","awal"
"140splitHere46","17985274splitHere46","akhir"
"141splitHere46","17985463splitHere46","void write(K key, V value, String baseOutputPath);<newline46mondego>"
"142splitHere46","17985463splitHere46","void write(K key, V value, getFileName(key))"
"143splitHere46","17985463splitHere46","getFileName(K key){<newline46mondego>   return (key.toString());<newline46mondego>}<newline46mondego>"
"144splitHere46","17985463splitHere46","context.write()"
"145splitHere46","17985463splitHere46","write()"
"146splitHere46","17985463splitHere46","FileSystem fs = file.getFileSystem(context.getConfiguration());<newline46mondego> FSDataOutputStream fileOut = fs.create(key.toString());<newline46mondego>"
"147splitHere46","17985463splitHere46","fs.close();"
"148splitHere46","17985799splitHere46","final String unitstring = unitpreference.getString(<doubleQuotes46>unit_type<doubleQuotes46>, <doubleQuotes46><doubleQuotes46>);<newline46mondego>final int unit = Integer.parseInt(unitstring);<newline46mondego>"
"149splitHere46","17985799splitHere46","final String unitstring = unitpreference.getString(<doubleQuotes46>unit_type<doubleQuotes46>, <doubleQuotes46>0<doubleQuotes46>);<newline46mondego>final int unit = Integer.parseInt(unitstring);<newline46mondego>"
"150splitHere46","17986078splitHere46","<doubleQuotes46>,(?=(([^\<doubleQuotes46>]*\<doubleQuotes46>){2})*[^\<doubleQuotes46>]*$)(?=([^\\[]*?\\[[^\\]]*\\][^\\[\\]]*?)*$)<doubleQuotes46><newline46mondego>"
"151splitHere46","17986078splitHere46","String line = <doubleQuotes46>a=1,b=\<doubleQuotes46>1,2,3\<doubleQuotes46>,c=[d=1,e=\<doubleQuotes46>1,11\<doubleQuotes46>]<doubleQuotes46>;<newline46mondego>String[] tokens = line.split(<doubleQuotes46>,(?=(([^\<doubleQuotes46>]*\<doubleQuotes46>){2})*[^\<doubleQuotes46>]*$)(?=([^\\[]*?\\[[^\\]]*\\][^\\[\\]]*?)*$)<doubleQuotes46>);<newline46mondego>for (String t : tokens)<newline46mondego>    System.out.println(t);<newline46mondego>"
"152splitHere46","17986078splitHere46","a=1<newline46mondego>b=<doubleQuotes46>1,2,3<doubleQuotes46><newline46mondego>c=[d=1,e=<doubleQuotes46>1,11<doubleQuotes46>]<newline46mondego>"
"153splitHere46","17986133splitHere46","\s+"
"154splitHere46","17986133splitHere46","arr"
"155splitHere46","17986133splitHere46","Pattern.LITERAL"
"156splitHere46","17986133splitHere46","Pattern.LITERAL"
"157splitHere46","17986133splitHere46","Pattern.quote(...)"
"158splitHere46","17986133splitHere46","\\b"
"159splitHere46","17986133splitHere46","\\b(Dogs cats donuts|Dogs|cats|donuts)\\b<newline46mondego>"
"160splitHere46","17986153splitHere46","25L * 24*3600*1000<newline46mondego>"
"161splitHere46","17986153splitHere46","-2134967296<newline46mondego>"
"162splitHere46","17986153splitHere46","DateFormat format = new SimpleDateFormat(<doubleQuotes46>yyyy-MM-dd<doubleQuotes46>);<newline46mondego>long time = format.parse(<doubleQuotes46>2013-6-30<doubleQuotes46>).getTime();<newline46mondego>String logTime = format.format(new Date(time + 25L * 24 * 3600 * 1000));<newline46mondego>String logTime1 = format.format(new Date(time + 24L * 24 * 3600 * 1000));<newline46mondego>System.out.println(<doubleQuotes46>time + 25d:  <doubleQuotes46> + logTime);<newline46mondego>System.out.println(<doubleQuotes46>time + 24d:  <doubleQuotes46> + logTime1);<newline46mondego>"
"163splitHere46","17986153splitHere46","time + 25d:  2013-07-25<newline46mondego>time + 24d:  2013-07-24<newline46mondego>"
"164splitHere46","17986233splitHere46","Sample"
"165splitHere46","17986233splitHere46","// private method which takes an int as parameter and returns another int<newline46mondego>private int Sample(int c)<newline46mondego>{<newline46mondego>  int a = 1;<newline46mondego>  int b = 2;<newline46mondego>  c = a + b;<newline46mondego>  return c;<newline46mondego>}<newline46mondego>"
"166splitHere46","17986233splitHere46","Testing"
"167splitHere46","17986233splitHere46","Sample"
"168splitHere46","17986233splitHere46","class Testing"
"169splitHere46","17986233splitHere46","public class Testing{<newline46mondego>  private int Sample(int c)<newline46mondego>  {<newline46mondego>    int a = 1;<newline46mondego>    int b = 2;<newline46mondego>    c = a + b;<newline46mondego>    return c;<newline46mondego> }<newline46mondego>  public static void main(String []args)<newline46mondego> {<newline46mondego>    Testing t = new Testing(); // instantiate a Testing class object<newline46mondego>    int result = t.Sample(1); // use the instance t to invoke a method on it<newline46mondego>    System.out.println(result);<newline46mondego> }<newline46mondego>}<newline46mondego>"
"170splitHere46","17986233splitHere46","Sample"
"171splitHere46","17986233splitHere46","3"
