"1splitHere46","4769825splitHere46","java -classpath . ServerMain<newline46mondego>"
"48splitHere46","4772524splitHere46","baz"
"49splitHere46","4772524splitHere46","baz"
"50splitHere46","4772524splitHere46","foo"
"51splitHere46","4772524splitHere46","bar"
"52splitHere46","4772856splitHere46","#!/bin/sh<newline46mondego>OPTS=... <newline46mondego>java $OPTS com.example.YourApp <doubleQuotes46>$@<doubleQuotes46><newline46mondego>"
"53splitHere46","4772856splitHere46","$@"
"54splitHere46","4772856splitHere46","$ wrapper <doubleQuotes46>/home/person/Stupid Directory/foo.txt<doubleQuotes46> <newline46mondego>"
"55splitHere46","4773095splitHere46","Debug.startMethodTracing(<doubleQuotes46>xyz<doubleQuotes46>);<newline46mondego><your code goes here><newline46mondego>Debug.stopMethodTracing()<newline46mondego>"
"56splitHere46","4773095splitHere46","adb pull /sdcard/xyz.trace<newline46mondego>"
"57splitHere46","4773095splitHere46","traceview xyz.trace<newline46mondego>"
"58splitHere46","4773635splitHere46","write(new String[]{<doubleQuotes46>A<doubleQuotes46>,<doubleQuotes46>B<doubleQuotes46>,<doubleQuotes46>C<doubleQuotes46>});<newline46mondego>"
"59splitHere46","4773635splitHere46","write(<doubleQuotes46>A<doubleQuotes46>, <doubleQuotes46>B<doubleQuotes46>, <doubleQuotes46>C<doubleQuotes46>);<newline46mondego>"
"60splitHere46","4773635splitHere46","public void write(String... records) {<newline46mondego>   for (String record: records)<newline46mondego>      System.out.println(record);<newline46mondego>}<newline46mondego>"
"61splitHere46","4773776splitHere46","make"
"62splitHere46","4773829splitHere46","SingleConnectionFactory"
"63splitHere46","4773829splitHere46","SingleConnectionFactory.createConnection()"
"64splitHere46","4773829splitHere46","CachingConnectionFactory"
"65splitHere46","4773860splitHere46","Socket echoSocket = null;<newline46mondego>    PrintWriter out = null;<newline46mondego>    BufferedReader in = null;<newline46mondego><newline46mondego>    try {<newline46mondego>        echoSocket = new Socket(<doubleQuotes46>taranis<doubleQuotes46>, 7);<newline46mondego>        out = new PrintWriter(echoSocket.getOutputStream(), true);<newline46mondego>        in = new BufferedReader(new InputStreamReader(<newline46mondego>                                    echoSocket.getInputStream()));<newline46mondego>    } catch (UnknownHostException e) {<newline46mondego>        System.err.println(<doubleQuotes46>Don't know about host: taranis.<doubleQuotes46>);<newline46mondego>        System.exit(1);<newline46mondego>    } catch (IOException e) {<newline46mondego>        System.err.println(<doubleQuotes46>Couldn't get I/O for <doubleQuotes46><newline46mondego>                           + <doubleQuotes46>the connection to: taranis.<doubleQuotes46>);<newline46mondego>        System.exit(1);<newline46mondego>    }<newline46mondego><newline46mondego>BufferedReader stdIn = new BufferedReader(<newline46mondego>                               new InputStreamReader(System.in));<newline46mondego>String userInput;<newline46mondego><newline46mondego>while ((userInput = stdIn.readLine()) != null) {<newline46mondego>    out.println(userInput);<newline46mondego>    System.out.println(<doubleQuotes46>echo: <doubleQuotes46> + in.readLine());<newline46mondego>}<newline46mondego>"
"66splitHere46","4774142splitHere46","gdataVersion = <doubleQuotes46>1.0<doubleQuotes46>; <newline46mondego>and GET request <newline46mondego>"
"67splitHere46","4774142splitHere46","1.0 and POST <newline46mondego>"
"68splitHere46","4774142splitHere46","2.0 and GET <newline46mondego>"
"69splitHere46","4774142splitHere46","gdataVersion = <doubleQuotes46>2<doubleQuotes46>;"
"70splitHere46","4774218splitHere46","public class SimpleServletContext<newline46mondego>{<newline46mondego>    public static void main(String[] args) throws Exception<newline46mondego>    {<newline46mondego>        Server server = new Server(8080);<newline46mondego><newline46mondego>        ServletContextHandler context = new ServletContextHandler(ServletContextHandler.SESSIONS);<newline46mondego>        context.setContextPath(<doubleQuotes46>/<doubleQuotes46>);<newline46mondego>        server.setHandler(context);<newline46mondego><newline46mondego>        context.addServlet(new ServletHolder(new PostServlet()),<doubleQuotes46>/*<doubleQuotes46>);<newline46mondego><newline46mondego>        server.start();<newline46mondego>        server.join();<newline46mondego>    }<newline46mondego>}<newline46mondego><newline46mondego>public class PostServlet extends HttpServlet<newline46mondego>{<newline46mondego>    public PostServlet()<newline46mondego>    { <newline46mondego>    }<newline46mondego><newline46mondego>    protected void doPost(HttpServletRequest request, HttpServletResponse response) throws ServletException, IOException<newline46mondego>    {<newline46mondego>        // do something with the posted data<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"71splitHere46","4774302splitHere46","out.print()"
"72splitHere46","4774302splitHere46","out.println()"
"73splitHere46","4774302splitHere46","out.flush()"
"74splitHere46","4774302splitHere46","out.print(this.jTextField1.getText()+'\u0000');<newline46mondego>out.flush();<newline46mondego>"
"75splitHere46","4774416splitHere46","UserPrincipal"
"76splitHere46","4774416splitHere46","User"
"77splitHere46","4774416splitHere46","Filter"
"78splitHere46","4774416splitHere46","HttpSessionListener"
"79splitHere46","4774416splitHere46","User"
"80splitHere46","4774459splitHere46","public class Test {<newline46mondego> public static void main (String [] args ){<newline46mondego>  Test test = new Test();<newline46mondego>  int a = test.calcArea(7, 12);<newline46mondego>  System.out.println(a);<newline46mondego> }<newline46mondego><newline46mondego> int calcArea(int height, int width) {<newline46mondego>  return height * width;<newline46mondego> }<newline46mondego>}<newline46mondego>"
"81splitHere46","4774483splitHere46","struct"
"82splitHere46","4774969splitHere46","regex = (?i)(foo|bar|tar)(?!([^<]+)?>>)"
"83splitHere46","4774969splitHere46","text.replaceAll(regex);"
"84splitHere46","4774969splitHere46","StringUtils.join()"
