"1splitHere46","4308085splitHere46","msg.setRecipients()"
"33splitHere46","4309250splitHere46","interface Car<T extends Car> {<newline46mondego>    T getCar();<newline46mondego>}<newline46mondego><newline46mondego>class MazdaRX8 implements Car<MazdaRX8 > {<newline46mondego>    public MazdaRX8 getCar() {<newline46mondego>        return this;<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"34splitHere46","4309432splitHere46","Class"
"35splitHere46","4309432splitHere46","Main"
"36splitHere46","4309432splitHere46","package"
"37splitHere46","4309432splitHere46","javaapplication1"
"38splitHere46","4309432splitHere46",".java"
"39splitHere46","4309432splitHere46","HelloWorldApp.java"
"40splitHere46","4309432splitHere46","default"
"41splitHere46","4309432splitHere46","Main.java"
"42splitHere46","4309432splitHere46","package"
"43splitHere46","4309432splitHere46","javaaplication1"
"44splitHere46","4309666splitHere46","System.out.println(<doubleQuotes46>symbol for greater or equal then is \u2265<doubleQuotes46>);<newline46mondego>"
"45splitHere46","4309666splitHere46","'≥'.charCodeAt(0).toString(16)<newline46mondego>"
"46splitHere46","4309666splitHere46","\u"
"47splitHere46","4309693splitHere46","binding"
"48splitHere46","4309693splitHere46","UIComponent"
"49splitHere46","4309693splitHere46","Date"
"50splitHere46","4309693splitHere46","c:forEach"
"51splitHere46","4309693splitHere46","<rich:calendar value=<doubleQuotes46>#{oc.overtimeDate}<doubleQuotes46> <newline46mondego>    requiredMessage=<doubleQuotes46>Date 1 is required.<doubleQuotes46><newline46mondego>    id=<doubleQuotes46>#{oc.overtimeDateId}<doubleQuotes46> <newline46mondego>    binding=<doubleQuotes46>#{calendarComponent}<doubleQuotes46> <newline46mondego>    required=<doubleQuotes46>#{oc.id == 1 ? true : false}<doubleQuotes46>><newline46mondego></rich:calendar><newline46mondego><h:inputText value=<doubleQuotes46>#{oc.overtimeHours}<doubleQuotes46> <newline46mondego>    id=<doubleQuotes46>#{oc.overtimeHoursId}<doubleQuotes46><newline46mondego>    requiredMessage=<doubleQuotes46>Hours is required.<doubleQuotes46> <newline46mondego>    required=<doubleQuotes46>#{not empty calendarComponent.value}<doubleQuotes46> ><newline46mondego></h:inputText><newline46mondego>"
"52splitHere46","4309693splitHere46","#{calendarComponent}"
"53splitHere46","4309693splitHere46","c:forEach"
"54splitHere46","4309693splitHere46","ui:repeat"
"55splitHere46","4309693splitHere46","ui:repeat"
"56splitHere46","4309693splitHere46","UIComponent"
"57splitHere46","4309693splitHere46","UIInput"
"58splitHere46","4309693splitHere46","oc"
"59splitHere46","4309693splitHere46","public class OvertimeComponent {<newline46mondego>    private UIInput calendarComponent;<newline46mondego>    // ...<newline46mondego>"
"60splitHere46","4309693splitHere46","<rich:calendar value=<doubleQuotes46>#{oc.overtimeDate}<doubleQuotes46> <newline46mondego>    requiredMessage=<doubleQuotes46>Date 1 is required.<doubleQuotes46><newline46mondego>    id=<doubleQuotes46>#{oc.overtimeDateId}<doubleQuotes46> <newline46mondego>    binding=<doubleQuotes46>#{oc.calendarComponent}<doubleQuotes46> <newline46mondego>    required=<doubleQuotes46>#{oc.id == 1}<doubleQuotes46>><newline46mondego></rich:calendar><newline46mondego><h:inputText value=<doubleQuotes46>#{oc.overtimeHours}<doubleQuotes46> <newline46mondego>    id=<doubleQuotes46>#{oc.overtimeHoursId}<doubleQuotes46><newline46mondego>    requiredMessage=<doubleQuotes46>Hours is required.<doubleQuotes46> <newline46mondego>    required=<doubleQuotes46>#{not empty oc.calendarComponent.value}<doubleQuotes46> ><newline46mondego></h:inputText><newline46mondego>"
"61splitHere46","4309693splitHere46","required"
"62splitHere46","4309693splitHere46","rich:calendar"
"63splitHere46","4309693splitHere46","boolean"
"64splitHere46","4309708splitHere46","super"
"65splitHere46","4309708splitHere46","Foo"
"66splitHere46","4309708splitHere46","@Inject public ChildClass(Foo foo, Bar bar) {<newline46mondego>  super(foo);<newline46mondego>  this.bar = bar;<newline46mondego>  ...<newline46mondego>}<newline46mondego>"
"67splitHere46","4309886splitHere46","A.class <newline46mondego>B.class<newline46mondego>"
"68splitHere46","4309886splitHere46","jar cvf AB.jar A.class B.class<newline46mondego>"
"69splitHere46","4309886splitHere46","java -classpath AB.jar A<newline46mondego>java -classpath AB.jar B<newline46mondego>"
"70splitHere46","4310028splitHere46","Comparator"
"71splitHere46","4310028splitHere46","Collections.sort(List, Comparator)"
"72splitHere46","4310028splitHere46","public class FooComparator implements Comparator<Foo> {<newline46mondego>    public int compare(Foo a, Foo b) {<newline46mondego>        int dateComparison = a.date.compareTo(b.date);<newline46mondego>        return dateComparison == 0 ? a.value.compareTo(b.value) : dateComparison;<newline46mondego>    }<newline46mondego>}<newline46mondego><newline46mondego>Collections.sort(foos, new FooComparator());<newline46mondego>"
"73splitHere46","4310051splitHere46","WEB-INF/lib"
"74splitHere46","4310061splitHere46","JPanel containerPanel = new JPanel();<newline46mondego>containerPanel.setLayout(new BoxLayout(containerPanel, BoxLayout.PAGE_AXIS));<newline46mondego>containerPanel.add(panel1);<newline46mondego>containerPanel.add(panel2);<newline46mondego>pane.add(containerPanel);<newline46mondego>"
"75splitHere46","4310131splitHere46","pw.getText().toString().equals(<doubleQuotes46>mypassword<doubleQuotes46>)<newline46mondego>"
"76splitHere46","4310383splitHere46","array2[index] = input.charAt(0);<newline46mondego>"
"77splitHere46","4310583splitHere46","private"
"78splitHere46","4310777splitHere46","<ScrollView>"
"79splitHere46","4310777splitHere46","<ScrollView><newline46mondego>    <LinearLayout><newline46mondego>    // your layout here<newline46mondego>    </LinearLayout><newline46mondego></ScrollView><newline46mondego>"
"80splitHere46","4310838splitHere46","LoanInfoSearch_dto"
"81splitHere46","4310838splitHere46","loanInfoSearch_dto"
"82splitHere46","4310838splitHere46","branchCode"
"83splitHere46","4310838splitHere46","public T getBranchCode() {<newline46mondego>   return branchCode;<newline46mondego>}<newline46mondego>"
"84splitHere46","4310838splitHere46","T"
"85splitHere46","4310838splitHere46","branchCode"
"86splitHere46","4310838splitHere46","int"
"87splitHere46","4310972splitHere46","if(obj.hasErrors() && !obj.save(flush:true)){<newline46mondego>"
"88splitHere46","4310972splitHere46","&&"
"89splitHere46","4310972splitHere46","false"
"90splitHere46","4310972splitHere46","false && true"
"91splitHere46","4310972splitHere46","false"
"92splitHere46","4310972splitHere46","obj.save(..)"
"93splitHere46","4311111splitHere46","{@inheritDoc}"
"94splitHere46","4311178splitHere46","slf4j simple"
"95splitHere46","4311178splitHere46","jar"
"96splitHere46","4311178splitHere46","slf4j"
"97splitHere46","4311178splitHere46","log4j"
"98splitHere46","4311178splitHere46","jar"
"99splitHere46","4311178splitHere46","slf4j simple"
"100splitHere46","4311178splitHere46","INFO"
"101splitHere46","4311178splitHere46","log4j"
"102splitHere46","4311303splitHere46","Dog"
"103splitHere46","4311303splitHere46","Cat"
"104splitHere46","4311303splitHere46","Animal"
"105splitHere46","4311303splitHere46","Animal"
"106splitHere46","4311303splitHere46","Animal"
"107splitHere46","4311303splitHere46","Animal"
"108splitHere46","4311303splitHere46","LinkedHashSet"
"109splitHere46","4311303splitHere46","HashSet"
"110splitHere46","4311303splitHere46","HashSet"
"111splitHere46","4311350splitHere46","Project properties -> Libraries -> Add JAR/Folder -> Browser JAR"
"112splitHere46","4311350splitHere46","Edit"
"113splitHere46","4311350splitHere46","tab"
"114splitHere46","4311350splitHere46","zip"
"115splitHere46","4311495splitHere46","for(int j=0; j<2; j++){<newline46mondego>f[0] = i;<newline46mondego>"
"116splitHere46","4311495splitHere46","for(int j=0; j<2; j++){<newline46mondego>f = new int [2];<newline46mondego>f[0] = i;<newline46mondego>"
"117splitHere46","4311495splitHere46","if(!(G.contains(f))){<newline46mondego>"
"118splitHere46","4312016splitHere46","D:<newline46mondego>"
"119splitHere46","4312016splitHere46","D:\<newline46mondego>"
"120splitHere46","4312016splitHere46","File.separator"
"121splitHere46","4312282splitHere46","java.text.SimpleDateFormat"
"122splitHere46","4312282splitHere46","yyyy-MM-dd HH:mm:ssZ"
"123splitHere46","4312282splitHere46","String dateStr = <doubleQuotes46>2010-06-14 02:21:49-0400<doubleQuotes46>;<newline46mondego>String pattern = <doubleQuotes46>yyyy-MM-dd HH:mm:ssZ<doubleQuotes46>;<newline46mondego>SimpleDateFormat sdf = new SimpleDateFormat(pattern);<newline46mondego>Date date = sdf.parse(dateStr);<newline46mondego>"
"124splitHere46","4312282splitHere46","TimeZone.getDefault()"
"125splitHere46","4312282splitHere46","SimpleDateFormat sdf = new SimpleDateFormat(pattern);<newline46mondego>sdf.setTimeZone(TimeZone.getDefault());<newline46mondego>Date date = sdf.parse(dateStr);<newline46mondego>"
"126splitHere46","4312332splitHere46","@Around(<doubleQuotes46>execution(* de.foo.entity.*.set*(..)) && args(java.lang.String)<doubleQuotes46>)<newline46mondego>public void checkAroundSetter(final ProceedingJoinPoint pjp)<newline46mondego>    throws Throwable {<newline46mondego>    LOGGER.debug(pjp.getSignature().toLongString());<newline46mondego>    Object[] args = pjp.getArgs();<newline46mondego>    for (int i = 0; i < args.length; i++) {<newline46mondego>        if (args[i] instanceof String && ((String) args[i]).isEmpty()) {<newline46mondego>            args[i] = null;<newline46mondego>        }<newline46mondego>    }<newline46mondego>    pjp.proceed(args);<newline46mondego>}<newline46mondego>"
"127splitHere46","4312460splitHere46","JSR 432"
"128splitHere46","4312522splitHere46","--permitReservedWords"
"129splitHere46","4312744splitHere46","default"
"130splitHere46","4312997splitHere46","System.out.println(<doubleQuotes46>Comparing, <doubleQuotes46>+this+<doubleQuotes46> to <doubleQuotes46>+c);<newline46mondego>"
"131splitHere46","4312997splitHere46","Comparing, C9 to C1<newline46mondego>Comparing, C9 to C5<newline46mondego>Comparing, C9 to C7<newline46mondego>"
"132splitHere46","4313049splitHere46","String dateStr = <doubleQuotes46>2010-06-14 02:21:49-0400<doubleQuotes46>;<newline46mondego>SimpleDateFormat sdf =  new SimpleDateFormat(<doubleQuotes46>yyyy-MM-dd HH:mm:ssZ<doubleQuotes46>);<newline46mondego>TimeZone tz = TimeZone.getDefault();<newline46mondego>sdf.setTimeZone(tz);<newline46mondego>Date date = sdf.parse(dateStr);<newline46mondego><newline46mondego>sdf = new SimpleDateFormat(<doubleQuotes46>yyyy-MM-dd HH:mm:ss a<doubleQuotes46>);<newline46mondego>String newDateStr = sdf.format(date);<newline46mondego><newline46mondego>System.out.println(newDateStr);<newline46mondego>"
"133splitHere46","4313049splitHere46","newDateStr"
"134splitHere46","4313049splitHere46","/**<newline46mondego> * <newline46mondego> */<newline46mondego>package testcases;<newline46mondego><newline46mondego>import java.text.ParseException;<newline46mondego>import java.text.SimpleDateFormat;<newline46mondego>import java.util.Date;<newline46mondego>import java.util.TimeZone;<newline46mondego><newline46mondego>/**<newline46mondego> * @author The Elite Gentleman<newline46mondego> *<newline46mondego> */<newline46mondego>public class Test {<newline46mondego><newline46mondego>    /**<newline46mondego>     * @param args<newline46mondego>     */<newline46mondego>    public static void main(String[] args) {<newline46mondego>        // TODO Auto-generated method stub<newline46mondego>        try {<newline46mondego>            String dateStr = <doubleQuotes46>2010-06-14 02:21:49-0400<doubleQuotes46>;<newline46mondego>            SimpleDateFormat sdf =  new SimpleDateFormat(<doubleQuotes46>yyyy-MM-dd HH:mm:ssZ<doubleQuotes46>);<newline46mondego>            TimeZone tz = TimeZone.getDefault();<newline46mondego>            sdf.setTimeZone(tz);<newline46mondego>            Date date = sdf.parse(dateStr);<newline46mondego><newline46mondego>            sdf = new SimpleDateFormat(<doubleQuotes46>yyyy-MM-dd HH:mm:ss a<doubleQuotes46>);<newline46mondego>            String newDateStr = sdf.format(date);<newline46mondego><newline46mondego>            System.out.println(newDateStr);<newline46mondego>        } catch (ParseException e) {<newline46mondego>            // TODO Auto-generated catch block<newline46mondego>            e.printStackTrace();<newline46mondego>        }<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"135splitHere46","4313049splitHere46","2010-06-14 08:21:49 AM"
"136splitHere46","4313064splitHere46","int resourceId = Activity.getResources().getIdentifier(<doubleQuotes46>testimage<doubleQuotes46>, <doubleQuotes46>drawable<doubleQuotes46>, <doubleQuotes46>your.package.name<doubleQuotes46>);<newline46mondego>"
"137splitHere46","4313217splitHere46","org.hibernate.cfg.NamingStrategy"
"138splitHere46","4313217splitHere46","<property name=<doubleQuotes46>hibernate.ejb.naming_strategy<doubleQuotes46><newline46mondego>          value=<doubleQuotes46>com.example.MyNamingStrategy<doubleQuotes46> /><newline46mondego>"
"139splitHere46","4313331splitHere46","<error-page><newline46mondego><exception-type>javax.faces.application.ViewExpiredException</exception-type><newline46mondego><location>viewexpired.jsp</location><newline46mondego></error-page><newline46mondego>"
"140splitHere46","4313331splitHere46","<managed-bean-scope>application</managed-bean-scope> <newline46mondego>"
"141splitHere46","4313522splitHere46","add()"
"142splitHere46","4313522splitHere46","List<String> alist = new ArrayList<String>();<newline46mondego>alist.add(<doubleQuotes46>apple<doubleQuotes46>);<newline46mondego>alist.add(<doubleQuotes46>banana<doubleQuotes46>);<newline46mondego>alist.add(<doubleQuotes46>orange<doubleQuotes46>);<newline46mondego><newline46mondego>String value = alist.get(1); //returns the 2nd item from list, in this case <doubleQuotes46>banana<doubleQuotes46><newline46mondego>"
"143splitHere46","4313522splitHere46","0"
"144splitHere46","4313522splitHere46","N-1"
"145splitHere46","4313522splitHere46","N"
"146splitHere46","4313522splitHere46","size()"
"147splitHere46","4313548splitHere46","NullPointerException"
"148splitHere46","4313548splitHere46","null"
"149splitHere46","4313548splitHere46","null"
"150splitHere46","4313548splitHere46","null"
"151splitHere46","4313644splitHere46","cout"
"152splitHere46","4313644splitHere46","<CRLF>"
"153splitHere46","4313644splitHere46","cout"
"154splitHere46","4313695splitHere46","LatLng latLng = new OSRef(394251,806376).toLatLng();<newline46mondego>"
"155splitHere46","4313695splitHere46","LatLng latLng = new OSRef(394251,806376).toLatLng();<newline46mondego>latLng.toWGS84();<newline46mondego>"
"156splitHere46","4313695splitHere46","OsRef.toLatLng()"
"157splitHere46","4313762splitHere46","replaceAll"
"158splitHere46","4313762splitHere46","input = input.replaceAll(<doubleQuotes46>[^=,\\da-zA-Z\\s]|(?<!,)\\s<doubleQuotes46>,<doubleQuotes46><doubleQuotes46>);<newline46mondego>"
"159splitHere46","4313762splitHere46","[^=,\\da-zA-Z\\s]|(?<!,)\\s"
"160splitHere46","4313762splitHere46","="
"161splitHere46","4313762splitHere46",","
"162splitHere46","4313762splitHere46","<doubleQuotes46><doubleQuotes46>"
"163splitHere46","4313762splitHere46",","
"164splitHere46","4313836splitHere46","java.util.Collection"
"165splitHere46","4313836splitHere46","ArrayList"
"166splitHere46","4313836splitHere46","HashSet"
"167splitHere46","4313836splitHere46","LinkedList"
"168splitHere46","4313836splitHere46","java.util.Collection"
"169splitHere46","4313836splitHere46","user=> (java.util.ArrayList. [1 2 3])<newline46mondego>#<ArrayList [1, 2, 3]><newline46mondego>user=> (.get (java.util.ArrayList. [1 2 3]) 0)<newline46mondego>1<newline46mondego>"
"170splitHere46","4313836splitHere46","java.util.Map"
"171splitHere46","4313836splitHere46","HashMap"
"172splitHere46","4313836splitHere46","java.util.Map"
"173splitHere46","4313836splitHere46","user=> (java.util.HashMap. {<doubleQuotes46>a<doubleQuotes46> 1 <doubleQuotes46>b<doubleQuotes46> 2})<newline46mondego>#<HashMap {b=2, a=1}><newline46mondego>user=> (.get (java.util.HashMap. {<doubleQuotes46>a<doubleQuotes46> 1 <doubleQuotes46>b<doubleQuotes46> 2}) <doubleQuotes46>a<doubleQuotes46>)<newline46mondego>1<newline46mondego>"
"174splitHere46","4313836splitHere46","ser=> (into [] (java.util.ArrayList. [1 2 3]))<newline46mondego>[1 2 3]<newline46mondego>user=> (into #{} (java.util.HashSet. #{1 2 3}))<newline46mondego>#{1 2 3}<newline46mondego>user=> (into '() (java.util.LinkedList. '(1 2 3)))<newline46mondego>(3 2 1)<newline46mondego>user=> (into {} (java.util.HashMap. {:a 1 :b 2}))<newline46mondego>{:b 2, :a 1}<newline46mondego>"
"175splitHere46","4314216splitHere46","xsi:schemaLocation"
"176splitHere46","4314341splitHere46","byte[] buffer = new byte[1024];<newline46mondego>StringBuffer sb = new StringBuffer();<newline46mondego>int readIn = 0;<newline46mondego>while((readIn = inputStream.read(buffer)) > 0)<newline46mondego>{<newline46mondego>     String temp = new String(buffer, 0, readIn);<newline46mondego>     sb.append(temp);  <newline46mondego>}<newline46mondego>String result = sb.toString();<newline46mondego>"
"177splitHere46","4314632splitHere46","<plugin><newline46mondego><groupId>org.apache.maven.plugins</groupId><newline46mondego><artifactId>maven-dependency-plugin</artifactId><newline46mondego><version>2.1</version><newline46mondego><executions><newline46mondego>    <execution><newline46mondego>        <id>copy-dependencies</id><newline46mondego>        <phase>package</phase><newline46mondego>        <goals><newline46mondego>            <goal>copy-dependencies</goal><newline46mondego>        </goals><newline46mondego>        <configuration><newline46mondego>            <outputDirectory>${project.build.directory}/lib</outputDirectory><newline46mondego>            <overWriteReleases>false</overWriteReleases><newline46mondego>            <overWriteSnapshots>false</overWriteSnapshots><newline46mondego>            <overWriteIfNewer>true</overWriteIfNewer><newline46mondego>            <includeScope>runtime</includeScope><newline46mondego>        </configuration><newline46mondego>    </execution><newline46mondego>    <execution><newline46mondego>        <id>copy-model</id><newline46mondego>        <phase>package</phase><newline46mondego>        <goals><newline46mondego>            <goal>copy</goal><newline46mondego>        </goals><newline46mondego>        <configuration><newline46mondego>            <artifactItems><newline46mondego>                <artifactItem><newline46mondego>                    <groupId>my.test.pkg</groupId><newline46mondego>                    <artifactId>my-model</artifactId><newline46mondego>                    <classifier>server</classifier><newline46mondego>                    <version>1.0.3</version><newline46mondego>                    <type>jar</type><newline46mondego>                </artifactItem><newline46mondego>                <artifactItem><newline46mondego>                    <groupId>my.test.pkg</groupId><newline46mondego>                    <artifactId>my-model</artifactId><newline46mondego>                    <classifier>server</classifier><newline46mondego>                    <version>1.1.0</version><newline46mondego>                    <type>jar</type><newline46mondego>                </artifactItem><newline46mondego>            </artifactItems><newline46mondego>            <outputDirectory>${project.build.directory}/lib</outputDirectory><newline46mondego>        </configuration><newline46mondego>    </execution><newline46mondego></executions><newline46mondego>"
"178splitHere46","4314632splitHere46","<fileSet><newline46mondego>        <directory>${project.build.directory}/lib</directory><newline46mondego>        <outputDirectory>/lib</outputDirectory><newline46mondego>        <filtered>false</filtered><newline46mondego>        <includes><newline46mondego>            <include>*.jar</include><newline46mondego>        </includes><newline46mondego>        <fileMode>0600</fileMode><newline46mondego>    </fileSet><newline46mondego>"
"179splitHere46","4314817splitHere46","send"
"180splitHere46","4314817splitHere46","SendFailedException"
"181splitHere46","4314817splitHere46","MessagingException"
"182splitHere46","4314898splitHere46","Log mylog = Logging.getLogger(MyClass.class);<newline46mondego>"
"183splitHere46","4314979splitHere46","rendered"
"184splitHere46","4314979splitHere46","user"
"185splitHere46","4314979splitHere46","java.io.Serializable"
"186splitHere46","4314979splitHere46","public class ProfileSelector implements Serializable {}<newline46mondego>"
"187splitHere46","4314979splitHere46","user"
"188splitHere46","4314979splitHere46","articles"
"189splitHere46","4314979splitHere46","@ManagedBean<newline46mondego>@RequestScoped<newline46mondego>public class Articles {<newline46mondego><newline46mondego>    @ManagedProperty(value=<doubleQuotes46>#{user}<doubleQuotes46>)<newline46mondego>    private UserManager user;<newline46mondego><newline46mondego>    public UserManager getUser() {<newline46mondego>        return user;<newline46mondego>    }<newline46mondego><newline46mondego>    public void setUser(UserManager user) {<newline46mondego>        this.user = user;<newline46mondego>    }<newline46mondego><newline46mondego>}<newline46mondego>"
"190splitHere46","4315003splitHere46","jar"
"191splitHere46","4315018splitHere46","final Timer t = new Timer(1000, new ActionListener() {<newline46mondego>    private long time = 10 * 1000; //10 seconds, for example<newline46mondego><newline46mondego>    public void actionPerformed(ActionEvent e) {<newline46mondego>        if (time >= 0) {<newline46mondego>            long s = ((time / 1000) % 60);<newline46mondego>            long m = (((time / 1000) / 60) % 60);<newline46mondego>            long h = ((((time / 1000) / 60) / 60) % 60);<newline46mondego>            timing.setText(h + <doubleQuotes46> hours, <doubleQuotes46> + m + <doubleQuotes46> minutes <doubleQuotes46> + s + <doubleQuotes46> seconds<doubleQuotes46>);<newline46mondego>            time -= 1000;<newline46mondego>        }<newline46mondego>    }<newline46mondego>});<newline46mondego>t.start();<newline46mondego>"
"192splitHere46","4315129splitHere46","// These go up to eleven. After that, you just get the varargs form, and<newline46mondego>// whatever warnings might come along with it. :(<newline46mondego>"
"193splitHere46","4315264splitHere46","quit"
"194splitHere46","4315264splitHere46","echo <doubleQuotes46>Some text<doubleQuotes46> | nc localhost 7500<newline46mondego>"
"195splitHere46","4315272splitHere46","Manifest-Version: 1.0<newline46mondego>Class-Path: itext.jar jxl.jar jai.jar<newline46mondego>Main-Class: com.xxx.yyy.Main<newline46mondego>"
"196splitHere46","4315278splitHere46","Scanner"
"197splitHere46","4315278splitHere46","final Scanner s = new Scanner(yourFile);<newline46mondego>while(s.hasNextLine()) {<newline46mondego>    final String line = s.nextLine();<newline46mondego>    YourClass.processLine(line);<newline46mondego>}<newline46mondego>"
"198splitHere46","4315401splitHere46","String result = String.format(<doubleQuotes46>Voter: %-10d Candidate: %-10d Booth: %-10d<doubleQuotes46>, e.voteNo, vote, boothId);<newline46mondego>System.out.println(result);<newline46mondego>"
"199splitHere46","4315401splitHere46","String.format"
"200splitHere46","4315401splitHere46","PrintStream.format"
"201splitHere46","4315401splitHere46","System.out.format(<doubleQuotes46>Voter: %-10d Candidate: %-10d Booth: %-10d<doubleQuotes46>, e.voteNo, vote, boothId);<newline46mondego>"
"202splitHere46","4315552splitHere46","ln -s /Volumes/Elements/database /etc/mysql/data"
"203splitHere46","4315553splitHere46","$ echo -e <doubleQuotes46>foo\nbar<doubleQuotes46> | java -jar Test.jar <newline46mondego>foo<newline46mondego>bar<newline46mondego>$<newline46mondego>"
"204splitHere46","4315765splitHere46","NullPointerException"
"205splitHere46","4315765splitHere46","getParameter"
"206splitHere46","4315765splitHere46","agent"
"207splitHere46","4315765splitHere46","private Agent agent;<newline46mondego>private Thread controller = new Thread() {<newline46mondego>    agent = new Agent();<newline46mondego>    // ...<newline46mondego>    agent.getParameter(); // should not throw a NullPointerException<newline46mondego>}<newline46mondego>"
"208splitHere46","4315765splitHere46","agent"
"209splitHere46","4315765splitHere46","private Agent agent;<newline46mondego>"
"210splitHere46","4315765splitHere46","run()"
"211splitHere46","4315765splitHere46","Agent agent = new Agent();<newline46mondego>"
"212splitHere46","4315765splitHere46","getParameter()"
"213splitHere46","4315765splitHere46","agent"
"214splitHere46","4315765splitHere46","run()"
"215splitHere46","4315765splitHere46","agent"
"216splitHere46","4315765splitHere46","agent"
"217splitHere46","4315765splitHere46","public void run() {<newline46mondego>       ...<newline46mondego>       // Agent agent = new Agent();<newline46mondego>       agent = new Agent(); // works fine: you are initiliazing the class member<newline46mondego>       ...<newline46mondego>       parameter = getParameter();<newline46mondego> }<newline46mondego>"
"218splitHere46","4315765splitHere46","NullPointerException"
"219splitHere46","4315765splitHere46","getParameter()"
"220splitHere46","4315765splitHere46","private Something getParameter() {<newline46mondego>    agent.someMethod(); // exception thrown here<newline46mondego>}<newline46mondego>"
"221splitHere46","4315765splitHere46","agent"
"222splitHere46","4315765splitHere46","getParameter()"
