"1splitHere46","1970159splitHere46","while(br.ready()){<newline46mondego>     System.out.println(br.readLine());<newline46mondego>}<newline46mondego>"
"85splitHere46","1973470splitHere46","<script>"
"86splitHere46","1973470splitHere46","<a4j:loadScript src=<doubleQuotes46>resource:///org/ajax4jsf/framework.pack.js<doubleQuotes46> /><newline46mondego>"
"87splitHere46","1973470splitHere46","<a4j:loadStyle />"
"88splitHere46","1973713splitHere46","Vector"
"89splitHere46","1973713splitHere46","List"
"90splitHere46","1973713splitHere46","List"
"91splitHere46","1973713splitHere46","List list = new Vector();<newline46mondego>"
"92splitHere46","1973713splitHere46","List<String> list = new Vector<String>();<newline46mondego>"
"93splitHere46","1973713splitHere46","Vector"
"94splitHere46","1973713splitHere46","String"
"95splitHere46","1973713splitHere46","ArrayList"
"96splitHere46","1973713splitHere46","List"
"97splitHere46","1973713splitHere46","List newList = new ArrayList(vector);<newline46mondego>"
"98splitHere46","1973713splitHere46","Vector"
"99splitHere46","1973713splitHere46","String"
"100splitHere46","1973713splitHere46","List<String> newList = new ArrayList<String>(vector);<newline46mondego>"
"101splitHere46","1973940splitHere46","package pack;<newline46mondego><newline46mondego>Person<newline46mondego>+ mom: Person<newline46mondego>+ dad: Person<newline46mondego>"
"102splitHere46","1973940splitHere46","<pack.Person><newline46mondego>  <mom><newline46mondego>    <pack.Person><newline46mondego>    ...<newline46mondego>    </pack.Person><newline46mondego>  </mom><newline46mondego>  <dad><newline46mondego>    <pack.Person><newline46mondego>    ...<newline46mondego>    </pack.Person><newline46mondego>  </dad><newline46mondego></pack.Person><newline46mondego>"
"103splitHere46","1973940splitHere46","XStream xs = new XStream();<newline46mondego>xs.alias(<doubleQuotes46>person<doubleQuotes46>, Person.class);<newline46mondego>xs.aliasAttribute(Person.class, <doubleQuotes46>mom<doubleQuotes46>, <doubleQuotes46>mother<doubleQuotes46>);<newline46mondego>"
"104splitHere46","1974071splitHere46","getList().get(8);<newline46mondego>"
"105splitHere46","1974071splitHere46","8"
"106splitHere46","1974071splitHere46","9th"
"107splitHere46","1974102splitHere46","= new javax.swing.JPanel()"
"108splitHere46","1974102splitHere46","panou = new javax.swing.JPanel(){<newline46mondego>    @Override<newline46mondego>    public void paintComponent(Graphics g)<newline46mondego>    {<newline46mondego>        super.paintComponent(g); // Do the original draw<newline46mondego>        g.drawLine(10, 10, 60, 60); // Write here your coordinates<newline46mondego>    }<newline46mondego>};<newline46mondego>"
"109splitHere46","1974102splitHere46","java.awt.Graphics"
"110splitHere46","1974102splitHere46","public static final void setAntiAliasing(Graphics g, boolean yesno)<newline46mondego>{<newline46mondego>    Object obj = yesno ? RenderingHints.VALUE_ANTIALIAS_ON<newline46mondego>                 : RenderingHints.VALUE_ANTIALIAS_OFF;<newline46mondego><newline46mondego>    ((Graphics2D) g).setRenderingHint(RenderingHints.KEY_ANTIALIASING, obj);<newline46mondego>}<newline46mondego>"
"111splitHere46","1974102splitHere46","super.paintComponent(g);"
"112splitHere46","1974102splitHere46","setAntiAlias(g, true);<newline46mondego>"
"113splitHere46","1974110splitHere46","CreateException"
"114splitHere46","1974110splitHere46","NameAlreadyBoundException"
"115splitHere46","1974135splitHere46","long lastChanges = contact.getDate(Contact.REVISION, 0);<newline46mondego>"
"116splitHere46","1974153splitHere46","toString()"
"117splitHere46","1974153splitHere46","toString()"
"118splitHere46","1974188splitHere46","detach"
"119splitHere46","1974188splitHere46","null"
"120splitHere46","1974188splitHere46","persist"
"121splitHere46","1974188splitHere46","EntityManager.detach(Object)"
"122splitHere46","1974188splitHere46","Session"
"123splitHere46","1974188splitHere46","Session session = (Session) em.getDelegate();<newline46mondego>"
"124splitHere46","1974188splitHere46","session.evict(object);<newline46mondego>"
"125splitHere46","1974188splitHere46","org.hibernate.Session session = ((org.hibernate.ejb.EntityManagerImpl) em.getDelegate()).getSession();<newline46mondego>"
"126splitHere46","1974188splitHere46","org.hibernate.Session session = (Session) em.getDelegate();<newline46mondego>"
"127splitHere46","1974188splitHere46","getDelegate()"
"128splitHere46","1974188splitHere46","categories.get(0)"
"129splitHere46","1974663splitHere46","if (someCondition)<newline46mondego>    int x = 0;<newline46mondego>    System.out.println(x);<newline46mondego>"
"130splitHere46","1974663splitHere46","if (someCondition)<newline46mondego>{<newline46mondego>    int x = 0;<newline46mondego>}<newline46mondego>System.out.println(x);<newline46mondego>"
"131splitHere46","1974729splitHere46","<doubleQuotes46>Test<doubleQuotes46>.split(<doubleQuotes46>.<doubleQuotes46>, -1).length()"
"132splitHere46","1974822splitHere46","ActionUsuels"
"133splitHere46","1974822splitHere46","null"
"134splitHere46","1974822splitHere46","null"
"135splitHere46","1974899splitHere46","org.jboss.logging"
"136splitHere46","1974899splitHere46","jboss-logging-spi.jar"
"137splitHere46","1974899splitHere46","jboss-logging-jdk.jar"
"138splitHere46","1974899splitHere46","jboss-logging-log4j.jar"
"139splitHere46","1974899splitHere46","jbossall-client.jar"
"140splitHere46","1974899splitHere46","jbossall-client.jar"
"141splitHere46","1975000splitHere46","@RequestMapping"
"142splitHere46","1975000splitHere46","@RequestMapping"
"143splitHere46","1975051splitHere46","public class XYZ {<newline46mondego><newline46mondego>   private TestUrl[] testUrlArray;<newline46mondego><newline46mondego>   public XYZ(){<newline46mondego><newline46mondego>      testUrlArray = new TestUrl[2];<newline46mondego>      testUrlArray[0] = new TestUrl(<doubleQuotes46>ID_1<doubleQuotes46>);<newline46mondego>      testUrlArray[1] = new TestUrl(<doubleQuotes46>ID_2<doubleQuotes46>);<newline46mondego>   }<newline46mondego><newline46mondego>   public TestUrl getTestUrl(int i){<newline46mondego><newline46mondego>      return testUrlArray[i];<newline46mondego>   }<newline46mondego>}<newline46mondego>"
"144splitHere46","1975051splitHere46","public class TestUrl {<newline46mondego><newline46mondego>   private String id;<newline46mondego><newline46mondego>   public TestUrl(String id){<newline46mondego><newline46mondego>      this.id = id;<newline46mondego>   }<newline46mondego><newline46mondego>   public String getId(){<newline46mondego><newline46mondego>      return id;<newline46mondego>   }<newline46mondego>}<newline46mondego>"
"145splitHere46","1975051splitHere46","XYZ testXYZ = new XYZ();<newline46mondego>  System.out.println(<doubleQuotes46>testXYZ 0 - <doubleQuotes46> + testXYZ.getTestUrl( 0 ).getId());<newline46mondego>  System.out.println(<doubleQuotes46>testXYZ 1 - <doubleQuotes46> + testXYZ.getTestUrl( 1 ).getId());<newline46mondego>"
"146splitHere46","1975051splitHere46","testXYZ 0 - ID_1<newline46mondego> testXYZ 1 - ID_2<newline46mondego>"
"147splitHere46","1975154splitHere46","HorizontalFieldManager manager = new HorizontalFieldManager();<newline46mondego>BitmapField bitmap = new BitmapField(PNGEncodedImage.getEncodedImageResource(<doubleQuotes46>icon.png<doubleQuotes46>).getBitmap());<newline46mondego>LabelField label = new LabelField(text);<newline46mondego><newline46mondego>manager.add(bitmap);<newline46mondego>manager.add(label);<newline46mondego><newline46mondego>setTitle(manager);<newline46mondego>"
"148splitHere46","1975297splitHere46","def html = <doubleQuotes46><doubleQuotes46><doubleQuotes46><newline46mondego>  <body><newline46mondego>        <div id=<doubleQuotes46>breadcrumbs<doubleQuotes46>><newline46mondego>            <b><newline46mondego>            crumb1<newline46mondego>            </b><newline46mondego>        </div><newline46mondego></body><newline46mondego><doubleQuotes46><doubleQuotes46><doubleQuotes46><newline46mondego><newline46mondego>def doc = new XmlSlurper(new org.cyberneko.html.parsers.SAXParser()).parseText(html)<newline46mondego>divTag = doc.BODY.DIV.find { it.@id == 'breadcrumbs'  }<newline46mondego>println <doubleQuotes46><doubleQuotes46> << new groovy.xml.StreamingMarkupBuilder().bind {xml -> xml.mkp.yield divTag}<newline46mondego>"
"149splitHere46","1975311splitHere46","File nopath = new File(<doubleQuotes46>text.xml<doubleQuotes46>);<newline46mondego>System.out.println(nopath.getCanonicalPath());<newline46mondego>"
"150splitHere46","1975311splitHere46","File relpath = new File(<doubleQuotes46>../../jsp/text.xml<doubleQuotes46>);<newline46mondego>System.out.println(relpath.getCanonicalPath());<newline46mondego>"
"151splitHere46","1975522splitHere46","Matcher m = Pattern.compile(<doubleQuotes46>(C|CD|PDF|CPDF|M)$<doubleQuotes46>).matcher(<doubleQuotes46>165N1JCD<doubleQuotes46>);<newline46mondego>    while (m.find()) {<newline46mondego>        System.out.println(m.group(1)); // prints out <doubleQuotes46>CD<doubleQuotes46><newline46mondego>    }<newline46mondego>"
"152splitHere46","1975689splitHere46","java -cp . myfirstjavaprog<newline46mondego>"
"153splitHere46","1975694splitHere46","int secondLargest = 0;<newline46mondego>.....<newline46mondego>for (..) {<newline46mondego>   ....<newline46mondego>   if (c % 3 == 0) {<newline46mondego>       if (c >= max) {<newline46mondego>           secondLargest = max;<newline46mondego>           max = c;<newline46mondego>       }<newline46mondego>       if (c >= secondLargest && c < max) {<newline46mondego>           secondLargest = c;<newline46mondego>       }<newline46mondego>   }<newline46mondego>   ....<newline46mondego>}<newline46mondego>"
"154splitHere46","1976481splitHere46","ZipOutputStream"
"155splitHere46","1976481splitHere46","response.getOutputStream()"
"156splitHere46","1976481splitHere46","InputStream"
"157splitHere46","1976481splitHere46","ZipEntry"
"158splitHere46","1976481splitHere46","response.getOutputStream()"
"159splitHere46","1976481splitHere46","BufferedOutputStream"
"160splitHere46","1976481splitHere46","InputStream"
"161splitHere46","1976481splitHere46","BufferedInputStream"
"162splitHere46","1976481splitHere46","byte[]"
"163splitHere46","1976481splitHere46","package com.example;<newline46mondego><newline46mondego>import java.io.BufferedInputStream;<newline46mondego>import java.io.BufferedOutputStream;<newline46mondego>import java.io.IOException;<newline46mondego>import java.io.InputStream;<newline46mondego>import java.util.zip.ZipEntry;<newline46mondego>import java.util.zip.ZipOutputStream;<newline46mondego><newline46mondego>import javax.servlet.ServletException;<newline46mondego>import javax.servlet.http.HttpServlet;<newline46mondego>import javax.servlet.http.HttpServletRequest;<newline46mondego>import javax.servlet.http.HttpServletResponse;<newline46mondego><newline46mondego>public class ZipFileServlet extends HttpServlet {<newline46mondego><newline46mondego>    private static final int DEFAULT_BUFFER_SIZE = 10240; // 10KB.<newline46mondego>    private YourFileDAO yourFileDAO = YourDAOFactory.getYourFileDAO();<newline46mondego><newline46mondego>    @Override<newline46mondego>    protected void doPost(HttpServletRequest request, HttpServletResponse response)<newline46mondego>        throws ServletException, IOException<newline46mondego>    {<newline46mondego>        String[] fileIds = request.getParameterValues(<doubleQuotes46>fileId<doubleQuotes46>);<newline46mondego>        response.setContentType(<doubleQuotes46>application/zip<doubleQuotes46>);<newline46mondego>        response.setHeader(<doubleQuotes46>Content-Disposition<doubleQuotes46>, <doubleQuotes46>attachment; filename=\<doubleQuotes46>allfiles.zip\<doubleQuotes46><doubleQuotes46>);<newline46mondego>        ZipOutputStream output = null;<newline46mondego>        byte[] buffer = new byte[DEFAULT_BUFFER_SIZE];<newline46mondego><newline46mondego>        try {<newline46mondego>            output = new ZipOutputStream(new BufferedOutputStream(response.getOutputStream(), DEFAULT_BUFFER_SIZE));<newline46mondego><newline46mondego>            for (String fileId : fileIds) {<newline46mondego>                YourFileItem item = yourFileDAO.find(fileId);<newline46mondego>                if (item == null) continue; // Handle yourself. The fileId may be wrong/spoofed.<newline46mondego>                InputStream input = null;<newline46mondego><newline46mondego>                try {<newline46mondego>                    input = new BufferedInputStream(item.getInputStream(), DEFAULT_BUFFER_SIZE);<newline46mondego>                    output.putNextEntry(new ZipEntry(item.getName()));<newline46mondego>                    for (int length = 0; (length = input.read(buffer)) > 0;) {<newline46mondego>                        output.write(buffer, 0, length);<newline46mondego>                    }<newline46mondego>                    output.closeEntry();<newline46mondego>                } finally {<newline46mondego>                    if (input != null) try { input.close(); } catch (IOException logOrIgnore) { /**/ }<newline46mondego>                }<newline46mondego>            }<newline46mondego>        } finally {<newline46mondego>            if (output != null) try { output.close(); } catch (IOException logOrIgnore) { /**/ }<newline46mondego>        }<newline46mondego>    }<newline46mondego><newline46mondego>}<newline46mondego>"
"164splitHere46","1976481splitHere46","<form action=<doubleQuotes46>zipFile<doubleQuotes46> method=<doubleQuotes46>post<doubleQuotes46>> <newline46mondego>    <input type=<doubleQuotes46>checkbox<doubleQuotes46> name=<doubleQuotes46>fileId<doubleQuotes46> value=<doubleQuotes46>1<doubleQuotes46>> foo.exe<newline46mondego><newline46mondego>    <input type=<doubleQuotes46>checkbox<doubleQuotes46> name=<doubleQuotes46>fileId<doubleQuotes46> value=<doubleQuotes46>2<doubleQuotes46>> bar.pdf<newline46mondego><newline46mondego>    <input type=<doubleQuotes46>checkbox<doubleQuotes46> name=<doubleQuotes46>fileId<doubleQuotes46> value=<doubleQuotes46>3<doubleQuotes46>> waa.doc<newline46mondego><newline46mondego>    <input type=<doubleQuotes46>checkbox<doubleQuotes46> name=<doubleQuotes46>fileId<doubleQuotes46> value=<doubleQuotes46>4<doubleQuotes46>> baz.html<newline46mondego><newline46mondego>    <input type=<doubleQuotes46>submit<doubleQuotes46> value=<doubleQuotes46>download zip<doubleQuotes46>><newline46mondego></form><newline46mondego>"
"165splitHere46","1976481splitHere46","ByteArrayInputStream/ByteArrayOutputStream"
"166splitHere46","1976481splitHere46","byte[]"
"167splitHere46","1976512splitHere46","elements"
"168splitHere46","1976512splitHere46","select f from Family f WHERE :element in elements(f.elements)<newline46mondego>"
