"1splitHere46","10107861splitHere46","import java.awt.BorderLayout;<newline46mondego>import java.awt.Image;<newline46mondego>import java.io.File;<newline46mondego>import java.io.IOException;<newline46mondego><newline46mondego>import javax.imageio.ImageIO;<newline46mondego>import javax.swing.ImageIcon;<newline46mondego>import javax.swing.JFrame;<newline46mondego>import javax.swing.JLabel;<newline46mondego><newline46mondego>public class ShowImage {<newline46mondego>    public static void main(String[] args) {<newline46mondego>        JFrame frame = new JFrame(<doubleQuotes46>Debug Frame<doubleQuotes46>);<newline46mondego>        frame.setSize(200, 200);<newline46mondego>        frame.setLayout(new BorderLayout());<newline46mondego>        frame.setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);<newline46mondego><newline46mondego>        Image image = null;<newline46mondego>        JLabel label = null;<newline46mondego><newline46mondego>        try {<newline46mondego>            image = ImageIO.read(new File(<doubleQuotes46>c:/scratch/hotdog.jpg<doubleQuotes46>));<newline46mondego>            label = new JLabel(new ImageIcon(image));<newline46mondego>        } catch (IOException e) {<newline46mondego>            label.setText(<doubleQuotes46>Image loading failed<doubleQuotes46>);<newline46mondego>        }<newline46mondego><newline46mondego>        frame.add(label,BorderLayout.CENTER);<newline46mondego>        frame.setVisible(true);<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"24splitHere46","10108780splitHere46","mvn exec:java -Dexec.mainClass=test.Main -Dexec.args=<doubleQuotes46>'argument separated with space' 'another one'<doubleQuotes46><newline46mondego>"
"25splitHere46","10108788splitHere46","FXMLLoader"
"26splitHere46","10108788splitHere46","Scene"
"27splitHere46","10108788splitHere46","FXMLLoader fxmlLoader = new FXMLLoader();<newline46mondego>Pane p = fxmlLoader.load(getClass().getResource(<doubleQuotes46>foo.fxml<doubleQuotes46>).openStream());<newline46mondego>bar.foo fooController = (bar.foo) fxmlLoader.getController();<newline46mondego>"
"28splitHere46","10108788splitHere46","fooController"
"29splitHere46","10108788splitHere46","Node#setUserData()"
"30splitHere46","10108788splitHere46","p.setUserData(fooController);<newline46mondego>...<newline46mondego>// after a while of app logic and code<newline46mondego>bar.foo controller_of_p = (bar.foo) p.getUserData();<newline46mondego>"
"31splitHere46","10108788splitHere46","Node#lookup()"
"32splitHere46","10108788splitHere46","TextField txt = (TextField) pane.lookup(<doubleQuotes46>#nodeId<doubleQuotes46>);<newline46mondego>"
"33splitHere46","10109070splitHere46","JToggleButton"
"34splitHere46","10109070splitHere46","ButtonGroup"
"35splitHere46","10109082splitHere46","if (!c.equals(Color.WHITE))<newline46mondego>"
"36splitHere46","10109082splitHere46","if ((rgb & 0xFFFFFF) != 0xFFFFFF)<newline46mondego>"
"37splitHere46","10109082splitHere46","BufferedImage img = new BufferedImage(width, height, BufferedImage.TYPE_INT_ARGB_PRE);<newline46mondego>Graphics2D g = img.createGraphics();<newline46mondego>g.fill(polygon);<newline46mondego>g.dispose();<newline46mondego>countThePixels(img);<newline46mondego>"
"38splitHere46","10109105splitHere46","<newline46mondego>public void paintComponent(Graphics g) {<newline46mondego>g.drawImage(img, 0, 0, getWidth(), getHeight(), this); // draw the image<newline46mondego>}<newline46mondego>"
"39splitHere46","10109105splitHere46","<newline46mondego>        final Image img = ...;<newline46mondego>        ComponentListener cl = new ComponentAdapter() {<newline46mondego>            public void componentResized(ComponentEvent ce) {<newline46mondego>                Component c = ce.getComponent();<newline46mondego>                img = im1.getScaledInstance(c.getWidth(), c.getHeight(), Image.SCALE_SMOOTH); <newline46mondego>            }<newline46mondego>        };<newline46mondego>"
"40splitHere46","10109205splitHere46","String userhome = System.getProperty(<doubleQuotes46>user.home<doubleQuotes46>);<newline46mondego>"
"41splitHere46","10109244splitHere46","javax.media.j3d.View.setFrontClipDistance(double distance)<newline46mondego>"
"42splitHere46","10109299splitHere46","<LinearLayout <newline46mondego>    android:orientation=<doubleQuotes46>vertical<doubleQuotes46><newline46mondego>    android:layout_width=<doubleQuotes46>fill_parent<doubleQuotes46><newline46mondego>    android:layout_height=<doubleQuotes46>fill_parent<doubleQuotes46>> <newline46mondego>    <ListView <newline46mondego>      android:layout_width=<doubleQuotes46>fill_parent<doubleQuotes46><newline46mondego>      android:layout_height=<doubleQuotes46>fill_parent<doubleQuotes46><newline46mondego>      android:layout_weight=<doubleQuotes46>1<doubleQuotes46>/> <newline46mondego>    <EditText <newline46mondego>      android:layout_width=<doubleQuotes46>fill_parent<doubleQuotes46><newline46mondego>      android:layout_height=<doubleQuotes46>wrap_content<doubleQuotes46>/>  <newline46mondego>  </LinearLayout><newline46mondego>"
"43splitHere46","10109412splitHere46","fireEvent"
"44splitHere46","10109415splitHere46","GsmSignalStrength(GsmSignalStrength gsmSignalStrength)<newline46mondego>    {<newline46mondego>        gsmSignalStrength = this;<newline46mondego>    }<newline46mondego>"
"45splitHere46","10109415splitHere46","gsmSignalStrength = this;<newline46mondego>"
"46splitHere46","10109415splitHere46","this"
"47splitHere46","10109415splitHere46","GsmSignalStrength(GsmSignalStrength gsmSignalStrength)<newline46mondego>    {<newline46mondego>        this.value = gsmSignalStrength.value;<newline46mondego>    }<newline46mondego>"
"48splitHere46","10109415splitHere46","object1 = object2;<newline46mondego>"
"49splitHere46","10109415splitHere46","object1 = new GsmSignalStrength( object2 );<newline46mondego>"
"50splitHere46","10109415splitHere46","clone()"
"51splitHere46","10109415splitHere46","copyTo"
"52splitHere46","10109415splitHere46","clone()"
"53splitHere46","10109415splitHere46","copyTo"
"54splitHere46","10109528splitHere46","JLabel"
"55splitHere46","10109528splitHere46","NON_Opaque"
"56splitHere46","10109528splitHere46","JLabels"
"57splitHere46","10109528splitHere46","JComponent"
"58splitHere46","10109528splitHere46","JPanel"
"59splitHere46","10109528splitHere46","JLabel#setOpaque(true)"
"60splitHere46","10109669splitHere46","@XmlElements"
"61splitHere46","10109669splitHere46","package forum10109418;<newline46mondego><newline46mondego>import java.util.List;<newline46mondego>import javax.xml.bind.annotation.*;<newline46mondego><newline46mondego>@XmlRootElement<newline46mondego>public class Details {<newline46mondego><newline46mondego>   private List<Picture> pictures;<newline46mondego><newline46mondego>   @XmlElementWrapper<newline46mondego>   @XmlElements({<newline46mondego>       @XmlElement( name=<doubleQuotes46>picture1<doubleQuotes46>, type=Picture.class ),<newline46mondego>       @XmlElement( name=<doubleQuotes46>picture2<doubleQuotes46>, type=Picture.class ),<newline46mondego>       @XmlElement( name=<doubleQuotes46>picture3<doubleQuotes46>, type=Picture.class ),<newline46mondego>       @XmlElement( name=<doubleQuotes46>picture4<doubleQuotes46>, type=Picture.class ),<newline46mondego>       @XmlElement( name=<doubleQuotes46>picture5<doubleQuotes46>, type=Picture.class ),<newline46mondego>       @XmlElement( name=<doubleQuotes46>picture6<doubleQuotes46>, type=Picture.class ),<newline46mondego>       @XmlElement( name=<doubleQuotes46>picture7<doubleQuotes46>, type=Picture.class ),<newline46mondego>       @XmlElement( name=<doubleQuotes46>picture8<doubleQuotes46>, type=Picture.class ),<newline46mondego>       @XmlElement( name=<doubleQuotes46>picture9<doubleQuotes46>, type=Picture.class ),<newline46mondego>       @XmlElement( name=<doubleQuotes46>picture10<doubleQuotes46>, type=Picture.class ),<newline46mondego>       @XmlElement( name=<doubleQuotes46>picture11<doubleQuotes46>, type=Picture.class ),<newline46mondego>       @XmlElement( name=<doubleQuotes46>picture12<doubleQuotes46>, type=Picture.class ),<newline46mondego>       @XmlElement( name=<doubleQuotes46>picture13<doubleQuotes46>, type=Picture.class ),<newline46mondego>       @XmlElement( name=<doubleQuotes46>picture14<doubleQuotes46>, type=Picture.class ),<newline46mondego>       @XmlElement( name=<doubleQuotes46>picture15<doubleQuotes46>, type=Picture.class ),<newline46mondego>       @XmlElement( name=<doubleQuotes46>picture16<doubleQuotes46>, type=Picture.class ),<newline46mondego>       @XmlElement( name=<doubleQuotes46>picture17<doubleQuotes46>, type=Picture.class ),<newline46mondego>       @XmlElement( name=<doubleQuotes46>picture18<doubleQuotes46>, type=Picture.class ),<newline46mondego>       @XmlElement( name=<doubleQuotes46>picture19<doubleQuotes46>, type=Picture.class ),<newline46mondego>       @XmlElement( name=<doubleQuotes46>picture20<doubleQuotes46>, type=Picture.class ),<newline46mondego>       @XmlElement( name=<doubleQuotes46>picture21<doubleQuotes46>, type=Picture.class ),<newline46mondego>       @XmlElement( name=<doubleQuotes46>picture22<doubleQuotes46>, type=Picture.class ),<newline46mondego>       @XmlElement( name=<doubleQuotes46>picture23<doubleQuotes46>, type=Picture.class ),<newline46mondego>       @XmlElement( name=<doubleQuotes46>picture24<doubleQuotes46>, type=Picture.class ),<newline46mondego>       @XmlElement( name=<doubleQuotes46>picture25<doubleQuotes46>, type=Picture.class ),<newline46mondego>       @XmlElement( name=<doubleQuotes46>picture26<doubleQuotes46>, type=Picture.class ),<newline46mondego>       @XmlElement( name=<doubleQuotes46>picture27<doubleQuotes46>, type=Picture.class ),<newline46mondego>       @XmlElement( name=<doubleQuotes46>picture28<doubleQuotes46>, type=Picture.class ),<newline46mondego>       @XmlElement( name=<doubleQuotes46>picture29<doubleQuotes46>, type=Picture.class ),<newline46mondego>       @XmlElement( name=<doubleQuotes46>picture30<doubleQuotes46>, type=Picture.class )<newline46mondego>   })<newline46mondego><newline46mondego>   public List<Picture> getPictures() {<newline46mondego>      return this.pictures;<newline46mondego>   }<newline46mondego><newline46mondego>   public void setPictures( List<Picture> pictures ) {<newline46mondego>      this.pictures = pictures;<newline46mondego>   }<newline46mondego><newline46mondego>}<newline46mondego>"
"62splitHere46","10109669splitHere46","Details"
"63splitHere46","10109669splitHere46","package forum10109418;<newline46mondego><newline46mondego>import java.util.List;<newline46mondego>import javax.xml.bind.annotation.*;<newline46mondego><newline46mondego>@XmlRootElement<newline46mondego>public class Details {<newline46mondego><newline46mondego>   private List<Picture> pictures;<newline46mondego><newline46mondego>   @XmlElementWrapper<newline46mondego>   @XmlElement(name=<doubleQuotes46>picture<doubleQuotes46>)<newline46mondego>   public List<Picture> getPictures() {<newline46mondego>      return this.pictures;<newline46mondego>   }<newline46mondego><newline46mondego>   public void setPictures( List<Picture> pictures ) {<newline46mondego>      this.pictures = pictures;<newline46mondego>   }<newline46mondego><newline46mondego>}<newline46mondego>"
"64splitHere46","10109669splitHere46","StreamReaderDelegate"
"65splitHere46","10109669splitHere46","package forum10109418;<newline46mondego><newline46mondego>import java.io.FileInputStream;<newline46mondego>import javax.xml.bind.*;<newline46mondego>import javax.xml.stream.*;<newline46mondego>import javax.xml.stream.util.StreamReaderDelegate;<newline46mondego><newline46mondego>public class Demo {<newline46mondego><newline46mondego>    public static void main(String[] args) throws Exception {<newline46mondego>        JAXBContext jc = JAXBContext.newInstance(Details.class);<newline46mondego><newline46mondego>        XMLInputFactory xif = XMLInputFactory.newFactory();<newline46mondego>        XMLStreamReader xsr = xif.createXMLStreamReader(new FileInputStream(<doubleQuotes46>src/forum10109418/input.xml<doubleQuotes46>));<newline46mondego>        xsr = new StreamReaderDelegate(xsr) {<newline46mondego>            @Override<newline46mondego>            public String getLocalName() {<newline46mondego>                String localName = super.getLocalName();<newline46mondego>                if(localName.startsWith(<doubleQuotes46>picture<doubleQuotes46>) && !localName.equals(<doubleQuotes46>pictures<doubleQuotes46>)) {<newline46mondego>                    return <doubleQuotes46>picture<doubleQuotes46>;<newline46mondego>                }<newline46mondego>                return localName;<newline46mondego>            }<newline46mondego><newline46mondego>        };<newline46mondego>        Unmarshaller unmarshaller = jc.createUnmarshaller();<newline46mondego>        Details details = (Details) unmarshaller.unmarshal(xsr);<newline46mondego>        System.out.println(details.getPictures().size());<newline46mondego>    }<newline46mondego><newline46mondego>}<newline46mondego>"
"66splitHere46","10109685splitHere46","Configure"
"67splitHere46","10109685splitHere46","Convert to Maven Project"
"68splitHere46","10109753splitHere46","<activity android:name=<doubleQuotes46>com.andrewbook.explicit_intents.Explicit_IntentsActivity<doubleQuotes46> <newline46mondego>                  android:label=<doubleQuotes46>@string/someLabel<doubleQuotes46>/><newline46mondego>"
"69splitHere46","10109841splitHere46","The thread executing within the Runnable object sleeps for 5 seconds   <newline46mondego>to simulate a long read over a slow network connection<newline46mondego>"
"70splitHere46","10109939splitHere46","BufferedImage img = ImageIO.read(new File(<doubleQuotes46>... .bmp<doubleQuotes46>));<newline46mondego>"
"71splitHere46","10110059splitHere46","overflowToDisk"
"72splitHere46","10110059splitHere46","flase"
"73splitHere46","10110059splitHere46","<cache name=<doubleQuotes46>...<doubleQuotes46> overflowToDisk=<doubleQuotes46>false<doubleQuotes46><newline46mondego>"
"74splitHere46","10110059splitHere46","Statistics.getAverageGetTime()"
"75splitHere46","10110059splitHere46","LiveCacheStatisticsImpl"
"76splitHere46","10110059splitHere46","public float getAverageGetTimeMillis() {<newline46mondego>    //...<newline46mondego>    return (float) totalGetTimeTakenMillis.get() / hitCount;<newline46mondego>}<newline46mondego>"
"77splitHere46","10110091splitHere46","$ grep NUMA=y /boot/config-`uname -r`<newline46mondego>CONFIG_NUMA=y<newline46mondego>CONFIG_K8_NUMA=y<newline46mondego>CONFIG_X86_64_ACPI_NUMA=y<newline46mondego>CONFIG_ACPI_NUMA=y<newline46mondego><newline46mondego>$ numactl --hardware<newline46mondego>available: 2 nodes (0-1)<newline46mondego>node 0 size: 18156 MB<newline46mondego>node 0 free: 9053 MB<newline46mondego>node 1 size: 18180 MB<newline46mondego>node 1 free: 6853 MB<newline46mondego>node distances:<newline46mondego>node   0   1<newline46mondego>  0:  10  20<newline46mondego>  1:  20  10<newline46mondego>"
"78splitHere46","10110281splitHere46","Double"
"79splitHere46","10110281splitHere46","@NotNull'. You can not use the primitive"
"80splitHere46","10110281splitHere46","priceAfterTax"
"81splitHere46","10110281splitHere46","0.0"
"82splitHere46","10110281splitHere46","Double"
"83splitHere46","10110281splitHere46","null"
"84splitHere46","10110364splitHere46","String x = new String(<doubleQuotes46>foo<doubleQuotes46>);<newline46mondego>String y = new String(<doubleQuotes46>foo<doubleQuotes46>);<newline46mondego>System.out.println(x == y); // prints false<newline46mondego>System.out.println(x.equals(y)); // prints true<newline46mondego>"
"85splitHere46","10110371splitHere46","FixedThreadPool"
"86splitHere46","10110371splitHere46","ExecutorService executor = Executors.newFixedThreadPool(1);<newline46mondego>executor.submit(runnable1);<newline46mondego>executor.submit(runnable2);<newline46mondego>executor.shutdown();<newline46mondego>executor.awaitTermination(10, TimeUnit.SECONDS); //waits until both runnables have finished.<newline46mondego>"
"87splitHere46","10110383splitHere46","<?php<newline46mondego><newline46mondego>$out=<doubleQuotes46>POST = <doubleQuotes46> . var_export($_POST, true) . <doubleQuotes46>\n<doubleQuotes46>;<newline46mondego>$out.=<doubleQuotes46>GET = <doubleQuotes46> . var_export($_GET, true) . <doubleQuotes46>\n<doubleQuotes46>;<newline46mondego>$out.=<doubleQuotes46>request = <doubleQuotes46> . var_export(getallheaders(), true) . <doubleQuotes46>\n<doubleQuotes46>;<newline46mondego>print $out;<newline46mondego><newline46mondego>?><newline46mondego>"
"88splitHere46","10110398splitHere46","physics.particles"
"89splitHere46","10110398splitHere46","p"
"90splitHere46","10110487splitHere46","Customer"
"91splitHere46","10110487splitHere46","Job"
"92splitHere46","10110487splitHere46","Job"
"93splitHere46","10110487splitHere46","Customer"
"94splitHere46","10110487splitHere46","Customer"
"95splitHere46","10110487splitHere46","Customer"
"96splitHere46","10110487splitHere46","TableModel"
"97splitHere46","10110487splitHere46","TableModel"
"98splitHere46","10110487splitHere46","Customer"
"99splitHere46","10110487splitHere46","Customer"
"100splitHere46","10110487splitHere46","JTable"
"101splitHere46","10110487splitHere46","JTable"
"102splitHere46","10110487splitHere46","TableModel"
"103splitHere46","10110492splitHere46","<img"
"104splitHere46","10110492splitHere46","<doubleQuotes46><img<doubleQuotes46>"
"105splitHere46","10110492splitHere46","[^>]+"
"106splitHere46","10110492splitHere46",">"
"107splitHere46","10110492splitHere46","src"
"108splitHere46","10110492splitHere46","\\s*"
"109splitHere46","10110492splitHere46","="
"110splitHere46","10110492splitHere46","\\s*"
"111splitHere46","10110492splitHere46","['\<doubleQuotes46>]"
"112splitHere46","10110492splitHere46","([^'\<doubleQuotes46>]+)"
"113splitHere46","10110492splitHere46","['\<doubleQuotes46>]"
"114splitHere46","10110492splitHere46","[^>]*"
"115splitHere46","10110492splitHere46","<doubleQuotes46>><doubleQuotes46>"
"116splitHere46","10110492splitHere46",">"
"117splitHere46","10110492splitHere46","<doubleQuotes46>><doubleQuotes46>"
"118splitHere46","10110492splitHere46","String str = <doubleQuotes46><img[^>]+src\\s*=\\s*['\<doubleQuotes46>]([^'\<doubleQuotes46>]+)['\<doubleQuotes46>][^>]*><doubleQuotes46>;<newline46mondego>String text = <doubleQuotes46><img alt=\<doubleQuotes46>booo\<doubleQuotes46> src=\<doubleQuotes46>image.jpg\<doubleQuotes46>/><doubleQuotes46>;<newline46mondego>Pattern pattern = Pattern.compile (str);<newline46mondego>Matcher matcher = pattern.matcher (text);<newline46mondego><newline46mondego>if (matcher.matches ())<newline46mondego>{<newline46mondego>      int n = matcher.groupCount ();<newline46mondego>      for (int i = 0; i <= n; ++i)<newline46mondego>          System.out.println (matcher.group (i));<newline46mondego>}<newline46mondego>"
"119splitHere46","10110492splitHere46","<img alt=<doubleQuotes46>booo<doubleQuotes46> src=<doubleQuotes46>image.jpg<doubleQuotes46>/><newline46mondego>image.jpg<newline46mondego>"
"120splitHere46","10110492splitHere46","matcher.group(1)"
"121splitHere46","10110521splitHere46","<provider>"
"122splitHere46","10110521splitHere46","<persistence-unit>"
"123splitHere46","10110521splitHere46","<provider>org.hibernate.ejb.HibernatePersistence</provider>"
"124splitHere46","10110521splitHere46","persistence.xml"
"125splitHere46","10110521splitHere46","/WEB-INF/classes/META-INF"
"126splitHere46","10110552splitHere46","public interface IRequest { ... }<newline46mondego><newline46mondego>public class CheckServerOnlineRequest implements IRequest { ... }<newline46mondego>public class GetAmountOfGoldRequest implements IRequest { ... }<newline46mondego>"
"127splitHere46","10110552splitHere46","send()"
"128splitHere46","10110552splitHere46","IRequest"
"129splitHere46","10110552splitHere46","public static void send(IRequest request) { ... }<newline46mondego>"
"130splitHere46","10110666splitHere46","bookDisp"
"131splitHere46","10110666splitHere46","TextView"
"132splitHere46","10110666splitHere46","TextView"
"133splitHere46","10110666splitHere46","TextView"
"134splitHere46","10110666splitHere46","bookDisp"
"135splitHere46","10110666splitHere46","String"
"136splitHere46","10110666splitHere46","if(tvString.equals(<doubleQuotes46>Green Eggs<doubleQuotes46>)){<newline46mondego>    mainbg.setBackgroundResource(R.drawable.seuss);<newline46mondego>    }else if (tvString.equals(<doubleQuotes46>Tarzan<doubleQuotes46>)){<newline46mondego>        mainbg.setBackgroundResource(R.drawable.erburrows);<newline46mondego>    }<newline46mondego>//...<newline46mondego>"
"137splitHere46","10110666splitHere46","tvString"
"138splitHere46","10110666splitHere46","TextView"
"139splitHere46","10110666splitHere46","bookDisp.getText().toString()<newline46mondego>"
"140splitHere46","10110924splitHere46","function sendData() {<newline46mondego>    $.ajax({<newline46mondego>            url: '/helloworld',<newline46mondego>            type: 'POST',<newline46mondego>            contentType: 'application/json',<newline46mondego>            data: JSON.stringify({<newline46mondego>                name:<doubleQuotes46>Bob<doubleQuotes46>,<newline46mondego>                ...<newline46mondego><newline46mondego>            }),<newline46mondego>            processData: false,<newline46mondego>            dataType: 'json'<newline46mondego>        });<newline46mondego>        alert(<doubleQuotes46>json posted!<doubleQuotes46>);<newline46mondego>    };<newline46mondego>}<newline46mondego>"
"141splitHere46","10110924splitHere46","function sendData() {<newline46mondego>    $.ajax({<newline46mondego>            url: '/helloworld',<newline46mondego>            type: 'POST',<newline46mondego>            contentType: 'application/json',<newline46mondego>            data: { json: JSON.stringify({<newline46mondego>                name:<doubleQuotes46>Bob<doubleQuotes46>,<newline46mondego>                ...<newline46mondego><newline46mondego>            })},<newline46mondego>            dataType: 'json'<newline46mondego>        });<newline46mondego>        alert(<doubleQuotes46>json posted!<doubleQuotes46>);<newline46mondego>    };<newline46mondego>}<newline46mondego>"
"142splitHere46","10110924splitHere46","json"
"143splitHere46","10110947splitHere46","setFileFilter"
"144splitHere46","10110947splitHere46","chooser.setFileFilter(new OpenFileFilter(<doubleQuotes46>txt<doubleQuotes46>));<newline46mondego>"
"145splitHere46","10110947splitHere46","/**<newline46mondego> * This class defines which file types are opened (by default) by the program.<newline46mondego> * This file filter is used to associate a single file type (extension) with the program.<newline46mondego> * You could add more than one file type to the open file dialog using this class by repeatedly<newline46mondego> *    calling addFileFilter.<newline46mondego> */<newline46mondego>import java.io.File;<newline46mondego>import javax.swing.filechooser.*;<newline46mondego><newline46mondego>public class OpenFileFilter extends FileFilter {<newline46mondego>    public String fileExt = <doubleQuotes46><doubleQuotes46>;<newline46mondego>    String txtExt = <doubleQuotes46>.txt<doubleQuotes46>;<newline46mondego><newline46mondego>    public OpenFileFilter() {<newline46mondego>        this(<doubleQuotes46>.pxml<doubleQuotes46>);  //default file type extension.<newline46mondego>    }<newline46mondego><newline46mondego>    public OpenFileFilter(String extension) {<newline46mondego>        fileExt = extension;<newline46mondego>    }<newline46mondego><newline46mondego>     @Override public boolean accept(File f) {<newline46mondego>        if (f.isDirectory())<newline46mondego>            return true;<newline46mondego>        return  (f.getName().toLowerCase().endsWith(fileExt)); <newline46mondego>    }<newline46mondego><newline46mondego>    public String getDescription() {<newline46mondego>        if(fileExt.equals(txtExt ))<newline46mondego>            return  <doubleQuotes46>Text Files (*<doubleQuotes46> + fileExt + <doubleQuotes46>)<doubleQuotes46>;<newline46mondego>        else<newline46mondego>            return (<doubleQuotes46>Other File<doubleQuotes46>);<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"146splitHere46","10111118splitHere46","super"
"147splitHere46","10111308splitHere46","getElementsByTagName(<doubleQuotes46>CourtId<doubleQuotes46>)"
"148splitHere46","10111308splitHere46","<USBankruptcies>"
"149splitHere46","10111308splitHere46","NodeList bankruptcyNodes = doc.getElementsByTagName(<doubleQuotes46>USBankruptcies<doubleQuotes46>);<newline46mondego>Element bankruptcyElement = (Element) bankruptcyNodes.item(0);<newline46mondego><newline46mondego>NodeList bankruptcyCourtNodes = bankruptcyElement.getElementsByTagName(<doubleQuotes46>CourtId<doubleQuotes46>);<newline46mondego>// etc...<newline46mondego>"
"150splitHere46","10111341splitHere46","'w'"
"151splitHere46","10111341splitHere46","'wb'"
"152splitHere46","10111341splitHere46","'\n'"
"153splitHere46","10111341splitHere46","'\r\n'"
"154splitHere46","10111551splitHere46","Document"
"155splitHere46","10111551splitHere46","Node"
"156splitHere46","10111551splitHere46","traverse(NodeVisitor)"
"157splitHere46","10111551splitHere46","document.traverse(new NodeVisitor() {<newline46mondego>    public void head(Node node, int depth) {<newline46mondego>        System.out.println(<doubleQuotes46>Entering tag: <doubleQuotes46> + node.nodeName());<newline46mondego>    }<newline46mondego>    public void tail(Node node, int depth) {<newline46mondego>        System.out.println(<doubleQuotes46>Exiting tag: <doubleQuotes46> + node.nodeName());<newline46mondego>    }<newline46mondego>});<newline46mondego>"
