"1splitHere46","14623876splitHere46","for(int year = 1900; year <= 2012; year++){<newline46mondego>if((year % 4 == 0 && year % 100 != 0) || year % 400 == 0){<newline46mondego>driver.findElement(By.id(<doubleQuotes46>DOB<doubleQuotes46>)).clear();<newline46mondego>driver.findElement(By.id(<doubleQuotes46>DOB<doubleQuotes46>)).sendKeys(<doubleQuotes46>29/02/<doubleQuotes46> + year);<newline46mondego>}<newline46mondego>}<newline46mondego>"
"130splitHere46","14627814splitHere46","String result = <doubleQuotes46>\<doubleQuotes46>A\<doubleQuotes46>,\<doubleQuotes46>B\<doubleQuotes46>,\<doubleQuotes46>C\<doubleQuotes46>,\<doubleQuotes46>D\<doubleQuotes46>,\<doubleQuotes46>E\<doubleQuotes46>,\<doubleQuotes46>F\<doubleQuotes46><doubleQuotes46>;<newline46mondego>List list = new ArrayList();<newline46mondego><newline46mondego>list.add(<doubleQuotes46>One<doubleQuotes46>);<newline46mondego>list.add(<doubleQuotes46>One2<doubleQuotes46>);<newline46mondego>list.add(<doubleQuotes46>One3<doubleQuotes46>);<newline46mondego><newline46mondego>for(int i=0;i<list.size();i++)<newline46mondego>{<newline46mondego>   result += <doubleQuotes46>,\<doubleQuotes46><doubleQuotes46> + list.get(i) +<doubleQuotes46>\<doubleQuotes46><doubleQuotes46><newline46mondego>}<newline46mondego>"
"131splitHere46","14627814splitHere46","<doubleQuotes46>A<doubleQuotes46>,<doubleQuotes46>B<doubleQuotes46>,<doubleQuotes46>C<doubleQuotes46>,<doubleQuotes46>D<doubleQuotes46>,<doubleQuotes46>E<doubleQuotes46>,<doubleQuotes46>F<doubleQuotes46>,<doubleQuotes46>One<doubleQuotes46>,<doubleQuotes46>One2<doubleQuotes46>,<doubleQuotes46>One3<doubleQuotes46><newline46mondego>"
"132splitHere46","14628007splitHere46","@Resource private UserTransaction mytx;<newline46mondego>public static void main(String[] args)<newline46mondego>    {<newline46mondego>        EntityManagerFactory emFactory = Persistence.createEntityManagerFactory(<doubleQuotes46>TestingJPAPU<doubleQuotes46>);<newline46mondego><newline46mondego>        EntityManager em = emFactory.createEntityManager();<newline46mondego><newline46mondego>        mytx.begin();<newline46mondego>        Query query = em.createQuery(<doubleQuotes46>UPDATE Passengers p SET p.name = 'Robert' WHERE p.id = 2<doubleQuotes46>);<newline46mondego><newline46mondego>        query.executeUpdate();<newline46mondego>        mytx.commit()<newline46mondego>        em.close();<newline46mondego>    }<newline46mondego>"
"133splitHere46","14628067splitHere46","Please check following program for your requirement<newline46mondego><newline46mondego>    I have created HashMap where Key as the your values that will duplicate and ArrayList as List of value duplicated  <newline46mondego><newline46mondego><newline46mondego>    import java.util.Iterator;<newline46mondego>import java.util.List;<newline46mondego>import java.util.ArrayList;<newline46mondego>import java.util.HashMap;<newline46mondego>import java.util.Map;<newline46mondego>import java.util.Map.Entry;<newline46mondego>import java.util.Set;<newline46mondego><newline46mondego>public class Dog {<newline46mondego><newline46mondego><newline46mondego>    public static void main(String[] args) {<newline46mondego>        Map<Integer,List<Integer>> hashMap=new HashMap<Integer,List<Integer>>();<newline46mondego>         int array[]={1,1,1,2,2,2,4,3,3,3};<newline46mondego><newline46mondego><newline46mondego>         for (int m = 0; m < array.length ; m++) {<newline46mondego>             System.out.print(array[m]);<newline46mondego>             List<Integer> dup=(List<Integer>)hashMap.get(array[m]);<newline46mondego>             if(dup==null){<newline46mondego><newline46mondego>                 dup=new ArrayList<Integer>();<newline46mondego>                 hashMap.put(array[m],dup);<newline46mondego>                 dup.add(array[m]);<newline46mondego><newline46mondego>             }else{<newline46mondego>                 dup.add(array[m]);<newline46mondego>             }<newline46mondego>         }<newline46mondego><newline46mondego>         Set<Entry<Integer, List<Integer>>> keys = hashMap.entrySet();<newline46mondego>         for (Iterator iterator = keys.iterator(); iterator.hasNext();) {<newline46mondego>            Entry<Integer, List<Integer>> entry = (Entry<Integer, List<Integer>>) iterator.next();<newline46mondego>            List<Integer> arrayList = entry.getValue();<newline46mondego>            if(arrayList.size()==1)<newline46mondego>                hashMap.put(entry.getKey(), null);<newline46mondego>        }<newline46mondego><newline46mondego><newline46mondego>         System.out.print(hashMap.get(1));<newline46mondego>         System.out.print(hashMap.get(2));<newline46mondego>         System.out.print(hashMap.get(3));<newline46mondego>         System.out.print(hashMap.get(4));<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"134splitHere46","14628342splitHere46","{[CONTAINER]}"
"135splitHere46","14628342splitHere46","{[/CONTAINER]}"
"136splitHere46","14628342splitHere46","// Non capturing open tag. Non-capturing mean it won't be included in result when we match it against some text.<newline46mondego>String open = <doubleQuotes46>(?<=\\{\\[CONTAINER\\]\\})<doubleQuotes46>; <newline46mondego><newline46mondego>// Content between open and close tag.<newline46mondego>String inside = <doubleQuotes46>.*?<doubleQuotes46>; <newline46mondego><newline46mondego>// Non capturing close tag.<newline46mondego>String close = <doubleQuotes46>(?=\\{\\[/CONTAINER\\]\\})<doubleQuotes46>;<newline46mondego><newline46mondego>// Final regex<newline46mondego>String regex = open + inside + close;<newline46mondego><newline46mondego>String text = <doubleQuotes46><html>...<doubleQuotes46>; // you string here<newline46mondego><newline46mondego>// Usage<newline46mondego>Matcher matcher = Pattern.compile(regex, Pattern.DOTALL).matcher(text);<newline46mondego>while (matcher.find()) {<newline46mondego>    String content = matcher.group().trim();<newline46mondego>    System.out.println(content);<newline46mondego>}<newline46mondego>"
"137splitHere46","14628342splitHere46","{[CONTAINER]}"
"138splitHere46","14628342splitHere46","{[/CONTAINTER]}"
"139splitHere46","14628342splitHere46","CONTENT"
"140splitHere46","14628550splitHere46","HttpAttributeListener"
"141splitHere46","14628583splitHere46","B"
"142splitHere46","14628583splitHere46","doFoo()"
"143splitHere46","14628583splitHere46","d().doBar();"
"144splitHere46","14628583splitHere46","D"
"145splitHere46","14628583splitHere46","d()"
"146splitHere46","14628583splitHere46","new D().doBar()"
"147splitHere46","14628583splitHere46","D"
"148splitHere46","14628583splitHere46","B"
"149splitHere46","14628583splitHere46","@Autowired<newline46mondego>private D d;<newline46mondego>"
"150splitHere46","14628583splitHere46","doFoo()"
"151splitHere46","14628583splitHere46","d.doBar();<newline46mondego>"
"152splitHere46","14628627splitHere46","String[] colname= {dtm.getColumnName(i)};<newline46mondego>"
"153splitHere46","14628627splitHere46","colname= new String[] {dtm.getColumnName(i)};<newline46mondego>"
"154splitHere46","14628627splitHere46","List<String> colName = new ArrayList<String> ();<newline46mondego><newline46mondego>//in your loop<newline46mondego>colName.add(dtm.getColumnName(i));<newline46mondego>"
"155splitHere46","14628714splitHere46","import java.util.ArrayList;<newline46mondego><newline46mondego>public class Store {<newline46mondego>int appNumber;// = appNumberField.getText();<newline46mondego>String name;// = nameField.getText();<newline46mondego>int date;// = dateField.getText();<newline46mondego>boolean fileLoc;// = fileLocField.getText();<newline46mondego>String country;// = countryRefField.getText();<newline46mondego><newline46mondego>public Store(int appNumbe, String nam, int dat, boolean fileLo,<newline46mondego>        String countr) {<newline46mondego>    appNumber = appNumbe;<newline46mondego>    name = nam;<newline46mondego>    date = dat;<newline46mondego>    fileLoc = fileLo;<newline46mondego>    country = countr;<newline46mondego>}<newline46mondego><newline46mondego>public static void main(String[] args) {<newline46mondego><newline46mondego>    ArrayList<Store> app = new ArrayList<Store>();<newline46mondego>    app.add(new Store(22, <doubleQuotes46>Name<doubleQuotes46>, 2, false, <doubleQuotes46>India<doubleQuotes46>));<newline46mondego><newline46mondego>}<newline46mondego>}<newline46mondego>"
"156splitHere46","14628795splitHere46","URL url = new URL(<doubleQuotes46>http://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Morus_bassanus_adu.jpg/50px-Morus_bassanus_adu.jpg<doubleQuotes46>);<newline46mondego><newline46mondego>                BufferedImage image = ImageIO.read(url);        <newline46mondego><newline46mondego>                JLabel label = new JLabel(new ImageIcon(image));<newline46mondego>                label.setMinimumSize(new Dimension(200,200));<newline46mondego>                this.add(label);<newline46mondego>"
"157splitHere46","14628886splitHere46","public class MyGlobalKeys {<newline46mondego>    private static final MyGlobalKeys globals = new MyGlobalKeys();<newline46mondego><newline46mondego>    // disable construction outside of this class<newline46mondego>    private MyGlobalKeys() {}<newline46mondego><newline46mondego>    public void getInstance() {<newline46mondego>       return globals;<newline46mondego>    }<newline46mondego><newline46mondego>    public void addKey(String key, bool state) { ... }<newline46mondego>    public bool hasKey(String key) { ... }<newline46mondego>    // and so on ...<newline46mondego>}<newline46mondego>"
"158splitHere46","14629029splitHere46","<doubleQuotes46>bb<doubleQuotes46>"
"159splitHere46","14629029splitHere46","String"
"160splitHere46","14629029splitHere46","Product"
"161splitHere46","14629029splitHere46","Product"
"162splitHere46","14629029splitHere46","new Product(<doubleQuotes46>bb<doubleQuotes46>)"
"163splitHere46","14629133splitHere46","<bean id=<doubleQuotes46>partitioner<doubleQuotes46> class=<doubleQuotes46>org.springframework.batch.core.partition.support.MultiResourcePartitioner<doubleQuotes46><newline46mondego>scope=<doubleQuotes46>step<doubleQuotes46>><newline46mondego>        <property name=<doubleQuotes46>resources<doubleQuotes46> value=<doubleQuotes46>file:#{jobParameters['filePath']}<doubleQuotes46>/><newline46mondego>    </bean><newline46mondego>"
"164splitHere46","14629292splitHere46","String regex = <doubleQuotes46>^(\\d+)(yes|no)<doubleQuotes46>;<newline46mondego>    String myStr = <doubleQuotes46>10yes11no<doubleQuotes46>;<newline46mondego><newline46mondego>    Pattern p = Pattern.compile(regex);<newline46mondego>    Matcher m = p.matcher(myStr);<newline46mondego><newline46mondego>    while (m.find())<newline46mondego>    {<newline46mondego>        String all = m.group();<newline46mondego>        String digits = m.group(1);<newline46mondego>        String bool = m.group(2);<newline46mondego><newline46mondego>        // do not try and combine the next 2 lines ... it doesn't work!<newline46mondego>        myStr = myStr.substring(all.length());<newline46mondego>        m.reset(myStr);<newline46mondego><newline46mondego>        System.out.println(String.format(<doubleQuotes46>all = %s, digits = %s, bool = %s<doubleQuotes46>, all, digits, bool));<newline46mondego>    }<newline46mondego>"
"165splitHere46","14629458splitHere46","int randomArrayIndex = new Random().nextInt(ar.length); <newline46mondego>int number = ar[randomArrayIndex];<newline46mondego>"
"166splitHere46","14629565splitHere46","String where = FileColumns.DATA + <doubleQuotes46> like <doubleQuotes46> + <doubleQuotes46>XYZ<doubleQuotes46>;<newline46mondego><newline46mondego>      cursor =    Context.getContentResolver().query(Files.getContentUri(<doubleQuotes46>external<doubleQuotes46>),<newline46mondego>                        projection, // Which columns you need<newline46mondego>                        where, null<newline46mondego>                        }, null); <newline46mondego>"
"167splitHere46","14629585splitHere46","HashMap"
"168splitHere46","14629585splitHere46","TreeMap"
"169splitHere46","14629585splitHere46","TreeMap<Integer, Integer> sorted = new TreeMap<Integer, Integer>(bigMap);<newline46mondego><newline46mondego>    SortedMap<Integer, Integer> zeroToFortyNine = sorted.subMap(0, 50);<newline46mondego>    SortedMap<Integer, Integer> fiftyToNinetyNine = sorted.subMap(50, 100);<newline46mondego>"
"170splitHere46","14629654splitHere46","Item"
"171splitHere46","14629654splitHere46","TextView"
"172splitHere46","14629654splitHere46","text1.setText(str1);<newline46mondego>text1.setTag(this);<newline46mondego>"
"173splitHere46","14629654splitHere46","onListItemClick"
"174splitHere46","14629654splitHere46","Header header = (Header) v.getTag();<newline46mondego>"
"175splitHere46","14629654splitHere46","onListItemClick"
