"1splitHere46","9873383splitHere46","final ClientBootstrap bs = new ClientBootstrap(...);<newline46mondego>final InetSocketAddress address = new InetSocketAddress(<doubleQuotes46>remoteip<doubleQuotes46>, 110);<newline46mondego>final int maxretries = 5;<newline46mondego>final AtomicInteger count = new AtomicInteger();<newline46mondego>bs.connect(address).addListener(new ChannelFutureListener() {<newline46mondego><newline46mondego>    public void operationComplete(ChannelFuture future) throws Exception {<newline46mondego>        if (!future.isSuccess()) {<newline46mondego>            if (count.incrementAndGet() > maxretries) {<newline46mondego>                // fails to connect even after maxretries do something<newline46mondego>            } else {<newline46mondego>                // retry<newline46mondego>                bs.connect(address).addListener(this);<newline46mondego>            }<newline46mondego>        }<newline46mondego>    }<newline46mondego>});<newline46mondego>"
"12splitHere46","9873949splitHere46","@MappedSuperclass<newline46mondego>public abstract class OpsItem extends Model {<newline46mondego><newline46mondego>    @ManyToOne<newline46mondego>    public RetailOpsBranch report;<newline46mondego>}<newline46mondego><newline46mondego>@Entity<newline46mondego>@Inheritance(strategy = InheritanceType.TABLE_PER_CLASS)<newline46mondego>public class AItem extends OpsItem {<newline46mondego>...<newline46mondego>}<newline46mondego><newline46mondego>@Entity<newline46mondego>@Inheritance(strategy = InheritanceType.TABLE_PER_CLASS)<newline46mondego>public class BItem extends OpsItem {<newline46mondego>...<newline46mondego>}<newline46mondego>"
"13splitHere46","9874080splitHere46","String line = <doubleQuotes46>14  t1tug.sunet.se (109.105.102.14)  48.394 ms  46.590 ms t1tug.sunet.se 109.105.102.18)  46.549 ms<doubleQuotes46><newline46mondego>String splitted[] = line.trim().split(<doubleQuotes46>\\s+<doubleQuotes46>);<newline46mondego>System.out.println(splitted[1]); //your desired string<newline46mondego>"
"14splitHere46","9874080splitHere46","String line = <doubleQuotes46>14  t1tug.sunet.se (109.105.102.14)  48.394 ms  46.590 ms t1tug.sunet.se (109.105.102.18)  46.549 ms<doubleQuotes46>;<newline46mondego>String regexp = <doubleQuotes46>^\\s*[0-9]+\s+([0-9A-Za-z\.\-]+)(.*)$<doubleQuotes46>;<newline46mondego>line = line.replaceAll( regexp, <doubleQuotes46>$1<doubleQuotes46> );<newline46mondego>System.out.println(line);<newline46mondego>"
"15splitHere46","9874112splitHere46","public static boolean isValid(String a, String b){<newline46mondego>    for(char c : b.toCharArray())<newline46mondego>        if(!a.contains(<doubleQuotes46><doubleQuotes46>+c))<newline46mondego>            return false;<newline46mondego>    return true;<newline46mondego>}<newline46mondego>"
"16splitHere46","9874187splitHere46","ArrayList<String>"
"17splitHere46","9874187splitHere46","ArrayList"
"18splitHere46","9874187splitHere46","toArray()"
"19splitHere46","9874187splitHere46","Object[]"
"20splitHere46","9874187splitHere46","String[]"
"21splitHere46","9874281splitHere46","int cell = ((Long) (num % _entries.length)).intValue();<newline46mondego>"
"22splitHere46","9874281splitHere46","int cell = (int) (num % _entries.length);<newline46mondego>"
"23splitHere46","9874281splitHere46","num % _entries.length"
"24splitHere46","9874281splitHere46","int"
"25splitHere46","9874281splitHere46","_entries.length"
"26splitHere46","9874281splitHere46","int"
"27splitHere46","9874281splitHere46","HashSet"
"28splitHere46","9874281splitHere46","BigInteger.valueOf((int)(numOfEntries / 0.65)).nextProbablePrime().intValue()"
"29splitHere46","9874281splitHere46","HashSet"
"30splitHere46","9874281splitHere46","value & (_entries.length - 1)"
"31splitHere46","9874281splitHere46","%"
"32splitHere46","9874375splitHere46","jaxb-impl.jar"
"33splitHere46","9874534splitHere46","Point"
"34splitHere46","9874635splitHere46","onCreate(Bundle)"
"35splitHere46","9874635splitHere46","mService"
"36splitHere46","9874635splitHere46","Service"
"37splitHere46","9874635splitHere46","onStart()"
"38splitHere46","9874635splitHere46","onCreate(Bundle)"
"39splitHere46","9874635splitHere46","Thread"
"40splitHere46","9874635splitHere46","onStart()"
"41splitHere46","9874635splitHere46","Service"
"42splitHere46","9874697splitHere46","See http://en.wikipedia.org/wiki/Sizeof<newline46mondego>"
"43splitHere46","9874697splitHere46","See http://en.wikipedia.org/wiki/Strlen#strlen<newline46mondego>"
"44splitHere46","9874758splitHere46","JPanel panel = new JPanel();<newline46mondego>        panel.add(nameLabel);<newline46mondego>        panel.add(name);<newline46mondego>        panel.add(urlLabel);<newline46mondego>        panel.add(url);<newline46mondego>        panel.add(typeLabel);<newline46mondego>        panel.add(type);<newline46mondego>        this.add(panel);<newline46mondego>"
"45splitHere46","9874758splitHere46","add(panel, BorderLayout.CENTER);"
"46splitHere46","9874776splitHere46","AtomicDouble"
"47splitHere46","9874776splitHere46","AtomicLong"
"48splitHere46","9874776splitHere46","addAndGet"
"49splitHere46","9874776splitHere46","while (true) {<newline46mondego>  long current = value;<newline46mondego>  double currentVal = longBitsToDouble(current);<newline46mondego>  double nextVal = currentVal + delta;<newline46mondego>  long next = doubleToRawLongBits(nextVal);<newline46mondego>  if (updater.compareAndSet(this, current, next)) {<newline46mondego>    return nextVal;<newline46mondego>  }<newline46mondego>}<newline46mondego>"
"50splitHere46","9874777splitHere46","VALUES"
"51splitHere46","9874777splitHere46","<doubleQuotes46>"
"52splitHere46","9874777splitHere46","VALUES <doubleQuotes46> +"
"53splitHere46","9874777splitHere46","sql"
"54splitHere46","9875022splitHere46","for (int i = 0; i < parachuters.size(); i++)<newline46mondego>    {<newline46mondego>    if (parachuters.get(i).getY() > canvas.getHeight()) {<newline46mondego>        parachuters.remove(i);<newline46mondego>        onPlaySound();<newline46mondego>        checkLivesLeftValue();<newline46mondego>    } else if(parachuters.get(i).isDead) {<newline46mondego>        parachuters.remove(i);<newline46mondego>    }<newline46mondego>"
"55splitHere46","9875092splitHere46","public String newIndex(String str, int oldIndex) {<newline46mondego>  int newIndex = 0;<newline46mondego>  boolean inBracket = false;<newline46mondego>  for (int i = 0; i < str.length(); i++) {<newline46mondego>    if (i == oldIndex) return newIndex;<newline46mondego>    char c = str.charAt(i);<newline46mondego>    if (c == '<') inBracket = true;<newline46mondego>    else if (c == '>') inBracket = false;<newline46mondego>    else if (!inBracket) newIndex++;<newline46mondego>  }<newline46mondego>  return newIndex;<newline46mondego>}<newline46mondego>"
"56splitHere46","9875161splitHere46","<localRepository>D:/mvn_repo</localRepository><newline46mondego>"
"57splitHere46","9875399splitHere46","clientAuth=true"
"58splitHere46","9875399splitHere46","clientAuth=optional"
"59splitHere46","9875399splitHere46","-Djavax.net.debug=ssl"
"60splitHere46","9875502splitHere46","Comparable"
"61splitHere46","9875502splitHere46","Collections.sort()"
"62splitHere46","9875579splitHere46","int"
"63splitHere46","9875579splitHere46","return cs & 0xFF;<newline46mondego>"
"64splitHere46","9875579splitHere46","int"
"65splitHere46","9875579splitHere46","short"
"66splitHere46","9875579splitHere46","long"
"67splitHere46","9875579splitHere46","public static void main(String... args) {<newline46mondego>    byte[] bytes = { 1, -128, -1 }; // check sum is -128 or 0x80 or 128 (unsigned)<newline46mondego>    System.out.println(<doubleQuotes46>makeCS <doubleQuotes46>+ makeCS(bytes));<newline46mondego>    System.out.println(<doubleQuotes46>makeCS2 <doubleQuotes46>+ makeCS2(bytes));<newline46mondego>    System.out.println(<doubleQuotes46>makeCS3 <doubleQuotes46>+ makeCS3(bytes));<newline46mondego>}<newline46mondego><newline46mondego>public static int makeCS(byte... arr) {<newline46mondego>    byte cs = 0;<newline46mondego>    for (byte b : arr)<newline46mondego>        cs += b;<newline46mondego>    return cs & 0xFF;<newline46mondego>}<newline46mondego><newline46mondego>public static int makeCS2(byte[] arr)<newline46mondego>{<newline46mondego>    int cs = 0;<newline46mondego>    for (int i = 0; i < arr.length; i++)<newline46mondego>    {<newline46mondego>        int add = arr[i];<newline46mondego>        cs += (0xFF & add);<newline46mondego>        cs &= 0xFF;<newline46mondego>    }<newline46mondego>    return cs;<newline46mondego>}<newline46mondego><newline46mondego>public static short makeCS3(byte[] arr)<newline46mondego>{<newline46mondego>    short cs = 0;<newline46mondego>    for (int i = 0; i < arr.length; i++)<newline46mondego>    {<newline46mondego>        cs += arr[i];<newline46mondego>    }<newline46mondego>    return cs;<newline46mondego>}<newline46mondego>"
"68splitHere46","9875579splitHere46","makeCS 128<newline46mondego>makeCS2 128<newline46mondego>makeCS3 -128<newline46mondego>"
"69splitHere46","9875618splitHere46","<appender name=<doubleQuotes46>SMTP<doubleQuotes46> class=<doubleQuotes46>org.apache.log4j.net.SMTPAppender<doubleQuotes46>><newline46mondego>  <errorHandler class=<doubleQuotes46>org.jboss.logging.util.OnlyOnceErrorHandler<doubleQuotes46>/><newline46mondego>  <param name=<doubleQuotes46>Threshold<doubleQuotes46> value=<doubleQuotes46>ERROR<doubleQuotes46>/><newline46mondego>  <param name=<doubleQuotes46>To<doubleQuotes46> value=<doubleQuotes46>email@our.domain<doubleQuotes46>/><newline46mondego>  <param name=<doubleQuotes46>From<doubleQuotes46> value=<doubleQuotes46>server@our.domain<doubleQuotes46>/><newline46mondego>  <param name=<doubleQuotes46>Subject<doubleQuotes46> value=<doubleQuotes46>Error<doubleQuotes46>/><newline46mondego>  <param name=<doubleQuotes46>SMTPHost<doubleQuotes46> value=<doubleQuotes46>our.host<doubleQuotes46>/><newline46mondego>  <param name=<doubleQuotes46>BufferSize<doubleQuotes46> value=<doubleQuotes46>10<doubleQuotes46>/><newline46mondego>  <layout class=<doubleQuotes46>org.apache.log4j.PatternLayout<doubleQuotes46>><newline46mondego>    <param name=<doubleQuotes46>ConversionPattern<doubleQuotes46> value=<doubleQuotes46>[%d{ABSOLUTE},%c] %m%n<doubleQuotes46>/><newline46mondego>  </layout><newline46mondego></appender><newline46mondego>"
"70splitHere46","9875646splitHere46","Session.importXml"
"71splitHere46","9875646splitHere46","path"
"72splitHere46","9875646splitHere46","/notes"
"73splitHere46","9875692splitHere46","@Setter @Getter @sthElse @oneMore @etc private String query;<newline46mondego>"
"74splitHere46","9875986splitHere46","int delta = (time - lastFrame);<newline46mondego>"
"75splitHere46","9876040splitHere46","class Ladder {<newline46mondego>  private List<Animal> animalsOnLadder = new ArrayList<Animal>;<newline46mondego><newline46mondego>  public Ladder() {<newline46mondego>    placeAnimalOnLadder(new eagle());<newline46mondego>    placeAnimalOnLadder(new squirell());<newline46mondego><newline46mondego>  }<newline46mondego><newline46mondego>  public void placeAnimalOnLadder(Animal animal) {<newline46mondego>    animalsOnLadder.add(animal);<newline46mondego>  }<newline46mondego><newline46mondego>}<newline46mondego>"
"76splitHere46","9876090splitHere46","Point2D.Double"
"77splitHere46","9876090splitHere46","java.lang.Double"
"78splitHere46","9876090splitHere46","Point2D.Double"
"79splitHere46","9876090splitHere46","java.lang.Double"
"80splitHere46","9876090splitHere46","Point2D"
"81splitHere46","9876090splitHere46","Double"
"82splitHere46","9876090splitHere46","yourDoublePoint2D.getX()"
"83splitHere46","9876090splitHere46","yourDoublePoint2D.getY()"
"84splitHere46","9876090splitHere46","double"
"85splitHere46","9876090splitHere46","Double d1 = 1.5;<newline46mondego>double d2 = 2.3;<newline46mondego>double d3 = d1 * d2;<newline46mondego>"
"86splitHere46","9876090splitHere46","Point2D.Double"
"87splitHere46","9876090splitHere46","import java.awt.geom.Point2D.*;<newline46mondego>"
"88splitHere46","9876090splitHere46","import java.awt.geom.Point2D.Double;<newline46mondego>"
"89splitHere46","9876090splitHere46","java.lang.Double"
"90splitHere46","9876090splitHere46","import java.awt.geom.Point2D; //Note: only import Point2D, not Point2D.Double<newline46mondego><newline46mondego>public class Test {<newline46mondego><newline46mondego>    public static void main(String[] args) {<newline46mondego>        Point2D.Double point = new Point2D.Double(1.5, 2.5);<newline46mondego>        double x = point.getX(); //1.5<newline46mondego>        double y = point.getY(); //2.5<newline46mondego>        Double xx = point.getX(); //1.5<newline46mondego>        Double yy = point.getY(); //2.5<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"91splitHere46","9876102splitHere46","public class A{<newline46mondego>}<newline46mondego><newline46mondego>private class B{<newline46mondego>   // no error<newline46mondego>}<newline46mondego>"
"92splitHere46","9876102splitHere46","B"
"93splitHere46","9876102splitHere46","private"
"94splitHere46","9876108splitHere46","List<List<Integer>> listOfArrays = new ArrayList<List<Integer>>();<newline46mondego>while (size <= 100) {<newline46mondego>  List<Integer> listOfNumbers = new ArrayList<Integer>(size);<newline46mondego>  /* insert loop here to add numbers to listOfNumber */<newline46mondego><newline46mondego>  size += 5;<newline46mondego>  name_count += 1;<newline46mondego>}<newline46mondego>"
"95splitHere46","9876108splitHere46","listOfArrays"
"96splitHere46","9876110splitHere46","join()"
"97splitHere46","9876110splitHere46","myJob.join()"
"98splitHere46","9876110splitHere46","System.out.println( Thread.currentThread() )"
"99splitHere46","9876110splitHere46","join()"
"100splitHere46","9876110splitHere46","interrupt()"
"101splitHere46","9876110splitHere46","runMyJob()"
"102splitHere46","9876110splitHere46","MyController"
"103splitHere46","9876110splitHere46","123"
"104splitHere46","9876110splitHere46","runMyJob()"
"105splitHere46","9876165splitHere46","Class.getResourceAsStream"
"106splitHere46","9876165splitHere46","ClassLoader.getResourceAsStream"
"107splitHere46","9876230splitHere46","getMotherTree()"
"108splitHere46","9876230splitHere46","public String getMotherTree(int id) {<newline46mondego>  String output = <doubleQuotes46><doubleQuotes46>;<newline46mondego>  if (existDog(id)) {<newline46mondego>    Dog mother = GetMother(id);<newline46mondego>    output += mother.toString();<newline46mondego>    int morId = mother.getId();<newline46mondego>    return output + <doubleQuotes46>, <doubleQuotes46> + getMotherTree(morId); //recursion<newline46mondego>  }<newline46mondego><newline46mondego>  //return an empty string if the dog doesn't exist<newline46mondego>  //this basically ends the recursion<newline46mondego>  return output;<newline46mondego>}<newline46mondego>"
"109splitHere46","9876350splitHere46","public synchronized void registerPlayer(Player p)<newline46mondego>{<newline46mondego>    p.setRegistrationId(registrationID++);<newline46mondego>    players.add(p);<newline46mondego>}<newline46mondego>"
"110splitHere46","9876469splitHere46","++i"
"111splitHere46","9876469splitHere46","i"
"112splitHere46","9876469splitHere46","i"
"113splitHere46","9876469splitHere46","i++"
"114splitHere46","9876469splitHere46","i"
"115splitHere46","9876469splitHere46","i"
"116splitHere46","9876469splitHere46","++i + i++"
"117splitHere46","9876469splitHere46","i == 2"
"118splitHere46","9876469splitHere46","++i"
"119splitHere46","9876469splitHere46","i"
"120splitHere46","9876469splitHere46","3"
"121splitHere46","9876469splitHere46","3"
"122splitHere46","9876469splitHere46","i++"
"123splitHere46","9876469splitHere46","i"
"124splitHere46","9876469splitHere46","4"
"125splitHere46","9876469splitHere46","3"
"126splitHere46","9876469splitHere46","i = 3 + 3"
"127splitHere46","9876469splitHere46","i"
"128splitHere46","9876469splitHere46","6"
"129splitHere46","9876530splitHere46","String str = // Your string from the REST service<newline46mondego>int start = str.indexOf(<doubleQuotes46>\<doubleQuotes46>><doubleQuotes46>);<newline46mondego>int end = str.indexOf(<doubleQuotes46></string><doubleQuotes46>, start);<newline46mondego>String returnedValue = str.substring(start + <doubleQuotes46>\<doubleQuotes46>><doubleQuotes46>.length(), end);<newline46mondego>"
"130splitHere46","9876599splitHere46","org.apache.hadoop.mapred.lib.MultipleOutputs"
"131splitHere46","9876599splitHere46","location: class org.apache.hadoop.mapred.lib.MultipleOutputs<newline46mondego>"
"132splitHere46","9876599splitHere46","org.apache.hadoop.mapreduce.lib.output.TextOutputFormat"
"133splitHere46","9876599splitHere46","symbol  : method addNamedOutput(org.apache.hadoop.conf.Configuration,java.lang.String,java.lang.Class<org.apa che.hadoop.mapreduce.lib.output.TextOutputFormat>,java.lang.Class<org.apache.hadoop.io.LongWritable>,java.lang.Class<org.apache.hadoop.io.Text>)<newline46mondego>"
"134splitHere46","9876599splitHere46","public static class Driver extends Configured implements Tool {<newline46mondego>  public static void main(String[] args) throws Exception {<newline46mondego>    System.exit(ToolRunner.run(new Driver(), args));<newline46mondego>  }<newline46mondego><newline46mondego>  public int run(String args[]) {<newline46mondego>    if (args.length != 2) {<newline46mondego>      System.err.println(<doubleQuotes46>Usage: indycascade <in> <out><doubleQuotes46>);<newline46mondego>      System.exit(2);<newline46mondego>    }<newline46mondego><newline46mondego>    Job job = new Job(getConf());<newline46mondego>    Configuration conf = job.getConfiguration();<newline46mondego><newline46mondego>    // insert other job set up here<newline46mondego><newline46mondego>    return job.waitForCompletion(true) ? 0 : 1;<newline46mondego>  }<newline46mondego>}<newline46mondego>"
"135splitHere46","9876599splitHere46","conf"
"136splitHere46","9876599splitHere46","Job"
"137splitHere46","9876599splitHere46","MultipleOutputs.addNamedoutput(conf, ...)"
"138splitHere46","9876599splitHere46","MultipleOutputs.addNamedoutput(job.getConfiguration(), ...)"
"139splitHere46","9876642splitHere46","x"
"140splitHere46","9876642splitHere46","42"
"141splitHere46","9876642splitHere46","getFortyTwo()"
"142splitHere46","9876642splitHere46","x"
"143splitHere46","9876642splitHere46","x"
"144splitHere46","9876642splitHere46","y"
"145splitHere46","9876642splitHere46","y"
"146splitHere46","9876642splitHere46","y = 0"
"147splitHere46","9876642splitHere46","y = 0"
"148splitHere46","9876785splitHere46","toLocaleString"
"149splitHere46","9876785splitHere46","SimpleDateFormat"
"150splitHere46","9876837splitHere46","public static byte[] encrypt(byte[] data) {<newline46mondego>    try {<newline46mondego>        KeyPair keyPair = initalizeKeyPair();<newline46mondego><newline46mondego>        final javax.crypto.Cipher rsa = javax.crypto.Cipher.getInstance(<doubleQuotes46>RSA<doubleQuotes46>);<newline46mondego>        rsa.init(javax.crypto.Cipher.ENCRYPT_MODE, keyPair.getPublic());<newline46mondego><newline46mondego>        SecureRandom random = new SecureRandom();<newline46mondego><newline46mondego>        final byte[] secretKey = new byte[16];<newline46mondego>        random.nextBytes(secretKey);<newline46mondego><newline46mondego>        final javax.crypto.Cipher aes = javax.crypto.Cipher.getInstance(<doubleQuotes46>AES<doubleQuotes46>);<newline46mondego>        SecretKeySpec k = new SecretKeySpec(secretKey, <doubleQuotes46>AES<doubleQuotes46>);<newline46mondego>        aes.init(javax.crypto.Cipher.ENCRYPT_MODE, k);<newline46mondego><newline46mondego>        final byte[] ciphedKey = rsa.doFinal(secretKey);<newline46mondego>        final byte[] ciphedData = aes.doFinal(data);<newline46mondego><newline46mondego>        byte[] result = new byte[256 + ciphedData.length];<newline46mondego><newline46mondego>        System.arraycopy(ciphedKey, 0, result, 0, 256);<newline46mondego>        System.arraycopy(ciphedData, 0, result, 256, ciphedData.length);<newline46mondego><newline46mondego>        return result;<newline46mondego>    } catch (... e) {<newline46mondego>        throw new SomeException(e);<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"151splitHere46","9877064splitHere46","Locale#toString()"
"152splitHere46","9877064splitHere46","Locale"
"153splitHere46","9877078splitHere46","Service"
"154splitHere46","9877078splitHere46","Service"
"155splitHere46","9877078splitHere46","AlarmManager"
"156splitHere46","9877078splitHere46","BroadcastReceiver"
"157splitHere46","9877162splitHere46","mysql"
"158splitHere46","9877162splitHere46","onCreate"
"159splitHere46","9877162splitHere46","localContext"
"160splitHere46","9877162splitHere46","NullPointerException"
"161splitHere46","9877162splitHere46","getData()"
"162splitHere46","9877162splitHere46","Context"
"163splitHere46","9877162splitHere46","getData()"
"164splitHere46","9877162splitHere46","getData()"
"165splitHere46","9877196splitHere46","String subcategory = getIntent().getStringExtra(<doubleQuotes46>SUBCATEGORY<doubleQuotes46>); <newline46mondego>DxSimpleCursorAdapter adapter = DxSimpleCursorAdapter(context, layout, c, from, to, subcategory);<newline46mondego>listView.setAdapter(adapter); <newline46mondego>"
"166splitHere46","9877302splitHere46","public static void main(String[] args) throws InterruptedException {<newline46mondego>    String[] ganzeZeile = new String[27];<newline46mondego>    List<String> filter = new ArrayList<String>();<newline46mondego><newline46mondego>    ganzeZeile[26] = <doubleQuotes46>Ich gebe der Dozentin/dem Dozenten die Gesamtnote.<doubleQuotes46>;<newline46mondego>    for (int i = 0; i < 11; i++) {<newline46mondego>        filter.add(<doubleQuotes46><doubleQuotes46>);<newline46mondego>    }<newline46mondego>    filter.add(<doubleQuotes46>dem Dozenten die Gesamtnote<doubleQuotes46>);<newline46mondego><newline46mondego>    System.out.println(ganzeZeile[26]);<newline46mondego>    System.out.println(filter.get(11));<newline46mondego>    System.out.println(ganzeZeile[26].contains(filter.get(11))); //prints true<newline46mondego>}<newline46mondego>"
"167splitHere46","9877540splitHere46","Vector2D[] getCharacterCoords(char c) {<newline46mondego>  //calculate the coords with the knowledge that you have 78 * 24 pixels and a character is 6 * 6<newline46mondego>  //thus resulting in a 13 * 4 character grid.<newline46mondego><newline46mondego>  //Note: since ASCII 'A' is code 65 and 'a' is 97 you'd need to subtract those values accordingly<newline46mondego>}<newline46mondego>"
"168splitHere46","9877573splitHere46","BigDecimal val = new BigDecimal(1.2);<newline46mondego>    System.out.println(val.setScale(0, RoundingMode.HALF_UP));<newline46mondego>    val = new BigDecimal(1.5);<newline46mondego>    System.out.println(val.setScale(0, RoundingMode.HALF_UP));<newline46mondego>    val = new BigDecimal(1.6);<newline46mondego>    System.out.println(val.setScale(0, RoundingMode.HALF_UP));<newline46mondego>"
"169splitHere46","9877842splitHere46","Predicate"
"170splitHere46","9877842splitHere46","Iterables.filter"
"171splitHere46","9877842splitHere46","Iterable<String> filtered = Iterables.filter(original, predicate);<newline46mondego>"
"172splitHere46","9877842splitHere46","List<String> filteredCopy = Lists.newArrayList(filtered);<newline46mondego>"
"173splitHere46","9877873splitHere46","class Geometry<newline46mondego>{<newline46mondego>    Circle r = new Circle(2.22);<newline46mondego>    Rectangle s = new Rectangle(2.33, 3.44);<newline46mondego>    r.show();<newline46mondego>}<newline46mondego>"
"174splitHere46","9877873splitHere46","public class Geometry {<newline46mondego>    public static void showCircle() {<newline46mondego>        Circle r = new Circle(2.22);<newline46mondego>        Rectangle s = new Rectangle(2.33, 3.44);<newline46mondego>        r.show();<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"175splitHere46","9877873splitHere46","class Test {<newline46mondego>    System.out.println(<doubleQuotes46>Oops<doubleQuotes46>);<newline46mondego>}<newline46mondego>"
"176splitHere46","9878027splitHere46","HtmlEmail"
"177splitHere46","9878027splitHere46","setHtmlMsg"
"178splitHere46","9878027splitHere46","setTextMsg"
"179splitHere46","9878027splitHere46","org.apache.commons.Email.setContent"
"180splitHere46","9878172splitHere46","<%@taglib uri=<doubleQuotes46>http://java.sun.com/jsp/jstl/core<doubleQuotes46> prefix=<doubleQuotes46>c<doubleQuotes46>%>  <newline46mondego><c:forEach var=<doubleQuotes46>i<doubleQuotes46> begin=<doubleQuotes46>97<doubleQuotes46> end=<doubleQuotes46>122<doubleQuotes46>><newline46mondego>    <%=Character.toChars((Integer)pageContext.getAttribute(<doubleQuotes46>i<doubleQuotes46>))%><newline46mondego></c:forEach><newline46mondego>"
"181splitHere46","9878212splitHere46","File file = new File(path);<newline46mondego>if (!file.exists()) {<newline46mondego>  file.createNewFile();<newline46mondego>}<newline46mondego>"
"182splitHere46","9878291splitHere46","&&"
"183splitHere46","9878291splitHere46","public static final String<newline46mondego>    ROTCW = <doubleQuotes46>xrandr -o left<doubleQuotes46>,<newline46mondego>    CALCW1[] = {<doubleQuotes46>xinput<doubleQuotes46>, <doubleQuotes46>--set-prop<doubleQuotes46>, <doubleQuotes46>11<doubleQuotes46>, <doubleQuotes46>\<doubleQuotes46>Evdev Axis Inversion\<doubleQuotes46><doubleQuotes46>, <doubleQuotes46>0<doubleQuotes46>, <doubleQuotes46>1<doubleQuotes46>},<newline46mondego>    CALCW2[] = {<doubleQuotes46>xinput<doubleQuotes46>, <doubleQuotes46>--set-prop<doubleQuotes46>, <doubleQuotes46>11<doubleQuotes46>, <doubleQuotes46>\<doubleQuotes46>Evdev Axes Swap\<doubleQuotes46><doubleQuotes46>, <doubleQuotes46>1<doubleQuotes46>};<newline46mondego><newline46mondego>public void actionPerformed(ActionEvent e)<newline46mondego>{       <newline46mondego>    try {<newline46mondego>        Runtime.getRuntime().exec(ROTCW).waitFor();<newline46mondego>        Process p = Runtime.getRuntime().exec(CALCW1);<newline46mondego>        p.waitFor();<newline46mondego>        if( p.exitValue() != 0 ) Runtime.getRuntime().exec(CALCW2);<newline46mondego>    }<newline46mondego>    catch (IOException ioe){ ioe.printStackTrace();}<newline46mondego>}});<newline46mondego>"
"184splitHere46","9878469splitHere46","@Override<newline46mondego>public void run() {<newline46mondego>    while(true){<newline46mondego>        draw.this.postInvalidate();<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"185splitHere46","9878469splitHere46","static final int MSG_REDRAW = 1;<newline46mondego><newline46mondego>Handler handler = new Handler() {<newline46mondego>    public void handleMessage(Message msg) {<newline46mondego>        switch (msg.what) {<newline46mondego>        case MSG_REDRAW:<newline46mondego>            // This method invoked on UI thread - ok.<newline46mondego>            draw.this.invalidate();<newline46mondego>            sendEmptyMessage(MSG_REDRAW);<newline46mondego>            break;<newline46mondego><newline46mondego>        default:<newline46mondego>            super.handleMessage(msg);<newline46mondego>            break;<newline46mondego>        }<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"186splitHere46","9878648splitHere46","A == B"
"187splitHere46","9878648splitHere46","B == A"
"188splitHere46","9878648splitHere46","B"
"189splitHere46","9878648splitHere46","A"
"190splitHere46","9878648splitHere46","A.equals(B)"
"191splitHere46","9878648splitHere46","A == B"
"192splitHere46","9878826splitHere46","enum"
"193splitHere46","9878826splitHere46","List<EnumWrapper<MyEnum>>"
"194splitHere46","9878826splitHere46","BeanModelFactory"
"195splitHere46","9878826splitHere46","BeanModelLookup.getFactory(Mode.class)"
"196splitHere46","9878826splitHere46","ModelMarker"
"197splitHere46","9878826splitHere46","ModelData"
