"1splitHere46","3612071splitHere46","JSONObject query = json.getJSONObject(<doubleQuotes46>query<doubleQuotes46>);<newline46mondego>JSONObject results = query.getJSONObject(<doubleQuotes46>results<doubleQuotes46>);<newline46mondego>JSONArray quotes = results.getJSONArray(<doubleQuotes46>quotes<doubleQuotes46>);<newline46mondego>"
"33splitHere46","3612549splitHere46","SomeMethod1(a, b, user.getName(), c);<newline46mondego>SomeMethod2(b, user.getName(), c);<newline46mondego>SomeMethod3(user.getName());<newline46mondego>"
"34splitHere46","3612679splitHere46","s1"
"35splitHere46","3612679splitHere46","s2"
"36splitHere46","3612679splitHere46","String s1 = new String( <doubleQuotes46>Hello<doubleQuotes46> );<newline46mondego>String s2 = new String( <doubleQuotes46>Hello<doubleQuotes46> );<newline46mondego>"
"37splitHere46","3612771splitHere46","weblogic-application.xml"
"38splitHere46","3612771splitHere46","META-INF"
"39splitHere46","3612771splitHere46","application.xml"
"40splitHere46","3612771splitHere46","earSourceDirectory"
"41splitHere46","3612771splitHere46","src/main/application"
"42splitHere46","3612792splitHere46","!A || B && C"
"43splitHere46","3612792splitHere46","&&"
"44splitHere46","3612792splitHere46","||"
"45splitHere46","3612792splitHere46","&&"
"46splitHere46","3612826splitHere46","enum Color {<newline46mondego>    green, red, blue;<newline46mondego>}<newline46mondego><newline46mondego>enum Experience {<newline46mondego>    green, novice, veteran;<newline46mondego>}<newline46mondego>"
"47splitHere46","3612826splitHere46","Color.green"
"48splitHere46","3612826splitHere46","Experience.green"
"49splitHere46","3612826splitHere46","<doubleQuotes46>green<doubleQuotes46>.equals(Color.green)"
"50splitHere46","3612826splitHere46","<doubleQuotes46>green<doubleQuotes46>.equals(Experience.green)"
"51splitHere46","3612826splitHere46","Color.green"
"52splitHere46","3612826splitHere46","Experience.green"
"53splitHere46","3613009splitHere46","<h:panelGroup rendered=<doubleQuotes46>#{bean.someBoolean}<doubleQuotes46>><newline46mondego>    <!-- multiple elements here --><newline46mondego></h:panelGroup><newline46mondego>"
"54splitHere46","3613194splitHere46","executeQuery"
"55splitHere46","3613194splitHere46",".executeUpdate(query)"
"56splitHere46","3613194splitHere46","PreparedStatement updateEXP = conn.prepareStatement(<doubleQuotes46>update`user` set `exp` = '666'  where `username` = '<doubleQuotes46>+loggedusername+<doubleQuotes46>'<doubleQuotes46>);<newline46mondego>   ResultSet updateEXP_done = updateEXP.executeQuery();<newline46mondego>"
"57splitHere46","3613194splitHere46","PreparedStatement updateEXP = conn.prepareStatement(<doubleQuotes46>update`user` set `exp` = '666'  where `username` = '<doubleQuotes46>+loggedusername+<doubleQuotes46>'<doubleQuotes46>);<newline46mondego>   ResultSet updateEXP_done = updateEXP.executeUpdate();<newline46mondego>"
"58splitHere46","3613225splitHere46","Module"
"59splitHere46","3613254splitHere46","ServletContextListener"
"60splitHere46","3613254splitHere46","DatabaseManager"
"61splitHere46","3613254splitHere46","contextInitialized()"
"62splitHere46","3613254splitHere46","Connection"
"63splitHere46","3613255splitHere46","HibernateProvider#createEntityManagerFactory"
"64splitHere46","3613255splitHere46","public EntityManagerFactory createEntityManagerFactory(String persistenceUnitName, Map properties) {<newline46mondego>    Ejb3Configuration cfg = new Ejb3Configuration();<newline46mondego>    Ejb3Configuration configured = cfg.configure( persistenceUnitName, properties );<newline46mondego>    return configured != null ? configured.buildEntityManagerFactory() : null;<newline46mondego>}<newline46mondego>"
"65splitHere46","3613255splitHere46","@Test<newline46mondego>public void testCreateTwoDifferentEMF() {<newline46mondego>    Map properties1 = new HashMap();<newline46mondego>    EntityManagerFactory emf1 = Persistence.createEntityManagerFactory(<doubleQuotes46>MyPu<doubleQuotes46>, properties1);<newline46mondego>    Map properties2 = new HashMap();<newline46mondego>    properties2.put(<doubleQuotes46>javax.persistence.jdbc.user<doubleQuotes46>, <doubleQuotes46>foo<doubleQuotes46>);<newline46mondego>    EntityManagerFactory emf2 = Persistence.createEntityManagerFactory(<doubleQuotes46>MyPu<doubleQuotes46>, properties2);<newline46mondego>    assertFalse(emf1 == emf2); //passes<newline46mondego>}<newline46mondego>"
"66splitHere46","3613437splitHere46","finally"
"67splitHere46","3613437splitHere46","finally"
"68splitHere46","3613707splitHere46","enum"
"69splitHere46","3613765splitHere46","\u0048"
"70splitHere46","3613765splitHere46","\110"
"71splitHere46","3613808splitHere46","/WEB-INF/classes"
"72splitHere46","3613808splitHere46","ClassLoader#getResourceAsStream()"
"73splitHere46","3613808splitHere46","ClassLoader"
"74splitHere46","3613808splitHere46","Thread#getContextClassLoader()"
"75splitHere46","3613808splitHere46","Thread"
"76splitHere46","3613808splitHere46","ClassLoader classLoader = Thread.currentThread().getContextClassLoader();<newline46mondego>Properties properties = new Properties();<newline46mondego>properties.load(classLoader.getResourceAsStream(<doubleQuotes46>filename.properties<doubleQuotes46>));<newline46mondego>"
"77splitHere46","3613921splitHere46","Runnable"
"78splitHere46","3613921splitHere46","Executor"
"79splitHere46","3613921splitHere46","Executor"
"80splitHere46","3613921splitHere46","Callable"
"81splitHere46","3613921splitHere46","Future"
"82splitHere46","3614130splitHere46","<prop key=<doubleQuotes46>hibernate.hbm2ddl.auto<doubleQuotes46>>update</prop><newline46mondego>"
"83splitHere46","3614371splitHere46","if (str.indexOf('-')!=-1) {<newline46mondego>      System.out.println(str);<newline46mondego>   }<newline46mondego>"
"84splitHere46","3614395splitHere46","Method writeMethod = dpv.getWriteMethod();    <newline46mondego>JButton button = ...; // the target to write to<newline46mondego><newline46mondego>try<newline46mondego>{<newline46mondego>   writeMethod.invoke(button, 42);<newline46mondego>}<newline46mondego>catch (IllegalAccessException ex)<newline46mondego>{<newline46mondego>  // handle these as appropriate<newline46mondego>}<newline46mondego>catch (IllegalArgumentException ex)<newline46mondego>{<newline46mondego>}<newline46mondego>catch (InvocationTargetException ex)<newline46mondego>{<newline46mondego>}<newline46mondego>"
"85splitHere46","3614395splitHere46","writeMethod.invoke(target, index, propertyValue);<newline46mondego>"
"86splitHere46","3614395splitHere46","setIndexProperty(int index, PropertyType value);<newline46mondego>"
"87splitHere46","3614405splitHere46","PKCS12"
"88splitHere46","3614405splitHere46","KeyStore"
"89splitHere46","3614405splitHere46","ks.setKeyEntry(<doubleQuotes46>SomeAlias<doubleQuotes46>, userCert.getPublicKey().getEncoded(), chain)"
"90splitHere46","3614405splitHere46","KeyStore#setKeyEntry"
"91splitHere46","3614405splitHere46",".cer"
"92splitHere46","3614405splitHere46",".cer"
"93splitHere46","3614405splitHere46",".p12"
"94splitHere46","3614405splitHere46","KeychainStore"
"95splitHere46","3614405splitHere46","KeyStore ks = KeyStore.getInstance(<doubleQuotes46>KeychainStore<doubleQuotes46>, <doubleQuotes46>Apple<doubleQuotes46>);<newline46mondego>ks.load(null, <doubleQuotes46>-<doubleQuotes46>.toCharArray());<newline46mondego>"
"96splitHere46","3614405splitHere46","<doubleQuotes46>-<doubleQuotes46>.toCharArray()"
"97splitHere46","3614484splitHere46","// if user loads applet online<newline46mondego>  conn = DriverManager.getConnection(<doubleQuotes46>jdbc:mysql://localhost:4464/jsfdan_mystikdan<doubleQuotes46>, <doubleQuotes46>jsfdan_muser<doubleQuotes46>, <doubleQuotes46>test<doubleQuotes46>);<newline46mondego>"
"98splitHere46","3614484splitHere46","localhost"
"99splitHere46","3614499splitHere46","attribute"
"100splitHere46","3614499splitHere46","name"
"101splitHere46","3614652splitHere46","setParameterList()"
"102splitHere46","3614694splitHere46","List<String>"
"103splitHere46","3614694splitHere46","Collections.sort()"
"104splitHere46","3614694splitHere46","List<String> names = ... read names from db;<newline46mondego>Collator collator = Collator.getInstance(new Locale(<doubleQuotes46>pt<doubleQuotes46>));<newline46mondego>Collections.sort(names, collator);<newline46mondego>"
"105splitHere46","3614710splitHere46","RandomAccessFile"
"106splitHere46","3614710splitHere46","java.io.FileReader"
"107splitHere46","3614787splitHere46","show()"
"108splitHere46","3614787splitHere46","doInBackground()"
"109splitHere46","3614787splitHere46","AsyncTask"
"110splitHere46","3614787splitHere46","show()"
"111splitHere46","3614787splitHere46","onProgressUpdate()"
"112splitHere46","3614787splitHere46","onPostExecute()"
"113splitHere46","3614787splitHere46","class ExampleTask extends AsyncTask<String, String, String> {<newline46mondego><newline46mondego>    // Your onPreExecute method.<newline46mondego><newline46mondego>    @Override<newline46mondego>    protected String doInBackground(String... params) {<newline46mondego>        // Your code.<newline46mondego>        if (condition_is_true) {<newline46mondego>            this.publishProgress(<doubleQuotes46>Show the dialog<doubleQuotes46>);<newline46mondego>        }<newline46mondego>        return <doubleQuotes46>Result<doubleQuotes46>;<newline46mondego>    }<newline46mondego><newline46mondego>    @Override<newline46mondego>    protected void onProgressUpdate(String... values) {<newline46mondego>        super.onProgressUpdate(values);<newline46mondego>        connectionProgressDialog.dismiss();<newline46mondego>        downloadSpinnerProgressDialog.show();<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"114splitHere46","3615107splitHere46","attribute"
"115splitHere46","3615107splitHere46","WebService"
"116splitHere46","3615107splitHere46","@WebService(targetNamespace=<doubleQuotes46>http://ws.test.matt.com/<doubleQuotes46>)<newline46mondego>"
"117splitHere46","3615107splitHere46","targetNamespace"
"118splitHere46","3615107splitHere46","package"
"119splitHere46","3615371splitHere46","* openjdk<newline46mondego>* apache tomcat<newline46mondego>* spring framework<newline46mondego>* apache commons (very useful)<newline46mondego>* Google collections<newline46mondego>"
"120splitHere46","3615757splitHere46","getClass().getName() + '@' + Integer.toHexString(hashCode())<newline46mondego>"
"121splitHere46","3615757splitHere46","String[] mystr ={<doubleQuotes46>a<doubleQuotes46>,<doubleQuotes46>b<doubleQuotes46>,<doubleQuotes46>c<doubleQuotes46>};<newline46mondego>System.out.println(<doubleQuotes46>mystr.toString: <doubleQuotes46> + mystr.toString());<newline46mondego><newline46mondego>output:- mystr.toString: [Ljava.lang.String;@13aaa14a<newline46mondego>"
"122splitHere46","3616143splitHere46","System.out.println(<doubleQuotes46>\141\142\163\164\162\141\143\164<doubleQuotes46>);  // first String<newline46mondego>"
"123splitHere46","3616143splitHere46","abstract"
"124splitHere46","3616143splitHere46","for(String s:jjstrLiteralImages) if (s!=null) System.out.println(s);<newline46mondego>"
"125splitHere46","3616143splitHere46","/141 = 97 = 'a'<newline46mondego>"
"126splitHere46","3616219splitHere46","@Id<newline46mondego>@GeneratedValue<newline46mondego>private int id;<newline46mondego>"
"127splitHere46","3616219splitHere46","@Id<newline46mondego>private int id;<newline46mondego>"
"128splitHere46","3616441splitHere46","persistence.xml"
"129splitHere46","3616930splitHere46","Point"
"130splitHere46","3617056splitHere46","jndi.properties"
"131splitHere46","3617056splitHere46","java.naming.factory.initial=com.sun.enterprise.naming.SerialInitContextFactory<newline46mondego>java.naming.factory.url.pkgs=com.sun.enterprise.naming<newline46mondego>java.naming.factory.state=com.sun.corba.ee.impl.presentation.rmi.JNDIStateFactoryImpl<newline46mondego>org.omg.CORBA.ORBInitialHost=<hostname><newline46mondego>org.omg.CORBA.ORBInitialPort=3700<newline46mondego>"
"132splitHere46","3617056splitHere46","mappedName"
"133splitHere46","3617056splitHere46","@EJB"
"134splitHere46","3617056splitHere46","jndi-name"
"135splitHere46","3617056splitHere46","@EJB(mappedName=<doubleQuotes46>com.acme.app.StatelessRemote<doubleQuotes46>)<newline46mondego>private StatelessRemote remote;<newline46mondego>"
"136splitHere46","3617217splitHere46","Locale locale = new Locale(<doubleQuotes46>en<doubleQuotes46>,<doubleQuotes46>IN<doubleQuotes46>);<newline46mondego>    System.out.println(<doubleQuotes46>Country=<doubleQuotes46> + locale.getISO3Country());<newline46mondego>"
"137splitHere46","3617217splitHere46","Country=IND<newline46mondego>"
"138splitHere46","3617267splitHere46","MouseListener"
"139splitHere46","3617267splitHere46","ActionListener"
"140splitHere46","3617267splitHere46","ActionListener"
"141splitHere46","3617267splitHere46","javax.swing.Action"
"142splitHere46","3617267splitHere46","ActionListener"
"143splitHere46","3617267splitHere46","Action"
"144splitHere46","3617267splitHere46","JButton"
"145splitHere46","3617267splitHere46","JMenuItem"
"146splitHere46","3617594splitHere46","StringHttpMessageConverter"
"147splitHere46","3617594splitHere46","AnnotationMethodHandlerAdapter"
"148splitHere46","3617594splitHere46","<bean class = <doubleQuotes46>org.springframework.web.servlet.mvc.annotation.AnnotationMethodHandlerAdapter<doubleQuotes46>><newline46mondego>    <property name=<doubleQuotes46>messageConverters<doubleQuotes46>><newline46mondego>        <array><newline46mondego>            <bean class = <doubleQuotes46>org.springframework.http.converter.StringHttpMessageConverter<doubleQuotes46>><newline46mondego>                <property name=<doubleQuotes46>supportedMediaTypes<doubleQuotes46> value = <doubleQuotes46>text/plain;charset=UTF-8<doubleQuotes46> /><newline46mondego>            </bean><newline46mondego>        </array><newline46mondego>    </property><newline46mondego></bean><newline46mondego>"
"149splitHere46","3617594splitHere46","HttpMessageConverter"
"150splitHere46","3617594splitHere46","<mvc:annotation-driven />"
"151splitHere46","3617594splitHere46","AnnotationMethodHandlerAdapter"
"152splitHere46","3617594splitHere46","BeanPostProcessor"
"153splitHere46","3617594splitHere46","public class EncodingPostProcessor implements BeanPostProcessor {<newline46mondego>    public Object postProcessBeforeInitialization(Object bean, String name)<newline46mondego>            throws BeansException {<newline46mondego>        if (bean instanceof AnnotationMethodHandlerAdapter) {<newline46mondego>            HttpMessageConverter<?>[] convs = ((AnnotationMethodHandlerAdapter) bean).getMessageConverters();<newline46mondego>            for (HttpMessageConverter<?> conv: convs) {<newline46mondego>                if (conv instanceof StringHttpMessageConverter) {<newline46mondego>                    ((StringHttpMessageConverter) conv).setSupportedMediaTypes(<newline46mondego>                        Arrays.asList(new MediaType(<doubleQuotes46>text<doubleQuotes46>, <doubleQuotes46>html<doubleQuotes46>, <newline46mondego>                            Charset.forName(<doubleQuotes46>UTF-8<doubleQuotes46>))));<newline46mondego>                }<newline46mondego>            }<newline46mondego>        }<newline46mondego>        return bean;<newline46mondego>    }<newline46mondego><newline46mondego>    public Object postProcessAfterInitialization(Object bean, String name)<newline46mondego>            throws BeansException {<newline46mondego>        return bean;<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"154splitHere46","3617594splitHere46","<bean class = <doubleQuotes46>EncodingPostProcessor <doubleQuotes46> /><newline46mondego>"
"155splitHere46","3617718splitHere46","for /R %i in (*.jar) do call_jar_signer.cmd %i"
"156splitHere46","3617767splitHere46","class ClassAssoc {<newline46mondego>    private final IdentityHashMap<Class<?>,MyMetaData> cache = new ...;<newline46mondego>}<newline46mondego>"
"157splitHere46","3617767splitHere46","cache"
"158splitHere46","3617767splitHere46","MapMaker"
"159splitHere46","3617798splitHere46","import java.util.Date;<newline46mondego>import java.util.HashSet;<newline46mondego>import java.util.Set;<newline46mondego><newline46mondego>public class Unit {<newline46mondego><newline46mondego>    private Integer id;<newline46mondego><newline46mondego>    private Integer unitId;<newline46mondego>    private String name;<newline46mondego>    private Date registrationDate;<newline46mondego><newline46mondego>    private String service;<newline46mondego><newline46mondego>    private String nation;<newline46mondego><newline46mondego>    public Unit() {<newline46mondego>    }<newline46mondego><newline46mondego>    public Unit(Integer id) {<newline46mondego>        this.id = id;<newline46mondego>    }<newline46mondego><newline46mondego>    public Unit(Integer unitId, String name, Date registrationDate, String service, String nation) {<newline46mondego>        this.unitId = unitId;<newline46mondego>        this.name = name;<newline46mondego>        this.registrationDate = registrationDate;<newline46mondego>        this.service = service;<newline46mondego>        this.nation = nation;<newline46mondego>    }<newline46mondego><newline46mondego>    public Integer getId() {<newline46mondego>        return id;<newline46mondego>    }<newline46mondego><newline46mondego>    public void setId(Integer id) {<newline46mondego>        this.id = id;<newline46mondego>    }<newline46mondego><newline46mondego>    public Integer getUnitId() {<newline46mondego>        return unitId;<newline46mondego>    }<newline46mondego><newline46mondego>    public void setUnitId(Integer unitId) {<newline46mondego>        this.unitId = unitId;<newline46mondego>    }<newline46mondego><newline46mondego>    public String getName() {<newline46mondego>        return name;<newline46mondego>    }<newline46mondego><newline46mondego>    public void setName(String name) {<newline46mondego>        this.name = name;<newline46mondego>    }<newline46mondego><newline46mondego>    public Date getRegistrationDate() {<newline46mondego>        return registrationDate;<newline46mondego>    }<newline46mondego><newline46mondego>    public void setRegistrationDate(Date registrationDate) {<newline46mondego>        this.registrationDate = registrationDate;<newline46mondego>    }<newline46mondego><newline46mondego>    public String getService() {<newline46mondego>        return service;<newline46mondego>    }<newline46mondego><newline46mondego>    public void setService(String service) {<newline46mondego>        this.service = service;<newline46mondego>    }<newline46mondego><newline46mondego>    public String getNation() {<newline46mondego>        return nation;<newline46mondego>    }<newline46mondego><newline46mondego>    public void setNation(String nation) {<newline46mondego>        this.nation = nation;<newline46mondego>    }<newline46mondego><newline46mondego><newline46mondego>    @Override<newline46mondego>    public int hashCode() {<newline46mondego>        int hash = 0;<newline46mondego>        hash += (id != null ? id.hashCode() : 0);<newline46mondego>        return hash;<newline46mondego>    }<newline46mondego><newline46mondego>    @Override<newline46mondego>    public boolean equals(Object object) {<newline46mondego>        // TODO: Warning - this method won't work in the case the id fields are not set<newline46mondego>        if (!(object instanceof Unit)) {<newline46mondego>            return false;<newline46mondego>        }<newline46mondego>        Unit other = (Unit) object;<newline46mondego>        if ((this.id == null && other.id != null) || (this.id != null && !this.id.equals(other.id))) {<newline46mondego>            return false;<newline46mondego>        }<newline46mondego>        return true;<newline46mondego>    }<newline46mondego><newline46mondego>    @Override<newline46mondego>    public String toString() {<newline46mondego>        return <doubleQuotes46>com.game.database.entity.Unit[id=<doubleQuotes46> + id + <doubleQuotes46>]<doubleQuotes46>;<newline46mondego>    }<newline46mondego><newline46mondego><newline46mondego>    public static void main(String... args) {<newline46mondego><newline46mondego>        Unit unit1 = new Unit(1, <doubleQuotes46>Test Unit1<doubleQuotes46>, new Date(), <doubleQuotes46>DisService<doubleQuotes46>, <doubleQuotes46>MyNation<doubleQuotes46>);<newline46mondego>        Unit unit2 = new Unit(2, <doubleQuotes46>Test Unit2<doubleQuotes46>, new Date(), <doubleQuotes46>DisService<doubleQuotes46>, <doubleQuotes46>TheirNation<doubleQuotes46>);<newline46mondego>        Unit unit3 = new Unit(3, <doubleQuotes46>Test Unit3<doubleQuotes46>, new Date(), <doubleQuotes46>DisService<doubleQuotes46>, <doubleQuotes46>TheirNation<doubleQuotes46>);<newline46mondego><newline46mondego>        Set unitSet = new HashSet();<newline46mondego>        unitSet.add(unit2);<newline46mondego>        unitSet.add(unit1);<newline46mondego>        unitSet.add(unit3);<newline46mondego><newline46mondego>        System.out.println(unitSet.size());<newline46mondego><newline46mondego>    }<newline46mondego>"
"160splitHere46","3617885splitHere46","gdata-client-core-1.0.jar"
"161splitHere46","3617972splitHere46","public <T> T[] toArray(List<T> list, T[] a) {<newline46mondego>  if (a.length < list.size()) {<newline46mondego>    a = (T[])java.lang.reflect.Array.newInstance(<newline46mondego>        a.getClass().getComponentType(), list.size()));<newline46mondego>  }<newline46mondego>  return list.toArray(a);<newline46mondego>}<newline46mondego>"
"162splitHere46","3617972splitHere46","Class"
"163splitHere46","3617972splitHere46","public <T> T[] toArray(List<T> list, Class<T> k) {<newline46mondego>     return list.toArray(<newline46mondego>          (T[])java.lang.reflect.Array.newInstance(k, list.size()));<newline46mondego>}<newline46mondego>"
"164splitHere46","3617972splitHere46","ArrayList"
"165splitHere46","3618235splitHere46","java"
"166splitHere46","3618235splitHere46","-Xms"
"167splitHere46","3618235splitHere46","-Xmx"
"168splitHere46","3618315splitHere46","<bean id=<doubleQuotes46>entityManagerFactory<doubleQuotes46><newline46mondego>    class=<doubleQuotes46>org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean<doubleQuotes46>><newline46mondego>    <property name=<doubleQuotes46>persistenceUnitName<doubleQuotes46> value=<doubleQuotes46>myunit<doubleQuotes46> /><newline46mondego>    <property name=<doubleQuotes46>dataSource<doubleQuotes46> ref=<doubleQuotes46>dataSource<doubleQuotes46> /><newline46mondego>    <property name=<doubleQuotes46>persistenceXmlLocation<doubleQuotes46><newline46mondego>              value=<doubleQuotes46>classpath:META-INF/persistence.xml<doubleQuotes46> /><newline46mondego>    <property name=<doubleQuotes46>jpaVendorAdapter<doubleQuotes46>><newline46mondego>        <bean class=<doubleQuotes46>org.springframework.orm.jpa.vendor.HibernateJpaVendorAdapter<doubleQuotes46>><newline46mondego>            <property name=<doubleQuotes46>showSql<doubleQuotes46> value=<doubleQuotes46>false<doubleQuotes46> /><newline46mondego>            <property name=<doubleQuotes46>generateDdl<doubleQuotes46> value=<doubleQuotes46>true<doubleQuotes46> /><newline46mondego>            <property name=<doubleQuotes46>database<doubleQuotes46> value=<doubleQuotes46>MYSQL<doubleQuotes46> /><newline46mondego>        </bean><newline46mondego>    </property><newline46mondego>    <property name=<doubleQuotes46>jpaProperties<doubleQuotes46>><newline46mondego>        <props><newline46mondego>            <prop <newline46mondego>                key=<doubleQuotes46>hibernate.ejb.naming_strategy<doubleQuotes46>><newline46mondego>                com.yourcompany.CustomNamingStrategy<newline46mondego>            </prop><newline46mondego>        </props><newline46mondego>    </property><newline46mondego></bean><newline46mondego>"
"169splitHere46","3618315splitHere46","public class CustomNamingStrategy extends ImprovedNamingStrategy {<newline46mondego><newline46mondego>    private static final long serialVersionUID = 1L;<newline46mondego>    private static final String PREFIX = <doubleQuotes46>PFX_<doubleQuotes46>;<newline46mondego><newline46mondego>    @Override<newline46mondego>    public String classToTableName(final String className) {<newline46mondego>        return this.addPrefix(super.classToTableName(className));<newline46mondego>    }<newline46mondego><newline46mondego>    @Override<newline46mondego>    public String collectionTableName(final String ownerEntity,<newline46mondego>            final String ownerEntityTable, final String associatedEntity,<newline46mondego>            final String associatedEntityTable, final String propertyName) {<newline46mondego>        return this.addPrefix(super.collectionTableName(ownerEntity,<newline46mondego>                ownerEntityTable, associatedEntity, associatedEntityTable,<newline46mondego>                propertyName));<newline46mondego>    }<newline46mondego><newline46mondego>    @Override<newline46mondego>    public String logicalCollectionTableName(final String tableName,<newline46mondego>            final String ownerEntityTable, final String associatedEntityTable,<newline46mondego>            final String propertyName) {<newline46mondego>        return this.addPrefix(super.logicalCollectionTableName(tableName,<newline46mondego>                ownerEntityTable, associatedEntityTable, propertyName));<newline46mondego>    }<newline46mondego><newline46mondego>    private String addPrefix(final String composedTableName) {<newline46mondego><newline46mondego>        return PREFIX<newline46mondego>                + composedTableName.toUpperCase().replace(<doubleQuotes46>_<doubleQuotes46>, <doubleQuotes46><doubleQuotes46>);<newline46mondego><newline46mondego>    }<newline46mondego><newline46mondego>}<newline46mondego>"
"170splitHere46","3618445splitHere46","update PERSON set ID=1, NAME='NAME 1', VERSION=2 where ID=1 and VERSION=1;<newline46mondego>"
"171splitHere46","3618445splitHere46","update PERSON set ID=1, NAME='NAME 1', VERSION=2 where ID=1 and VERSION=1;<newline46mondego>"
"172splitHere46","3618445splitHere46","update PERSON set ID=1, NAME='NAME 2', VERSION=2 where ID=1 and VERSION=1;<newline46mondego>"
"173splitHere46","3618445splitHere46","SELECT ... FOR UPDATE"
"174splitHere46","3618473splitHere46","ErrorDocument 404 /path/to/my404page.html<newline46mondego>ErrorDocument 500 /path/to/my500page.html<newline46mondego>"
"175splitHere46","3618714splitHere46","for (int i = 0; i < strings.size(); i++) {<newline46mondego>  map.put(strings.get(i), integers.get(i));<newline46mondego>}<newline46mondego>"
"176splitHere46","3618809splitHere46","Locale"
"177splitHere46","3618809splitHere46","Locale"
"178splitHere46","3618809splitHere46","Locale"
"179splitHere46","3618809splitHere46","SimpleDateFormat sdf = new SimpleDateFormat(<doubleQuotes46>M/d/yy h:mm:ss a<doubleQuotes46>, Locale.US)<newline46mondego>"
"180splitHere46","3618982splitHere46","CaseFormat"
"181splitHere46","3618982splitHere46","import static com.google.common.base.CaseFormat.*;<newline46mondego><newline46mondego>String result = LOWER_HYPHEN.to(LOWER_CAMEL, <doubleQuotes46>do-some-stuff<doubleQuotes46>);<newline46mondego>"
"182splitHere46","3619043splitHere46","Image image = Image.getInstance(<doubleQuotes46>penguin.jpg<doubleQuotes46>);<newline46mondego>"
"183splitHere46","3619043splitHere46","Image.getInstance"
"184splitHere46","3619043splitHere46","URL"
"185splitHere46","3619043splitHere46","Image image = Image.getInstance(this.getClass().getResource(<doubleQuotes46>/penguin.jpg<doubleQuotes46>));<newline46mondego>"
"186splitHere46","3619096splitHere46","\uFFFD"
"187splitHere46","3619096splitHere46","String"
"188splitHere46","3619096splitHere46","\uFFFD"
"189splitHere46","3619096splitHere46","InputStreamReader"
"190splitHere46","3619096splitHere46","CharsetDecoder"
