"1splitHere46","22676917splitHere46","File listnames = new File(this.getFilesDir() + File.separator + <doubleQuotes46>Lists<doubleQuotes46>);<newline46mondego>if( !listnames.exists() )<newline46mondego>    listnames.mkdirs();<newline46mondego>else if( !listnames.isDirectory() && listnames.canWrite() ){<newline46mondego>    listnames.delete();<newline46mondego>    listnames.mkdirs();<newline46mondego>}<newline46mondego>else{<newline46mondego>    //you can't access there with write permission.<newline46mondego>    //Try other way.<newline46mondego>}<newline46mondego>"
"13splitHere46","22677093splitHere46","Log.w(<doubleQuotes46>test<doubleQuotes46>,<doubleQuotes46>Cases cochés<doubleQuotes46>+lesCasesCoches.get(lesCasesCoches.size()-1));<newline46mondego>"
"14splitHere46","22677277splitHere46","Scrollbar scrollbar = new Scrollbar(Scrollbar.HORIZONTAL,20,0,0,100);<newline46mondego>"
"15splitHere46","22677277splitHere46","java.awt.Scrollbar scrollbar = new java.awt.Scrollbar(<newline46mondego>  java.awt.Scrollbar.HORIZONTAL, 20, 0, 0, 100<newline46mondego>);<newline46mondego>"
"16splitHere46","22677279splitHere46","<doubleQuotes46>select * from profiles where email=? and password=?<doubleQuotes46><newline46mondego>"
"17splitHere46","22677279splitHere46","PreparedStatement pstmt = con.prepareStatement(Query);<newline46mondego>"
"18splitHere46","22677323splitHere46","public static <E> void printReverse(final SinglyLinkedList<E> list) {<newline46mondego>    if(list.getLength() > 0) {<newline46mondego>        System.out.println(list.remove(list.getLength()-1));<newline46mondego>        printReverse(list);<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"19splitHere46","22677472splitHere46","repaint"
"20splitHere46","22677472splitHere46","public void addPipe() {<newline46mondego>    for (int i = 0; i < pipe.length; i++) {<newline46mondego>        if (pipe[i] == null) {<newline46mondego>            pipe[i] = new Pipe(this.width, (int) Math.random() * (this.height - 200));<newline46mondego>            System.out.println(<doubleQuotes46>Pipe Added.<doubleQuotes46>);<newline46mondego>            numPipes += 1;<newline46mondego>        }<newline46mondego>    }<newline46mondego>    repaint();<newline46mondego>}<newline46mondego>"
"21splitHere46","22677472splitHere46","repaint"
"22splitHere46","22677472splitHere46","numPipes += 1"
"23splitHere46","22677472splitHere46","repaint"
"24splitHere46","22677472splitHere46","addPipe"
"25splitHere46","22677529splitHere46","StringMatrix.moves<newline46mondego>"
"26splitHere46","22677672splitHere46","if (inputString != null) {<newline46mondego>  for (int i=0; i < imputString.length(); i++) {<newline46mondego>     theChar = inputString.charAt(i);<newline46mondego>     ...<newline46mondego>  }<newline46mondego>}<newline46mondego>"
"27splitHere46","22677750splitHere46","CheckingAccount test = new CheckingAccount(1);<newline46mondego>CheckingAccount other = new CheckingAccount(2);<newline46mondego><newline46mondego>SavingAccount anotherTest = new SavingAccount();<newline46mondego>SavingAccount anotherOther = new SavingAccount();<newline46mondego>anotherTest.accountNumber = 3;<newline46mondego>anotherOther.accountNumber = 3;<newline46mondego><newline46mondego>assert !test.equals(other); // this should evaluate to true, passing the assertion<newline46mondego>assert anotherTest.equals(anotherOther); // this should evaluate to true, passing the assertion<newline46mondego>"
"28splitHere46","22677750splitHere46","CheckingAccount newTest = new CheckingAccount(1);<newline46mondego>CheckingAccount secondTest = new CheckingAccount(1);<newline46mondego>SavingAccount newOther = new SavingAccount(3);<newline46mondego><newline46mondego>assert newTest.equals(newTest); // test first if<newline46mondego>assert !newTest.equals(null); // test second if<newline46mondego>assert !newTest.equals(newOther) // test third if<newline46mondego>assert newTest.equals(secondTest); // test fourth if<newline46mondego>"
"29splitHere46","22677895splitHere46","System.out.println(<doubleQuotes46>I just hit file@line: <doubleQuotes46>+Thread.currentThread().getStackTrace()[1].getFileName() +'@'+ Thread.currentThread().getStackTrace()[1].getLineNumber());<newline46mondego>"
"30splitHere46","22677895splitHere46","Thread.currentThread().getStackTrace()"
"31splitHere46","22677895splitHere46","StackTraceElement"
"32splitHere46","22677895splitHere46","Thread"
"33splitHere46","22677895splitHere46","public static void printCurrentFileAndLine() {<newline46mondego>    final StackTraceElement[] ste = Thread.currentThread().getStackTrace();<newline46mondego>    for (int i=0; i<ste.length; i++)<newline46mondego>        if (ste[i].getMethodName().equals(<doubleQuotes46>printCurrentFileAndLine<doubleQuotes46>)) {<newline46mondego>            System.out.println(<doubleQuotes46>I just hit file@line: <doubleQuotes46>+ste[i+1].getFileName() +'@'+ ste[i+1].getLineNumber() );<newline46mondego>            break;<newline46mondego>        }<newline46mondego>}<newline46mondego>"
"34splitHere46","22677895splitHere46","printCurrentFileAndLine();<newline46mondego>"
"35splitHere46","22678078splitHere46","String.split()"
"36splitHere46","22678078splitHere46","String line = in.nextLine();<newline46mondego>String[] parts = line.split(<doubleQuotes46>;<doubleQuotes46>);<newline46mondego>if(parts[1].equals(<doubleQuotes46>Conference<doubleQuotes46>)) {<newline46mondego>    conferenceTotal += Double.parseDouble(parts[2]);<newline46mondego>} else if(parts[1].equals(<doubleQuotes46>Dinner<doubleQuotes46>)) {<newline46mondego>    dinnerTotal += Double.parseDouble(parts[2]);<newline46mondego>} else if(parts[1].equals(<doubleQuotes46>Lodging<doubleQuotes46>)) {<newline46mondego>    lodgingTotal += Double.parseDouble(parts[2]);<newline46mondego>}<newline46mondego>"
"37splitHere46","22678272splitHere46","Guitar1 = new StringPractice(brand, color);<newline46mondego>"
"38splitHere46","22678272splitHere46","public StringPractice(String clor, String brnd) {<newline46mondego>"
"39splitHere46","22678406splitHere46","import javafx.application.Application;<newline46mondego>import javafx.event.EventHandler;<newline46mondego>import javafx.scene.Group;<newline46mondego>import javafx.scene.Scene;<newline46mondego>import javafx.scene.input.MouseEvent;<newline46mondego>import javafx.scene.paint.Color;<newline46mondego>import javafx.scene.shape.Circle;<newline46mondego>import javafx.stage.Stage;<newline46mondego><newline46mondego>/**<newline46mondego> * A sample that demonstrates how to add or remove a change listener on a node<newline46mondego> * (for example, a Rectangle node) for some property (for example,<newline46mondego> * Rectangle.hover). Once you add a listener, the text field  shows the hover<newline46mondego> * property change.<newline46mondego> *<newline46mondego> * @see javafx.beans.value.ChangeListener<newline46mondego> * @see javafx.beans.InvalidationListener<newline46mondego> * @see javafx.beans.value.ObservableValue<newline46mondego> */<newline46mondego>public class ChangeListenerSample extends Application {<newline46mondego><newline46mondego>    public static void main(String[] args) {<newline46mondego>    launch(args);<newline46mondego>}<newline46mondego><newline46mondego>    @Override<newline46mondego>    public void start(Stage primaryStage) throws Exception {<newline46mondego>        final Group root = new Group();<newline46mondego>        primaryStage.setResizable(false);<newline46mondego>        Scene scene = new Scene(root, 400,80);<newline46mondego>        primaryStage.setScene(scene);<newline46mondego><newline46mondego>        //rect.addEventHandler(MouseEvent.MOUSE_CLICKED, new EventHandler<MouseEvent>()<newline46mondego>        scene.addEventHandler(MouseEvent.MOUSE_CLICKED, new EventHandler<MouseEvent>() {<newline46mondego>        @Override public void handle(MouseEvent event) {<newline46mondego>              Circle circle = new Circle(event.getSceneX(), event.getSceneY(),30);<newline46mondego>              circle.setFill(Color.YELLOW);<newline46mondego>              root.getChildren().add(circle);<newline46mondego>        }<newline46mondego>        });<newline46mondego>        //root.getChildren().add(circle);<newline46mondego>        primaryStage.show();<newline46mondego><newline46mondego>    }<newline46mondego>}<newline46mondego>"
"40splitHere46","22678582splitHere46","java.util.Scanner scan = new java.util.Scanner(System.in);<newline46mondego>"
"41splitHere46","22678582splitHere46","Scanner"
"42splitHere46","22678582splitHere46","public class Foo {<newline46mondego><newline46mondego>    private static class Scanner {<newline46mondego><newline46mondego>        public Scanner(InputStream in) {<newline46mondego><newline46mondego>        }<newline46mondego>    }<newline46mondego><newline46mondego>    public static void main(String[] args) {<newline46mondego>        java.util.Scanner in = new java.util.Scanner(System.in);<newline46mondego>        System.out.println(in.getClass());<newline46mondego><newline46mondego>        Scanner in2 = new Scanner(System.in);<newline46mondego>        System.out.println(in2.getClass());<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"43splitHere46","22678582splitHere46","import"
"44splitHere46","22678582splitHere46","import foo.bar.*"
"45splitHere46","22678582splitHere46","import foo.bar.Scanner"
"46splitHere46","22678582splitHere46","Scanner"
"47splitHere46","22678637splitHere46","SwingWorker"
"48splitHere46","22678637splitHere46","SwingWorker<Server , Object> worker = new SwingWorker<Server , Object>() {<newline46mondego>    @Override<newline46mondego>    protected ServerdoInBackground() throws Exception {<newline46mondego>        Server server = new Server();<newline46mondego>        //...<newline46mondego>        // Use publish(...) to send information<newline46mondego>        // back the EDT via the process method...<newline46mondego>        return server;<newline46mondego>    }<newline46mondego><newline46mondego>    @Override<newline46mondego>    protected void done() {<newline46mondego>        try {<newline46mondego>            Server server = get();<newline46mondego>        } catch (InterruptedException | ExecutionException ex) {<newline46mondego>            ex.printStackTrace();<newline46mondego>        }<newline46mondego>    }<newline46mondego><newline46mondego>    @Override<newline46mondego>    protected void process(List<Object> chunks) {<newline46mondego>        // You can safly update the UI from here, maybe<newline46mondego>        // with some messages??<newline46mondego>    }<newline46mondego><newline46mondego>};<newline46mondego>worker.execute();<newline46mondego>"
"49splitHere46","22678637splitHere46","Server"
"50splitHere46","22678637splitHere46","doInBackground"
"51splitHere46","22678637splitHere46","server"
"52splitHere46","22678637splitHere46","done"
"53splitHere46","22678637splitHere46","doInBackground"
"54splitHere46","22678637splitHere46","publish"
"55splitHere46","22678637splitHere46","process"
"56splitHere46","22678637splitHere46","SwingWorker"
"57splitHere46","22678637splitHere46","Server"
"58splitHere46","22678637splitHere46","Server server = ...;<newline46mondego>ConnectionWorker worker = new ConnectionWorker(server);<newline46mondego>worker.execute();<newline46mondego><newline46mondego>//...<newline46mondego><newline46mondego>public class ConnectionWorker extends SwingWorker<Object, Object> {<newline46mondego><newline46mondego>    private Server server;<newline46mondego>    public ConnectionWorker(Server server) {<newline46mondego>        this.server;<newline46mondego>    }<newline46mondego><newline46mondego>    @Override<newline46mondego>    protected ServerdoInBackground() throws Exception {<newline46mondego>        server.doStuff(); //...<newline46mondego>        return ...;<newline46mondego>    }<newline46mondego><newline46mondego>}<newline46mondego>"
"59splitHere46","22678637splitHere46","SwingWorker"
"60splitHere46","22678764splitHere46","HttpPost"
"61splitHere46","22678764splitHere46","HttpGet"
"62splitHere46","22678764splitHere46","execute()"
"63splitHere46","22678764splitHere46","HttpPost post = new HttpPost(...);<newline46mondego><newline46mondego>ArrayList<String> authPrefs = new ArrayList<String>();<newline46mondego>authPrefs.add(AuthSchemes.NTLM);<newline46mondego>authPrefs.add(AuthSchemes.KERBEROS);<newline46mondego><newline46mondego>// ...<newline46mondego><newline46mondego>RequestConfig config = RequestConfig.custom()<newline46mondego>        .setProxyPreferredAuthSchemes(authPrefs).build();<newline46mondego>post.setConfig(config);<newline46mondego><newline46mondego>// ....<newline46mondego><newline46mondego>client.execute(post);<newline46mondego>"
"64splitHere46","22678989splitHere46","String regex=<doubleQuotes46>(?<key>\\S+)\\s+(?<operator>\\S+)\\s+(?<value>'[^']*'|\\S+)<doubleQuotes46>;<newline46mondego>    for(String s:filter.split(<doubleQuotes46>\\s*and\\s*(?=([^']*'[^']*')*[^']*$)<doubleQuotes46>))<newline46mondego>    {<newline46mondego>        Matcher m=Pattern.compile(regex).matcher(s);<newline46mondego>        while(m.find())<newline46mondego>        {<newline46mondego>            System.out.println(<doubleQuotes46>Key:<doubleQuotes46>+m.group(<doubleQuotes46>key<doubleQuotes46>));<newline46mondego>            System.out.println(<doubleQuotes46>operator:<doubleQuotes46>+m.group(<doubleQuotes46>operator<doubleQuotes46>));<newline46mondego>            System.out.println(<doubleQuotes46>Value:<doubleQuotes46>+m.group(<doubleQuotes46>value<doubleQuotes46>));<newline46mondego>        }<newline46mondego>    }<newline46mondego>"
"65splitHere46","22679062splitHere46","hashArray"
"66splitHere46","22679062splitHere46","hashArray[index] = new LinkList();<newline46mondego>        hashArray[index].insertLink(value);<newline46mondego>"
"67splitHere46","22679062splitHere46","/** text **/<newline46mondego>"
"68splitHere46","22679101splitHere46","/"
"69splitHere46","22679101splitHere46","/"
"70splitHere46","22679101splitHere46","File file = new File(<doubleQuotes46>textfile.txt<doubleQuotes46>);<newline46mondego>"
"71splitHere46","22679160splitHere46","CREATE TABLE name (column defs, UNIQUE (NATIVE_CONTACT_ID) ON CONFLICT REPLACE);<newline46mondego>"
"72splitHere46","22679180splitHere46","package recursivesearch;<newline46mondego><newline46mondego>import java.awt.Point;<newline46mondego>import java.io.File;<newline46mondego>import java.io.FileNotFoundException;<newline46mondego>import java.util.ArrayList;<newline46mondego>import java.util.HashMap;<newline46mondego>import java.util.Map;<newline46mondego>import java.util.Map.Entry;<newline46mondego>import java.util.Scanner;<newline46mondego><newline46mondego><newline46mondego>public class Recursion {<newline46mondego><newline46mondego>    public static ArrayList<Point> searched = new ArrayList<Point>();<newline46mondego>    public static ArrayList<Point> groupOrigins = new ArrayList<Point>();<newline46mondego>    public static int groups = 0;<newline46mondego>    public static boolean finished = false;<newline46mondego>    public static ArrayList<Integer> numbers = new ArrayList<Integer>();<newline46mondego>    public static HashMap<Character, Integer> map = new HashMap<Character, Integer>();<newline46mondego>    public static HashMap<Character, Integer> groupCount = new HashMap<Character, Integer>();<newline46mondego>    public static char largestChar;<newline46mondego>    public static int largestInt = 0;<newline46mondego>    public static int largestIndex = 0;<newline46mondego><newline46mondego>    public static void main(String[] args) throws FileNotFoundException {<newline46mondego>        final File inputFile = new File(args[0]);<newline46mondego>        final Scanner input = new Scanner(inputFile);<newline46mondego>        char[][] grid = new char[10][20];<newline46mondego><newline46mondego>        // Creates the 2d array<newline46mondego>        for (int row = 0; row < 10; row++) {<newline46mondego>            String c = input.nextLine();<newline46mondego>            for (int col = 0; col < 20; col++) {<newline46mondego>                grid[row][col] = c.charAt(col);<newline46mondego>            }<newline46mondego>        }<newline46mondego>        numbers.add(0);<newline46mondego>        display(grid);<newline46mondego>        search(grid);<newline46mondego>        // System.out.println(<doubleQuotes46>NUMBER SIZE<doubleQuotes46>+numbers.size());<newline46mondego>        for (int i = 0; i < numbers.size(); i++) {<newline46mondego>            // System.out.println(<doubleQuotes46>NUmber is <doubleQuotes46>+numbers.get(i));<newline46mondego>            if (numbers.get(i) > largestInt) {<newline46mondego>                largestInt = numbers.get(i);<newline46mondego>                largestIndex = i;<newline46mondego>            }<newline46mondego>        }<newline46mondego>        // System.out.println(<doubleQuotes46>INDEX IS <doubleQuotes46>+ largestIndex);<newline46mondego>        // System.out.println(<doubleQuotes46>Groups<doubleQuotes46> + groups);<newline46mondego>        // for(Point i :searched)<newline46mondego>        // {<newline46mondego>        // System.out.println(<doubleQuotes46>Searched<doubleQuotes46> +i.toString());<newline46mondego>        // }<newline46mondego><newline46mondego>        // System.out.println(map.toString());<newline46mondego>        getLargest();<newline46mondego>        /*<newline46mondego>         * for(int i = 0;i<groupOrigins.size();i++) {<newline46mondego>         * System.out.println(<doubleQuotes46>Group origin for group <doubleQuotes46>+i +<doubleQuotes46>: <doubleQuotes46>+<newline46mondego>         * groupOrigins.get(i)); }<newline46mondego>         */<newline46mondego>        System.out.print(<doubleQuotes46>Largest Group is <doubleQuotes46> + largestChar + <doubleQuotes46> with <doubleQuotes46><newline46mondego>                + largestInt + <doubleQuotes46> members starting at (<doubleQuotes46><newline46mondego>                + (int) groupOrigins.get(largestIndex).getX() + <doubleQuotes46>,<doubleQuotes46><newline46mondego>                + (int) groupOrigins.get(largestIndex).getY() + <doubleQuotes46>) <doubleQuotes46><newline46mondego>                + <doubleQuotes46>Group Counts:<doubleQuotes46>);<newline46mondego>        java.util.Iterator<Entry<Character, Integer>> it = groupCount<newline46mondego>                .entrySet().iterator();<newline46mondego>        while (it.hasNext()) {<newline46mondego>            Map.Entry<Character, Integer> pairs = (Map.Entry<Character, Integer>) it<newline46mondego>                    .next();<newline46mondego>            System.out.print(pairs.getKey() + <doubleQuotes46> = <doubleQuotes46>);<newline46mondego>            System.out.print(pairs.getValue());<newline46mondego>            System.out.print(pairs.getValue() > 1 ? <doubleQuotes46> Groups<doubleQuotes46> : <doubleQuotes46>Group<doubleQuotes46>);<newline46mondego>            if (it.hasNext()) {<newline46mondego>                System.out.print(<doubleQuotes46>,<doubleQuotes46>);<newline46mondego>            }<newline46mondego><newline46mondego>            it.remove();<newline46mondego>        }<newline46mondego>        input.close();<newline46mondego>    }<newline46mondego><newline46mondego>    public static void getLargest() {<newline46mondego>        largestInt = 0;<newline46mondego>        java.util.Iterator<Entry<Character, Integer>> it = map.entrySet()<newline46mondego>                .iterator();<newline46mondego>        while (it.hasNext()) {<newline46mondego>            Map.Entry<Character, Integer> pairs = (Map.Entry<Character, Integer>) it<newline46mondego>                    .next();<newline46mondego>            if (pairs.getValue() > largestInt) {<newline46mondego>                largestChar = pairs.getKey();<newline46mondego>                largestInt = pairs.getValue();<newline46mondego>            }<newline46mondego>            it.remove(); // avoids a ConcurrentModificationException<newline46mondego>        }<newline46mondego>        // System.out.println(<doubleQuotes46>Largest Char is <doubleQuotes46> + largestChar);<newline46mondego>        // System.out.println(largestInt);<newline46mondego><newline46mondego>    }<newline46mondego><newline46mondego>    // method to display the input file. Assuming no grid is no more than 10<newline46mondego>    // rows<newline46mondego>    private static void display(char[][] grid) {<newline46mondego>        for (int i = 0; i < 10; i++) {<newline46mondego>            for (int j = 0; j < 20; j++) {<newline46mondego>                System.out.print(grid[i][j]);<newline46mondego>            }<newline46mondego>            System.out.println();<newline46mondego>        }<newline46mondego>        System.out.println();<newline46mondego>    }<newline46mondego><newline46mondego>    private static void search(char[][] grid) {<newline46mondego>        search(grid, 0, 0);<newline46mondego><newline46mondego>    }<newline46mondego><newline46mondego>    private static void search(char[][] grid, int x, int y) {<newline46mondego><newline46mondego>        for (int i = 0; i < 10; i++) {<newline46mondego>            for (int j = 0; j < 20; j++) {<newline46mondego>                search(grid, i, j, grid[i][j]);<newline46mondego>            }<newline46mondego>        }<newline46mondego><newline46mondego>    }<newline46mondego><newline46mondego>    private static void search(char[][] grid, int x, int y, char c) {<newline46mondego><newline46mondego>        search(grid, x, y, c, groups);<newline46mondego>        if (finished == true) {<newline46mondego>            // System.out.println(<doubleQuotes46>GROUP <doubleQuotes46> + groups + <doubleQuotes46> with Character <doubleQuotes46> + c +<newline46mondego>            // <doubleQuotes46> has members of : <doubleQuotes46> + numbers.get(groups));<newline46mondego>            if (!map.containsKey(c)) {<newline46mondego>                map.put(c, -1);<newline46mondego>                groupCount.put(c, 1);<newline46mondego>            } else {<newline46mondego>                groupCount.put(c, groupCount.get(c) + 1);<newline46mondego>            }<newline46mondego>            if (map.get(c) < numbers.get(groups)) {<newline46mondego>                // System.out.println(<doubleQuotes46>OVERWRITE<doubleQuotes46>);<newline46mondego>                map.put(c, numbers.get(groups));<newline46mondego>            }<newline46mondego>            groups++;<newline46mondego>            finished = false;<newline46mondego>        }<newline46mondego><newline46mondego>    }<newline46mondego><newline46mondego>    private static void search(char[][] grid, int x, int y, char c, int group) {<newline46mondego>        Point now = new Point(x, y);<newline46mondego><newline46mondego>        if (!searched.contains(now)) {<newline46mondego>            // System.out.println(now.toString() + c);<newline46mondego>            finished = true;<newline46mondego>            searched.add(now);<newline46mondego>            while (numbers.size() <= group) {<newline46mondego><newline46mondego>                numbers.add(0);<newline46mondego>            }<newline46mondego>            while (groupOrigins.size() <= group) {<newline46mondego>                groupOrigins.add(new Point(-1, -1));<newline46mondego>            }<newline46mondego>            if (groupOrigins.get(group).equals(new Point(-1, -1))) {<newline46mondego>                groupOrigins.set(group, now);<newline46mondego>            }<newline46mondego><newline46mondego>            numbers.set(group, numbers.get(group) + 1);<newline46mondego>            if (y - 1 >= 0) {<newline46mondego>                if (grid[x][y - 1] == c) {<newline46mondego>                    search(grid, x, y - 1, c, group);<newline46mondego>                }<newline46mondego>            }<newline46mondego>            if (y + 1 < 20) {<newline46mondego><newline46mondego>                if (grid[x][y + 1] == c) {<newline46mondego>                    search(grid, x, y + 1, c, group);<newline46mondego>                }<newline46mondego>            }<newline46mondego>            if (x - 1 >= 0) {<newline46mondego>                if (grid[x - 1][y] == c) {<newline46mondego>                    search(grid, x - 1, y, c, group);<newline46mondego>                }<newline46mondego>            }<newline46mondego>            if (x + 1 < 10) {<newline46mondego>                if (grid[x + 1][y] == c) {<newline46mondego>                    search(grid, x + 1, y, c, group);<newline46mondego>                }<newline46mondego>            }<newline46mondego>        }<newline46mondego>    }<newline46mondego><newline46mondego>}<newline46mondego>"
"73splitHere46","22679184splitHere46","Node"
"74splitHere46","22679184splitHere46","Music"
"75splitHere46","22679184splitHere46","T"
"76splitHere46","22679184splitHere46","data"
"77splitHere46","22679184splitHere46","Music"
"78splitHere46","22679184splitHere46","<Music>"
"79splitHere46","22679184splitHere46","Node"
"80splitHere46","22679184splitHere46","Node"
"81splitHere46","22679184splitHere46","private static class Node<newline46mondego>{<newline46mondego><newline46mondego>    // Data Fields<newline46mondego><newline46mondego>    /** The reference to the data. */<newline46mondego>    private Music data;<newline46mondego>    /** The reference to the next node. */<newline46mondego>    private Node next;<newline46mondego>    /** The reference to the previous node. */<newline46mondego>    private Node prev;<newline46mondego><newline46mondego>    // Constructors<newline46mondego>    /**<newline46mondego>    * Creates a new node with null next and previous fields.<newline46mondego>    * @param dataItem The data stored<newline46mondego>    */<newline46mondego>    private Node(Music dataItem)<newline46mondego>    {<newline46mondego>         data = dataItem;<newline46mondego>         next = null;<newline46mondego>         prev = null;<newline46mondego>    }<newline46mondego><newline46mondego>/**<newline46mondego> * Creates a new node that references another node.<newline46mondego> * @param dataItem The data stored<newline46mondego> * @param nodeRef The node referenced by new node<newline46mondego> */<newline46mondego>    private Node(Music dataItem, Node prevNode)<newline46mondego>    {<newline46mondego>        Node afterPrevNode = prevNode.next;<newline46mondego>        Node node = new Node(dataItem);<newline46mondego><newline46mondego>        prevNode.next = node;<newline46mondego>        prevNode.prev = node;<newline46mondego><newline46mondego>        node.prev = prevNode;<newline46mondego>        node.next = afterPrevNode;<newline46mondego>    }<newline46mondego>} <newline46mondego>"
"82splitHere46","22679217splitHere46","actionBar.setHomeButtonEnabled(false);"
"83splitHere46","22679217splitHere46","HomeFragment"
"84splitHere46","22679358splitHere46","byte[] iv = new byte[ 16 ];<newline46mondego>"
"85splitHere46","22679358splitHere46","SecureRandom random = SecureRandom.getInstance( <doubleQuotes46>SHA1PRNG<doubleQuotes46> );<newline46mondego>random.nextBytes( iv );<newline46mondego>"
"86splitHere46","22679407splitHere46","private static n0_attamp = 0;<newline46mondego>public void testBadCredentials() throws Exception {<newline46mondego>n0_attamp++;<newline46mondego>RestClientFactoryTest.setPrefixAllInstances(<doubleQuotes46>login-failure<doubleQuotes46>);<newline46mondego>XMLRPCFactoryTest.setPrefixAllInstances(<doubleQuotes46>login-failure<doubleQuotes46>);<newline46mondego>mSolo.enterText(0, <doubleQuotes46>test<doubleQuotes46>); //username <newline46mondego>mSolo.enterText(1, <doubleQuotes46>test<doubleQuotes46>); //password<newline46mondego>mSolo.clickOnText(mSolo.getString(R.string.sign_in));<newline46mondego>boolean errorMessageFound = mSolo.searchText(mSolo.getString(R.string.username_or_password_incorrect));<newline46mondego>if(n0_attamp = 3)<newline46mondego>{ <newline46mondego>  assertTrue(<doubleQuotes46>3rd try<doubleQuotes46>, errorMessageFound);<newline46mondego>  //reinitialize counter<newline46mondego>   n0_attamp = 0; <newline46mondego> }<newline46mondego> else<newline46mondego>assertTrue(<doubleQuotes46>Error message not found<doubleQuotes46>, errorMessageFound);<newline46mondego>}<newline46mondego>"
"87splitHere46","22679410splitHere46","<?php<newline46mondego><newline46mondego>$apps = 100;<newline46mondego>for ($i = 0; $i < $apps; $i++) {<newline46mondego>    if ($i % 3 == 0) {<newline46mondego>        $row1 .= <doubleQuotes46><td><doubleQuotes46> .$i .<doubleQuotes46></td><doubleQuotes46>;<newline46mondego>    }<newline46mondego>    if ($i % 3 == 1) {<newline46mondego>        $row2 .= <doubleQuotes46><td><doubleQuotes46> .$i .<doubleQuotes46></td><doubleQuotes46>;<newline46mondego>    }<newline46mondego>    if ($i % 3 == 2) {<newline46mondego>        $row3 .= <doubleQuotes46><td><doubleQuotes46> .$i .<doubleQuotes46></td><doubleQuotes46>;<newline46mondego>    }<newline46mondego>}<newline46mondego>?><newline46mondego><table><newline46mondego><tr><?php echo $row1; ?></tr><newline46mondego><tr><?php echo $row2;?></tr><newline46mondego><tr><?php echo $row3; ?></tr><newline46mondego></table><newline46mondego>"
"88splitHere46","22679573splitHere46","b1.addActionListener(new ActionListener() {<newline46mondego>public void actionPerformed(ActionEvent ae){<newline46mondego>       b1.setBackground(Color.BLUE);<newline46mondego>       b2.setBackground(Color.BLACK);<newline46mondego>JOptionPane.showMessageDialog(frame,<doubleQuotes46>Welcome to allhabad High Court<doubleQuotes46>);<newline46mondego>}<newline46mondego>});<newline46mondego><newline46mondego>    b2.addActionListener(new ActionListener() {<newline46mondego>public void actionPerformed(ActionEvent ae){<newline46mondego>       b2.setBackground(Color.BLUE);<newline46mondego>      b1.setBackground(Color.BLACK);<newline46mondego>JOptionPane.showMessageDialog(frame,<doubleQuotes46>Welcome to allhabad High Court<doubleQuotes46>);<newline46mondego>}<newline46mondego>});<newline46mondego>"
"89splitHere46","22679647splitHere46","test.getRecursiveFibonacci(i)<newline46mondego>"
"90splitHere46","22679647splitHere46","test.getRecursiveFibonacci(num)<newline46mondego>"
"91splitHere46","22679658splitHere46","String s = <doubleQuotes46>[0,{\<doubleQuotes46>1\<doubleQuotes46>:{\<doubleQuotes46>2\<doubleQuotes46>:{\<doubleQuotes46>3\<doubleQuotes46>:{\<doubleQuotes46>4\<doubleQuotes46>:[5,{\<doubleQuotes46>6\<doubleQuotes46>:7}]}}}}]<doubleQuotes46>;<newline46mondego>"
