"1splitHere46","15840399splitHere46","String ms[] = msgTime.split(<doubleQuotes46>\\.<doubleQuotes46>);"
"64splitHere46","15842009splitHere46","Connection con = getConnection();<newline46mondego>Set<String> ks = ws.keySet();<newline46mondego><newline46mondego>if (ks.size() > 0) {<newline46mondego>    StringBuilder inStatement = new StringBuilder(<doubleQuotes46>?<doubleQuotes46>);<newline46mondego>    for (int i = 1; i < ks.size(); i++) {<newline46mondego>        inStatement.append(<doubleQuotes46>, ?<doubleQuotes46>);<newline46mondego>    }<newline46mondego><newline46mondego>    PreparedStatement ps = con.prepareStatement(<doubleQuotes46>select doc_freq from lookup where word in (<doubleQuotes46> + inStatement.toString() + <doubleQuotes46>)<doubleQuotes46>);<newline46mondego><newline46mondego>    int k = 1;<newline46mondego>    for (String key : keySet) {<newline46mondego>        ps.setString(k++, key);<newline46mondego>    }<newline46mondego>    ResultSet rs = ps.executeQuery();<newline46mondego>}<newline46mondego>"
"65splitHere46","15842306splitHere46","CHGDTAARA"
"66splitHere46","15842350splitHere46","package p1;<newline46mondego><newline46mondego>public class MyClass1 {<newline46mondego><newline46mondego>    protected String protectedString = <doubleQuotes46>example<doubleQuotes46>;<newline46mondego><newline46mondego>    protected static String protectedStaticString = <doubleQuotes46>example<doubleQuotes46>;<newline46mondego><newline46mondego>}<newline46mondego><newline46mondego>package p2;<newline46mondego><newline46mondego>import p1.MyClass1;<newline46mondego><newline46mondego>public class MyClass2 extends MyClass1 {<newline46mondego><newline46mondego>    public void testProtected() {<newline46mondego><newline46mondego>        MyClass1 otherMC1 = new MyClass1();<newline46mondego>        MyClass2 otherMC2 = new MyClass2();<newline46mondego><newline46mondego>        String testProtected;<newline46mondego><newline46mondego>        testProtected = this.protectedString; // OK, protectedString is inherited, so it's instance member of this class<newline46mondego>        testProtected = super.protectedString; // OK, it's also instance member of superclass<newline46mondego><newline46mondego>        testProtected = otherMC1.protectedString; // ERROR. You can't access protected members of other instance of superclass<newline46mondego>        testProtected = otherMC2.protectedString; // OK. As it's inherited member of MyClass2, you can access it if it belongs to other instance of your class<newline46mondego><newline46mondego>    }<newline46mondego><newline46mondego>    public void testProtectedStatic() {<newline46mondego><newline46mondego>        MyClass1 otherMC1 = new MyClass1();<newline46mondego>        MyClass2 otherMC2 = new MyClass2();<newline46mondego><newline46mondego>        String testProtectedStatic;<newline46mondego><newline46mondego>        testProtectedStatic = this.protectedStaticString; // OK - syntax trick<newline46mondego>        testProtectedStatic = super.protectedStaticString; // OK - syntax trick<newline46mondego><newline46mondego>        testProtectedStatic = otherMC1.protectedStaticString; // OK - syntax trick<newline46mondego>        testProtectedStatic = otherMC2.protectedStaticString; // OK - syntax trick<newline46mondego><newline46mondego>        testProtectedStatic = MyClass1.protectedStaticString; // OK - you can access protected static members from superclass<newline46mondego>        testProtectedStatic = MyClass2.protectedStaticString; // OK - this also static member of your class<newline46mondego>    }<newline46mondego><newline46mondego>}<newline46mondego>"
"67splitHere46","15842350splitHere46","MyClass mc = new MyClass();<newline46mondego>Object o = mc.STATIC_FIELD;<newline46mondego>"
"68splitHere46","15842350splitHere46","MyClass mc = new MyClass();<newline46mondego>Object o = MyClass.STATIC_FIELD;<newline46mondego>"
"69splitHere46","15842443splitHere46","class FrameTwo extends JFrame {<newline46mondego>    private FramOne firstFrame;<newline46mondego><newline46mondego>    public FrameTwo(FrameOne firstFrame) {<newline46mondego>        this.firstFrame = firstFrame;<newline46mondego>    };<newline46mondego><newline46mondego>    public void doSomething() {<newline46mondego>        System.out.println(this.firstFrame.someMethod());<newline46mondego>    };<newline46mondego>};<newline46mondego>"
"70splitHere46","15842443splitHere46","FrameOne"
"71splitHere46","15842443splitHere46","FrameTwo"
"72splitHere46","15842443splitHere46","View"
"73splitHere46","15842443splitHere46","import javax.swing.Frame"
"74splitHere46","15842443splitHere46","class FrameOne extends Frame"
"75splitHere46","15842443splitHere46","class FrameOne extends javax.swing.Frame"
"76splitHere46","15842443splitHere46","JPanel"
"77splitHere46","15842564splitHere46","Asocijacije.brojPoenaUkupno = 0;<newline46mondego>"
"78splitHere46","15842600splitHere46",".receive()"
"79splitHere46","15842699splitHere46","Uno.PlayingCard@56609959"
"80splitHere46","15842699splitHere46","toString()"
"81splitHere46","15842699splitHere46","public void paintComponent(Graphics g)<newline46mondego>{<newline46mondego>    super.paintComponent(g);<newline46mondego>    int panelWidth = this.getWidth();<newline46mondego>    int panelHeight = this.getHeight();<newline46mondego>    g.drawRoundRect(0, 0, panelWidth - 1, panelHeight - 1, 10, 10);<newline46mondego>    card = playingdeck.drawTopCard();<newline46mondego>    g.drawString(card.toString(), 75, 75);  // you're calling toString() here...<newline46mondego>}<newline46mondego>"
"82splitHere46","15842699splitHere46","public String toString() {<newline46mondego>    return <doubleQuotes46><doubleQuotes46>+number;<newline46mondego>}<newline46mondego>"
"83splitHere46","15842720splitHere46","derby.jar"
"84splitHere46","15842720splitHere46","derbyclient.jar"
"85splitHere46","15842720splitHere46","derbynet.jar"
"86splitHere46","15842720splitHere46","derbyclient.jar"
"87splitHere46","15842720splitHere46","org.apache.derby.jdbc.ClientDriver"
"88splitHere46","15842814splitHere46","holder.txtDesc = (TextView) convertView.findViewById(R.id.desc);<newline46mondego>"
"89splitHere46","15842814splitHere46","onItemClick()"
"90splitHere46","15842814splitHere46","TextView textview = (TextView) view.findViewById(R.id.desc);<newline46mondego>// Now use textView.getText().toString() to get the description<newline46mondego>"
"91splitHere46","15842814splitHere46","convertView"
"92splitHere46","15842814splitHere46","view"
"93splitHere46","15842817splitHere46","char"
"94splitHere46","15842817splitHere46","String string = getString(); // returns the string you will parse<newline46mondego>boolean japaneseChars = true;<newline46mondego>for (ii=0; ii<string.length; ii++) {<newline46mondego>    char character = string.charAt(ii);<newline46mondego>    if (!(character >= 0x30A0 && character<= 0x30FF)) {<newline46mondego>         japaneseChars = false;<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"95splitHere46","15842837splitHere46","StringBuilder result = new StringBuilder();<newline46mondego>result.append(<doubleQuotes46><tr><td><doubleQuotes46>).append(User ID DATA).append(<doubleQuotes46></td><td><doubleQuotes46>).append(Start Date DATA).append(<doubleQuotes46></td></tr><doubleQuotes46>);<newline46mondego>"
"96splitHere46","15842837splitHere46","processExecutionQueue()"
"97splitHere46","15842837splitHere46","getJobsForPrint()"
"98splitHere46","15842837splitHere46","getJobsForPrint()"
"99splitHere46","15842922splitHere46","binaryTreeList.add(root);<newline46mondego>"
"100splitHere46","15842922splitHere46","0"
"101splitHere46","15842922splitHere46","0"
"102splitHere46","15842922splitHere46","1"
"103splitHere46","15842922splitHere46","n"
"104splitHere46","15842922splitHere46","n-1"
"105splitHere46","15842922splitHere46","root"
"106splitHere46","15842922splitHere46","binaryTreeList.set(0, root);<newline46mondego>"
"107splitHere46","15842922splitHere46","0"
"108splitHere46","15842922splitHere46","binaryTreeList.size()-1"
"109splitHere46","15843242splitHere46","Scanner keyboard = new Scanner(System.in);<newline46mondego>int startr, endr;<newline46mondego>boolean good = false;<newline46mondego>do<newline46mondego>{<newline46mondego>  System.out.println(<doubleQuotes46>Enter the Starting Number of the Range: <doubleQuotes46>);<newline46mondego>  startr = keyboard.nextInt();<newline46mondego>  if(startr % 10 == 0 && startr >= 0)<newline46mondego>    good = true;<newline46mondego>  else<newline46mondego>    System.out.println(<doubleQuotes46>Numbers is not divisible by 10<doubleQuotes46>);<newline46mondego>}<newline46mondego>while (!good);<newline46mondego><newline46mondego>good = false;<newline46mondego>do<newline46mondego>{<newline46mondego>    System.out.println(<doubleQuotes46>Enter the Ending Number of the Range: <doubleQuotes46>);<newline46mondego>    endr = keyboard.nextInt();<newline46mondego>    if(endr % 10 == 0 && endr <= 1000)<newline46mondego>      good = true;<newline46mondego>    else<newline46mondego>      System.out.println(<doubleQuotes46>Numbers is not divisible by 10<doubleQuotes46>);<newline46mondego>}<newline46mondego>while (!good);<newline46mondego><newline46mondego>// do stuff<newline46mondego>"
"110splitHere46","15843284splitHere46","import java.util.Arrays;<newline46mondego>import org.eclipse.jface.viewers.CellLabelProvider;<newline46mondego>import org.eclipse.jface.viewers.ColumnViewer;<newline46mondego>import org.eclipse.jface.viewers.TableViewer;<newline46mondego>import org.eclipse.jface.viewers.ViewerCell;<newline46mondego>import org.eclipse.jface.viewers.ViewerColumn;<newline46mondego><newline46mondego>public class RowNumberLabelProvider extends CellLabelProvider {<newline46mondego><newline46mondego>    private TableViewer viewer;<newline46mondego><newline46mondego>    protected void initialize(ColumnViewer viewer, ViewerColumn column) {<newline46mondego>        super.initialize(viewer, column);<newline46mondego>        this.viewer = null;<newline46mondego>        if (viewer instanceof TableViewer) {<newline46mondego>            this.viewer = (TableViewer) viewer;<newline46mondego>        }<newline46mondego>    }<newline46mondego><newline46mondego>    public void update(ViewerCell cell) {<newline46mondego>        super.update(cell);<newline46mondego>        if (viewer != null) {<newline46mondego>            int index = Arrays.asList(viewer.getTable().getItems()).indexOf(cell.getItem());<newline46mondego>            cell.setText(<doubleQuotes46><doubleQuotes46> + (index + 1));<newline46mondego>        }<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"111splitHere46","15843284splitHere46","TableViewerColumn tableViewerColumn = new TableViewerColumn(tableViewer, SWT.NONE);<newline46mondego>tableViewerColumn.setLabelProvider(new RowNumberLabelProvider());<newline46mondego>"
"112splitHere46","15843284splitHere46","TableViewerColumn tableViewerColumn = new TableViewerColumn(tableViewer, SWT.NONE);<newline46mondego> tableViewerColumn.setLabelProvider(new ColumnLabelProvider() {<newline46mondego><newline46mondego>     public String getText(Object object) {<newline46mondego>         int index = 1;<newline46mondego>         for (String employee : company.getEmployeeNames()) {<newline46mondego>             if (employee == object) <newline46mondego>                 return String.valueOf(index);<newline46mondego>             index++;<newline46mondego>         }<newline46mondego>         return <doubleQuotes46><doubleQuotes46>;<newline46mondego>     }<newline46mondego>});<newline46mondego>"
"113splitHere46","15843386splitHere46","C:\\Users\\Badlapje\\Dropbox\\workspace\\FOOP\\Group62RISK\\Risk.accdb"
"114splitHere46","15843386splitHere46","C:\\school-project\\Risk.accdb"
"115splitHere46","15843386splitHere46","package edu.proj.res;<newline46mondego><newline46mondego>public class Main {<newline46mondego>    public static String getDatabaseLocation() {<newline46mondego>        return Main.class.getClassLoader().getResource(<doubleQuotes46>edu/proj/res/database.txt<doubleQuotes46>).toString();<newline46mondego>    }<newline46mondego>    public static String changeToWindowsPath(String path) {<newline46mondego>    return path.replace(<doubleQuotes46>file:/<doubleQuotes46>, <doubleQuotes46><doubleQuotes46>).replaceAll(<doubleQuotes46>/<doubleQuotes46>, <doubleQuotes46>\\\\<doubleQuotes46>);<newline46mondego>}<newline46mondego>    public static void main(String[] args) {<newline46mondego>        System.out.println(changeToWindowsPath(getDatabaseLocation()));<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"116splitHere46","15843386splitHere46","ConsoleTests<newline46mondego>- src<newline46mondego>  - edu.proj.res<newline46mondego>    + database.txt<newline46mondego>    + Main.java<newline46mondego>"
"117splitHere46","15843386splitHere46","C:\workspace\ConsoleTests\bin\edu\proj\res\database.txt<newline46mondego>"
"118splitHere46","15843409splitHere46","Vector<Dog> dogVector = new Vector<Dog>();<newline46mondego>Vector<Animal> animalVector = (Vector<Animal>)(List<?>) dogVector;<newline46mondego>animalVector.add(new Animal()); // seems to be ok, but...<newline46mondego>Dog dog = dogVector.get(0); // Runtime exception - there's Animal, not Dog in your Vector.<newline46mondego>"
"119splitHere46","15843409splitHere46","public Vector<? extends Animal> myFunc(String[] args) {<newline46mondego>   Vector<Dog> vector = new Vector<Dog>();<newline46mondego>   // ...<newline46mondego>   return vector;<newline46mondego>}<newline46mondego>"
"120splitHere46","15843409splitHere46","public Vector<Animal> myFunc(String[] args) {<newline46mondego>   Vector<Animal> vector = new Vector<Animal>();<newline46mondego>   vector.add(new Dog());<newline46mondego>   return vector;<newline46mondego>}<newline46mondego>"
"121splitHere46","15843595splitHere46","FluentIterable.transformAndConcat(stringToSetFunction)"
"122splitHere46","15843885splitHere46","<doubleQuotes46>@android:id/list<doubleQuotes46>"
"123splitHere46","15843885splitHere46","android:id=<doubleQuotes46>@android:id/list<doubleQuotes46><newline46mondego>"
"124splitHere46","15843885splitHere46","<ListView <newline46mondego>android:id=<doubleQuotes46>@android:id/list<doubleQuotes46><newline46mondego>android:layout_width=<doubleQuotes46>wrap_content<doubleQuotes46><newline46mondego>android:layout_height=<doubleQuotes46>wrap_content<doubleQuotes46> /> <newline46mondego>"
"125splitHere46","15843885splitHere46","<ListView <newline46mondego>android:id=<doubleQuotes46>@+id/yourlist<doubleQuotes46><newline46mondego>android:layout_width=<doubleQuotes46>wrap_content<doubleQuotes46><newline46mondego>android:layout_height=<doubleQuotes46>wrap_content<doubleQuotes46> /> <newline46mondego>"
"126splitHere46","15843885splitHere46","final ListView lv = (ListView) findViewById(R.id.yourlist);<newline46mondego>"
"127splitHere46","15843928splitHere46","do {<newline46mondego>// Your code goes here<newline46mondego><newline46mondego>    System.out.print(<doubleQuotes46>Would you like to continue (Y/N)?<doubleQuotes46>);<newline46mondego>    Anwser = UserInput.next();<newline46mondego>} while (answer.equalsIgnoreCase( <doubleQuotes46>Y<doubleQuotes46>));<newline46mondego>"
"128splitHere46","15844172splitHere46","public interface Lookup {<newline46mondego>}<newline46mondego><newline46mondego>public class MapLookup implements Lookup {<newline46mondego>    public String getValue(String key) {<newline46mondego>        //...<newline46mondego>    }<newline46mondego>}<newline46mondego><newline46mondego>public class GuavaLookup implements Lookup {<newline46mondego>    public String getValue(String row, String column) {<newline46mondego>        // ...<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"129splitHere46","15844172splitHere46","public class Program {<newline46mondego>    private Lookup lookup = new MapLookup();<newline46mondego><newline46mondego>    public void printLookup(String key) {<newline46mondego>        // I hardcoded lookup to be of type MapLookup, so I can cast:<newline46mondego>        System.out.println(((MapLookup)lookup).getValue(key));<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"130splitHere46","15844172splitHere46","Program"
"131splitHere46","15844172splitHere46","Key"
"132splitHere46","15844172splitHere46","public interface Lookup {<newline46mondego>    // ...<newline46mondego><newline46mondego>    public String getValue(Key key);<newline46mondego>}<newline46mondego><newline46mondego>public interface Key {<newline46mondego>}<newline46mondego><newline46mondego>public MapKey implements Key {<newline46mondego>    private String key;<newline46mondego>    // ...<newline46mondego>}<newline46mondego><newline46mondego>public GuavaKey implements Key {<newline46mondego>    private String row, column;<newline46mondego>    // ...<newline46mondego>}<newline46mondego>"
"133splitHere46","15844172splitHere46","getValue"
"134splitHere46","15844172splitHere46","public interface Factory {<newline46mondego>    public Lookup getLookup();<newline46mondego>    public Key getKey();<newline46mondego>}<newline46mondego><newline46mondego>public class Program {<newline46mondego>    private Lookup lookup;<newline46mondego><newline46mondego>    public Program(Factory factory) {<newline46mondego>        lookup = factory.getLookup();<newline46mondego>    }<newline46mondego><newline46mondego>    public void printLookup(Factory factory) {      <newline46mondego>        System.out.println((lookup.getValue(factory.getKey()));<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"135splitHere46","15844186splitHere46","HashMap"
"136splitHere46","15844186splitHere46","HashMap"
"137splitHere46","15844186splitHere46","HashMap"
"138splitHere46","15844186splitHere46","put"
"139splitHere46","15844186splitHere46","list.size()"
"140splitHere46","15844186splitHere46","put"
"141splitHere46","15844186splitHere46","list.size() + 1"
"142splitHere46","15844186splitHere46","HashMap"
"143splitHere46","15844186splitHere46","put"
"144splitHere46","15844186splitHere46","list.size()"
"145splitHere46","15844186splitHere46","HashMap<Integer, T> map = new HashMap<Integer, T>(list.size(), 1.0);<newline46mondego>"
"146splitHere46","15844186splitHere46","HashMap"
"147splitHere46","15844186splitHere46","void addEntry(int hash, K key, V value, int bucketIndex) {<newline46mondego>    Entry<K,V> e = table[bucketIndex];<newline46mondego>    table[bucketIndex] = new Entry<>(hash, key, value, e);<newline46mondego>    if (size++ >= threshold)<newline46mondego>        resize(2 * table.length);<newline46mondego>}<newline46mondego>"
"148splitHere46","15844405splitHere46","StringBuilder"
"149splitHere46","15844405splitHere46","StringBuilder"
"150splitHere46","15844405splitHere46","StringBuffer"
"151splitHere46","15844405splitHere46","StringBuilder"
"152splitHere46","15844405splitHere46","String"
"153splitHere46","15844405splitHere46","toString()"
"154splitHere46","15844423splitHere46","add(area, new GBC(0, 0, 4, 3).setWeight(4,4).setFill(GBC.BOTH));<newline46mondego>add(field, new GBC(0, 3, 3, 1).setWeight(1,1).setFill(GBC.HORIZONTAL));<newline46mondego>"
"155splitHere46","15844468splitHere46","c"
"156splitHere46","15844468splitHere46","for (int i = 0; i < array.length; i++) {<newline46mondego>    if (array[i] == 'o') {<newline46mondego>        array[i] = 'a';<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"157splitHere46","15844468splitHere46","for (int i = 0; i < array.length; i++) {<newline46mondego>    char c = array[i];<newline46mondego>    if (c == 'o') {<newline46mondego>        c = 'a'; <newline46mondego>    }<newline46mondego>}<newline46mondego>"
"158splitHere46","15844468splitHere46","char c = array[i];<newline46mondego>"
"159splitHere46","15844528splitHere46","cid=nnn"
"160splitHere46","15844528splitHere46","returnUrl = <doubleQuotes46>http://myip/myapp/return.seam?cid=<doubleQuotes46> + Conversation.instance().getId();<newline46mondego>details.setReturnURL(returnUrl);<newline46mondego>...<newline46mondego>"
"161splitHere46","15844528splitHere46","Conversation.instance().setTimeout(900000); // 15 minutes<newline46mondego>"
"162splitHere46","15844817splitHere46","Map<Integer, String> imageMap = new HashMap<Integer, String><newline46mondego>// Put the other ones here.<newline46mondego>imageMap.put(R.drawable.bengalTiger, <doubleQuotes46>bengaltiger<doubleQuotes46>);<newline46mondego>.<newline46mondego>.<newline46mondego>.<newline46mondego><newline46mondego>// Later on, use them like this:<newline46mondego>for(Integer id : imageMap.keyset()) {<newline46mondego>  String name = imageMap.get(id);<newline46mondego>  // You can now use <doubleQuotes46>id<doubleQuotes46> and <doubleQuotes46>name<doubleQuotes46> in whatever UI elements you want.<newline46mondego>}<newline46mondego>"
"163splitHere46","15844981splitHere46","null"
"164splitHere46","15844981splitHere46","PropertionalLayoutManager"
