"1splitHere46","10578007splitHere46","java -help<newline46mondego>"
"90splitHere46","10580703splitHere46","String file = <doubleQuotes46>hello /* line 1 \n line 2 \n line 3 */<doubleQuotes46><newline46mondego>            + <doubleQuotes46>there /* line 4 */ world<doubleQuotes46>;<newline46mondego><newline46mondego>StringBuffer sb = new StringBuffer();<newline46mondego>Matcher m = Pattern.compile(<doubleQuotes46>(?m)/\\*([^*]|(\\*+[^*/]))*\\*+/<doubleQuotes46>).matcher(file);<newline46mondego><newline46mondego>while (m.find()) {<newline46mondego><newline46mondego>    // Find a comment<newline46mondego>    String toReplace = m.group();<newline46mondego><newline46mondego>    // Figure out what to replace it with<newline46mondego>    String replacement = toReplace.contains(<doubleQuotes46>\n<doubleQuotes46>) ? <doubleQuotes46>\n<doubleQuotes46> : <doubleQuotes46><doubleQuotes46>;<newline46mondego><newline46mondego>    // Perform the replacement.<newline46mondego>    m.appendReplacement(sb, replacement);<newline46mondego>}<newline46mondego><newline46mondego>m.appendTail(sb);<newline46mondego><newline46mondego>System.out.println(sb);<newline46mondego>"
"91splitHere46","10580703splitHere46","hello <newline46mondego>there  world<newline46mondego>"
"92splitHere46","10580703splitHere46","String replacement = toReplace.replaceAll(<doubleQuotes46>\\S<doubleQuotes46>, <doubleQuotes46> <doubleQuotes46>);<newline46mondego>"
"93splitHere46","10580703splitHere46","\n"
"94splitHere46","10580703splitHere46","<doubleQuotes46>/* abc */<doubleQuotes46><newline46mondego>"
"95splitHere46","10580703splitHere46","<doubleQuotes46>         <doubleQuotes46><newline46mondego>"
"96splitHere46","10580912splitHere46","this.getClass().getSuperClass()"
"97splitHere46","10580912splitHere46","getSuperClass()"
"98splitHere46","10580912splitHere46","Field"
"99splitHere46","10580912splitHere46","while(superClass != null)"
"100splitHere46","10581008splitHere46","s.replaceAll(<doubleQuotes46>``|''<doubleQuotes46>, <doubleQuotes46>\<doubleQuotes46><doubleQuotes46>)<newline46mondego>"
"101splitHere46","10581008splitHere46","s.replaceAll(<doubleQuotes46>[`']{2}<doubleQuotes46>, <doubleQuotes46>\<doubleQuotes46><doubleQuotes46>)<newline46mondego>"
"102splitHere46","10581024splitHere46","NewPluginProjectWizard"
"103splitHere46","10581024splitHere46","<newline46mondego>org.eclipse.pde.ui (3.6.100.v20120103_r372)"
"104splitHere46","10581124splitHere46","size"
"105splitHere46","10581124splitHere46","contains"
"106splitHere46","10581124splitHere46","get(int)"
"107splitHere46","10581124splitHere46","Set"
"108splitHere46","10581124splitHere46","List"
"109splitHere46","10581124splitHere46","HashSet"
"110splitHere46","10581124splitHere46","ArrayList"
"111splitHere46","10581124splitHere46","Set"
"112splitHere46","10581124splitHere46","List"
"113splitHere46","10581124splitHere46","Collection"
"114splitHere46","10581124splitHere46","Iterable"
"115splitHere46","10581143splitHere46","IO_XRayUSB_MD_VC80.dll"
"116splitHere46","10581143splitHere46","PATH"
"117splitHere46","10581143splitHere46","dumpbin.exe"
"118splitHere46","10581157splitHere46","listview.setOnItemClickListener(new OnItemClickListener() {<newline46mondego>   @Override<newline46mondego>   public void onItemClick(AdapterView<?> arg0, View arg1, int arg2, long arg3) {<newline46mondego>       //---> arg2 <-- will give you row number<newline46mondego>       // your code goes here<newline46mondego>    }<newline46mondego>});<newline46mondego>"
"119splitHere46","10581157splitHere46","adapter.notifyDataSetChanged();<newline46mondego>"
"120splitHere46","10581248splitHere46","Criteria crit = session.createCriteria(Product.class);<newline46mondego>Conjunction conjunction = Restrictions.conjunction();<newline46mondego>conjunction.add(Restrictions.isNull(<doubleQuotes46>location<doubleQuotes46>));<newline46mondego>conjunction.add(Restrictions.eq(<doubleQuotes46>location<doubleQuotes46>, <doubleQuotes46><doubleQuotes46>));<newline46mondego>crit.add(conjunction);<newline46mondego>"
"121splitHere46","10581265splitHere46","InputStreamReader"
"122splitHere46","10581265splitHere46","Reader"
"123splitHere46","10581265splitHere46","FileReader"
"124splitHere46","10581265splitHere46","InputStreamReader"
"125splitHere46","10581265splitHere46","public int read()<newline46mondego>public int read(char[] cbuf, int offset, int length)<newline46mondego>public int read(char[] cbuf)<newline46mondego>public int read(CharBuffer target)<newline46mondego>"
"126splitHere46","10581265splitHere46","InputStreamReader"
"127splitHere46","10581273splitHere46","transient"
"128splitHere46","10581274splitHere46","public class DozerMap {<newline46mondego><newline46mondego>   public static class ContainerA {<newline46mondego>      private A a;<newline46mondego>      public A getA() { return a; }<newline46mondego>      public void setA(A a) { this.a = a; }<newline46mondego>   }<newline46mondego><newline46mondego>   public static class ContainerB {<newline46mondego>      private B b;<newline46mondego>      public B getB() { return b; }<newline46mondego>      public void setB(B b) { this.b = b; }<newline46mondego>   }<newline46mondego><newline46mondego>   private static class A { };<newline46mondego><newline46mondego>   private static class B { };<newline46mondego><newline46mondego>   static class ConverterImpl extends DozerConverter<A, B> {<newline46mondego><newline46mondego>      ConverterImpl() {<newline46mondego>         super(A.class, B.class);<newline46mondego>      }<newline46mondego><newline46mondego>      @Override<newline46mondego>      public B convertTo(A source, B destination) {<newline46mondego>         Logger.getAnonymousLogger().info(<doubleQuotes46>Invoked<doubleQuotes46>);<newline46mondego>         return destination;<newline46mondego>      }<newline46mondego><newline46mondego>      @Override<newline46mondego>      public A convertFrom(B source, A destination) {<newline46mondego>         Logger.getAnonymousLogger().info(<doubleQuotes46>Invoked<doubleQuotes46>);<newline46mondego>         return destination;<newline46mondego>      }<newline46mondego>   }<newline46mondego><newline46mondego>   public static void main(String[] args) {<newline46mondego><newline46mondego>      DozerBeanMapper mapper = new DozerBeanMapper();<newline46mondego>      mapper.setCustomConverters(Collections.<CustomConverter> singletonList(new ConverterImpl()));<newline46mondego>      BeanMappingBuilder foo = new BeanMappingBuilder() {<newline46mondego><newline46mondego>         @Override<newline46mondego>         protected void configure() {<newline46mondego>            mapping(ContainerA.class, ContainerB.class).fields(<doubleQuotes46>a<doubleQuotes46>, <doubleQuotes46>b<doubleQuotes46>, FieldsMappingOptions.customConverter(ConverterImpl.class));<newline46mondego>         }<newline46mondego>      };<newline46mondego>      mapper.setMappings(Collections.singletonList(foo));<newline46mondego>      ContainerA containerA = new ContainerA();<newline46mondego>      containerA.a = new A();<newline46mondego>      ContainerB containerB = mapper.map(containerA, ContainerB.class);<newline46mondego>   }<newline46mondego>}<newline46mondego>"
"129splitHere46","10581322splitHere46","this"
"130splitHere46","10581322splitHere46","((JMenutItem)event.getSource())"
"131splitHere46","10581322splitHere46","for (final HashMap h : menuLijst) {<newline46mondego>    final String vraag = (String) h.get(<doubleQuotes46>vraag<doubleQuotes46>);<newline46mondego>    final JMenuItem qMenu = new JMenuItem(vraag);<newline46mondego>    informatie.add(qMenu);<newline46mondego>    qMenu.addActionListener(new ActionListener() {<newline46mondego>         public void actionPerformed(ActionEvent event) {<newline46mondego>               // here event.getSource() is the same as qMenu<newline46mondego>               System.out.println(<doubleQuotes46>Menu <doubleQuotes46>+qMenu+<doubleQuotes46> with label <doubleQuotes46>+vraag+<doubleQuotes46> has been pressed<doubleQuotes46>);<newline46mondego>               System.out.println(<doubleQuotes46>HashMap is <doubleQuotes46>+h);<newline46mondego>         }<newline46mondego>    });<newline46mondego>}<newline46mondego>"
"132splitHere46","10581322splitHere46","HashMap"
"133splitHere46","10581322splitHere46","public class MyClass {<newline46mondego>     private String vraag;<newline46mondego>     private String answer;<newline46mondego>     private int grade;<newline46mondego><newline46mondego>     // And getters and setters here.<newline46mondego>}<newline46mondego>"
"134splitHere46","10581322splitHere46","List<MyClass>"
"135splitHere46","10581322splitHere46","List<HashMap>"
"136splitHere46","10581414splitHere46","sortA"
"137splitHere46","10581414splitHere46","synchronized"
"138splitHere46","10581414splitHere46","getList"
"139splitHere46","10581414splitHere46","List"
"140splitHere46","10581414splitHere46","List"
"141splitHere46","10581414splitHere46","Arrays.asList"
"142splitHere46","10581414splitHere46","List"
"143splitHere46","10581414splitHere46","Changes to the returned list <doubleQuotes46>write through<doubleQuotes46> to the array."
"144splitHere46","10581608splitHere46","java"
"145splitHere46","10581608splitHere46","javac -cp . testpackage/Test.java"
"146splitHere46","10581608splitHere46","Test.class"
"147splitHere46","10581608splitHere46","java -cp . testpackage.Test"
"148splitHere46","10581608splitHere46",".class"
"149splitHere46","10581637splitHere46","http://example.com/foo/bar/1/?id=/foo/bar/xyz/<newline46mondego>http://example.com/foo/bar/1/?id=../xyz/<newline46mondego>"
"150splitHere46","10581666splitHere46","Collections.sort(fruits);<newline46mondego><newline46mondego>public class Fruit implements Comparable {<newline46mondego><newline46mondego>    public int compareTo(Object o) {            <newline46mondego>        Fruit f = (Fruit) o;<newline46mondego>        return this.getName().compareTo(f.getName());<newline46mondego>    }<newline46mondego><newline46mondego>}<newline46mondego>"
"151splitHere46","10581679splitHere46","public Set<B> getBs(){<newline46mondego>    Iterator<A> iterator = myFunc.iterator();<newline46mondego>    Set<B> result = new HashSet<B>();<newline46mondego>    while (iterator.hasNext()) {<newline46mondego>        result.add((B) iterator.next();<newline46mondego>    }<newline46mondego>    return result;<newline46mondego>}<newline46mondego>"
"152splitHere46","10581679splitHere46","A"
"153splitHere46","10581679splitHere46","B"
"154splitHere46","10581679splitHere46","public Set<B> getBs(){<newline46mondego>    Iterator<A> iterator = myFunc.iterator();<newline46mondego>    Set<B> result = new HashSet<B>();<newline46mondego>    while (iterator.hasNext()) {<newline46mondego>        A a = iterator.next();<newline46mondego>        if (a instanceof B) {<newline46mondego>            result.add((B) iterator.next();<newline46mondego>        }<newline46mondego>    }<newline46mondego>    return result;<newline46mondego>}<newline46mondego>"
"155splitHere46","10581679splitHere46","return Sets.newHashSet(Iterators.filter(myFunc.iterator(), B.class));<newline46mondego>"
"156splitHere46","10581818splitHere46","com.myservername.myapp.database <newline46mondego>com.myservername.myapp.layout<newline46mondego>"
"157splitHere46","10581818splitHere46","import com.myservername.myapp.database.MyClass;<newline46mondego>"
"158splitHere46","10581962splitHere46","//TODO Change this later"
"159splitHere46","10581962splitHere46","TODO"
"160splitHere46","10581962splitHere46","public static void main(String[] args) {<newline46mondego>    //TODO Change this line before final build.<newline46mondego>    String mode = <doubleQuotes46>DEV<doubleQuotes46><newline46mondego>}<newline46mondego>"
"161splitHere46","10581962splitHere46","Window > Show View > Markers"
"162splitHere46","10581962splitHere46","FIXME"
"163splitHere46","10581962splitHere46","XXX"
"164splitHere46","10581962splitHere46","TODO"
"165splitHere46","10581962splitHere46","NORMAL"
"166splitHere46","10581962splitHere46","FIXME"
"167splitHere46","10581962splitHere46","HIGH"
"168splitHere46","10582086splitHere46","map.entrySet().iterator()"
"169splitHere46","10582212splitHere46","ens.login"
"170splitHere46","10582212splitHere46","static"
"171splitHere46","10582212splitHere46","MVC"
"172splitHere46","10582212splitHere46","JFrame"
"173splitHere46","10582212splitHere46","class1 {<newline46mondego>        class2 frame2 = new class2();<newline46mondego>        void login(){<newline46mondego>            String x = loginField.getText();<newline46mondego>            edu.app.persist.teach ens= new edu.app.persist.teach(x);<newline46mondego>            class2.setLogin(x);<newline46mondego>        }<newline46mondego>   }<newline46mondego><newline46mondego>   class2 extends JFrame{<newline46mondego>       String login;<newline46mondego>       String getLogin(){..}<newline46mondego>       void setLogin(String s){..}<newline46mondego>       .<newline46mondego>       .<newline46mondego>   }<newline46mondego>"
