"1splitHere46","2912173splitHere46","SimpleDateFormat formatter = new SimpleDateFormat(<doubleQuotes46>EEE, d MMM yyyy 'at' hh:mma<doubleQuotes46>);<newline46mondego>"
"39splitHere46","2913319splitHere46","m = (sqrt(8n+1) - 1) / 2<newline46mondego>"
"40splitHere46","2913319splitHere46","n"
"41splitHere46","2913319splitHere46","8n+1"
"42splitHere46","2913423splitHere46","JPanel"
"43splitHere46","2913423splitHere46","setUpTableData()"
"44splitHere46","2913423splitHere46","ActionListener"
"45splitHere46","2913423splitHere46","public EditFrame(CustomerListFrame cListFrame, ... other params) {<newline46mondego>    this.cListFrame = cListFrame;<newline46mondego>}<newline46mondego>"
"46splitHere46","2913423splitHere46","public void actionPerforment(ActionEvent e) {<newline46mondego>    cListFrame.setUpTableData(the new data);<newline46mondego>}<newline46mondego>"
"47splitHere46","2913429splitHere46","<project><newline46mondego>  ...<newline46mondego>  <reporting><newline46mondego>    <plugins><newline46mondego>      <plugin><newline46mondego>        <groupId>org.apache.maven.plugins</groupId><newline46mondego>        <artifactId>maven-plugin-plugin</artifactId><newline46mondego>        <version>2.5.1</version><newline46mondego>      </plugin><newline46mondego>    </plugins><newline46mondego>  </reporting>    <newline46mondego>  ...<newline46mondego></project><newline46mondego>"
"48splitHere46","2913732splitHere46","warning: [unchecked] unchecked cast found<newline46mondego>"
"49splitHere46","2913732splitHere46","@SuppressWarnings(<doubleQuotes46>unchecked<doubleQuotes46>)"
"50splitHere46","2913732splitHere46","<identifier> expected<newline46mondego>"
"51splitHere46","2913732splitHere46","ROIs"
"52splitHere46","2913732splitHere46","java.io.NotSerializableException: myROI<newline46mondego>"
"53splitHere46","2913732splitHere46","implements Serializable"
"54splitHere46","2913732splitHere46","String"
"55splitHere46","2913732splitHere46","transient"
"56splitHere46","2913732splitHere46","private void readObject()"
"57splitHere46","2913732splitHere46","private void writeObject()"
"58splitHere46","2913732splitHere46","public class SerializableObject implements Serializable {<newline46mondego><newline46mondego>    private transient UnserializableObject unserializableObject;<newline46mondego><newline46mondego>    private void writeObject(ObjectOutputStream oos) throws IOException {<newline46mondego>        oos.defaultWriteObject();<newline46mondego>        oos.writeObject(unserializableObject.getSerializableProperty());<newline46mondego>        oos.writeObject(unserializableObject.getAnotherSerializableProperty());<newline46mondego>        // ...<newline46mondego>    }<newline46mondego><newline46mondego>    private void readObject(ObjectInputStream ois) throws ClassNotFoundException, IOException {<newline46mondego>        ois.defaultReadObject();<newline46mondego>        unserializableObject = new UnserializableObject();<newline46mondego>        unserializableObject.setSerializableProperty((SomeSerializableObject) ois.readObject());<newline46mondego>        unserializableObject.setAnotherSerializableProperty((AnotherSerializableObject) ois.readObject());<newline46mondego>        // ...<newline46mondego>    }<newline46mondego><newline46mondego>}<newline46mondego>"
"59splitHere46","2913775splitHere46","@Temporal"
"60splitHere46","2913775splitHere46","TemporalType.DATETIME"
"61splitHere46","2913876splitHere46","children"
"62splitHere46","2913876splitHere46","lazy=<doubleQuotes46>extra<doubleQuotes46>"
"63splitHere46","2913876splitHere46","parent.getChildren().size()"
"64splitHere46","2913876splitHere46","SELECT COUNT"
"65splitHere46","2913876splitHere46","@OneToMany<newline46mondego>@org.hibernate.annotations.LazyCollection(<newline46mondego>org.hibernate.annotations.LazyCollectionOption.EXTRA<newline46mondego>)<newline46mondego>private Set<Child> children = new HashSet<Child>();<newline46mondego>"
"66splitHere46","2913876splitHere46","size()"
"67splitHere46","2913876splitHere46","contains()"
"68splitHere46","2913876splitHere46","size()"
"69splitHere46","2913876splitHere46","contains()"
"70splitHere46","2913876splitHere46","isEmpty()"
"71splitHere46","2913876splitHere46","Map"
"72splitHere46","2913876splitHere46","List"
"73splitHere46","2913876splitHere46","containsKey()"
"74splitHere46","2913876splitHere46","get()"
"75splitHere46","2913876splitHere46","Parent p = // execute query to load desired parent<newline46mondego>// due to lazy loading, at this point p.children is a proxy object<newline46mondego>int count = p.getChildren().size(); // the collection is not loaded, only its size<newline46mondego>"
"76splitHere46","2913939splitHere46","<link href=<doubleQuotes46>/abc/Login/Css/MainStyleSheet.css<doubleQuotes46> rel=<doubleQuotes46>stylesheet<doubleQuotes46> type=<doubleQuotes46>text/css<doubleQuotes46> /><newline46mondego>"
"77splitHere46","2914131splitHere46","java.util.Random"
"78splitHere46","2914131splitHere46","nextInt(int)"
"79splitHere46","2914131splitHere46","JFrame.setLocation(int, int)"
"80splitHere46","2914131splitHere46","frame.setLocation(random.nextInt(500), random.nextInt(500));<newline46mondego>"
"81splitHere46","2914139splitHere46","String text = new String(bytes, <doubleQuotes46>Cp037<doubleQuotes46>);<newline46mondego>"
"82splitHere46","2914168splitHere46","int j=r-1"
"83splitHere46","2914168splitHere46","length-1"
"84splitHere46","2914168splitHere46","length-2"
"85splitHere46","2914393splitHere46","CodeSource#getLocation()"
"86splitHere46","2914393splitHere46","CodeSource"
"87splitHere46","2914393splitHere46","ProtectionDomain#getCodeSource()"
"88splitHere46","2914393splitHere46","ProtectionDomain"
"89splitHere46","2914393splitHere46","Class#getProtectionDomain()"
"90splitHere46","2914393splitHere46","URL location = getClass().getProtectionDomain().getCodeSource().getLocation();<newline46mondego>File file = new File(location.getPath());<newline46mondego>// ...<newline46mondego>"
"91splitHere46","2914393splitHere46","Class"
"92splitHere46","2914393splitHere46","ClassLoader#getResource()"
"93splitHere46","2914393splitHere46","ClassLoader classLoader = Thread.currentThread().getContextClassLoader();<newline46mondego>URL resource = classLoader.getResource(<doubleQuotes46>filename.ext<doubleQuotes46>);<newline46mondego>File file = new File(resource.getPath());<newline46mondego>// ...<newline46mondego>"
"94splitHere46","2914393splitHere46","InputStream"
"95splitHere46","2914393splitHere46","ClassLoader#getResourceAsStream()"
"96splitHere46","2914393splitHere46","InputStream input = classLoader.getResourceAsStream(<doubleQuotes46>filename.ext<doubleQuotes46>);<newline46mondego>// ...<newline46mondego>"
"97splitHere46","2914393splitHere46","com/example/filename.ext"
"98splitHere46","2914565splitHere46","class test {<newline46mondego>    private Object[] objects;<newline46mondego>    private int size;<newline46mondego><newline46mondego>    public test() {<newline46mondego>        objects = new Object[10];<newline46mondego>        size = 0;<newline46mondego>    }<newline46mondego><newline46mondego>    public void push(Object o) {<newline46mondego>        if (objects.length == size) {<newline46mondego>            throw new RuntimeException(<doubleQuotes46>This wouldn't happen if I didn't have to reinvent the wheel<doubleQuotes46>);<newline46mondego>        }<newline46mondego>        objects[size] = o;<newline46mondego>        size++;<newline46mondego>    }<newline46mondego><newline46mondego>    public Object pop() {<newline46mondego>        size--;<newline46mondego>        Object o = objects[size];<newline46mondego>        objects[size] = null;<newline46mondego>        return o;<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"99splitHere46","2914565splitHere46","class Element {<newline46mondego>    Object val;<newline46mondego>    Element next;<newline46mondego>    Element prev;<newline46mondego><newline46mondego>    public Element(Object val, Element next, Element prev) {<newline46mondego>        this.val = val;<newline46mondego>        this.next = next;<newline46mondego>        this.prev = prev;<newline46mondego>    }<newline46mondego><newline46mondego>}<newline46mondego><newline46mondego>class LinkedList {<newline46mondego>    Element head;<newline46mondego>    Element tail;<newline46mondego><newline46mondego>    public void add(Object o) {<newline46mondego>        Element el = new Element(o, null, tail);<newline46mondego>        tail.next = el;<newline46mondego>    }<newline46mondego><newline46mondego>    public Object remove() {<newline46mondego>        Element o = tail;<newline46mondego>        tail = o.prev;<newline46mondego>        tail.next = null;<newline46mondego>        return o.val;<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"100splitHere46","2914636splitHere46","Class<T>.getConstructors()"
"101splitHere46","2914636splitHere46","Constructor<?>[] getConstructors()"
"102splitHere46","2914636splitHere46","Constructor<T>"
"103splitHere46","2914636splitHere46","Constructor<?>[]"
"104splitHere46","2914636splitHere46","Constructor<T>[]"
"105splitHere46","2914636splitHere46","Constructor"
"106splitHere46","2914636splitHere46","Constructor<T>[]"
"107splitHere46","2914636splitHere46","Class<T>.getConstructor()"
"108splitHere46","2914636splitHere46","Constructor<T> getConstructor(Class<?>... parameterTypes)"
"109splitHere46","2914636splitHere46","Constructor<T>"
"110splitHere46","2914636splitHere46","Class<? extends Algorithm> alg"
"111splitHere46","2914636splitHere46","alg.getConstructor(parameterTypes)"
"112splitHere46","2914636splitHere46","Constructor<? extends Algorithm>"
"113splitHere46","2914636splitHere46","Constructor<Algorithm>"
"114splitHere46","2914636splitHere46","getConstructor(parameterTypes)"
"115splitHere46","2914636splitHere46","getConstructors()[arbitraryIndex]"
"116splitHere46","2914636splitHere46","getConstructors()[0]"
"117splitHere46","2914636splitHere46","Constructor<? extends Algorithm> nullaryConstructor = alg.getConstructor();<newline46mondego>"
"118splitHere46","2914636splitHere46","getConstructors()"
"119splitHere46","2914636splitHere46","Constructor<?>[]"
"120splitHere46","2914636splitHere46","getConstructor(parameterTypes)"
"121splitHere46","2914636splitHere46","Constructor<? extends Algorithm>"
"122splitHere46","2914636splitHere46","Constructor<Algorithm>"
"123splitHere46","2914636splitHere46","Class<T>.getConstructor(parameterTypes)"
"124splitHere46","2914636splitHere46","Constructor<T>"
"125splitHere46","2914636splitHere46","T"
"126splitHere46","2914636splitHere46","? extends Algorithm"
"127splitHere46","2914636splitHere46","<E extends Number>"
"128splitHere46","2914636splitHere46","<Number>"
"129splitHere46","2914636splitHere46","getConstructors()"
"130splitHere46","2914636splitHere46","Constructor<?>"
"131splitHere46","2914636splitHere46","getConstructors()"
"132splitHere46","2914636splitHere46","System.out.println(int.class.getConstructors().length); // prints <doubleQuotes46>0<doubleQuotes46><newline46mondego>    System.out.println(<newline46mondego>        int.class.getConstructors() == int.class.getConstructors()<newline46mondego>    ); // prints <doubleQuotes46>false<doubleQuotes46>!<newline46mondego>"
"133splitHere46","2914636splitHere46","getConstructors()"
"134splitHere46","2914636splitHere46","List<Constructor<T>>"
"135splitHere46","2914636splitHere46","Collections.unmodifiableList"
"136splitHere46","2914636splitHere46","Class<T>"
"137splitHere46","2914636splitHere46","List"
"138splitHere46","2914636splitHere46","getConstructors()"
"139splitHere46","2914676splitHere46","public String getID() {<newline46mondego>  return getClass().getName() + <doubleQuotes46>.<doubleQuotes46> + name();<newline46mondego>}<newline46mondego>"
"140splitHere46","2914744splitHere46","static public void print(Object s) {<newline46mondego>  System.out.println(s.toString());<newline46mondego>}<newline46mondego><newline46mondego>public static <T> void printArray(T[] arr) {<newline46mondego>  for (T t : arr) {<newline46mondego>    print(t);<newline46mondego>  }<newline46mondego>}<newline46mondego>"
"141splitHere46","2914744splitHere46","printArray"
"142splitHere46","2914744splitHere46","static public <T> void print(T... ts) {<newline46mondego>    for (T t : ts) {<newline46mondego>      System.out.print(t + <doubleQuotes46> <doubleQuotes46>);<newline46mondego>    }<newline46mondego>    System.out.println(<doubleQuotes46><doubleQuotes46>);<newline46mondego>}<newline46mondego>"
"143splitHere46","2914744splitHere46","int[] x = { 1, 2 };<newline46mondego>    print(x);<newline46mondego>"
"144splitHere46","2914744splitHere46","T"
"145splitHere46","2914744splitHere46","int[]"
"146splitHere46","2914744splitHere46","toString"
"147splitHere46","2914744splitHere46","Integer"
"148splitHere46","2914899splitHere46","// Make background transparent<newline46mondego>protected void paintBackground(Graphics graphics) {<newline46mondego>    XYRect xy = graphics.getClippingRect();<newline46mondego>    graphics.pushContext(xy, 0, 0);<newline46mondego>    graphics.setGlobalAlpha(0);<newline46mondego>    graphics.setColor(0xffffff);<newline46mondego>    graphics.fillRect(xy.x, xy.y, xy.width, xy.height);<newline46mondego>    graphics.popContext();<newline46mondego>}<newline46mondego>"
"149splitHere46","2914899splitHere46","public int getFieldAtLocation(int x, int y) {<newline46mondego>    return -1;<newline46mondego>}<newline46mondego>"
"150splitHere46","2915204splitHere46","FacesServlet#service()"
"151splitHere46","2915204splitHere46","try {<newline46mondego>    super.service(request, response);<newline46mondego>} catch (Throwable e) {<newline46mondego>    // ...<newline46mondego>}<newline46mondego>"
"152splitHere46","2915204splitHere46","FacesException"
"153splitHere46","2915204splitHere46","FacesException"
"154splitHere46","2915204splitHere46","null"
"155splitHere46","2915204splitHere46","FacesException"
"156splitHere46","2915204splitHere46","ServletException"
"157splitHere46","2915204splitHere46","FacesException"
"158splitHere46","2915204splitHere46","ServletException"
"159splitHere46","2915204splitHere46","ServletException"
"160splitHere46","2915204splitHere46","IOException"
"161splitHere46","2915204splitHere46","ServletException"
"162splitHere46","2915204splitHere46","ServletException"
"163splitHere46","2915204splitHere46","IOException"
"164splitHere46","2915204splitHere46","Throwable#getCause()"
"165splitHere46","2915204splitHere46","ServletException"
"166splitHere46","2915204splitHere46","if (e.getCause() instanceof NullPointerException) {<newline46mondego>    // ...<newline46mondego>}<newline46mondego>"
"167splitHere46","2915280splitHere46","javax.crypto.SecretKey"
"168splitHere46","2915280splitHere46","public static String bytesToString(byte[] b) {<newline46mondego>    byte[] b2 = new byte[b.length + 1];<newline46mondego>    b2[0] = 1;<newline46mondego>    System.arraycopy(b, 0, b2, 1, b.length);<newline46mondego>    return new BigInteger(b2).toString(36);<newline46mondego>}<newline46mondego><newline46mondego>public static byte[] stringToBytes(String s) {<newline46mondego>    byte[] b2 = new BigInteger(s, 36).toByteArray();<newline46mondego>    return Arrays.copyOfRange(b2, 1, b2.length);<newline46mondego>}<newline46mondego>"
"169splitHere46","2915280splitHere46","Character.MAX_RADIX"
"170splitHere46","2915389splitHere46","Infinite"
"171splitHere46","2915389splitHere46","console"
"172splitHere46","2915389splitHere46","console.wait()"
"173splitHere46","2915389splitHere46","console"
"174splitHere46","2915463splitHere46","ArrayList"
"175splitHere46","2915463splitHere46","ArrayList<Word> arr = new ArrayList<Word>(hw.values());<newline46mondego>"
"176splitHere46","2915463splitHere46","HashTable"
"177splitHere46","2915463splitHere46","ArrayList"
"178splitHere46","2915923splitHere46","String"
"179splitHere46","2915923splitHere46","//Format:<newline46mondego>//ID: [WARNING|ERROR|DEBUG] Message...<newline46mondego>String testLine = <doubleQuotes46>5AB729: WARNING Some really really really long message<doubleQuotes46>;<newline46mondego><newline46mondego>Matcher matcher = Pattern.compile(<doubleQuotes46>([A-Z0-9]*): WARNING.*<doubleQuotes46>).matcher(testLine);<newline46mondego>if ( matcher.matches() ) {<newline46mondego>    String id = matcher.group(1);<newline46mondego>        //...do something with id...<newline46mondego>}<newline46mondego>"
"180splitHere46","2915923splitHere46","//...<newline46mondego>    String id = matcher.group(1);<newline46mondego>    Field valueField = String.class.getDeclaredField(<doubleQuotes46>value<doubleQuotes46>);<newline46mondego>    valueField.setAccessible(true);<newline46mondego><newline46mondego>    char[] data = ((char[])valueField.get(id));<newline46mondego>    System.out.println(<doubleQuotes46>Actual data stored for string \<doubleQuotes46><doubleQuotes46> + id + <doubleQuotes46>\<doubleQuotes46>: <doubleQuotes46> + Arrays.toString(data) );<newline46mondego>"
"181splitHere46","2915923splitHere46","String id = matcher.group(1);"
"182splitHere46","2915923splitHere46","String id = new String(matcher.group(1));"
"183splitHere46","2916145splitHere46","server.Message"
"184splitHere46","2916145splitHere46","client.Message"
"185splitHere46","2916145splitHere46","shared.Message"
"186splitHere46","2916145splitHere46","serialVersionUID"
"187splitHere46","2916145splitHere46","package shared;<newline46mondego><newline46mondego>import java.io.Serializable;<newline46mondego><newline46mondego>public class Message implements Serializable {<newline46mondego>    private static final long serialVersionUID = 1L;<newline46mondego><newline46mondego>    // ...<newline46mondego>}<newline46mondego>"
"188splitHere46","2916857splitHere46","target/generated-sources/<generator>"
"189splitHere46","2916857splitHere46","target/generated-sources/hibernate3"
"190splitHere46","2916857splitHere46","build-helper:add-source"
"191splitHere46","2916857splitHere46","hibernate3:hbm2java"
"192splitHere46","2916923splitHere46","def intArray = args[2..-1].collect { it as int } as int[]<newline46mondego>"
"193splitHere46","2916923splitHere46","2..-1"
"194splitHere46","2916923splitHere46","collect"
"195splitHere46","2916923splitHere46","as int[]"
"196splitHere46","2916923splitHere46","int"
"197splitHere46","2916923splitHere46","java.lang.Integer"
"198splitHere46","2916923splitHere46","collect"
"199splitHere46","2916923splitHere46","*."
"200splitHere46","2916923splitHere46","asType(int)"
"201splitHere46","2916923splitHere46","as int"
"202splitHere46","2916923splitHere46","def intArray = args[2..-1]*.asType(int) as int[]<newline46mondego>"
"203splitHere46","2917053splitHere46","<xsl:stylesheet version=<doubleQuotes46>1.0<doubleQuotes46><newline46mondego> xmlns:xsl=<doubleQuotes46>http://www.w3.org/1999/XSL/Transform<doubleQuotes46><newline46mondego> xmlns:redirect=<doubleQuotes46>my:redirect<doubleQuotes46><newline46mondego> ><newline46mondego> <xsl:output omit-xml-declaration=<doubleQuotes46>yes<doubleQuotes46> indent=<doubleQuotes46>yes<doubleQuotes46>/><newline46mondego> <xsl:strip-space elements=<doubleQuotes46>*<doubleQuotes46>/><newline46mondego><newline46mondego> <xsl:template match=<doubleQuotes46>node()|@*<doubleQuotes46>><newline46mondego>  <xsl:copy><newline46mondego>   <xsl:apply-templates select=<doubleQuotes46>node()|@*<doubleQuotes46>/><newline46mondego>  </xsl:copy><newline46mondego> </xsl:template><newline46mondego><newline46mondego> <xsl:template match=<doubleQuotes46>filename<doubleQuotes46>><newline46mondego>   <xsl:variable name=<doubleQuotes46>tempName<doubleQuotes46>><newline46mondego>     <xsl:choose><newline46mondego>      <xsl:when test=<doubleQuotes46>text()<doubleQuotes46>><newline46mondego>        <xsl:value-of select=<doubleQuotes46>.<doubleQuotes46>/><newline46mondego>      </xsl:when><newline46mondego>      <xsl:otherwise>filenameB</xsl:otherwise><newline46mondego>     </xsl:choose><newline46mondego>   </xsl:variable><newline46mondego><newline46mondego>   <redirect:write select=<doubleQuotes46>..\\folder\\{$tempName}.xml<doubleQuotes46>/><newline46mondego> </xsl:template><newline46mondego></xsl:stylesheet><newline46mondego>"
"204splitHere46","2917053splitHere46","<t xmlns:redirect=<doubleQuotes46>my:redirect<doubleQuotes46>><newline46mondego>  <filename>Z</filename><newline46mondego>  <filename/><newline46mondego></t><newline46mondego>"
"205splitHere46","2917053splitHere46","<t xmlns:redirect=<doubleQuotes46>my:redirect<doubleQuotes46>><newline46mondego>    <redirect:write select=<doubleQuotes46>..\\folder\\Z.xml<doubleQuotes46> /><newline46mondego>    <redirect:write select=<doubleQuotes46>..\\folder\\filenameB.xml<doubleQuotes46> /><newline46mondego>   </t><newline46mondego>"
"206splitHere46","2917053splitHere46","<xsl:choose>"
"207splitHere46","2917229splitHere46","Thread"
"208splitHere46","2917229splitHere46","Thread"
"209splitHere46","2917229splitHere46","public class Task extends Thread {<newline46mondego>    private Entity entity;<newline46mondego>    public Task(Entity entity) {<newline46mondego>        this.entity = entity;<newline46mondego>    }<newline46mondego>    public void run() {<newline46mondego>        entity.setStatus(Status.RUNNING);<newline46mondego>        // ...<newline46mondego>        // Long running task here.<newline46mondego>        // ...<newline46mondego>        entity.setStatus(Status.FINISHED);<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"210splitHere46","2917229splitHere46","public synchronized void foo(Entity entity) {<newline46mondego>    if (entity.getStatus() == Status.READY) {<newline46mondego>        new Task(entity).start();<newline46mondego>    } else {<newline46mondego>        // ...<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"211splitHere46","2917229splitHere46","Status"
"212splitHere46","2917229splitHere46","switch"
