"1splitHere46","2439788splitHere46","public int foo() {...}<newline46mondego>public float foo() {..}<newline46mondego><newline46mondego>...<newline46mondego>foo(); // which one?<newline46mondego>"
"31splitHere46","2440369splitHere46","public class Task extends Thread {<newline46mondego>    public void run() {<newline46mondego>        // ...<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"32splitHere46","2440369splitHere46","Task task = new Task();<newline46mondego>"
"33splitHere46","2440369splitHere46","Runnable"
"34splitHere46","2440369splitHere46","public class Task implements Runnable {<newline46mondego>    public void run() {<newline46mondego>        // ...<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"35splitHere46","2440369splitHere46","Thread"
"36splitHere46","2440369splitHere46","Callable<T>"
"37splitHere46","2440369splitHere46","T"
"38splitHere46","2440369splitHere46","public class Task implements Callable<String> {<newline46mondego>    public String call() {<newline46mondego>        // ...<newline46mondego>        return <doubleQuotes46>string<doubleQuotes46>;<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"39splitHere46","2440369splitHere46","ExecutorService"
"40splitHere46","2440444splitHere46","setLayout(new BorderLayout());<newline46mondego>add(t, BorderLayout.CENTER);<newline46mondego>"
"41splitHere46","2440474splitHere46","class A<E extends MyInterface><newline46mondego>{<newline46mondego><newline46mondego>}<newline46mondego>"
"42splitHere46","2440564splitHere46","<?xml version=<doubleQuotes46>1.0<doubleQuotes46> encoding=<doubleQuotes46>utf-8<doubleQuotes46>?><newline46mondego><newline46mondego><RelativeLayout<newline46mondego>    android:layout_width=<doubleQuotes46>fill_parent<doubleQuotes46><newline46mondego>    android:layout_height=<doubleQuotes46>fill_parent<doubleQuotes46><newline46mondego>    xmlns:android=<doubleQuotes46>http://schemas.android.com/apk/res/android<doubleQuotes46><newline46mondego>    android:id=<doubleQuotes46>@+id/main_layout<doubleQuotes46>><newline46mondego>    <LinearLayout<newline46mondego>        android:layout_height=<doubleQuotes46>wrap_content<doubleQuotes46><newline46mondego>        android:id=<doubleQuotes46>@+id/button_layout<doubleQuotes46><newline46mondego>        android:layout_alignParentBottom=<doubleQuotes46>true<doubleQuotes46><newline46mondego>        android:layout_width=<doubleQuotes46>fill_parent<doubleQuotes46><newline46mondego>        android:gravity=<doubleQuotes46>center<doubleQuotes46>><newline46mondego>        <Button<newline46mondego>            android:id=<doubleQuotes46>@+id/Button01<doubleQuotes46><newline46mondego>            android:layout_width=<doubleQuotes46>wrap_content<doubleQuotes46><newline46mondego>            android:layout_height=<doubleQuotes46>wrap_content<doubleQuotes46><newline46mondego>            android:text=<doubleQuotes46>Button 1<doubleQuotes46>></Button><newline46mondego>        <Button<newline46mondego>            android:id=<doubleQuotes46>@+id/Button02<doubleQuotes46><newline46mondego>            android:layout_width=<doubleQuotes46>wrap_content<doubleQuotes46><newline46mondego>            android:layout_height=<doubleQuotes46>wrap_content<doubleQuotes46><newline46mondego>            android:text=<doubleQuotes46>Button 2<doubleQuotes46>></Button><newline46mondego>        <Button<newline46mondego>            android:id=<doubleQuotes46>@+id/Button03<doubleQuotes46><newline46mondego>            android:layout_width=<doubleQuotes46>wrap_content<doubleQuotes46><newline46mondego>            android:layout_height=<doubleQuotes46>wrap_content<doubleQuotes46><newline46mondego>            android:text=<doubleQuotes46>Button 3<doubleQuotes46>></Button><newline46mondego>    </LinearLayout><newline46mondego>    <FrameLayout<newline46mondego>        android:layout_width=<doubleQuotes46>fill_parent<doubleQuotes46><newline46mondego>        android:layout_height=<doubleQuotes46>fill_parent<doubleQuotes46><newline46mondego>        android:layout_above=<doubleQuotes46>@+id/button_layout<doubleQuotes46><newline46mondego>        android:id=<doubleQuotes46>@+id/content<doubleQuotes46>><newline46mondego>        <ListView<newline46mondego>            android:id=<doubleQuotes46>@+id/ListView01<doubleQuotes46><newline46mondego>            android:layout_height=<doubleQuotes46>fill_parent<doubleQuotes46><newline46mondego>            android:layout_width=<doubleQuotes46>fill_parent<doubleQuotes46>></ListView><newline46mondego>    </FrameLayout><newline46mondego></RelativeLayout><newline46mondego>"
"43splitHere46","2440607splitHere46","List<Item> info = new ArrayList<Item>();<newline46mondego>"
"44splitHere46","2440607splitHere46","info"
"45splitHere46","2440607splitHere46","Item"
"46splitHere46","2440607splitHere46","interface Item { ... }<newline46mondego>class Folder implements Item { ... }<newline46mondego><newline46mondego>Item it = new Folder();<newline46mondego>"
"47splitHere46","2440607splitHere46","it"
"48splitHere46","2440607splitHere46","Folder"
"49splitHere46","2440607splitHere46","Item"
"50splitHere46","2440797splitHere46","[n, m)"
"51splitHere46","2440797splitHere46","m-n"
"52splitHere46","2440797splitHere46","m-n+1"
"53splitHere46","2440797splitHere46","[n, n)"
"54splitHere46","2440797splitHere46","[n, n-1]"
"55splitHere46","2440797splitHere46","n"
"56splitHere46","2440797splitHere46","n == 0"
"57splitHere46","2440797splitHere46","[13, 42)"
"58splitHere46","2440797splitHere46","[13, 41.999999999999]"
"59splitHere46","2440797splitHere46","+1"
"60splitHere46","2440797splitHere46","-1"
"61splitHere46","2440797splitHere46","if( find( [begin, end) ) == end)"
"62splitHere46","2440797splitHere46","[0 .. 0]"
"63splitHere46","2440797splitHere46","[x .. $]"
"64splitHere46","2440797splitHere46","[0 .. x]"
"65splitHere46","2440797splitHere46","[x .. $]"
"66splitHere46","2440797splitHere46","['a' ... 'z']"
"67splitHere46","2440797splitHere46","+ 1"
"68splitHere46","2440797splitHere46","'z'"
"69splitHere46","2440797splitHere46","[0 ... uint.max]"
"70splitHere46","2440797splitHere46","numberIsInRange(int n, int min, int max)"
"71splitHere46","2440797splitHere46","Integer.MAX_VALUE"
"72splitHere46","2440867splitHere46","import java.util.*;<newline46mondego>"
"73splitHere46","2440867splitHere46","Map map = new HashMap();<newline46mondego>"
"74splitHere46","2440867splitHere46","java.util.Map map = new java.util.HashMap();<newline46mondego>"
"75splitHere46","2440925splitHere46","enum"
"76splitHere46","2440925splitHere46","String"
"77splitHere46","2440925splitHere46","toString()"
"78splitHere46","2440925splitHere46","enum"
"79splitHere46","2440925splitHere46","Map"
"80splitHere46","2440925splitHere46","Set"
"81splitHere46","2440925splitHere46","enum"
"82splitHere46","2440925splitHere46","enum"
"83splitHere46","2440925splitHere46","Object o = map.get(Options.OPTION_1);<newline46mondego> //This won't work as intended if the Map key is a String<newline46mondego>"
"84splitHere46","2440925splitHere46","String"
"85splitHere46","2440925splitHere46","Map<Options, Something>"
"86splitHere46","2440970splitHere46","int n = messageBox.showConfirmDialog(frame,<newline46mondego><doubleQuotes46><html>The File <b><doubleQuotes46>+ file +<doubleQuotes46></b> already exists.<doubleQuotes46> +<newline46mondego><doubleQuotes46>\n<doubleQuotes46> + <doubleQuotes46>Do you want to replace it?</html><doubleQuotes46>,<newline46mondego><doubleQuotes46>File Already Exists!<doubleQuotes46>,<newline46mondego>messageBox.YES_NO_OPTION);<newline46mondego>"
"87splitHere46","2441056splitHere46","01:52:07,313 INFO  [JBossASKernel] Created KernelDeployment for: sandbox-services-1.0-SNAPSHOT.jar<newline46mondego>01:52:07,313 INFO  [JBossASKernel] installing bean: jboss.j2ee:jar=sandbox-services-1.0-SNAPSHOT.jar,name=EchoBean,service=EJB3<newline46mondego>01:52:07,314 INFO  [JBossASKernel]   with dependencies:<newline46mondego>01:52:07,314 INFO  [JBossASKernel]   and demands:<newline46mondego>01:52:07,314 INFO  [JBossASKernel]  jboss.ejb:service=EJBTimerService<newline46mondego>01:52:07,314 INFO  [JBossASKernel]   and supplies:<newline46mondego>01:52:07,314 INFO  [JBossASKernel]  Class:com.stackoverflow.q2440956.samples.services.hello.Echo<newline46mondego>01:52:07,314 INFO  [JBossASKernel]  jndi:EchoBean/remote-com.stackoverflow.q2440956.samples.services.hello.Echo<newline46mondego>01:52:07,314 INFO  [JBossASKernel]  jndi:EchoBean/remote<newline46mondego>01:52:07,314 INFO  [JBossASKernel] Added bean(jboss.j2ee:jar=sandbox-services-1.0-SNAPSHOT.jar,name=EchoBean,service=EJB3) to KernelDeployment of: sandbox-services-1.0-SNAPSHOT.jar<newline46mondego>01:52:07,315 INFO  [EJB3EndpointDeployer] Deploy AbstractBeanMetaData@a130d1{name=jboss.j2ee:jar=sandbox-services-1.0-SNAPSHOT.jar,name=EchoBean,service=EJB3_endpoint bean=org.jboss.ejb3.endpoint.deployers.impl.EndpointImpl properties=[container] constructor=null autowireCandidate=true}<newline46mondego>01:52:07,381 INFO  [SessionSpecContainer] Starting jboss.j2ee:jar=sandbox-services-1.0-SNAPSHOT.jar,name=EchoBean,service=EJB3<newline46mondego>01:52:07,382 INFO  [EJBContainer] STARTED EJB: com.stackoverflow.q2440956.samples.services.hello.EchoBean ejbName: EchoBean<newline46mondego>01:52:07,412 INFO  [JndiSessionRegistrarBase] Binding the following Entries in Global JNDI:<newline46mondego><newline46mondego>    EchoBean/remote - EJB3.x Default Remote Business Interface<newline46mondego>    EchoBean/remote-com.stackoverflow.q2440956.samples.services.hello.Echo - EJB3.x Remote Business Interface<newline46mondego>"
"88splitHere46","2441056splitHere46","@Stateless<newline46mondego>public class EchoBean implements Echo {<newline46mondego>    ...<newline46mondego>}<newline46mondego>"
"89splitHere46","2441056splitHere46","@Remote<newline46mondego>public interface Echo {<newline46mondego>    String echo(final String in);<newline46mondego>}<newline46mondego>"
"90splitHere46","2441402splitHere46","volatile"
"91splitHere46","2441402splitHere46","a = one;<newline46mondego>b = two;<newline46mondego>"
"92splitHere46","2441402splitHere46","one"
"93splitHere46","2441402splitHere46","a"
"94splitHere46","2441402splitHere46","b"
"95splitHere46","2441402splitHere46","two"
"96splitHere46","2441402splitHere46","volatile"
"97splitHere46","2441402splitHere46","one"
"98splitHere46","2441402splitHere46","two"
"99splitHere46","2441423splitHere46","public class Testclass extends ArrayList<Object>, implements Iterable<Object> { }"
"100splitHere46","2441423splitHere46",","
"101splitHere46","2441523splitHere46","StringBuilder"
"102splitHere46","2441523splitHere46","reverse()"
"103splitHere46","2441523splitHere46","String source = <doubleQuotes46>Hello World<doubleQuotes46>;<newline46mondego><newline46mondego>for (String part : source.split(<doubleQuotes46> <doubleQuotes46>)) {<newline46mondego>    System.out.print(new StringBuilder(part).reverse().toString());<newline46mondego>    System.out.print(<doubleQuotes46> <doubleQuotes46>);<newline46mondego>}<newline46mondego>"
"104splitHere46","2441523splitHere46","olleH dlroW <newline46mondego>"
"105splitHere46","2441729splitHere46","Runnable"
"106splitHere46","2441729splitHere46","display.syncExec"
"107splitHere46","2441729splitHere46","run"
"108splitHere46","2441729splitHere46","setXXX"
"109splitHere46","2441776splitHere46","-classpath classpath<newline46mondego>"
"110splitHere46","2441776splitHere46","-sourcepath sourcepath<newline46mondego>"
"111splitHere46","2442026splitHere46","mappingLocation = (String) iter.next();<newline46mondego>                URL mappingResource = getClass().getClassLoader()<newline46mondego>                        .getResource(mappingLocation);<newline46mondego>                mapping.loadMapping(new InputSource(mappingResource<newline46mondego>                        .openStream()));  // NPE occurs on this line.<newline46mondego>"
"112splitHere46","2442026splitHere46","DistributionSamplerMappings.xml"
"113splitHere46","2442026splitHere46","WEB-INF/classes"
"114splitHere46","2442122splitHere46","setMinimumSize()"
"115splitHere46","2442122splitHere46","setMaximumSize()"
"116splitHere46","2442373splitHere46","List<T>"
"117splitHere46","2442373splitHere46","Collection<T>"
"118splitHere46","2442373splitHere46","Iterable<T>"
"119splitHere46","2442373splitHere46","Arrays.asList"
"120splitHere46","2442373splitHere46","IEnumerable<T>"
"121splitHere46","2442373splitHere46","IList<T>"
"122splitHere46","2442488splitHere46","output"
"123splitHere46","2442488splitHere46","FileReader fileReader = new FileReader(input);<newline46mondego><newline46mondego>    try {<newline46mondego>        FileWriter fileWriter = new FileWriter(output);<newline46mondego>        try {<newline46mondego>            // may throw something<newline46mondego>            sourceXmlToBeautifiedXml(fileReader, fileWriter);<newline46mondego>        } finally {<newline46mondego>            fileWriter.close();<newline46mondego>        }<newline46mondego>    } finally {<newline46mondego>        fileReader.close();<newline46mondego>    }<newline46mondego>"
"124splitHere46","2442488splitHere46","try (<newline46mondego>    FileReader fileReader = new FileReader(input); <newline46mondego>    FileWriter fileWriter = new FileWriter(output)<newline46mondego>) {<newline46mondego>    // may throw something<newline46mondego>    sourceXmlToBeautifiedXml(fileReader, fileWriter);<newline46mondego>}<newline46mondego>"
"125splitHere46","2442511splitHere46","int seconds = Days.ONE.toStandardSeconds();<newline46mondego>"
"126splitHere46","2442528splitHere46","SwingUtilities.invokeLater(new Runnable() {<newline46mondego>    public void run() {<newline46mondego>        pane.getVerticalScrollBar().setValue(0);<newline46mondego>    }<newline46mondego>});<newline46mondego>"
"127splitHere46","2442540splitHere46","a"
"128splitHere46","2442540splitHere46","a"
"129splitHere46","2442540splitHere46","a"
"130splitHere46","2442540splitHere46","this"
"131splitHere46","2442540splitHere46","public void setA(String a) {<newline46mondego>  this.a = a;<newline46mondego>}<newline46mondego>"
"132splitHere46","2442610splitHere46","Dimension dim = Toolkit.getDefaultToolkit().getScreenSize();<newline46mondego>this.setLocation(dim.width/2-this.getSize().width/2, dim.height/2-this.getSize().height/2);<newline46mondego>"
"133splitHere46","2442610splitHere46","this"
"134splitHere46","2442640splitHere46","class DeviceController<newline46mondego>  class << self<newline46mondego>    def my_public_device;  @my_public_device  ||= Device['mydevice'] end<newline46mondego><newline46mondego>    private<newline46mondego><newline46mondego>    def my_private_device; @my_private_device ||= Device['mydevice'] end<newline46mondego>  end<newline46mondego>end<newline46mondego>"
"135splitHere46","2442640splitHere46","class DeviceController<newline46mondego>  @my_public_device  ||= Device['mydevice']<newline46mondego>  @my_private_device ||= Device['mydevice']<newline46mondego><newline46mondego>  class << self<newline46mondego>    attr_reader :my_public_device, :my_private_device<newline46mondego>    private :my_private_device<newline46mondego>  end<newline46mondego>end<newline46mondego>"
"136splitHere46","2442640splitHere46","Object#instance_variable_set"
"137splitHere46","2442640splitHere46","Class"
"138splitHere46","2442640splitHere46","@@sigil"
"139splitHere46","2442640splitHere46","$$var"
"140splitHere46","2442640splitHere46","@@var"
"141splitHere46","2442640splitHere46","const"
"142splitHere46","2442640splitHere46","final"
"143splitHere46","2442640splitHere46","static"
"144splitHere46","2442640splitHere46","public"
"145splitHere46","2442640splitHere46","private static final"
"146splitHere46","2442640splitHere46","||="
"147splitHere46","2442640splitHere46","@my_public_device"
"148splitHere46","2442640splitHere46","class DeviceController<newline46mondego>  class << self<newline46mondego>    my_public_device, my_private_device = Device['mydevice'], Device['mydevice']<newline46mondego><newline46mondego>    define_method :my_public_device  do my_public_device  end<newline46mondego>    define_method :my_private_device do my_private_device end<newline46mondego><newline46mondego>    private :my_private_device<newline46mondego>  end # <- here the variables fall out of scope and can never be accessed again<newline46mondego>end<newline46mondego>"
"149splitHere46","2442640splitHere46","@"
"150splitHere46","2442640splitHere46","final"
"151splitHere46","2442685splitHere46","void"
"152splitHere46","2442685splitHere46","printPoint (blank); <newline46mondego>"
"153splitHere46","2442724splitHere46","new JFrame();<newline46mondego>"
"154splitHere46","2442724splitHere46","final JFrame jframe = new JFrame();<newline46mondego>final JPanel innerOne = new JPanel();<newline46mondego>jframe.add(innerOne);<newline46mondego>innerOne.add(otherComponents);<newline46mondego>"
"155splitHere46","2442724splitHere46","innerOne.add(new JButton(<doubleQuotes46>Hello World!<doubleQuotes46>));<newline46mondego>"
"156splitHere46","2442724splitHere46","BorderLayout.NORTH"
"157splitHere46","2442724splitHere46","SOUTH"
"158splitHere46","2442724splitHere46","innerOne.setLayout(...);<newline46mondego>"
"159splitHere46","2442724splitHere46","add"
"160splitHere46","2442724splitHere46","innerOne.setLayout(new BorderLayout());<newline46mondego>innerOne.add(..., BorderLayout.NORTH);<newline46mondego>"
"161splitHere46","2442724splitHere46","innerOne.setBorder(new TitledBorder(<doubleQuotes46>Hello World<doubleQuotes46>));<newline46mondego>"
"162splitHere46","2442834splitHere46","StartElement"
"163splitHere46","2442834splitHere46","EndElement"
"164splitHere46","2442834splitHere46","StartElement"
"165splitHere46","2442834splitHere46","EndElement"
"166splitHere46","2442834splitHere46","XMLEventReader"
"167splitHere46","2442834splitHere46","XMLEventReader"
"168splitHere46","2442834splitHere46","createXMLEventReader"
"169splitHere46","2442834splitHere46","XMLEventReader"
"170splitHere46","2442834splitHere46","XMLInputFactory"
"171splitHere46","2442834splitHere46","createXMLEventReader"
"172splitHere46","2442834splitHere46","XMLEventReader"
"173splitHere46","2442834splitHere46","XMLStreamWriter"
"174splitHere46","2442834splitHere46","writeEmptyElement"
"175splitHere46","2442834splitHere46","XMLStreamWriter"
"176splitHere46","2442953splitHere46","new TypeName(arguments)<newline46mondego>"
"177splitHere46","2442953splitHere46","TimeO sum = new TimeO();<newline46mondego>"
"178splitHere46","2442998splitHere46","URL url = new URL(<doubleQuotes46>http://www.shefinds.com/files/Christian-Louboutin-Décolleté-100-pumps.jpg<doubleQuotes46>);<newline46mondego>URLConnection connection = url.openConnection();<newline46mondego>InputStream input = connection.getInputStream();<newline46mondego>"
"179splitHere46","2442998splitHere46","URL url = new URL(<doubleQuotes46>http://www.shefinds.com/files/Christian-Louboutin-Décolleté-100-pumps.jpg<doubleQuotes46>);<newline46mondego>URLConnection connection = url.openConnection();<newline46mondego>connection.setRequestProperty(<doubleQuotes46>User-Agent<doubleQuotes46>, <doubleQuotes46>Mozilla/4.0<doubleQuotes46>);<newline46mondego>InputStream input = connection.getInputStream();<newline46mondego>OutputStream output = new FileOutputStream(<doubleQuotes46>/pic.jpg<doubleQuotes46>);<newline46mondego>for (int data = 0; (data = input.read()) != -1;) {<newline46mondego>    output.write(data));<newline46mondego>}<newline46mondego>"
"180splitHere46","2442998splitHere46","é"
"181splitHere46","2442998splitHere46","Ã©"
"182splitHere46","2442998splitHere46","-Dfile.encoding"
"183splitHere46","2442998splitHere46","-Dfile.encoding"
"184splitHere46","2442998splitHere46","é"
"185splitHere46","2443147splitHere46","public class TableColumnAdd {<newline46mondego>    private static DefaultTableModel tableModel;<newline46mondego>    private static int columnNumber = 1;<newline46mondego><newline46mondego>    public static void main(String[] args) throws InterruptedException, InvocationTargetException {<newline46mondego>        SwingUtilities.invokeAndWait(new Runnable() {<newline46mondego>            @Override<newline46mondego>            public void run() {<newline46mondego>                tableModel = new DefaultTableModel(new Object[] { <doubleQuotes46>Initial Column<doubleQuotes46> }, 5);<newline46mondego>                JTable table = new JTable(tableModel);<newline46mondego>                JFrame frame = new JFrame(<doubleQuotes46>Table Column Add<doubleQuotes46>);<newline46mondego>                frame.setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);<newline46mondego>                frame.setBounds(100, 100, 600, 300);<newline46mondego>                frame.add(new JScrollPane(table));<newline46mondego>                frame.setVisible(true);<newline46mondego>            }<newline46mondego>        });<newline46mondego><newline46mondego>        for (;;) {<newline46mondego>            SwingUtilities.invokeLater(new Runnable() {<newline46mondego>                @Override<newline46mondego>                public void run() {<newline46mondego>                    tableModel.addColumn(<doubleQuotes46>Column #<doubleQuotes46> + columnNumber++);<newline46mondego>                }<newline46mondego>            });<newline46mondego>            Thread.sleep(2000);<newline46mondego>        }<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"186splitHere46","2443251splitHere46","weak"
"187splitHere46","2443251splitHere46","weak"
"188splitHere46","2443251splitHere46","volatile"
"189splitHere46","2443271splitHere46","<% <newline46mondego>if(session.getAttribute(<doubleQuotes46>username<doubleQuotes46>) == null)<newline46mondego>{<newline46mondego>response.sendRedirect(<doubleQuotes46>../wa_login/login.jsp<doubleQuotes46>);<newline46mondego>}<newline46mondego>%><newline46mondego>"
"190splitHere46","2443318splitHere46","WindowManager.getDefault().getMainWindow()"
"191splitHere46","2443318splitHere46","JFileChooser"
"192splitHere46","2443350splitHere46","if( emailAttachment.getClass().equals(EmailAttachment.class) )"
"193splitHere46","2443762splitHere46","arr[i]++ = v;"
"194splitHere46","2443762splitHere46","x++ = v;"
"195splitHere46","2443762splitHere46","x++ = v;"
"196splitHere46","2443762splitHere46","int v = 42;<newline46mondego>int x = 0;<newline46mondego>x = v;        // OKAY!<newline46mondego>x++ = v;      // illegal!<newline46mondego>(x + 0) = v;  // illegal!<newline46mondego>(x * 1) = v;  // illegal!<newline46mondego>42 = v;       // illegal!<newline46mondego>   // Error message: <doubleQuotes46>The left-hand side of an assignment must be a variable<doubleQuotes46><newline46mondego>"
"197splitHere46","2443762splitHere46","int[] arr = new int[3];<newline46mondego>int i = 0;<newline46mondego>arr[i++] = 2;<newline46mondego>arr[i++] = 3;<newline46mondego>arr[i++] = 5;<newline46mondego>System.out.println(Arrays.toString(arr)); // prints <doubleQuotes46>[2, 3, 5]<doubleQuotes46><newline46mondego>"
"198splitHere46","2443898splitHere46","public <T extends Map<String, T>> void foo(String filename, T map) {<newline46mondego>    //some stuff here<newline46mondego>    for (Map.Entry<String, T> entry : map.entrySet())  {<newline46mondego>        foo(entry.getKey(), entry.getValue());<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"199splitHere46","2443898splitHere46","public class Node {<newline46mondego>    private Map<String, Node> children;<newline46mondego><newline46mondego>    ...<newline46mondego>    // accessor methods to retrieve children ...<newline46mondego>}<newline46mondego>"
"200splitHere46","2443898splitHere46","foo"
"201splitHere46","2443898splitHere46","Node"
"202splitHere46","2444025splitHere46","Random random = new Random();<newline46mondego>"
"203splitHere46","2444025splitHere46","int randomNumber = random.nextInt(max - min) + min;<newline46mondego>"
"204splitHere46","2444070splitHere46","@Test<newline46mondego>public void testRodneCisloRok() {<newline46mondego>    try {<newline46mondego>       new RodneCislo(<doubleQuotes46>891415<doubleQuotes46>,dopocitej(<doubleQuotes46>891415<doubleQuotes46>));<newline46mondego>       fail(<doubleQuotes46>expected an exception<doubleQuotes46>);<newline46mondego>    } catch (IllegalArgumentException ex) {<newline46mondego>       assertEquals(<doubleQuotes46>error1<doubleQuotes46>, ex.getMessage());<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"205splitHere46","2444070splitHere46","@Test(expected=...)"
"206splitHere46","2444070splitHere46","IllegalArgumentException"
"207splitHere46","2444083splitHere46","notes"
"208splitHere46","2444083splitHere46","null"
"209splitHere46","2444083splitHere46","notes"
"210splitHere46","2444195splitHere46","Collections.synchronizedList()"
"211splitHere46","2444281splitHere46","request.getAttribute(<doubleQuotes46>javax.servlet.include.request_uri<doubleQuotes46>)"
"212splitHere46","2444366splitHere46","BorderFactory.createLineBorder()"
"213splitHere46","2444366splitHere46","JPanel panel = new JPanel(new GridLayout(10,10));<newline46mondego>panel.setBorder(BorderFactory.createEmptyBorder(2,2,2,2));<newline46mondego><newline46mondego>for (int i =0; i<(10*10); i++){<newline46mondego>    final JLabel label = new JLabel(<doubleQuotes46>Label<doubleQuotes46>);<newline46mondego>    label.setBorder(BorderFactory.createLineBorder(Color.BLACK));<newline46mondego>    panel.add(label);<newline46mondego>}<newline46mondego>"
"214splitHere46","2444366splitHere46","BorderFactory.createMatteBorder()"
