"1splitHere46","12709445splitHere46","Path file = ...<newline46mondego>BasicFileAttributes attrs = Files.readAttributes(file, BasicFileAttributes.class);<newline46mondego>FileTime time = attrs.lastModifiedTime();<newline46mondego>"
"40splitHere46","12711403splitHere46","Ponto2D patual = new Ponto2D(event.getX(), event.getY());<newline46mondego>"
"41splitHere46","12711403splitHere46","Ponto2D patual = new Ponto2D((int)event.getX(), (int)event.getY());<newline46mondego>"
"42splitHere46","12711403splitHere46","public class Ponto2D <newline46mondego>{<newline46mondego><newline46mondego>float x;<newline46mondego>float y;<newline46mondego><newline46mondego>public Ponto2D ()<newline46mondego>{<newline46mondego>    x=-1.0;<newline46mondego>    y=-1.0;<newline46mondego>}<newline46mondego><newline46mondego>public Ponto2D(float x, float y)<newline46mondego>{<newline46mondego>    this();<newline46mondego>    this.x = x;<newline46mondego>    this.y = y;<newline46mondego>}<newline46mondego>} //end of class<newline46mondego>"
"43splitHere46","12711403splitHere46","Reta r1 = new Reta (new Ponto2D(), new Ponto2D());<newline46mondego>"
"44splitHere46","12711403splitHere46","Reta r1 = new Reta (new Ponto2D(<your values>), new Ponto2D(<values again>));<newline46mondego>"
"45splitHere46","12711403splitHere46","DrawView.ar[contador] =rl[];<newline46mondego><newline46mondego>        inicio.X = \.X;<newline46mondego>        inicio.Y = fim.Y;<newline46mondego>"
"46splitHere46","12711403splitHere46","RelativeLayout rl = (RelativeLayout) findViewById(R.id.rl);<newline46mondego>"
"47splitHere46","12711403splitHere46","final RelativeLayout rl = (RelativeLayout) findViewById(R.id.rl);<newline46mondego>"
"48splitHere46","12711403splitHere46","public class DrawView extends View {<newline46mondego>public Paint paint = new Paint();<newline46mondego><newline46mondego>Reta ar[] = new Reta [10];  //offending line<newline46mondego>public int a;<newline46mondego>//...<newline46mondego>"
"49splitHere46","12711403splitHere46","public class DrawView extends View<newline46mondego>{<newline46mondego>    public Paint paint = new Paint();<newline46mondego><newline46mondego>    public Reta ar[] = new Reta [10];<newline46mondego>    //... <newline46mondego>}<newline46mondego>"
"50splitHere46","12711403splitHere46","public class Ponto2D <newline46mondego>{<newline46mondego>    private int x; //2d plane shouldn't use floating coordinates.<newline46mondego>    private int y;<newline46mondego><newline46mondego>    Ponto2D() { }; //ctor does nothing.<newline46mondego><newline46mondego>    public Ponto2D(int x, int y)<newline46mondego>    {<newline46mondego>       this();<newline46mondego>       this.x = x;<newline46mondego>       this.y = y;<newline46mondego>    }<newline46mondego><newline46mondego>    public int getX() { return x; }<newline46mondego>    public int getY() { return y; }<newline46mondego>}<newline46mondego><newline46mondego>public class Reta <newline46mondego>{<newline46mondego>    private Ponto2D inicio;<newline46mondego>    private Ponto2D fim;<newline46mondego>    private int cor;<newline46mondego><newline46mondego>    Reta()<newline46mondego>    {<newline46mondego>       fin = new Ponta2D(); //might cause an error because it's not public<newline46mondego>       inicio = new Ponta2D(-1, -1); //this should be ok <newline46mondego>    }<newline46mondego><newline46mondego>    public Reta(Ponto2D p1, Ponto2D p2)<newline46mondego>    {<newline46mondego>"
"51splitHere46","12711403splitHere46","public class DrawView extends View {<newline46mondego>public Paint paint = new Paint();<newline46mondego><newline46mondego>Reta ar[] = new Reta [10];<newline46mondego>public int a;<newline46mondego>"
"52splitHere46","12711403splitHere46","DrawView dv = new DrawView();<newline46mondego>System.out.println(Arrays.toString(dv.ar)); // dv.ar, not DrawView.ar<newline46mondego>"
"53splitHere46","12711403splitHere46","static Reta ar[] = new Reta [10];<newline46mondego>public int a;<newline46mondego>"
"54splitHere46","12711403splitHere46","public boolean onTouch(View v, MotionEvent event) {<newline46mondego><newline46mondego>            Ponto2D patual = new Ponto2D((int)event.getX(), (int)event.getY());<newline46mondego>            Reta r1 = new Reta (inicio, fim);<newline46mondego><newline46mondego>            //DrawView.ar[contador] =rl[]; //offending line<newline46mondego>            //it should be<newline46mondego>            //drawView.ar = something; but thats also wrong because you cannot refer to a non-final variable drawView in a inner-class blahblah so here's what you do<newline46mondego>            ((DrawView)v).ar[contador] = rl; //or whatever you want it to be<newline46mondego>"
"55splitHere46","12711430splitHere46","HelpDeskTestServiceAsync asyncService = GWT.create(HelpDeskTestService.class);<newline46mondego><newline46mondego>asyncService.postToRemoteServer(<newline46mondego>                <doubleQuotes46>http://xx.xx.xx.xx/sdpapi/request/<doubleQuotes46>, <newline46mondego>                new AsyncCallback<String>() {<newline46mondego>                    @Override<newline46mondego>                    public void onFailure(Throwable caught)  {<newline46mondego>                        Window.alert(<doubleQuotes46>Failure getting XML through proxy<doubleQuotes46>);<newline46mondego>                    }<newline46mondego><newline46mondego>                    @Override<newline46mondego>                    public void onSuccess(String result) {<newline46mondego>                        processXML(result);<newline46mondego>                    }<newline46mondego>                });<newline46mondego>"
"56splitHere46","12711682splitHere46","m"
"57splitHere46","12711682splitHere46","String time = <doubleQuotes46>05h23m45s<doubleQuotes46>;<newline46mondego>String seconds = time.substring(time.lastIndexOf(<doubleQuotes46>m<doubleQuotes46>) + 1, time.lastIndexOf(<doubleQuotes46>s<doubleQuotes46>));<newline46mondego>"
"58splitHere46","12711682splitHere46","String"
"59splitHere46","12711682splitHere46","m"
"60splitHere46","12711682splitHere46","s"
"61splitHere46","12711694splitHere46","DecimalFormat"
"62splitHere46","12711694splitHere46","NumberFormat f = NumberFormat.getInstance(Locale.GERMANY);<newline46mondego>if (f instanceof DecimalFormat) {<newline46mondego>    ((DecimalFormat) f).applyPattern(<doubleQuotes46>##0,000.0<doubleQuotes46>);<newline46mondego>}<newline46mondego>f.format(123456 / 10.0);<newline46mondego>"
"63splitHere46","12711852splitHere46","#import"
"64splitHere46","12711852splitHere46","<#global a = 0>"
"65splitHere46","12711852splitHere46","#assign"
"66splitHere46","12711852splitHere46","<#assign a = 0 in my>"
"67splitHere46","12711915splitHere46","pack()"
"68splitHere46","12711937splitHere46","GWT_CONTAINER"
"69splitHere46","12711937splitHere46","gwt-maven-plugin"
"70splitHere46","12711937splitHere46","gwt-maven-plugin"
"71splitHere46","12711937splitHere46",".project"
"72splitHere46","12711937splitHere46",".classpath"
"73splitHere46","12711937splitHere46",".settings/"
"74splitHere46","12711937splitHere46","gwt-user"
"75splitHere46","12711937splitHere46","gwt-maven-plugin"
"76splitHere46","12711937splitHere46","gwt-user"
"77splitHere46","12711937splitHere46","gwt-maven-plugin"
"78splitHere46","12712028splitHere46","Because of the presence of older implementations, the protocol allows<newline46mondego>   ambiguous situations in which a client may send <doubleQuotes46>Expect: 100-<newline46mondego>   continue<doubleQuotes46> without receiving either a 417 (Expectation Failed) status<newline46mondego>   or a 100 (Continue) status. Therefore, when a client sends this<newline46mondego>   header field to an origin server (possibly via a proxy) from which it<newline46mondego>   has never seen a 100 (Continue) status, the client SHOULD NOT wait<newline46mondego>   for an indefinite period before sending the request body.<newline46mondego>"
"79splitHere46","12712261splitHere46","Doctor.getId()"
"80splitHere46","12712261splitHere46","Doctor"
"81splitHere46","12712261splitHere46","getId"
"82splitHere46","12712261splitHere46","s"
"83splitHere46","12712279splitHere46","String.length"
"84splitHere46","12712279splitHere46","codePointCount"
"85splitHere46","12712279splitHere46","length"
"86splitHere46","12712365splitHere46","2:2 -> wall<newline46mondego>3:2 -> null<newline46mondego>4:2 -> null<newline46mondego>5:2 -> wall<newline46mondego>"
"87splitHere46","12712365splitHere46","null"
"88splitHere46","12712365splitHere46","space"
"89splitHere46","12712365splitHere46","if(y > 0 && !panels[x][y-1].getName().matches(<doubleQuotes46>wall<doubleQuotes46>))<newline46mondego>{<newline46mondego>    y--;<newline46mondego>}<newline46mondego>"
"90splitHere46","12712365splitHere46","0 <= x < 10"
"91splitHere46","12712365splitHere46","0 <= y < 8"
"92splitHere46","12712498splitHere46","/WEB-INF/lib"
"93splitHere46","12712549splitHere46","Map<String, Object> parameters = new HashMap<String, Object>();<newline46mondego>parameters.put(<doubleQuotes46>port<doubleQuotes46>, org.hornetq.core.remoting.impl.netty.TransportConstants<newline46mondego>                      .DEFAULT_PORT);<newline46mondego>parameters.put(TransportConstants.HOST_PROP_NAME, <doubleQuotes46>127.0.0.1<doubleQuotes46>);<newline46mondego><newline46mondego>TransportConfiguration configuration = new TransportConfiguration(<newline46mondego>        NettyConnectorFactory.class.getName(), parameters);<newline46mondego>"
"94splitHere46","12712549splitHere46","NettyAcceptor"
"95splitHere46","12712589splitHere46","Element el = (Element)(doc.getElementsByTagName(<doubleQuotes46>node<doubleQuotes46>).item(0));<newline46mondego>NodeList children = el.getChildNodes();<newline46mondego><newline46mondego>for (int i=0; i<children.getLength(); i++) {<newline46mondego>  System.out.println(children.item(0).getNodeValue());<newline46mondego>}<newline46mondego>"
"96splitHere46","12712634splitHere46","BulletArray"
"97splitHere46","12712634splitHere46","run()"
"98splitHere46","12712634splitHere46","for()"
"99splitHere46","12712634splitHere46","int i = 0"
"100splitHere46","12712634splitHere46","int Bullet = 0"
"101splitHere46","12712634splitHere46","Key.FireKey"
"102splitHere46","12712634splitHere46","private int maxBullets = 10;<newline46mondego>Bullet[] bulletArray = new Bullet[maxBullets];<newline46mondego>"
"103splitHere46","12712634splitHere46","for()"
"104splitHere46","12712634splitHere46","Key.FireKey"
"105splitHere46","12712634splitHere46","IndexOutOfBoundsException"
"106splitHere46","12712634splitHere46","if(Key.FireKey) {<newline46mondego>    if(bullets < maxBullets) {<newline46mondego>        bulletArray[++bullets] = new Bullet();<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"107splitHere46","12713179splitHere46","INADDR_ANY"
"108splitHere46","12713400splitHere46","List"
"109splitHere46","12713400splitHere46","List<String>"
"110splitHere46","12713508splitHere46","in()"
"111splitHere46","12713508splitHere46","out()"
"112splitHere46","12713509splitHere46","IOException: Stream closed"
"113splitHere46","12713509splitHere46","while((s=br.readLine())!=null)<newline46mondego>{<newline46mondego>    strtok=new StringTokenizer(s,<doubleQuotes46> <doubleQuotes46>);<newline46mondego>    while(strtok.hasMoreTokens())<newline46mondego>    {<newline46mondego>        bw.write(<doubleQuotes46>\n<doubleQuotes46>+strtok.nextToken());<newline46mondego>    }<newline46mondego>    //br.close(); <----- move this to outside the while loop<newline46mondego>}<newline46mondego>br.close();<newline46mondego>"
"114splitHere46","12713622splitHere46","JFrame"
"115splitHere46","12713622splitHere46","JFrame"
"116splitHere46","12713622splitHere46","setVisible(true)"
"117splitHere46","12713622splitHere46","setSize()"
"118splitHere46","12713622splitHere46","pack()"
"119splitHere46","12713622splitHere46","JFrame"
"120splitHere46","12713622splitHere46","LayoutManager"
"121splitHere46","12713622splitHere46","JFrame#setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE)"
"122splitHere46","12713622splitHere46","JFrame"
"123splitHere46","12713622splitHere46","public static void main(String[] args) {<newline46mondego>        //Create GUI on EDT Thread<newline46mondego>        SwingUtilities.invokeLater(new Runnable() {<newline46mondego>            @Override<newline46mondego>            public void run() {<newline46mondego><newline46mondego>                  JFrame frame = new JFrame(<doubleQuotes46>JScroll Pane Test<doubleQuotes46>);<newline46mondego>                  frame.setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);  <newline46mondego><newline46mondego>                  JTextArea txtNotes = new JTextArea();<newline46mondego>                  txtNotes.setText(<doubleQuotes46>Hello World<doubleQuotes46>);<newline46mondego>                  JScrollPane scrollPane = new JScrollPane(txtNotes);<newline46mondego>                  frame.add(scrollPane);//add components<newline46mondego><newline46mondego>                  frame.pack();<newline46mondego>                  frame.setVisible(true);//show (after adding components)<newline46mondego>            }<newline46mondego>        });<newline46mondego>}<newline46mondego>"
"124splitHere46","12713685splitHere46","cleanTitle.replaceAll(<doubleQuotes46>\\|<doubleQuotes46>, <doubleQuotes46>*<doubleQuotes46>)<newline46mondego>"
"125splitHere46","12713731splitHere46","hasNext(<doubleQuotes46>[YN]<doubleQuotes46>)"
"126splitHere46","12713731splitHere46","scanner.next([YN])"
"127splitHere46","12713731splitHere46","next()"
"128splitHere46","12713731splitHere46","for (int i=0; i<diceNum; i++){<newline46mondego>           int count = 0;<newline46mondego>           System.out.printf(<doubleQuotes46>Reroll this die? (%d)\n<doubleQuotes46>,i);<newline46mondego><newline46mondego>           // Give three chances to user for correct input.. <newline46mondego>           // Else fill this array element with false value..<newline46mondego><newline46mondego>           while (count < 3 && !scansworth.hasNext(<doubleQuotes46>[YN]<doubleQuotes46>)) {<newline46mondego>               count += 1;  // IF you don't want to get into an infinite loop<newline46mondego>               scansworth.next();<newline46mondego>           }    <newline46mondego><newline46mondego>           if (count != 3) {<newline46mondego>                /** User has entered valid input.. check it for Y, or N **/<newline46mondego>                responses[i] = (scansworth.next()).equals(<doubleQuotes46>Y<doubleQuotes46>) ? true : false;<newline46mondego>           } <newline46mondego>           // If User hasn't entered valid input.. then it will not go in the if  <newline46mondego>           // then this element will have default value `false` for boolean..<newline46mondego> }<newline46mondego>"
"129splitHere46","12713766splitHere46","/* this is not importing anything<newline46mondego>import java.util.*;<newline46mondego>*/<newline46mondego>"
"130splitHere46","12713766splitHere46","Emacs"
"131splitHere46","12713766splitHere46","font-lock-mode"
"132splitHere46","12713766splitHere46","Emacs"
"133splitHere46","12713766splitHere46","elisp"
"134splitHere46","12713766splitHere46","Emacs"
"135splitHere46","12713830splitHere46","tan(pi/2)"
"136splitHere46","12713833splitHere46","false"
"137splitHere46","12713833splitHere46","true"
"138splitHere46","12713833splitHere46","false"
"139splitHere46","12713833splitHere46","1"
"140splitHere46","12713833splitHere46","0"
"141splitHere46","12713931splitHere46","Image i = new Image(<doubleQuotes46>address.png<doubleQuotes46>);<newline46mondego>"
"142splitHere46","12713931splitHere46","Image i = new Image(getClass().getResource(<doubleQuotes46>/res/address.png<doubleQuotes46>).toURI()); // In case your Image object accepts URI as parameters<newline46mondego>"
"143splitHere46","12713931splitHere46","Image i = new Image(getClass().getResource(<doubleQuotes46>/res/address.png<doubleQuotes46>).toExternalForm()); // Since your object only accept Strings<newline46mondego>"
"144splitHere46","12713936splitHere46","@ExceptionHandler"
"145splitHere46","12713936splitHere46","Exception"
"146splitHere46","12713936splitHere46","@RequestMapping"
"147splitHere46","12713936splitHere46","Exception"
"148splitHere46","12713936splitHere46","public class BaseController {<newline46mondego>    @ExceptionHandler(Throwable.class)<newline46mondego>    public String handleException(Throwable t) {<newline46mondego>        return <doubleQuotes46>redirect:/errorPages/500.jsp<doubleQuotes46>;<newline46mondego>    }<newline46mondego><newline46mondego>    @ExceptionHandler(Exception.class)<newline46mondego>    public String handleException(Throwable t) {<newline46mondego>        return <doubleQuotes46>redirect:/errorPages/error.jsp<doubleQuotes46>;<newline46mondego>    }<newline46mondego>}<newline46mondego><newline46mondego>@Controller<newline46mondego>@RequestMapping(value = <doubleQuotes46>/admin/store<doubleQuotes46>)<newline46mondego>public class AdminController extends BaseController<newline46mondego>{<newline46mondego>    @RequestMapping(...)<newline46mondego>    //Some method<newline46mondego><newline46mondego>    @RequestMapping(...)<newline46mondego>    //Another method<newline46mondego>}<newline46mondego>"
"149splitHere46","12714088splitHere46","synchronized"
"150splitHere46","12714138splitHere46","Component State"
"151splitHere46","12714138splitHere46","UIComponent"
"152splitHere46","12714138splitHere46","@Override<newline46mondego>public Object saveState(FacesContext context) {<newline46mondego>    Object values[] = new Object[2];<newline46mondego>    values[0] = super.saveState(context);<newline46mondego>    values[1] = label;<newline46mondego>    return ((Object) (values));<newline46mondego>}<newline46mondego><newline46mondego>@Override<newline46mondego>public void restoreState(FacesContext context, Object state) {<newline46mondego>    Object values[] = (Object[])state;<newline46mondego>    super.restoreState(context, values[0]);<newline46mondego>    label = (String)values[1];<newline46mondego>}<newline46mondego>"
"153splitHere46","12714336splitHere46","Errors"
"154splitHere46","12714336splitHere46","BindingResult"
"155splitHere46","12714336splitHere46","Errors"
"156splitHere46","12714336splitHere46","org.springframework.validation.BindException"
"157splitHere46","12714336splitHere46","Errors"
"158splitHere46","12714400splitHere46","<c:forEach>"
"159splitHere46","12714400splitHere46","<ui:include>"
"160splitHere46","12714400splitHere46","<f:validateXXX>"
"161splitHere46","12714400splitHere46","binding"
"162splitHere46","12714400splitHere46","id"
"163splitHere46","12714400splitHere46","<h:someComponent>"
"164splitHere46","12714400splitHere46","@ViewScoped"
"165splitHere46","12714453splitHere46","java.util.Date"
"166splitHere46","12714453splitHere46","java.sql"
"167splitHere46","12714453splitHere46","@Temporal (TemporalType.TIMESTAMP)"
"168splitHere46","12714453splitHere46","@Temporal (TemporalType.DATE)<newline46mondego>@Column(name = <doubleQuotes46>END_DATE<doubleQuotes46>, nullable = true) <newline46mondego>private Date endDate; <newline46mondego>"
"169splitHere46","12714453splitHere46","select t.endDate from Table as t<newline46mondego>"
"170splitHere46","12714610splitHere46","String message = <doubleQuotes46>This is a test<doubleQuotes46>;<newline46mondego>Settings.System.putString(context.getContentResolver(),<newline46mondego>            Settings.System.NEXT_ALARM_FORMATTED, message);<newline46mondego>"
"171splitHere46","12714612splitHere46","1. Open config.inc.php file in the phpmyadmin directory<newline46mondego><newline46mondego>2. Find line 21: $cfg['Servers'][$i]['password'] = ''<newline46mondego><newline46mondego>3. Change it to: $cfg['Servers'][$i]['password'] = 'your_password';<newline46mondego><newline46mondego>4. Restart XAMPP <newline46mondego><newline46mondego><newline46mondego>The setting you are looking for is <doubleQuotes46>$cfg['Servers'][$i]['auth_type']<doubleQuotes46> - set this to 'HTTP', and you will be able to input a username and password.<newline46mondego>"
"172splitHere46","12714730splitHere46","button.getScene().getAccelerators().put(<newline46mondego>  new KeyCodeCombination(KeyCode.S, KeyCombination.SHORTCUT_DOWN), <newline46mondego>  new Runnable() {<newline46mondego>    @Override public void run() {<newline46mondego>      button.fire();<newline46mondego>    }<newline46mondego>  }<newline46mondego>);<newline46mondego>"
"173splitHere46","12714730splitHere46","new KeyCodeCombination(KeyCode.S, KeyCombination.CONTROL_DOWN)<newline46mondego>"
