"1splitHere46","11286360splitHere46","if(arg0.getId() == R.id.buttonId)<newline46mondego>{<newline46mondego>//Code for this button<newline46mondego>}<newline46mondego>else if(arg0.getId() == R.id.buttonId2)<newline46mondego>{<newline46mondego>//Code for second button<newline46mondego>}<newline46mondego>"
"18splitHere46","11286932splitHere46","import java.awt.BorderLayout;<newline46mondego>import java.awt.event.ActionEvent;<newline46mondego>import javax.swing.*;<newline46mondego>import javax.swing.table.DefaultTableModel;<newline46mondego><newline46mondego>public class TableEg {<newline46mondego>   private static final int ROW_HEIGHT = 40;<newline46mondego>   private static final String[] TABLE_COLUMNS = {<doubleQuotes46>Foo<doubleQuotes46>, <doubleQuotes46>Bar<doubleQuotes46>};<newline46mondego><newline46mondego>   private static void createAndShowGui() {<newline46mondego>      final DefaultTableModel tableModel = new DefaultTableModel(TABLE_COLUMNS, 2);<newline46mondego>      JTable table = new JTable(tableModel );<newline46mondego>      table.setRowHeight(ROW_HEIGHT);<newline46mondego>      JScrollPane scrollpane = new JScrollPane(table);<newline46mondego><newline46mondego>      JButton addRowBtn = new JButton(new AbstractAction(<doubleQuotes46>Add Row<doubleQuotes46>) {<newline46mondego><newline46mondego>         @Override<newline46mondego>         public void actionPerformed(ActionEvent arg0) {<newline46mondego>            tableModel.addRow(new String[]{<doubleQuotes46><doubleQuotes46>, <doubleQuotes46><doubleQuotes46>});<newline46mondego>         }<newline46mondego>      });<newline46mondego>      JPanel btnPanel = new JPanel();<newline46mondego>      btnPanel.add(addRowBtn);<newline46mondego><newline46mondego>      JFrame frame = new JFrame(<doubleQuotes46>TableEg<doubleQuotes46>);<newline46mondego>      frame.setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);<newline46mondego>      frame.getContentPane().add(scrollpane, BorderLayout.CENTER);<newline46mondego>      frame.getContentPane().add(btnPanel, BorderLayout.PAGE_END);<newline46mondego>      frame.pack();<newline46mondego>      frame.setLocationByPlatform(true);<newline46mondego>      frame.setVisible(true);<newline46mondego>   }<newline46mondego><newline46mondego>   public static void main(String[] args) {<newline46mondego>      SwingUtilities.invokeLater(new Runnable() {<newline46mondego>         public void run() {<newline46mondego>            createAndShowGui();<newline46mondego>         }<newline46mondego>      });<newline46mondego>   }<newline46mondego>}<newline46mondego>"
"19splitHere46","11287173splitHere46","<doubleQuotes46>(?m)^.{20}\\s*(\\d+).{14}(.*)$<doubleQuotes46><newline46mondego>"
"20splitHere46","11287173splitHere46","Pattern"
"21splitHere46","11287173splitHere46","Matcher"
"22splitHere46","11287173splitHere46","group(1)"
"23splitHere46","11287173splitHere46","group(2)"
"24splitHere46","11287468splitHere46","class MyCustomButton extends JButton{}<newline46mondego>"
"25splitHere46","11287468splitHere46","JFrame"
"26splitHere46","11287468splitHere46","addMouseListener"
"27splitHere46","11287468splitHere46","JFrame"
"28splitHere46","11287468splitHere46","java.awt.Component"
"29splitHere46","11287468splitHere46","public void notify()<newline46mondego>      {<newline46mondego>        for (int i=0;i < observers.size();i++)<newline46mondego>        {<newline46mondego>          Observer ob = (Observer)observers.get(i);<newline46mondego>          ob.update(newValue);<newline46mondego>        }<newline46mondego>      }<newline46mondego>"
"30splitHere46","11287527splitHere46","display-name"
"31splitHere46","11287527splitHere46","web.xml"
"32splitHere46","11287527splitHere46","url_pattern"
"33splitHere46","11287527splitHere46","web.xml"
"34splitHere46","11287527splitHere46","xwiki-enterprise-web-4.1.2"
"35splitHere46","11287527splitHere46","localhost:8080/xwiki-enterprise-web-4.1.2/XWikiService"
"36splitHere46","11287527splitHere46","localhost:8080/xwiki-enterprise-web-4.1.2/"
"37splitHere46","11287527splitHere46","welcome-file"
"38splitHere46","11287527splitHere46","localhost:8080/xwiki-enterprise-web-4.1.2/"
"39splitHere46","11287527splitHere46","localhost:8080/xwiki-enterprise-web-4.1.2/XWikiService"
"40splitHere46","11287578splitHere46","Class<?>"
"41splitHere46","11287591splitHere46","0 1 1 0 1 1 0 0<newline46mondego>"
"42splitHere46","11287591splitHere46","0 1 2 2 3 4 4 4<newline46mondego>"
"43splitHere46","11287591splitHere46","0 1 2 2 3 4 4 [4] -><newline46mondego>0 1 2 2 3 4 [3] 1 -><newline46mondego>0 1 2 2 3 [2] 1 1 -><newline46mondego>0 1 2 2 [1] 1 1 1 -><newline46mondego>0 1 2 [0] 1 1 1 1 -><newline46mondego>0 1 [0] 0 1 1 1 1 -><newline46mondego>0 [0] 0 0 1 1 1 1 -><newline46mondego>0 0 0 0 1 1 1 1<newline46mondego>"
"44splitHere46","11287649splitHere46","function submitMyForm(){<newline46mondego> document.forms[<doubleQuotes46>yourFormId<doubleQuotes46>].submit();<newline46mondego>}<newline46mondego>"
"45splitHere46","11287730splitHere46","<uses-permission android:name=<doubleQuotes46>android.permission.INTERNET<doubleQuotes46> /><newline46mondego>"
"46splitHere46","11287730splitHere46","<?xml version=<doubleQuotes46>1.0<doubleQuotes46> encoding=<doubleQuotes46>utf-8<doubleQuotes46>?><newline46mondego><LinearLayout xmlns:android=<doubleQuotes46>http://schemas.android.com/apk/res/android<doubleQuotes46><newline46mondego>              android:layout_width=<doubleQuotes46>fill_parent<doubleQuotes46> <newline46mondego>              android:layout_height=<doubleQuotes46>fill_parent<doubleQuotes46><newline46mondego>              android:orientation=<doubleQuotes46>vertical<doubleQuotes46>><newline46mondego><WebView android:id=<doubleQuotes46>@+id/myWebView<doubleQuotes46><newline46mondego>              android:layout_width=<doubleQuotes46>fill_parent<doubleQuotes46> <newline46mondego>              android:layout_height=<doubleQuotes46>fill_parent<doubleQuotes46> /><newline46mondego></LinearLayout><newline46mondego>"
"47splitHere46","11287730splitHere46","public void onCreate(Bundle savedInstanceState) {<newline46mondego>    super.onCreate(savedInstanceState);<newline46mondego>    setContentView(R.layout.somelayout);<newline46mondego><newline46mondego>    String url = <doubleQuotes46>http://bigdaddyapp.com<doubleQuotes46>;<newline46mondego><newline46mondego>    webview = (WebView) findViewById(R.id.myWebView);<newline46mondego>    //next line explained below<newline46mondego>    webview.setWebViewClient(new MyWebViewClient(this));<newline46mondego>    webview.getSettings().setJavaScriptEnabled(true);<newline46mondego>    webview.loadUrl(url);<newline46mondego>}<newline46mondego>"
"48splitHere46","11287730splitHere46","public class MyWebViewClient extends WebViewClient {<newline46mondego><newline46mondego>  public MyWebViewClient() {<newline46mondego>     super();<newline46mondego>     //start anything you need to<newline46mondego>  }<newline46mondego><newline46mondego>  public void onPageStarted(WebView view, String url, Bitmap favicon) {<newline46mondego>     //Do something to the urls, views, etc.<newline46mondego>  }<newline46mondego> }<newline46mondego>"
"49splitHere46","11287749splitHere46","The Server side code example:<newline46mondego><newline46mondego><newline46mondego>public class ServerTest {<newline46mondego><newline46mondego>    ServerSocket s;<newline46mondego><newline46mondego>    public void go() {<newline46mondego><newline46mondego>        try {<newline46mondego>            s = new ServerSocket(44457);<newline46mondego><newline46mondego>            while (true) {<newline46mondego><newline46mondego>                Socket incoming = s.accept();<newline46mondego>                Thread t = new Thread(new MyCon(incoming));<newline46mondego>                t.start();<newline46mondego>            }<newline46mondego>        } catch (IOException e) {<newline46mondego><newline46mondego>            e.printStackTrace();<newline46mondego>        }<newline46mondego><newline46mondego>    }<newline46mondego><newline46mondego>    class MyCon implements Runnable {<newline46mondego><newline46mondego>        Socket incoming;<newline46mondego><newline46mondego>        public MyCon(Socket incoming) {<newline46mondego><newline46mondego>            this.incoming = incoming;<newline46mondego>        }<newline46mondego><newline46mondego>        @Override<newline46mondego>        public void run() {<newline46mondego><newline46mondego>            try {<newline46mondego>                PrintWriter pw = new PrintWriter(incoming.getOutputStream(),<newline46mondego>                        true);<newline46mondego>                InputStreamReader isr = new InputStreamReader(<newline46mondego>                        incoming.getInputStream());<newline46mondego>                BufferedReader br = new BufferedReader(isr);<newline46mondego>                String inp = null;<newline46mondego><newline46mondego>                boolean isDone = true;<newline46mondego><newline46mondego>                System.out.println(<doubleQuotes46>TYPE : BYE<doubleQuotes46>);<newline46mondego>                System.out.println();<newline46mondego>                while (isDone && ((inp = br.readLine()) != null)) {<newline46mondego><newline46mondego>                    System.out.println(inp);<newline46mondego>                    if (inp.trim().equals(<doubleQuotes46>BYE<doubleQuotes46>)) {<newline46mondego>                        System.out<newline46mondego>                                .println(<doubleQuotes46>THANKS FOR CONNECTING...Bye for now<doubleQuotes46>);<newline46mondego>                        isDone = false;<newline46mondego>                        s.close();<newline46mondego>                    }<newline46mondego><newline46mondego>                }<newline46mondego>            } catch (IOException e) {<newline46mondego>                // TODO Auto-generated catch block<newline46mondego>                try {<newline46mondego>                    s.close();<newline46mondego>                } catch (IOException e1) {<newline46mondego>                    // TODO Auto-generated catch block<newline46mondego>                    e1.printStackTrace();<newline46mondego>                }<newline46mondego>                e.printStackTrace();<newline46mondego>            }<newline46mondego><newline46mondego>        }<newline46mondego><newline46mondego>    }<newline46mondego><newline46mondego>    public static void main(String[] args) {<newline46mondego><newline46mondego>        new ServerTest().go();<newline46mondego><newline46mondego>    }<newline46mondego>"
"50splitHere46","11287774splitHere46","getDesktop().browse(URI.create(URL));"
"51splitHere46","11287859splitHere46","if(isPerfectNumber(candArray[i]) && candArray[i] > 28 )<newline46mondego>{<newline46mondego>   System.out.println(candArray[i] + <doubleQuotes46> is a perfectNumber<doubleQuotes46> );<newline46mondego>}<newline46mondego>"
"52splitHere46","11288047splitHere46","response().setHeader(<doubleQuotes46>Content-Disposition<doubleQuotes46>, <doubleQuotes46>attachment; filename=FILENAME<doubleQuotes46>);<newline46mondego>"
"53splitHere46","11288181splitHere46","URLClassLoader classLoader = new URLClassLoader(list.toArray(new URL[0]));<newline46mondego>    Class<?> clazz = classLoader.loadClass(path);<newline46mondego>    File tmp = new File(System.getProperty(<doubleQuotes46>java.io.tmpdir<doubleQuotes46>), path.replace(<doubleQuotes46>.<doubleQuotes46>, <doubleQuotes46>_<doubleQuotes46>) + <doubleQuotes46>.class<doubleQuotes46>);<newline46mondego>    FileChannel tmpChannel = new FileOutputStream(tmp).getChannel();<newline46mondego>    InputStream is = clazz.getResourceAsStream(<doubleQuotes46>/<doubleQuotes46> + path.replace(<doubleQuotes46>.<doubleQuotes46>, <doubleQuotes46>/<doubleQuotes46>) + <doubleQuotes46>.class<doubleQuotes46>);<newline46mondego>    tmpChannel.transferFrom(Channels.newChannel(is), 0, Long.MAX_VALUE);<newline46mondego>    URI uri = tmp.toURI();<newline46mondego>"
"54splitHere46","11288354splitHere46","Batik SVG Toolkit"
"55splitHere46","11288359splitHere46","Number"
"56splitHere46","11288359splitHere46","<doubleQuotes46>uid<doubleQuotes46>"
"57splitHere46","11288359splitHere46","this.profile.get(<doubleQuotes46>uid<doubleQuotes46>))"
"58splitHere46","11288359splitHere46","Number"
"59splitHere46","11288359splitHere46","Number"
"60splitHere46","11288359splitHere46","Number"
"61splitHere46","11288359splitHere46","longValue()"
"62splitHere46","11288359splitHere46","Number"
"63splitHere46","11288359splitHere46","Integer.longValue()"
"64splitHere46","11288359splitHere46","Long.longValue()"
"65splitHere46","11288409splitHere46","aBuffer = ByteBuffer.allocateDirect(verts.length * mBytesPerFloat).order(ByteOrder.nativeOrder()).asFloatBuffer();<newline46mondego>"
"66splitHere46","11288409splitHere46","aBuffer.put(verts);<newline46mondego>"
"67splitHere46","11288409splitHere46","put()"
"68splitHere46","11288409splitHere46","Draw"
"69splitHere46","11288409splitHere46","aBuffer"
"70splitHere46","11288456splitHere46","Intent.putExtra(MediaStore.EXTRA_OUTPUT)"
"71splitHere46","11288562splitHere46","PreparedStatement"
"72splitHere46","11288562splitHere46","ResultSet"
"73splitHere46","11288562splitHere46","next()"
"74splitHere46","11288562splitHere46","if(resultSet.next()){<newline46mondego>   //yes exist<newline46mondego>}<newline46mondego>"
"75splitHere46","11289017splitHere46","XSSFWorkbook workBook = new XSSFWorkbook();<newline46mondego>XSSFSheet sheet = workBook.getSheetAt(1);  //error here, the workBook book has NO sheets!<newline46mondego>"
"76splitHere46","11289017splitHere46","XSSFWorkbook workBook = WorkbookFactory.create(new PushbackInputStream(inputStream));<newline46mondego>XSSFSheet sheet = workBook.getSheetAt(1);<newline46mondego>"
"77splitHere46","11289017splitHere46","XSSFWorkbook workBook = new XSSFWorkbook(xlsPath);<newline46mondego>XSSFSheet sheet = workBook.getSheetAt(1);<newline46mondego>"
"78splitHere46","11289336splitHere46","public class DrawingClass {<newline46mondego><newline46mondego>   static final Logger log = Logger.getLogger(DrawingClass.class);<newline46mondego><newline46mondego>public static void main(String args[])<newline46mondego>{<newline46mondego>    //without dependency injection <newline46mondego>    /*Triangle t1 = new Triangle();<newline46mondego>    t1.draw();*/<newline46mondego><newline46mondego>    log.info(<doubleQuotes46>Before execution<doubleQuotes46>);<newline46mondego>    //with dependency injection     <newline46mondego>    BeanFactory factory = new XmlBeanFactory(new FileSystemResource(<doubleQuotes46>Spring.xml<doubleQuotes46>));<newline46mondego>    Triangle t1 =(Triangle) factory.getBean(<doubleQuotes46>triangle<doubleQuotes46>);<newline46mondego>    t1.draw();<newline46mondego>}<newline46mondego> }<newline46mondego>"
"79splitHere46","11289644splitHere46","final String packName = <doubleQuotes46>com.example2.app<doubleQuotes46>;<newline46mondego>    String mDrawableName = <doubleQuotes46>app_icon<doubleQuotes46>;<newline46mondego><newline46mondego>    try {<newline46mondego>        PackageManager manager = getPackageManager();<newline46mondego>        Resources mApk1Resources = manager.getResourcesForApplication(packName);<newline46mondego><newline46mondego>        int mDrawableResID = mApk1Resources.getIdentifier(mDrawableName, <doubleQuotes46>drawable<doubleQuotes46>,packName);<newline46mondego><newline46mondego>        Drawable myDrawable = mApk1Resources.getDrawable( mDrawableResID );<newline46mondego><newline46mondego>        if( myDrawable != null )<newline46mondego>            TEST.setBackgroundDrawable(myDrawable );<newline46mondego><newline46mondego>    }<newline46mondego>    catch (NameNotFoundException e) {<newline46mondego>        // TODO Auto-generated catch block<newline46mondego>        e.printStackTrace();<newline46mondego>    }<newline46mondego>"
"80splitHere46","11289657splitHere46","@Component<newline46mondego>public class TrustManagerConfigurer {<newline46mondego>    @PostConstruct<newline46mondego>    public void installTrustManager() { ... }<newline46mondego>}<newline46mondego>"
"81splitHere46","11289657splitHere46","ServletContextListener.contextInitialized()"
"82splitHere46","11289683splitHere46","getTitle()"
"83splitHere46","11289683splitHere46","public interface HasTitle {<newline46mondego>    public String getTitle();<newline46mondego>}<newline46mondego><newline46mondego>public class MyClass1 implements HasTitle {<newline46mondego>    // ...<newline46mondego><newline46mondego>    @Override<newline46mondego>    public String getTitle() {<newline46mondego>        return this.title;<newline46mondego>    }<newline46mondego>}<newline46mondego><newline46mondego>public class MyClass2 implements HasTitle {<newline46mondego>    // ...<newline46mondego><newline46mondego>    @Override<newline46mondego>    public String getTitle() {<newline46mondego>        return this.title;<newline46mondego>    }<newline46mondego>}<newline46mondego><newline46mondego>...<newline46mondego><newline46mondego>/**<newline46mondego> * This method can be invoked withg a List<MyClass1> or with a List<MyClass2><newline46mondego> * as argument, since MyClass1 and MyClass2 both implement HasTitle<newline46mondego> */<newline46mondego>public void displayTitles(List<? extends HasTitle> entities) {<newline46mondego>    for (HasTitle entity : entities) {<newline46mondego>        out.println(entity.getTitle();<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"84splitHere46","11289849splitHere46","char[] b = new char[256];<newline46mondego>"
"85splitHere46","11289955splitHere46","taskkill"
"86splitHere46","11289955splitHere46","java.exe"
"87splitHere46","11289955splitHere46","taskkill /im java.exe /f<newline46mondego>"
"88splitHere46","11289955splitHere46","java.exe"
"89splitHere46","11290002splitHere46","Classpath: com.sun.net"
"90splitHere46","11290197splitHere46","this"
"91splitHere46","11290197splitHere46","this"
"92splitHere46","11290197splitHere46","me"
"93splitHere46","11290302splitHere46","Exception"
"94splitHere46","11290302splitHere46","Error"
"95splitHere46","11290302splitHere46","Error"
"96splitHere46","11290368splitHere46","p.waitFor(); <newline46mondego>"
"97splitHere46","11290469splitHere46","true"
"98splitHere46","11290469splitHere46","return false;"
"99splitHere46","11290469splitHere46","e1.printStackTrace();<newline46mondego>return false;<newline46mondego>"
"100splitHere46","11290469splitHere46","src"
"101splitHere46","11290469splitHere46","Playground"
"102splitHere46","11290469splitHere46","Playground"
"103splitHere46","11290469splitHere46","file.toPath().toAbsolutePath().toString()<newline46mondego>"
"104splitHere46","11290548splitHere46","Map<String, List<String>> fileLines = new HashMap<String, List<String>>();<newline46mondego>for (String file : FileArray.filearray)<newline46mondego>    BufferedReader reader = new BufferedReader(new FileReader(fileext));<newline46mondego><newline46mondego>    List<String> lines = new ArrayList<String>();<newline46mondego>    while ((line = reader.readLine()) != null){<newline46mondego>        lines.add(line);<newline46mondego>    }<newline46mondego><newline46mondego>    fileLines.put(file, lines);<newline46mondego>}<newline46mondego>"
"105splitHere46","11290574splitHere46","n.log n"
"106splitHere46","11290589splitHere46","@Override<newline46mondego>    public void onItemClick(AdapterView <? > parent, View view, int position, long id) {<newline46mondego><newline46mondego>       // Here position denotes which row index you clicked.<newline46mondego>      //If you clicked first item in ListView then row index will be zero<newline46mondego>     // and so on...<newline46mondego><newline46mondego>       switch (position) {<newline46mondego>       case 0:<newline46mondego>           //First Item/row clicked<newline46mondego>           break;<newline46mondego>       case 1:<newline46mondego>           //Second Item/row clicked<newline46mondego>           break;<newline46mondego>       }<newline46mondego>   }<newline46mondego>"
"107splitHere46","11290589splitHere46","StateListDrawable"
"108splitHere46","11290589splitHere46","android:listSelector"
"109splitHere46","11290589splitHere46","<?xml version=<doubleQuotes46>1.0<doubleQuotes46> encoding=<doubleQuotes46>utf-8<doubleQuotes46>?><newline46mondego><selector xmlns:android=<doubleQuotes46>http://schemas.android.com/apk/res/android<doubleQuotes46>><newline46mondego>  <item android:state_enabled=<doubleQuotes46>false<doubleQuotes46> android:state_focused=<doubleQuotes46>true<doubleQuotes46><newline46mondego>        android:drawable=<doubleQuotes46>@drawable/item_disabled<doubleQuotes46> /><newline46mondego>  <item android:state_pressed=<doubleQuotes46>true<doubleQuotes46><newline46mondego>        android:drawable=<doubleQuotes46>@drawable/item_pressed<doubleQuotes46> /><newline46mondego>  <item android:state_focused=<doubleQuotes46>true<doubleQuotes46><newline46mondego>        android:drawable=<doubleQuotes46>@drawable/item_focused<doubleQuotes46> /><newline46mondego></selector><newline46mondego>"
"110splitHere46","11290589splitHere46","<ListView android:id=<doubleQuotes46>@+id/list<doubleQuotes46> <newline46mondego>      android:layout_width=<doubleQuotes46>fill_parent<doubleQuotes46><newline46mondego>      android:layout_height=<doubleQuotes46>wrap_content<doubleQuotes46> <newline46mondego>      android:dividerHeight=<doubleQuotes46>0dip<doubleQuotes46><newline46mondego>      android:divider=<doubleQuotes46>@null<doubleQuotes46> <newline46mondego>      android:listSelector=<doubleQuotes46>@drawable/list_selector<doubleQuotes46><newline46mondego>      android:layout_gravity=<doubleQuotes46>center<doubleQuotes46> /><newline46mondego>"
"111splitHere46","11290622splitHere46","public class CompositeListener implements EventListener {<newline46mondego>    public void handle(Object event) {<newline46mondego>        if (event instanceof PriceUpdate) {<newline46mondego>            ///<newline46mondego>        } else if (event instanceof OrderEvent) {<newline46mondego>            ///<newline46mondego>        }<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"112splitHere46","11290638splitHere46","<module><newline46mondego>    <web><newline46mondego>        <web-uri>my-app-name.war</web-uri><newline46mondego>        <context-root>my-app-name</context-root><newline46mondego>    </web><newline46mondego></module><newline46mondego>"
"113splitHere46","11290709splitHere46","<!DOCTYPE component-set><newline46mondego><component-set><newline46mondego>  <components><newline46mondego>    <component><newline46mondego>      <role>org.apache.maven.lifecycle.mapping.LifecycleMapping</role><newline46mondego>      <role-hint>custom</role-hint><newline46mondego>      <implementation>org.apache.maven.lifecycle.mapping.DefaultLifecycleMapping</implementation><newline46mondego>      <configuration><newline46mondego>        <phases><newline46mondego>          <compile><newline46mondego>            org.apache.maven.plugins:maven-compiler-plugin:compile,<newline46mondego>            my.custom.plugin:compile<newline46mondego>          </compile><newline46mondego>        </phases><newline46mondego>      </configuration><newline46mondego>    </component><newline46mondego>  </components><newline46mondego></component-set><newline46mondego>"
"114splitHere46","11290770splitHere46","BeanUtils"
"115splitHere46","11290770splitHere46","public interface Controller {<newline46mondego>   User getUser(int id);<newline46mondego>}<newline46mondego><newline46mondego>public class RealController {<newline46mondego>   public User getUser(int id) {<newline46mondego>      return dao.getUser(id);<newline46mondego>   }<newline46mondego>}<newline46mondego><newline46mondego>public class DecoratedController {<newline46mondego><newline46mondego>   private Controller realController;<newline46mondego><newline46mondego>   public User getUser(int id) {<newline46mondego>      // here you will apply dozer or do it manually creating an object with so deep as you wish<newline46mondego>      return flatUserStructure(realController.getUser(id));<newline46mondego>   }<newline46mondego>}<newline46mondego>"
"116splitHere46","11290790splitHere46","<bean id=<doubleQuotes46>htmlAdaptor<doubleQuotes46> class=<doubleQuotes46>com.sun.jdmk.comm.HtmlAdaptorServer<doubleQuotes46> init-method=<doubleQuotes46>start<doubleQuotes46> /><newline46mondego><newline46mondego>  <bean id=<doubleQuotes46>exporter<doubleQuotes46> class=<doubleQuotes46>org.springframework.jmx.export.MBeanExporter<doubleQuotes46>><newline46mondego>    <property name=<doubleQuotes46>beans<doubleQuotes46>><newline46mondego>     <map><newline46mondego>       <entry key=<doubleQuotes46>adaptor:name=htmlAdaptor<doubleQuotes46> value-ref=<doubleQuotes46>htmlAdaptor<doubleQuotes46> /><newline46mondego>       <entry key=<doubleQuotes46>bean:name=calculatorConfigBean<doubleQuotes46> value-ref=<doubleQuotes46>calculatorConfig<doubleQuotes46> /><newline46mondego>     </map><newline46mondego>    </property><newline46mondego>    <property name=<doubleQuotes46>server<doubleQuotes46> ref=<doubleQuotes46>mbeanServer<doubleQuotes46> /><newline46mondego>  </bean><newline46mondego>"
"117splitHere46","11290870splitHere46","F:\ directory <newline46mondego>"
"118splitHere46","11290892splitHere46","javax.activation.FileDataSource"
"119splitHere46","11290892splitHere46","javax.mail.util.ByteArrayDataSource"
"120splitHere46","11290892splitHere46","DataSource"
"121splitHere46","11291080splitHere46","BeanFactory"
"122splitHere46","11291080splitHere46","BeanFactoryAware"
"123splitHere46","11291080splitHere46","public class BeanManager implements BeanFactoryAware {<newline46mondego><newline46mondego>  private BeanFactory beanFactory;<newline46mondego><newline46mondego>  public Person getPerson(){ beanFactory.getBean(Person.class) ;}   <newline46mondego><newline46mondego>}<newline46mondego>"
"124splitHere46","11291080splitHere46","BeanManager"
"125splitHere46","11291340splitHere46","has()"
"126splitHere46","11291340splitHere46","contacts"
"127splitHere46","11291340splitHere46","Contacts"
"128splitHere46","11291340splitHere46","Contact"
"129splitHere46","11291340splitHere46","List<Contact>"
"130splitHere46","11291340splitHere46","public class Contact<newline46mondego>{<newline46mondego>    private String userId;<newline46mondego>    private String userName;<newline46mondego>    private String status;<newline46mondego><newline46mondego>    public Contact() {<newline46mondego>         userId=<doubleQuotes46><doubleQuotes46>;<newline46mondego>         userName=<doubleQuotes46><doubleQuotes46>;<newline46mondego>         status=<doubleQuotes46><doubleQuotes46>;<newline46mondego>    }<newline46mondego><newline46mondego>    public String getStatus() {<newline46mondego>        return status;<newline46mondego>    }<newline46mondego><newline46mondego>    public void setStatus(String status) {<newline46mondego>        this.status = status;<newline46mondego>    }<newline46mondego><newline46mondego>    public String getUserId() {<newline46mondego>        return userId;<newline46mondego>    }<newline46mondego><newline46mondego>    public void setUserId(String userId) {<newline46mondego>        this.userId = userId;<newline46mondego>    }<newline46mondego><newline46mondego>    public String getUserName() {<newline46mondego>        return userName;<newline46mondego>    }<newline46mondego><newline46mondego>    public void setUserName(String userName) {<newline46mondego>        this.userName = userName;<newline46mondego>    }<newline46mondego><newline46mondego>    @Override<newline46mondego>    public String toString() {<newline46mondego>        return <doubleQuotes46>Contact{<doubleQuotes46> + <doubleQuotes46>userId=<doubleQuotes46> + userId + <doubleQuotes46>, userName=<doubleQuotes46> + userName + <doubleQuotes46>, status=<doubleQuotes46> + status + '}';<newline46mondego>    }<newline46mondego><newline46mondego>}<newline46mondego>"
"131splitHere46","11291340splitHere46","json"
"132splitHere46","11291340splitHere46","JSONObject get_string = new JSONObject(t);<newline46mondego><newline46mondego> String userid = (String) get_string.get(<doubleQuotes46>UserId<doubleQuotes46>);<newline46mondego> String totalusers = (String) get_string.get(<doubleQuotes46>TotalUsers<doubleQuotes46>);<newline46mondego> String SessionID = (String) get_string.get(<doubleQuotes46>SessionID<doubleQuotes46>);<newline46mondego><newline46mondego> int i=0;<newline46mondego> JSONObject obj=null;<newline46mondego><newline46mondego> /* Initialize the List<Contact> */<newline46mondego> List<Contact> list=new ArrayList();<newline46mondego><newline46mondego> while(get_string.has(<doubleQuotes46>contacts-<doubleQuotes46>+i))<newline46mondego>  {<newline46mondego>   obj=get_string.getJSONObject(<doubleQuotes46>contacts-<doubleQuotes46> + i);<newline46mondego>   Contact contact=new Contact();<newline46mondego>   contact.setUserId(obj.getString(<doubleQuotes46>UserId<doubleQuotes46>));<newline46mondego>   contact.setUserName(obj.getString(<doubleQuotes46>UserName<doubleQuotes46>));<newline46mondego>   contact.setStatus(obj.getString(<doubleQuotes46>Status<doubleQuotes46>));<newline46mondego>   list.add(contact);<newline46mondego>   i++;<newline46mondego>  }<newline46mondego>"
"133splitHere46","11291521splitHere46","java.lang.Void"
"134splitHere46","11291521splitHere46","new Callable<Void>() {<newline46mondego><newline46mondego>  public Void call() throws Exception {<newline46mondego>    // do work<newline46mondego>    return null; // <-- This statement is required.<newline46mondego>  }<newline46mondego><newline46mondego>}<newline46mondego>"
