"1splitHere46","6611642splitHere46","rename"
"31splitHere46","6612827splitHere46","public class CustomerManager {<newline46mondego><newline46mondego>    private CustomerDAO customerDAO;<newline46mondego><newline46mondego>    @Autowired<newline46mondego>    public CustomerManager(@Qualifier(<doubleQuotes46>customerDAO<doubleQuotes46>) CustomerDAO customerDAO) {<newline46mondego>        this.customerDAO = customerDAO;<newline46mondego>    }<newline46mondego>}<newline46mondego><newline46mondego>public class CustomerManagerUnitTest {<newline46mondego><newline46mondego>    public void testFindCustomers_OneResult() {<newline46mondego>        CustomerDAO mockCustomerDAO = ...;<newline46mondego>        CustomerManager customerManager = new CustomerManager(mockCustomerDAO);<newline46mondego><newline46mondego>        expect(customerDAO.findCustomers()).andReturn(...);<newline46mondego>        // ...<newline46mondego>        List<Customer> customers = customerManager.findCustomers();<newline46mondego><newline46mondego>        // Test...<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"32splitHere46","6612854splitHere46","BufferedImage"
"33splitHere46","6612858splitHere46","public class CompletionService<V> {<newline46mondego><newline46mondego>    private List<Future<V>> results;<newline46mondego>    private static boolean loop = true;<newline46mondego><newline46mondego>    public CompletionService(List<Future<V>> results) {<newline46mondego>        this.results = results;<newline46mondego>    }<newline46mondego><newline46mondego>    public Future<V> take() {<newline46mondego><newline46mondego>        Future<V> retval = null;<newline46mondego>        int i = -1;<newline46mondego><newline46mondego>        while (loop) {<newline46mondego>            for (i = 0; i < results.size(); i++) {<newline46mondego>                if (results.get(i).isDone()) {<newline46mondego>                    retval = results.get(i);<newline46mondego>                    abortTake();<newline46mondego>                    break;<newline46mondego>                }<newline46mondego>            }<newline46mondego>        }<newline46mondego><newline46mondego>        //remove task only if it is done<newline46mondego>        if (i > -1 && results.get(i).isDone()) {<newline46mondego>            results.remove(i);<newline46mondego>        }<newline46mondego>        resetLoop();<newline46mondego>        return retval;<newline46mondego>    }<newline46mondego><newline46mondego>    public synchronized void abortTake() {<newline46mondego>        loop = false;<newline46mondego>    }<newline46mondego><newline46mondego>    private synchronized void resetLoop() {<newline46mondego>        loop = true;<newline46mondego>    }<newline46mondego><newline46mondego>}<newline46mondego>"
"34splitHere46","6612905splitHere46","next()"
"35splitHere46","6612905splitHere46","hasNextInt()"
"36splitHere46","6612939splitHere46","\p{Lower}<newline46mondego>\p{Upper}<newline46mondego>\p{Lower}<newline46mondego>\p{Upper}<newline46mondego>\p{ASCII}<newline46mondego>\p{Alpha}<newline46mondego>\p{Digit}<newline46mondego>\p{Alnum}<newline46mondego>\p{Punct}<newline46mondego>\p{Graph}<newline46mondego>\p{Print}<newline46mondego>\p{Blank}<newline46mondego>\p{Cntrl}<newline46mondego>\p{XDigit}<newline46mondego>\p{Space}<newline46mondego>"
"37splitHere46","6613270splitHere46","A"
"38splitHere46","6613270splitHere46","B"
"39splitHere46","6613270splitHere46","A"
"40splitHere46","6613270splitHere46","/Bundle A<newline46mondego>  /ThingyInterface.class<newline46mondego><newline46mondego>/Bundle B<newline46mondego>  /ThingyImplementation.class (implements ThingyInterface.class)<newline46mondego>"
"41splitHere46","6613270splitHere46","A"
"42splitHere46","6613270splitHere46","Thingy"
"43splitHere46","6613270splitHere46","A"
"44splitHere46","6613270splitHere46","ThingyFactory"
"45splitHere46","6613270splitHere46","A"
"46splitHere46","6613270splitHere46","B"
"47splitHere46","6613270splitHere46","B"
"48splitHere46","6613270splitHere46","A"
"49splitHere46","6613270splitHere46","B"
"50splitHere46","6613270splitHere46","B"
"51splitHere46","6613548splitHere46","while (line != null) {<newline46mondego>            i++;<newline46mondego>            sb.append(sb.toString());<newline46mondego>            sb.append(<doubleQuotes46>\n<doubleQuotes46>);<newline46mondego>            line = br.readLine();<newline46mondego>        }<newline46mondego>"
"52splitHere46","6613548splitHere46","while (line != null) {<newline46mondego>            i++;<newline46mondego>            sb.append(line);<newline46mondego>            sb.append(<doubleQuotes46>\n<doubleQuotes46>);<newline46mondego>            line = br.readLine();<newline46mondego>        }<newline46mondego>"
"53splitHere46","6613607splitHere46","public enum ClassFactory {<newline46mondego>     Class1() {<newline46mondego>          @Override public void generate() { <newline46mondego>               System.out.println(<doubleQuotes46>I'm in Class 1.<doubleQuotes46>); <newline46mondego>          }<newline46mondego>     },<newline46mondego>     Class2() {<newline46mondego>          @Override public void generate() { <newline46mondego>               System.out.println(<doubleQuotes46>I'm in Class 2.<doubleQuotes46>); <newline46mondego>          }<newline46mondego>     };<newline46mondego>     //template method<newline46mondego>     public abstract void generate();<newline46mondego><newline46mondego>   private static final Map<Integer, ClassFactory > lookup<newline46mondego>   = new HashMap<Integer, ClassFactory >();<newline46mondego><newline46mondego>   static {<newline46mondego>   for (ClassFactory s : EnumSet.allOf(ClassFactory.class))<newline46mondego>         lookup.put(s.getIntValue(), s);<newline46mondego>   }<newline46mondego><newline46mondego>   public static ClassFactory getValue(int intValue) {<newline46mondego>      return lookup.get(intValue);<newline46mondego>   }<newline46mondego><newline46mondego>}<newline46mondego>"
"54splitHere46","6613607splitHere46","Class1.generate();<newline46mondego>Class2.generate();<newline46mondego>//or better...<newline46mondego>getClass().generate();<newline46mondego>"
"55splitHere46","6613607splitHere46","public void fakeMethod(int type) {<newline46mondego>  ClassFactory.getValue(type).generate();<newline46mondego>}<newline46mondego>"
"56splitHere46","6613973splitHere46","java.util.JarFile"
"57splitHere46","6613973splitHere46","JarFile jar = new JarFile( <doubleQuotes46>path to jar<doubleQuotes46> ); // Opens the jar<newline46mondego><newline46mondego>Enumerator<JarEntry> es = jar.entries(); //Enumerator to the jar entries<newline46mondego><newline46mondego>while( es.hasMoreElements() ) { //Iterates until all entries have been visited<newline46mondego><newline46mondego>  JarEntry entry = es.nextElement(); //Gets the next entry in the jar<newline46mondego><newline46mondego>  System.out.println(  entry.getName() ); //Prints the entry name<newline46mondego><newline46mondego>  InputStream in = jar.getInputStream( entry ); //returns an inputstream from the entry<newline46mondego>  ... <newline46mondego>}<newline46mondego>"
"58splitHere46","6613981splitHere46","public interface Factory {<newline46mondego>    public <T> List<T> create();<newline46mondego>}<newline46mondego><newline46mondego>public class FactoryImpl implements Factory {<newline46mondego>    public <T> ArrayList<T> create() {<newline46mondego>        return new ArrayList<T>();<newline46mondego>    }<newline46mondego>}<newline46mondego><newline46mondego>...<newline46mondego>Factory f = new FactoryImpl();<newline46mondego>List<String> strings = f.create();<newline46mondego>...<newline46mondego>"
"59splitHere46","6614016splitHere46","@JsonIgnore"
"60splitHere46","6614362splitHere46","JAXBContext jaxbContext = JAXBContext.newInstance(Customer.class);<newline46mondego><newline46mondego>SchemaOutputResolver sor = new MySchemaOutputResolver();<newline46mondego>jaxbContext.generateSchema(sor);<newline46mondego>"
"61splitHere46","6614362splitHere46","private class MySchemaOutputResolver extends SchemaOutputResolver {<newline46mondego><newline46mondego>    public Result createOutput(String namespaceURI, String suggestedFileName) throws IOException {<newline46mondego>        File file = new File(suggestedFileName);<newline46mondego>        StreamResult result = new StreamResult(file);<newline46mondego>        result.setSystemId(file.toURI().toURL().toString());<newline46mondego>        return result;<newline46mondego>    }<newline46mondego><newline46mondego>}<newline46mondego>"
"62splitHere46","6614493splitHere46","utilities_wrap.c"
"63splitHere46","6614493splitHere46","swig.exe -java -package invokeoncomport utilities.i<newline46mondego>"
"64splitHere46","6614493splitHere46","SWIGEXPORT jint JNICALL Java_invokeoncomport_utilitiesJNI_set_13711a_on(...)<newline46mondego>"
"65splitHere46","6614591splitHere46","connection.setAutoCommit(false);<newline46mondego>"
"66splitHere46","6614591splitHere46","try"
"67splitHere46","6614591splitHere46","catch"
"68splitHere46","6614591splitHere46","connection.commit();<newline46mondego>"
"69splitHere46","6614591splitHere46","connection.rollback();<newline46mondego>"
"70splitHere46","6614883splitHere46","ResultSetExtractor"
"71splitHere46","6614883splitHere46","ResultSetExtractor"
"72splitHere46","6614883splitHere46","Event"
"73splitHere46","6615156splitHere46","synchronized"
"74splitHere46","6615156splitHere46","synchronized"
"75splitHere46","6615276splitHere46","while(rs.next());<newline46mondego>"
"76splitHere46","6615358splitHere46","java -cp lib/jython.jar:myjar.jar com.me.main.Main<newline46mondego>"
"77splitHere46","6615358splitHere46","java -cp lib/jython.jar -jar myjar.jar<newline46mondego>"
"78splitHere46","6615420splitHere46","public class BackgroundTask {<newline46mondego>    private Label labelToUpdate;<newline46mondego>    private Notification notificationToUpdate;<newline46mondego><newline46mondego>    public BackgroundTask(Label label) {<newline46mondego>        this.labelToUpdate = label;<newline46mondego>    }<newline46mondego><newline46mondego>    public BackgroundTask(Notification notification) {<newline46mondego>        this.notificationToUpdate = notification;<newline46mondego>    }<newline46mondego><newline46mondego>    //...<newline46mondego>    private void reportNewStep(String step) {<newline46mondego>        if (labelToUpdate != null) {<newline46mondego>            labelToUpdate.setText(step);<newline46mondego>        }<newline46mondego>        if (notificationToUpdate != null) {<newline46mondego>            notificationToUpdate.alert(step);<newline46mondego>        }<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"79splitHere46","6615420splitHere46","public interface ProgressListener {<newline46mondego>    void report(String step);<newline46mondego>}<newline46mondego><newline46mondego>public class BackgroundTask {<newline46mondego>    private ProgressListener listener;<newline46mondego><newline46mondego>    public BackgroundTask(ProgressListener listener) {<newline46mondego>        this.listener = listener;<newline46mondego>    }<newline46mondego><newline46mondego>    //...<newline46mondego>    private void reportNewStep(String step) {<newline46mondego>        listener.report(step);<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"80splitHere46","6615420splitHere46","BackgroundTask task = new BackgroundTask(new ProgressListener() {<newline46mondego>    @Override<newline46mondego>    public void report(String step) {<newline46mondego>        label.setText(step);<newline46mondego>    }<newline46mondego>});<newline46mondego>"
"81splitHere46","6615420splitHere46","public class MyActivity implements ProgressListener {<newline46mondego>    private Notification notification;<newline46mondego><newline46mondego>    // ...<newline46mondego>    @Override<newline46mondego>    public void report(String step) {<newline46mondego>        notification.alert(step);<newline46mondego>    }<newline46mondego>    // ...<newline46mondego>    BackgroundTask backgroundTask = new BackgroundTask(this);<newline46mondego>}<newline46mondego>"
"82splitHere46","6615754splitHere46","LinearLayout layout = setupLayout();<newline46mondego>int count = layout.getChildCount();<newline46mondego>View v = null;<newline46mondego>for(int i=0; i<count; i++) {<newline46mondego>    v = layout.getChildAt(i);<newline46mondego>    //do something with your child element<newline46mondego>}<newline46mondego>"
"83splitHere46","6615798splitHere46","@Override<newline46mondego>public void onClick(View v) {<newline46mondego>  Button clickedButton = (Button)v;<newline46mondego>  // do stuff with it here.<newline46mondego>}<newline46mondego>"
"84splitHere46","6615860splitHere46","public class WebViewTestActivity extends Activity implements<newline46mondego>        View.OnClickListener {<newline46mondego>    /** Called when the activity is first created. */<newline46mondego>    Button btn = null;<newline46mondego>    WebView myWebView =null;<newline46mondego>    EditText et =null;<newline46mondego>    @Override<newline46mondego>    public void onCreate(Bundle savedInstanceState) {<newline46mondego>        super.onCreate(savedInstanceState);<newline46mondego>        setContentView(R.layout.main);<newline46mondego>        btn = (Button) findViewById(R.id.button1);<newline46mondego>        btn.setOnClickListener(this);<newline46mondego>        et = (EditText) findViewById(R.id.editText1);<newline46mondego>        myWebView = (WebView) findViewById(R.id.webview);<newline46mondego>// WebViewClient in use.<newline46mondego>        myWebView.setWebViewClient(new WebViewClient(){<newline46mondego>            @Override<newline46mondego>            public void onPageFinished(WebView view, String url) {<newline46mondego>                super.onPageFinished(view, url);<newline46mondego>                et.setText(url);<newline46mondego>            }<newline46mondego>        });<newline46mondego>    }<newline46mondego><newline46mondego>    @Override<newline46mondego>    public void onClick(View source) {<newline46mondego>        if (btn.getText().equals(<doubleQuotes46>Go!<doubleQuotes46>)) {<newline46mondego>            myWebView.loadUrl(et.getText().toString());<newline46mondego>        }<newline46mondego>    }<newline46mondego><newline46mondego>}<newline46mondego>"
"85splitHere46","6615975splitHere46","if x==y then return x else return z<newline46mondego>"
"86splitHere46","6615983splitHere46","0 ... NUMBER-1"
"87splitHere46","6615983splitHere46","Random rnd = new Random(System.currentTimeMillis());<newline46mondego>...<newline46mondego>ArrayList<Integer> places = new ArrayList<Integer>(NUMBER);<newline46mondego>for (int i = 0; i < NUMBER; ++i) {<newline46mondego>  places.add(i);<newline46mondego>}<newline46mondego>Collections.shuffle(places, rnd);<newline46mondego>"
"88splitHere46","6616050splitHere46","getInstance"
"89splitHere46","6616050splitHere46","uniqueInstance"
"90splitHere46","6616050splitHere46","getInstance"
"91splitHere46","6616050splitHere46","uniqueInstance"
"92splitHere46","6616050splitHere46","null"
"93splitHere46","6616050splitHere46","new Singleton()"
"94splitHere46","6616050splitHere46","synchronized"
"95splitHere46","6616050splitHere46","getInstance"
"96splitHere46","6616050splitHere46","null"
"97splitHere46","6616050splitHere46","getInstance"
"98splitHere46","6616098splitHere46","ClassUtils.getAllInterfaces"
"99splitHere46","6616193splitHere46","public static void saveSomethingImportantToDataBase(Object theObjectIwantToSave) {<newline46mondego>    synchronized (theObjectIwantToSave) {<newline46mondego>        if (!methodThatChecksThatObjectAlreadyExists) {<newline46mondego>            storemyObject() //pseudo code<newline46mondego>        }<newline46mondego>        // Have to do a lot other saving stuff, because it either saves everything or nothing<newline46mondego>        commit() // pseudo code to actually commit all my changes to the database.<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"100splitHere46","6616193splitHere46","public static synchronized void saveSomethingImportantToDataBase(Object theObjectIwantToSave) ...<newline46mondego>"
"101splitHere46","6616193splitHere46","private static final ConcurrentHashMap<Object, Object> LOCKS = new ConcurrentHashMap<Object, Object>();<newline46mondego>public static void saveSomethingImportantToDataBase(Object theObjectIwantToSave) {<newline46mondego>    synchronized (LOCKS.putIfAbsent(theObjectIwantToSave.getId(), new Object())) {<newline46mondego>        ....    <newline46mondego>    }<newline46mondego>    LOCKS.remove(theObjectIwantToSave.getId()); // Clean up lock object to stop memory leak<newline46mondego>}<newline46mondego>"
"102splitHere46","6616193splitHere46","ConcurrentHashMap.putIfAbsent()"
"103splitHere46","6616193splitHere46","objectInThreadA.getId().equals(objectInThreadB.getId())"
"104splitHere46","6616193splitHere46","int"
"105splitHere46","6616193splitHere46","equals()"
"106splitHere46","6616193splitHere46","hashcode()"
"107splitHere46","6616193splitHere46","object.getId()"
"108splitHere46","6616274splitHere46","final Date a = someDate();<newline46mondego>final Date b = anotherDate();<newline46mondego>final long millis = b.getTime() - a.getTime();<newline46mondego><newline46mondego>int minutes = TimeUnit.MILLISECONDS.toMinutes(millis);<newline46mondego>"
"109splitHere46","6616274splitHere46","Minutes.minutesBetween(date1,date2)"
"110splitHere46","6616309splitHere46","<f:valueChangeListener>"
"111splitHere46","6616309splitHere46","@ManagedBean"
"112splitHere46","6616309splitHere46","valueChangeListener=<doubleQuotes46>#{addressController.processValueChange}<doubleQuotes46>"
"113splitHere46","6616309splitHere46","<h:selectOneMenu>"
"114splitHere46","6616309splitHere46","listener"
"115splitHere46","6616309splitHere46","<f:ajax>"
"116splitHere46","6616309splitHere46","<h:selectOneMenu id=<doubleQuotes46>stateList<doubleQuotes46> value=<doubleQuotes46>#{newUserController.address.stateID}<doubleQuotes46>><newline46mondego>    <f:selectItems value=<doubleQuotes46>#{addressController.stateList}<doubleQuotes46> /><newline46mondego>    <f:ajax listener=<doubleQuotes46>#{addressController.changeState}<doubleQuotes46> render=<doubleQuotes46>cidadeList<doubleQuotes46> /><newline46mondego></h:selectOneMenu><newline46mondego>"
"117splitHere46","6616309splitHere46","@ManagedBean<newline46mondego>@RequestScoped<newline46mondego>public class AddressController {<newline46mondego><newline46mondego>    @EJB<newline46mondego>    private AddressBO addressBO;<newline46mondego><newline46mondego>    @PostConstruct<newline46mondego>    public void init() {<newline46mondego>        stateList = enderecoBO.loadStateListSelectItem();<newline46mondego>    }<newline46mondego><newline46mondego>    public void changeState(AjaxBehaviorEvent event) {<newline46mondego>        String state = (String) ((UIInput) event.getComponent()).getValue();<newline46mondego>        cityList = addressBO.loadCityList(state);<newline46mondego>    }<newline46mondego><newline46mondego>    // ... <newline46mondego>}<newline46mondego>"
"118splitHere46","6616568splitHere46","static class Entry<K,V> implements Map.Entry<K,V> {<newline46mondego>final K key;<newline46mondego>V value;<newline46mondego>Entry<K,V> next;<newline46mondego>"
"119splitHere46","6616654splitHere46","Connection conn = ...<newline46mondego>    Statement stat = conn.createStatement();<newline46mondego>    stat.execute(<doubleQuotes46>CREATE ALIAS IF NOT EXISTS FT_INIT FOR \<doubleQuotes46>org.h2.fulltext.FullText.init\<doubleQuotes46><doubleQuotes46>);<newline46mondego>    stat.execute(<doubleQuotes46>CALL FT_INIT()<doubleQuotes46>);<newline46mondego>    FullText.setIgnoreList(conn, <doubleQuotes46>to,this<doubleQuotes46>);<newline46mondego>    FullText.setWhitespaceChars(conn, <doubleQuotes46> ,.-<doubleQuotes46>);<newline46mondego>    stat.execute(<doubleQuotes46>CREATE TABLE TEST(ID INT PRIMARY KEY, NAME VARCHAR)<doubleQuotes46>);<newline46mondego>    stat.execute(<doubleQuotes46>INSERT INTO TEST VALUES(1, 'Welcome to this world, One_Word')<doubleQuotes46>);<newline46mondego>    stat.execute(<doubleQuotes46>CALL FT_CREATE_INDEX('PUBLIC', 'TEST', NULL)<doubleQuotes46>);<newline46mondego>    ResultSet rs;<newline46mondego>    rs = stat.executeQuery(<doubleQuotes46>SELECT * FROM FT_SEARCH('Welcome', 0, 0)<doubleQuotes46>);<newline46mondego>    assertTrue(rs.next());<newline46mondego>    assertEquals(<doubleQuotes46>QUERY<doubleQuotes46>, rs.getMetaData().getColumnLabel(1));<newline46mondego>    assertEquals(<doubleQuotes46>SCORE<doubleQuotes46>, rs.getMetaData().getColumnLabel(2));<newline46mondego>    assertEquals(<doubleQuotes46>\<doubleQuotes46>PUBLIC\<doubleQuotes46>.\<doubleQuotes46>TEST\<doubleQuotes46> WHERE \<doubleQuotes46>ID\<doubleQuotes46>=1<doubleQuotes46>, rs.getString(1));<newline46mondego>    assertEquals(<doubleQuotes46>1.0<doubleQuotes46>, rs.getString(2));<newline46mondego>    rs = stat.executeQuery(<doubleQuotes46>SELECT * FROM FT_SEARCH_DATA('One', 0, 0)<doubleQuotes46>);<newline46mondego>    assertFalse(rs.next());<newline46mondego>    rs = stat.executeQuery(<doubleQuotes46>SELECT * FROM FT_SEARCH_DATA('One_Word', 0, 0)<doubleQuotes46>);<newline46mondego>    assertTrue(rs.next());<newline46mondego>    rs = stat.executeQuery(<doubleQuotes46>SELECT * FROM FT_SEARCH_DATA('Welcome', 0, 0)<doubleQuotes46>);<newline46mondego>    assertTrue(rs.next());<newline46mondego>"
"120splitHere46","6616654splitHere46","FT_SEARCH_DATA"
"121splitHere46","6616654splitHere46","searchData"
"122splitHere46","6616722splitHere46","pom.xml"
"123splitHere46","6616722splitHere46","mvn clean install"
"124splitHere46","6616722splitHere46","target"
"125splitHere46","6616722splitHere46","package"
"126splitHere46","6616722splitHere46","install"
"127splitHere46","6616722splitHere46","install"
"128splitHere46","6616996splitHere46","4096"
"129splitHere46","6616996splitHere46","129"
"130splitHere46","6616996splitHere46","132"
"131splitHere46","6616996splitHere46","characters(...)"
"132splitHere46","6616996splitHere46","char[] buffer = new char[4096];<newline46mondego>   int n = reader.read(buffer);<newline46mondego>   while (n != -1) {<newline46mondego>       xhtml.characters(buffer, 0, n);<newline46mondego>       n = reader.read(buffer);<newline46mondego>   }<newline46mondego>"
"133splitHere46","6616996splitHere46","reader"
"134splitHere46","6616996splitHere46","BufferedReader"
"135splitHere46","6617196splitHere46","Query query = new FuzzyQuery(new Term(<doubleQuotes46>title<doubleQuotes46>, q));<newline46mondego>    FullTextQuery fullTextQuery = fullTextSession.createFullTextQuery(query, Film.class);<newline46mondego>    int filmCount = fullTextQuery.getResultSize();<newline46mondego>"
"136splitHere46","6617196splitHere46","FullTextQuery hits = Search.getFullTextSession(getSession()).createFullTextQuery(query,      Film.class)<newline46mondego>.setFirstResult((pageNumber - 1) * perPageItems).setMaxResults(perPageItems);<newline46mondego>"
"137splitHere46","6617203splitHere46","s#"
"138splitHere46","6617203splitHere46","import java.io.Serializable;<newline46mondego>import java.util.List;<newline46mondego><newline46mondego>import javax.xml.bind.annotation.XmlElement;<newline46mondego>import javax.xml.bind.annotation.XmlRootElement;<newline46mondego><newline46mondego>@XmlRootElement(name=<doubleQuotes46>xx<doubleQuotes46>)<newline46mondego>public class XMLXx implements Serializable {<newline46mondego><newline46mondego>    private static final long serialVersionUID = 4064597372833234503L;<newline46mondego><newline46mondego>    private List<XMLSite> sites;<newline46mondego><newline46mondego>    @XmlElement(name=<doubleQuotes46>s<doubleQuotes46>)<newline46mondego>    public List<XMLSite> getSites() {<newline46mondego>        return sites;<newline46mondego>    }<newline46mondego><newline46mondego>    public void setSites(List<XMLSite> sites) {<newline46mondego>        this.sites = sites;<newline46mondego>    }<newline46mondego><newline46mondego>}<newline46mondego>"
"139splitHere46","6617203splitHere46","s1"
"140splitHere46","6617203splitHere46","s2"
"141splitHere46","6617203splitHere46","s"
"142splitHere46","6617203splitHere46","import java.io.FileInputStream;<newline46mondego><newline46mondego>import javax.xml.bind.JAXBContext;<newline46mondego>import javax.xml.bind.Unmarshaller;<newline46mondego>import javax.xml.stream.XMLInputFactory;<newline46mondego>import javax.xml.stream.XMLStreamReader;<newline46mondego>import javax.xml.stream.util.StreamReaderDelegate;<newline46mondego><newline46mondego>public class Demo {<newline46mondego><newline46mondego>    public static void main(String[] args) throws Exception {<newline46mondego>        JAXBContext jc = JAXBContext.newInstance(XMLXx.class);<newline46mondego><newline46mondego>        XMLInputFactory xif = XMLInputFactory.newInstance();<newline46mondego>        XMLStreamReader xsr = xif.createXMLStreamReader(new FileInputStream(<doubleQuotes46>input.xml<doubleQuotes46>));<newline46mondego>        xsr = new SiteStreamReaderDelegate(xsr);<newline46mondego><newline46mondego>        Unmarshaller unmarshaller = jc.createUnmarshaller();<newline46mondego>        XMLXx object = (XMLXx) unmarshaller.unmarshal(xsr);<newline46mondego>        System.out.println(object.getSites().size());<newline46mondego><newline46mondego>    }<newline46mondego><newline46mondego>    private static class SiteStreamReaderDelegate extends StreamReaderDelegate {<newline46mondego><newline46mondego>        public SiteStreamReaderDelegate(XMLStreamReader xsr) {<newline46mondego>            super(xsr);<newline46mondego>        }<newline46mondego><newline46mondego>        @Override<newline46mondego>        public String getLocalName() {<newline46mondego>            String localName = super.getLocalName();<newline46mondego>            if(localName.startsWith(<doubleQuotes46>s<doubleQuotes46>)) {<newline46mondego>                return <doubleQuotes46>s<doubleQuotes46>;<newline46mondego>            }<newline46mondego>            return localName;<newline46mondego>        }<newline46mondego><newline46mondego>    }<newline46mondego>}<newline46mondego>"
"143splitHere46","6617237splitHere46","panel.remove( theOldPanel );<newline46mondego>panel.add( theNewPanel );<newline46mondego>panel.revalidate();<newline46mondego>panel.repaint();<newline46mondego>"
"144splitHere46","6617427splitHere46","puts ..."
"145splitHere46","6617427splitHere46","ENV['JAVA_HOME']"
"146splitHere46","6617427splitHere46","puts <doubleQuotes46>hello<doubleQuotes46>"
"147splitHere46","6617427splitHere46","File.directory?(javahome)"
"148splitHere46","6617427splitHere46","File.directory?('c:\progra~1\java\jdk1.6.0_20')"
"149splitHere46","6617427splitHere46","C:\Program Files\java\jdk1.6.0_20"
"150splitHere46","6617427splitHere46","File.directory?()"
"151splitHere46","6617427splitHere46","dir %JAVA_HOME%"
"152splitHere46","6617460splitHere46","cancelled"
"153splitHere46","6617460splitHere46","volatile"
"154splitHere46","6617460splitHere46","System.out.println(System.identityHashCode(this))"
"155splitHere46","6617526splitHere46","NumberFormat"
"156splitHere46","6617526splitHere46","String hexString = <doubleQuotes46>0x20000<doubleQuotes46>;<newline46mondego>int hexInt = Integer.parseInt(hexString.substring(2), 16);<newline46mondego>String stringRepresentation = new String(Character.toChars(hexInt));<newline46mondego>System.out.println(stringRepresentation);   //prints <doubleQuotes46><doubleQuotes46><newline46mondego>"
"157splitHere46","6617625splitHere46","cd /Desktop"
