"1splitHere46","16802813splitHere46","JDialog dialog = new JDialog(parentFrame, true); // owner, modal<newline46mondego>"
"151splitHere46","16805817splitHere46","volatile"
"152splitHere46","16805919splitHere46","java.util.Date"
"153splitHere46","16805919splitHere46","System.out.println(new Date())"
"154splitHere46","16805919splitHere46","Date"
"155splitHere46","16805919splitHere46","toString"
"156splitHere46","16805919splitHere46","DateFormat"
"157splitHere46","16805919splitHere46","Date"
"158splitHere46","16805919splitHere46","String"
"159splitHere46","16805919splitHere46","public class TestDate01 {<newline46mondego><newline46mondego>    public static final String OLD_FORMAT = <doubleQuotes46>yyyy-MM-dd<doubleQuotes46>;<newline46mondego>    public static final String NEW_FORMAT = <doubleQuotes46>yyyy-MMM-dd<doubleQuotes46>;<newline46mondego><newline46mondego>    /**<newline46mondego>     * @param args the command line arguments<newline46mondego>     */<newline46mondego>    public static void main(String[] args) {<newline46mondego>        try {<newline46mondego>            String oldValue = <doubleQuotes46>2013-05-29<doubleQuotes46>;<newline46mondego>            Date date = new SimpleDateFormat(OLD_FORMAT).parse(oldValue);<newline46mondego>            String newValue = new SimpleDateFormat(NEW_FORMAT).format(date);<newline46mondego>            System.out.println(<doubleQuotes46>oldValue = <doubleQuotes46> + oldValue + <doubleQuotes46>; date = <doubleQuotes46> + date + <doubleQuotes46>; newValue = <doubleQuotes46> + newValue);<newline46mondego>        } catch (ParseException exp) {<newline46mondego>            exp.printStackTrace();<newline46mondego>        }<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"160splitHere46","16805919splitHere46","oldValue = 2013-05-29; date = Wed May 29 00:00:00 EST 2013; newValue = 2013-May-29<newline46mondego>"
"161splitHere46","16805919splitHere46","Date"
"162splitHere46","16805919splitHere46","try {<newline46mondego>    Date toDate = new Date();<newline46mondego>    String newDateString = <doubleQuotes46>2013-05-31<doubleQuotes46>;<newline46mondego><newline46mondego>    System.out.println(<doubleQuotes46>From <doubleQuotes46> + toDate);<newline46mondego>    System.out.println(<doubleQuotes46>To <doubleQuotes46> + newDateString);<newline46mondego><newline46mondego>    Date endDate = new SimpleDateFormat(OLD_FORMAT).parse(newDateString);<newline46mondego><newline46mondego>    System.out.println(<doubleQuotes46>endDate <doubleQuotes46> + endDate);<newline46mondego><newline46mondego>    Calendar cal2 = Calendar.getInstance();<newline46mondego>    cal2.setTime(toDate);<newline46mondego>    System.out.println(toDate);<newline46mondego><newline46mondego>    SimpleDateFormat newFormat = new SimpleDateFormat(NEW_FORMAT);<newline46mondego><newline46mondego>    while (cal2.getTime().before(endDate)) {<newline46mondego>        cal2.add(Calendar.DATE, 1);<newline46mondego>        Date date = (cal2.getTime());<newline46mondego>        System.out.println(date + <doubleQuotes46>/<doubleQuotes46> + newFormat.format(date));<newline46mondego>    }<newline46mondego>} catch (Exception exp) {<newline46mondego>    exp.printStackTrace();<newline46mondego>}<newline46mondego>"
"163splitHere46","16805919splitHere46","From Wed May 29 15:56:48 EST 2013<newline46mondego>To 2013-05-31<newline46mondego>endDate Fri May 31 00:00:00 EST 2013<newline46mondego>Wed May 29 15:56:48 EST 2013<newline46mondego>Thu May 30 15:56:48 EST 2013/2013-May-30<newline46mondego>Fri May 31 15:56:48 EST 2013/2013-May-31<newline46mondego>"
"164splitHere46","16805919splitHere46","while"
"165splitHere46","16805919splitHere46","Object datelist=(cal2.getTime());<newline46mondego>List<Object> wordList = Arrays.asList(datelist);<newline46mondego>"
"166splitHere46","16805919splitHere46","cal2.getTime()"
"167splitHere46","16805919splitHere46","Date"
"168splitHere46","16806066splitHere46","sql=<doubleQuotes46>SELECT DISTINCT CONVERT(VARCHAR(10), Intensity.Date, 103) AS MyDate FROM Intensity<doubleQuotes46>;<newline46mondego>ResultSet r=sta.executeQuery(sql);<newline46mondego>String json=<doubleQuotes46><doubleQuotes46>;<newline46mondego>json=json+<doubleQuotes46>{'data':[<doubleQuotes46>;<newline46mondego>while(r.next()){<newline46mondego>    json=json+<doubleQuotes46>'<doubleQuotes46>+r.getString(<doubleQuotes46>MyDate<doubleQuotes46>)+<doubleQuotes46>',<doubleQuotes46>;<newline46mondego>}<newline46mondego>"
"169splitHere46","16806072splitHere46","SeekBar seekTriggerFreq = (SeekBar)findViewById(R.id.seekTriggerFreq);<newline46mondego>"
"170splitHere46","16806072splitHere46","@ViewById<newline46mondego>SeekBar seekTriggerFreq;<newline46mondego>"
"171splitHere46","16806237splitHere46","setColumns"
"172splitHere46","16806237splitHere46","setRows"
"173splitHere46","16806237splitHere46","import java.awt.BorderLayout;<newline46mondego>import java.awt.Dimension;<newline46mondego>import java.awt.EventQueue;<newline46mondego>import java.awt.GridBagConstraints;<newline46mondego>import java.awt.GridBagLayout;<newline46mondego>import java.awt.event.ActionEvent;<newline46mondego>import javax.swing.AbstractAction;<newline46mondego>import javax.swing.ButtonGroup;<newline46mondego>import javax.swing.JFrame;<newline46mondego>import javax.swing.JPanel;<newline46mondego>import javax.swing.JRadioButton;<newline46mondego>import javax.swing.JScrollPane;<newline46mondego>import javax.swing.JTextArea;<newline46mondego>import javax.swing.UIManager;<newline46mondego>import javax.swing.UnsupportedLookAndFeelException;<newline46mondego><newline46mondego>public class TextAreaSize {<newline46mondego><newline46mondego>    public static void main(String[] args) {<newline46mondego>        new TextAreaSize();<newline46mondego>    }<newline46mondego><newline46mondego>    public TextAreaSize() {<newline46mondego>        EventQueue.invokeLater(new Runnable() {<newline46mondego>            @Override<newline46mondego>            public void run() {<newline46mondego>                try {<newline46mondego>                    UIManager.setLookAndFeel(UIManager.getSystemLookAndFeelClassName());<newline46mondego>                } catch (ClassNotFoundException | InstantiationException | IllegalAccessException | UnsupportedLookAndFeelException ex) {<newline46mondego>                }<newline46mondego><newline46mondego>                JFrame frame = new JFrame(<doubleQuotes46>Testing<doubleQuotes46>);<newline46mondego>                frame.setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);<newline46mondego>                frame.setLayout(new BorderLayout());<newline46mondego>                frame.add(new TestPane());<newline46mondego>                frame.pack();<newline46mondego>                frame.setLocationRelativeTo(null);<newline46mondego>                frame.setVisible(true);<newline46mondego>            }<newline46mondego>        });<newline46mondego>    }<newline46mondego><newline46mondego>    public class TestPane extends JPanel {<newline46mondego><newline46mondego>        private JTextArea ta;<newline46mondego><newline46mondego>        public TestPane() {<newline46mondego><newline46mondego>            setLayout(new GridBagLayout());<newline46mondego><newline46mondego>            JRadioButton btnSmall = new JRadioButton(new SizeAction(<doubleQuotes46>Small<doubleQuotes46>, 2, 10));<newline46mondego>            JRadioButton btnMed = new JRadioButton(new SizeAction(<doubleQuotes46>Medium<doubleQuotes46>, 4, 15));<newline46mondego>            JRadioButton btnLarge = new JRadioButton(new SizeAction(<doubleQuotes46>Large<doubleQuotes46>, 12, 24));<newline46mondego>            ButtonGroup bg = new ButtonGroup();<newline46mondego>            bg.add(btnSmall);<newline46mondego>            bg.add(btnMed);<newline46mondego>            bg.add(btnLarge);<newline46mondego><newline46mondego>            GridBagConstraints gbc = new GridBagConstraints();<newline46mondego>            gbc.gridx = 0;<newline46mondego>            gbc.gridy = 0;<newline46mondego>            gbc.anchor = GridBagConstraints.NORTHWEST;<newline46mondego>            add(btnSmall, gbc);<newline46mondego>            gbc.gridy++;<newline46mondego>            add(btnMed, gbc);<newline46mondego>            gbc.gridy++;<newline46mondego>            add(btnLarge, gbc);<newline46mondego><newline46mondego>            gbc.gridx++;<newline46mondego>            gbc.gridy = 0;<newline46mondego>            gbc.gridheight = GridBagConstraints.REMAINDER;<newline46mondego>            gbc.anchor = GridBagConstraints.CENTER;<newline46mondego>            ta = new JTextArea();<newline46mondego>            add(new JScrollPane(ta), gbc);<newline46mondego><newline46mondego>            btnSmall.doClick();<newline46mondego><newline46mondego>        }<newline46mondego><newline46mondego>        @Override<newline46mondego>        public Dimension getPreferredSize() {<newline46mondego>            return new Dimension(200, 200);<newline46mondego>        }<newline46mondego><newline46mondego>        public class SizeAction extends AbstractAction {<newline46mondego><newline46mondego>            private int rows;<newline46mondego>            private int columns;<newline46mondego><newline46mondego>            public SizeAction(String name, int rows, int columns) {<newline46mondego>                putValue(NAME, name);<newline46mondego>                this.rows = rows;<newline46mondego>                this.columns = columns;<newline46mondego>            }<newline46mondego><newline46mondego>            @Override<newline46mondego>            public void actionPerformed(ActionEvent e) {<newline46mondego>                ta.setRows(rows);<newline46mondego>                ta.setColumns(columns);<newline46mondego>                revalidate();<newline46mondego>            }<newline46mondego>        }<newline46mondego>    }        <newline46mondego>}<newline46mondego>"
"174splitHere46","16806295splitHere46","assert"
"175splitHere46","16806295splitHere46","LinkedHashMap"
"176splitHere46","16806295splitHere46","LinkedHashSet"
"177splitHere46","16806295splitHere46","constant"
"178splitHere46","16806330splitHere46","SharedPreferences  settings =getSharedPreferences(<doubleQuotes46>cookie<doubleQuotes46>,MODE_PRIVATE);<newline46mondego> SharedPreferences.Editor editor = settings.edit();<newline46mondego> editor.putString(<doubleQuotes46>cookie<doubleQuotes46>, null);<newline46mondego> editor.commit();<newline46mondego>"
"179splitHere46","16806377splitHere46","<Properties ModelVersion=<doubleQuotes46>1.1.2<doubleQuotes46>><newline46mondego>  <General Title=<doubleQuotes46>HelloBB<doubleQuotes46> Version=<doubleQuotes46>1.0.0<doubleQuotes46> Vendor=<doubleQuotes46>BlackBerry Developer<doubleQuotes46> Description=<doubleQuotes46><doubleQuotes46>/><newline46mondego>  <Application Type=<doubleQuotes46>BlackBerry Application<doubleQuotes46> <newline46mondego>     MainMIDletName=<doubleQuotes46><doubleQuotes46> <newline46mondego>     MainArgs=<doubleQuotes46>-one 1 -two 2 -three 3<doubleQuotes46> <newline46mondego>     HomeScreenPosition=<doubleQuotes46>0<doubleQuotes46> <newline46mondego>     StartupTier=<doubleQuotes46>7<doubleQuotes46> <newline46mondego>     IsSystemModule=<doubleQuotes46>false<doubleQuotes46> <newline46mondego>     IsAutostartup=<doubleQuotes46>false<doubleQuotes46>/><newline46mondego>"
"180splitHere46","16806377splitHere46","-one 1 -two 2 -three 3<newline46mondego>"
"181splitHere46","16806377splitHere46","public static void main(String[] args)<newline46mondego>   {<newline46mondego>      // Create a new instance of the application and make the currently<newline46mondego>      // running thread the application's event dispatch thread.<newline46mondego>      try {<newline46mondego>         String[] params = StringUtils.split(args[0], <doubleQuotes46> <doubleQuotes46>);<newline46mondego>         MyApp theApp = new MyApp();   <newline46mondego>"
"182splitHere46","16806377splitHere46","params"
"183splitHere46","16806377splitHere46","args[0]"
"184splitHere46","16806391splitHere46","<doubleQuotes46>folder1/log4j.xml<doubleQuotes46>"
"185splitHere46","16806451splitHere46","public Object clone(){<newline46mondego>    return super.clone();<newline46mondego>}<newline46mondego>"
"186splitHere46","16807026splitHere46","Objects"
"187splitHere46","16807026splitHere46","Strings"
"188splitHere46","16807026splitHere46","Map<String,Object> map = new HashMap<String,Object>(); //Object is containing String<newline46mondego>Map<String,String> newMap =new HashMap<String,String>();<newline46mondego>for (Map.Entry<String, Object> entry : map.entrySet()) {<newline46mondego>       try{<newline46mondego>            newMap.put(entry.getKey(), (String) entry.getValue());<newline46mondego>          }catch(ClassCastException cce){<newline46mondego>           // TODO: handle exception<newline46mondego>          }<newline46mondego> }<newline46mondego>"
"189splitHere46","16807026splitHere46","Objects"
"190splitHere46","16807026splitHere46","String"
"191splitHere46","16807026splitHere46","(String) entry.getValue()"
"192splitHere46","16807026splitHere46","entry.getValue().toString()"
"193splitHere46","16807095splitHere46","Math.round(value - 0.5) + 0.5<newline46mondego>"
"194splitHere46","16807095splitHere46","Math.floor(value) + 0.5<newline46mondego>"
"195splitHere46","16807098splitHere46","// in class Club<newline46mondego>public String clubAlias; // no static<newline46mondego>public void setClubAlias(String alias) // no static<newline46mondego>{<newline46mondego>    clubAlias = alias;<newline46mondego>}<newline46mondego><newline46mondego>// in method loadData<newline46mondego>clubArray[i].setClubAlias(aliasToken); // not Club <newline46mondego>"
"196splitHere46","16807123splitHere46",".mst"
"197splitHere46","16807123splitHere46","C:\Program Files\Java\jdk1.6.0_45"
"198splitHere46","16807123splitHere46",".mst"
"199splitHere46","16807123splitHere46","jdk-6u45-windows-x64.exe"
"200splitHere46","16807376splitHere46","public static class MultiMapper <newline46mondego>        extends Mapper<LongWritable, Text, Text, IntWritable> {<newline46mondego><newline46mondego>    @Override<newline46mondego>    public void map(LongWritable key, Text value, Context context) <newline46mondego>            throws IOException, InterruptedException {<newline46mondego><newline46mondego>        for (int i = 1; i <= n; i++) {<newline46mondego>            context.write(value, new IntWritable(i));<newline46mondego>        }<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"201splitHere46","16807376splitHere46","Apache Hadoop - 1<newline46mondego>Apache Hadoop - 2<newline46mondego>Apache Hadoop - 3<newline46mondego>"
"202splitHere46","16807571splitHere46","createSqlQuery()"
"203splitHere46","16807571splitHere46","?"
"204splitHere46","16807571splitHere46",":param_name"
"205splitHere46","16807792splitHere46","<module>"
