"1splitHere46","4540662splitHere46","-Djava.awt.headless=true"
"47splitHere46","4541742splitHere46","String strInputDateTime = <doubleQuotes46>2010-12-27<doubleQuotes46>; // An example, this would really come from outside<newline46mondego>DateTimeFormatter fmt = DateTimeFormat.forPattern(<doubleQuotes46>yyyy-MM-dd<doubleQuotes46>);<newline46mondego>DateTime dt = fmt.parseDateTime(strInputDateTime);<newline46mondego>"
"48splitHere46","4541742splitHere46","SimpleDateFormat"
"49splitHere46","4541777splitHere46","myapp.ini"
"50splitHere46","4541777splitHere46","myapp.exe"
"51splitHere46","4541883splitHere46","long alarmcal = new Date().getTime() + 10 * 1000; // add 10 seconds from current time<newline46mondego>    while (true) {<newline46mondego>        try {<newline46mondego>            Thread.sleep(2000);<newline46mondego>            System.out.println(alarmcal + <doubleQuotes46> <doubleQuotes46> + new Date().getTime());              <newline46mondego>            if (alarmcal >= new Date().getTime()) {<newline46mondego>                System.out.println(<doubleQuotes46>This note has a reminder scheduled.<doubleQuotes46>);<newline46mondego>            } else {<newline46mondego>                System.out.println(<doubleQuotes46>Reminder date passed.<doubleQuotes46>);<newline46mondego>            }<newline46mondego>        } catch (InterruptedException e) {<newline46mondego>            e.printStackTrace();<newline46mondego>        }<newline46mondego>    }<newline46mondego>"
"52splitHere46","4542004splitHere46","Void"
"53splitHere46","4542004splitHere46","@Override"
"54splitHere46","4542163splitHere46","java.io.RandomAccessFile"
"55splitHere46","4542163splitHere46","byte[] buffer = new byte[100];<newline46mondego>RandomAccessFile r = new RandomAccessFile(<doubleQuotes46>path/to/file<doubleQuotes46>, <doubleQuotes46>r<doubleQuotes46>);<newline46mondego>r.seek(200);<newline46mondego>r.read(buffer, 0, 100);<newline46mondego>"
"56splitHere46","4542217splitHere46","PropertyUtils.getPropertyDescriptors()"
"57splitHere46","4542217splitHere46","Class"
"58splitHere46","4542217splitHere46","PropertyDescriptor"
"59splitHere46","4542217splitHere46","bar.name"
"60splitHere46","4542232splitHere46","Map"
"61splitHere46","4542232splitHere46","String id = UUID.randomUUID().toString();<newline46mondego>DataOfInterest data = new DataOfInterest(request);<newline46mondego>Map<String, DataOfInterest> map = (Map<String, DataOfInterest) session.getAttribute(<doubleQuotes46>dataOfInterest<doubleQuotes46>);<newline46mondego>map.put(id, data);<newline46mondego>returnToUrl += <doubleQuotes46>?token=<doubleQuotes46> + URLEncoder.encode(id, <doubleQuotes46>UTF-8<doubleQuotes46>);<newline46mondego>// ...<newline46mondego>"
"62splitHere46","4542232splitHere46","HttpServletRequestWrapper"
"63splitHere46","4542232splitHere46","getParameter()"
"64splitHere46","4542232splitHere46","Filter"
"65splitHere46","4542232splitHere46","String id = request.getParameter(token);<newline46mondego>Map<String, DataOfInterest> map = (Map<String, DataOfInterest) session.getAttribute(<doubleQuotes46>dataOfInterest<doubleQuotes46>);<newline46mondego>DataOfInterest data = map.remove(id);<newline46mondego>chain.doFilter(new HttpServletRequestWithDataOfInterest(request, data), response);<newline46mondego>"
"66splitHere46","4542232splitHere46","HttpServletRequestWithDataOfInterest"
"67splitHere46","4542232splitHere46","public class HttpServletRequestWithDataOfInterest extends HttpServletRequestWrapper {<newline46mondego><newline46mondego>    private DataOfInterest data;<newline46mondego><newline46mondego>    public HttpServletRequestWithDataOfInterest(HttpServletRequest request, DataOfInterest data) {<newline46mondego>        super(request);<newline46mondego>        this.data = data;<newline46mondego>    }<newline46mondego><newline46mondego>    public String getParameter(String name) {<newline46mondego>        return data.getParameter(name);<newline46mondego>    }<newline46mondego><newline46mondego>    public String[] getParameterValues(String name) {<newline46mondego>        return data.getParameterValues(name);<newline46mondego>    }<newline46mondego><newline46mondego>    // Etc, only when necessary.<newline46mondego>}<newline46mondego>"
"68splitHere46","4542330splitHere46","PropertyEditorRegistrySupport"
"69splitHere46","4542330splitHere46","customEditors.put(requiredType, propertyEditor);<newline46mondego>"
"70splitHere46","4542330splitHere46","String"
"71splitHere46","4542607splitHere46","ZipOutputStream.closeEntry()"
"72splitHere46","4542721splitHere46","write"
"73splitHere46","4542721splitHere46","write"
"74splitHere46","4542721splitHere46","read"
"75splitHere46","4542721splitHere46","seek"
"76splitHere46","4542721splitHere46","tell"
"77splitHere46","4542862splitHere46","actionPerformed"
"78splitHere46","4542890splitHere46","Lock"
"79splitHere46","4542890splitHere46","Lock"
"80splitHere46","4542890splitHere46","Lock"
"81splitHere46","4542890splitHere46","Lock"
"82splitHere46","4542890splitHere46","Lock"
"83splitHere46","4542933splitHere46","echo 'SELECT * FROM INFORMATION_SCHEMA.TABLES' | mysql --xml<newline46mondego>"
"84splitHere46","4542933splitHere46","<resultset statement=<doubleQuotes46>SELECT ....<doubleQuotes46>><newline46mondego>   <row><newline46mondego>     <field name=<doubleQuotes46>TABLE_NAME<doubleQuotes46>>CHARACTER_SETS</field><newline46mondego>     ...<newline46mondego>   </row><newline46mondego> </resultset><newline46mondego>"
"85splitHere46","4542933splitHere46","javax.sql.rowset.WebRowSet.writeXml(ResultSet, Writer)"
"86splitHere46","4542933splitHere46","com.sun.rowset.WebRowSetImpl"
"87splitHere46","4543048splitHere46","4*listInt.size()"
"88splitHere46","4543048splitHere46","ByteBuffer buf = ByteBuffer.allocate(4*listInt.size());<newline46mondego>buf.order(ByteOrder.BIG_ENDIAN);<newline46mondego>for (int i = 0; i < listInt.size(); ++i)<newline46mondego>    buf.putInt(listInt.get(i));<newline46mondego>byte[] barr = buf.array();<newline46mondego>"
"89splitHere46","4543074splitHere46","static final int"
"90splitHere46","4543102splitHere46","propertyValues"
"91splitHere46","4543102splitHere46","bd.getPropertyValues().add(<doubleQuotes46>dataSource<doubleQuotes46>, dataSource);<newline46mondego>bd.getPropertyValues().add(<doubleQuotes46>annotatedClasses<doubleQuotes46>, listOfClasses);<newline46mondego>etc...<newline46mondego>"
"92splitHere46","4543102splitHere46","RuntimeBeanReference"
"93splitHere46","4543102splitHere46","bd.getPropertyValues().add(<doubleQuotes46>dataSource<doubleQuotes46>, new RuntimeBeanReference(<doubleQuotes46>dataSource<doubleQuotes46>)"
"94splitHere46","4543114splitHere46","ImmutableList.copyOf()"
"95splitHere46","4543114splitHere46","ImmutableList.builder()"
"96splitHere46","4543114splitHere46","Joiner"
"97splitHere46","4543114splitHere46","CharMatcher"
"98splitHere46","4543114splitHere46","Splitter"
"99splitHere46","4543114splitHere46","Ordering"
"100splitHere46","4543114splitHere46","CharMatcher"
"101splitHere46","4543114splitHere46","Joiner"
"102splitHere46","4543114splitHere46","Splitter"
"103splitHere46","4543114splitHere46","Predicates.xXx"
"104splitHere46","4543114splitHere46","ForwardXXX"
"105splitHere46","4543137splitHere46","showXXXDialog()"
"106splitHere46","4543137splitHere46","JOptionPane"
"107splitHere46","4543137splitHere46","JOptionPane"
"108splitHere46","4543137splitHere46","JOptionPane.createDialog(...)"
"109splitHere46","4543137splitHere46","JOptionPane pane = new JOptionPane(<doubleQuotes46>Message<doubleQuotes46>, JOptionPane.WARNING_MESSAGE,<newline46mondego>        JOptionPane.DEFAULT_OPTION);<newline46mondego>JDialog dialog = pane.createDialog(<doubleQuotes46>TITLE<doubleQuotes46>);<newline46mondego>dialog.setLocation(0, 0);<newline46mondego>dialog.setVisible(true);<newline46mondego><newline46mondego>// dialog box shown here<newline46mondego><newline46mondego>dialog.dispose();<newline46mondego>Object selection = pane.getValue();<newline46mondego>"
"110splitHere46","4543137splitHere46","JOptionPane"
"111splitHere46","4543137splitHere46","JOptionPane"
"112splitHere46","4543137splitHere46","JDialog"
"113splitHere46","4543137splitHere46","JOptionPane pane = new JOptionPane(<doubleQuotes46>Message<doubleQuotes46>, JOptionPane.QUESTION_MESSAGE,<newline46mondego>        JOptionPane.OK_CANCEL_OPTION, null, null, null);<newline46mondego>pane.setWantsInput(true);<newline46mondego>JDialog dialog = pane.createDialog(null, <doubleQuotes46>Title<doubleQuotes46>);<newline46mondego>dialog.setLocation(0, 0);<newline46mondego>dialog.setVisible(true);<newline46mondego><newline46mondego>String str = (String) pane.getInputValue();<newline46mondego>"
"114splitHere46","4543255splitHere46","Array_Name"
"115splitHere46","4543255splitHere46","Array_Name[] = NULL"
"116splitHere46","4543255splitHere46","Foo[] Array_Name = new Foo[n];<newline46mondego> //...<newline46mondego> Array_Name = null; // Note the lowercase <doubleQuotes46>null<doubleQuotes46><newline46mondego>"
"117splitHere46","4543321splitHere46","int buyOrder= 0;<newline46mondego> if((e.getSource()==userOrder2)&& (orderType==1)){<newline46mondego>     String buyO= userOrder2.getText();<newline46mondego>     buyOrder= Integer.parseInt(buyO);<newline46mondego> }<newline46mondego> if(orderType==1 && (stockPrice <= buyOrder))<newline46mondego>"
"118splitHere46","4543321splitHere46","buyOrder"
"119splitHere46","4543321splitHere46","if((e.getSource()==userOrder2)&& (orderType==1)){...}"
"120splitHere46","4543321splitHere46","if((e.getSource()==userOrder2)&& (orderType==1)){...}"
"121splitHere46","4543417splitHere46","ClassEntry"
"122splitHere46","4543417splitHere46","Object.equals(Object o)"
"123splitHere46","4543417splitHere46","class ClassEntry{<newline46mondego>  float a;<newline46mondego>  int b;<newline46mondego><newline46mondego>  public ClassEntry(float a, int b){<newline46mondego>    //...<newline46mondego>  }<newline46mondego><newline46mondego>  @Override<newline46mondego>  public boolean equals(Object o){<newline46mondego>    if(o instanceof ClassEntry){<newline46mondego>      ClassEntry c = (ClassEntry)o;<newline46mondego>      return a == c.a && b == c.b;<newline46mondego>    }<newline46mondego>    return false;<newline46mondego>  }<newline46mondego>}<newline46mondego>"
"124splitHere46","4543417splitHere46","PriorityQueue[] P = new PriorityQueue[10];<newline46mondego>P[1] = new PriorityQueue<ClassEntry>();<newline46mondego>ClassEntry entry = new ClassEntry(10,4);<newline46mondego>P[1].add(entry);<newline46mondego>//remove object with the same reference as the added one<newline46mondego>P[1].remove(entry);<newline46mondego>"
"125splitHere46","4543541splitHere46","java.io.RandomAccessFile"
"126splitHere46","4543541splitHere46","seek()"
"127splitHere46","4543541splitHere46","writeUTF(String)"
"128splitHere46","4543541splitHere46","getFilePointer()"
"129splitHere46","4543541splitHere46","FileWriter"
"130splitHere46","4543541splitHere46","FileOutputStream"
"131splitHere46","4543646splitHere46","extends"
"132splitHere46","4543646splitHere46","put"
"133splitHere46","4543646splitHere46","<String, Object>"
"134splitHere46","4543646splitHere46","@SuppressWarnings(<doubleQuotes46>unchecked<doubleQuotes46>)"
"135splitHere46","4543646splitHere46","extends"
"136splitHere46","4543646splitHere46","super"
"137splitHere46","4543646splitHere46","Object"
"138splitHere46","4543646splitHere46","Map<String, Number> strToNum = new HashMap<String, Number>();<newline46mondego>strToNum.put(<doubleQuotes46>one<doubleQuotes46>, Integer.valueOf(1));  // OK<newline46mondego><newline46mondego>Map<String, String> strToStr = new HashMap<String, String>();<newline46mondego>strToStr.put(<doubleQuotes46>one<doubleQuotes46>, <doubleQuotes46>1<doubleQuotes46>);  // OK<newline46mondego><newline46mondego>Map<String, ? extends Object> strToUnk = randomBoolean() ? strToNum : strToStr;<newline46mondego>strToUnk.put(<doubleQuotes46>null<doubleQuotes46>, null);  // OK.  null is an instance of every reference type.<newline46mondego>strToUnk.put(<doubleQuotes46>two<doubleQuotes46>, Integer.valueOf(2));  // NOT OK.  strToUnk might be a string to string map<newline46mondego>strToUnk.put(<doubleQuotes46>two<doubleQuotes46>, <doubleQuotes46>2<doubleQuotes46>);  // NOT OK.  strToUnk might be a string to number map<newline46mondego>"
"139splitHere46","4543646splitHere46","put"
"140splitHere46","4543646splitHere46","extends"
"141splitHere46","4543646splitHere46","get"
"142splitHere46","4543646splitHere46","Object value = strToUnk.get(<doubleQuotes46>one<doubleQuotes46>);  // We don't know whether value is Integer or String, but it is an object (or null).<newline46mondego>"
"143splitHere46","4543646splitHere46","Map<String, Number> strToNum = new HashMap<String, Number>();<newline46mondego>Map<String, Object> strToObj = new HashMap<String, Object>();<newline46mondego><newline46mondego>Map<String, ? super Number> strToNumBase;<newline46mondego>if (randomBoolean()) {<newline46mondego>  strToNumBase = strToNum;<newline46mondego>} else {<newline46mondego>  strToNumBase = strToObj;<newline46mondego>}<newline46mondego><newline46mondego>// OK.  We know that any subclass of Number can be used as values.<newline46mondego>strToNumBase.put(<doubleQuotes46>two<doubleQuotes46>, Double.valueOf(2.0d));<newline46mondego><newline46mondego>// But now, gets don't work as well.<newline46mondego>Number n = strToNumBase.get(<doubleQuotes46>one<doubleQuotes46>);  // NOT OK. <newline46mondego>"
"144splitHere46","4543705splitHere46","Arrays.class"
"145splitHere46","4543705splitHere46","Arrays.class"
"146splitHere46","4543709splitHere46","android.permission.WRITE_EXTERNAL_STORAGE"
"147splitHere46","4543757splitHere46","ready()"
"148splitHere46","4543884splitHere46","Calendar#getInstance()"
"149splitHere46","4543884splitHere46","Calendar calendar = Calendar.getInstance(TimeZone.getTimeZone(<doubleQuotes46>CST<doubleQuotes46>)); // China Standard Time<newline46mondego>"
"150splitHere46","4543913splitHere46","/work"
"151splitHere46","4544026splitHere46","// Create a new HttpClient and Post Header<newline46mondego>HttpClient httpclient = new DefaultHttpClient();<newline46mondego>HttpPost httppost = new HttpPost(<doubleQuotes46>http://www.yoursite.com/script.php<doubleQuotes46>);<newline46mondego><newline46mondego>try {<newline46mondego>    // Add your data<newline46mondego>    List<NameValuePair> nameValuePairs = new ArrayList<NameValuePair>(2);<newline46mondego>    nameValuePairs.add(new BasicNameValuePair(<doubleQuotes46>id<doubleQuotes46>, <doubleQuotes46>12345<doubleQuotes46>));<newline46mondego>    nameValuePairs.add(new BasicNameValuePair(<doubleQuotes46>stringdata<doubleQuotes46>, <doubleQuotes46>AndDev is Cool!<doubleQuotes46>));<newline46mondego>    httppost.setEntity(new UrlEncodedFormEntity(nameValuePairs));<newline46mondego><newline46mondego>    // Execute HTTP Post Request<newline46mondego>    HttpResponse response = httpclient.execute(httppost);<newline46mondego><newline46mondego>} catch (ClientProtocolException e) {<newline46mondego>    // TODO Auto-generated catch block<newline46mondego>} catch (IOException e) {<newline46mondego>    // TODO Auto-generated catch block<newline46mondego>}<newline46mondego>"
"152splitHere46","4544026splitHere46","BasicNameValuePair"
"153splitHere46","4544558splitHere46","Deserializer"
"154splitHere46","4544558splitHere46","Map<Class<?>, Deserializer<String, Object>>"
"155splitHere46","4544558splitHere46","Deserializer"
"156splitHere46","4544558splitHere46","<T> void put(Class<T> clazz, Deserializer<String, T> deserializer) {<newline46mondego>  map.put(clazz, deserializer);<newline46mondego>}<newline46mondego>"
"157splitHere46","4544558splitHere46","<T> T deserialize(Class<T> typeToDeserializeFromJson, String toDeserialize) {<newline46mondego>  return typeToDeserializeFromJson.cast(<newline46mondego>      deserializers.get(tTDFJ).deserialize(toDeserialize));<newline46mondego>}<newline46mondego>"
"158splitHere46","4544562splitHere46","timer.scheduleAtFixedRate"
"159splitHere46","4544562splitHere46","void java.util.Timer.scheduleAtFixedRate(TimerTask task, long delay, long period)<newline46mondego><newline46mondego>scheduleAtFixedRate<newline46mondego>public void scheduleAtFixedRate(TimerTask task,<newline46mondego>                                long delay,<newline46mondego>                                long period)<newline46mondego>"
"160splitHere46","4544824splitHere46","SecurityContextHolder.getContext().getAuthentication().getName();<newline46mondego>"
"161splitHere46","4544849splitHere46","<doubleQuotes46>\<doubleQuotes46>"
"162splitHere46","4544849splitHere46","<doubleQuotes46>"
"163splitHere46","4544849splitHere46","String h = <doubleQuotes46>\<doubleQuotes46>hello\<doubleQuotes46><doubleQuotes46>;"
"164splitHere46","4544849splitHere46","h"
"165splitHere46","4544849splitHere46","<doubleQuotes46>hello<doubleQuotes46>"
"166splitHere46","4544849splitHere46","<doubleQuotes46>\\<doubleQuotes46>"
"167splitHere46","4544849splitHere46","<doubleQuotes46>\\d+<doubleQuotes46>"
"168splitHere46","4544849splitHere46","replace(char, char)"
"169splitHere46","4544849splitHere46","myString.replace('\\', '/');<newline46mondego>"
"170splitHere46","4544849splitHere46","File.separator"
"171splitHere46","4544881splitHere46","mercurial"
"172splitHere46","4544881splitHere46","Mercurial Forest Extension"
"173splitHere46","4544881splitHere46","hg fclone http://hg.openjdk.java.net/jdk6/jdk6<newline46mondego>"
"174splitHere46","4544881splitHere46","here"
"175splitHere46","4545043splitHere46","service"
"176splitHere46","4545043splitHere46","doPost(..)"
"177splitHere46","4545043splitHere46","doPut(..)"
"178splitHere46","4545043splitHere46","HttpServlet"
"179splitHere46","4545043splitHere46","request.getMethod()"
"180splitHere46","4545043splitHere46","URL.openConnection"
"181splitHere46","4545065splitHere46","@RequestMapping(value=<doubleQuotes46>/owners/{ownerId}<doubleQuotes46>, method=RequestMethod.GET)  <newline46mondego> public String findOwner(@PathVariable String ownerId, Model model) {  <newline46mondego>   Owner owner = ownerService.findOwner(ownerId);  <newline46mondego>      model.addAttribute(<doubleQuotes46>owner<doubleQuotes46>, owner);  <newline46mondego>      return <doubleQuotes46>displayOwner<doubleQuotes46>;   <newline46mondego>    }<newline46mondego>"
"182splitHere46","4545065splitHere46","<rule>  <newline46mondego>    <from>^/image/([A-Za-z0-9-]+).html\??(.*)?$</from>  <newline46mondego>    <to>/image.html?imagecode=$1&amp;$2</to>  <newline46mondego> </rule>  <newline46mondego>"
"183splitHere46","4545110splitHere46","public void send(){<newline46mondego><newline46mondego>    DefaultHttpClient httpClient = new DefaultHttpClient();<newline46mondego><newline46mondego>    List<NameValuePair> nameValuePairs = new ArrayList<NameValuePair>();<newline46mondego>    nameValuePairs.add(new BasicNameValuePair(<doubleQuotes46>Servername<doubleQuotes46>, <doubleQuotes46>abc<doubleQuotes46>));<newline46mondego>    nameValuePairs.add(new BasicNameValuePair(<doubleQuotes46>UserName<doubleQuotes46>, <doubleQuotes46>123));<newline46mondego>    nameValuePairs.add(new BasicNameValuePair(<doubleQuotes46>PassWord<doubleQuotes46>, <doubleQuotes46>123<doubleQuotes46>));<newline46mondego>    nameValuePairs.add(new BasicNameValuePair(<doubleQuotes46>XML<doubleQuotes46>, getRequestTypeStringBuilder()));<newline46mondego><newline46mondego>    // Your every parameter name must be match with passing parameter, otherwise it throw <newline46mondego>    // an exception if it in case sensetive<newline46mondego><newline46mondego>    HttpPost httpPost = new HttpPost(<doubleQuotes46>http://app.local/DeviceLogin/<doubleQuotes46>);<newline46mondego>    httpPost.addHeader(<doubleQuotes46>Accept<doubleQuotes46>, <doubleQuotes46>text/xml<doubleQuotes46>);<newline46mondego>    httpPost.setHeader(<doubleQuotes46>Content-Type<doubleQuotes46>,<doubleQuotes46>application/xml;charset=UTF-8<doubleQuotes46>); <newline46mondego>    httpPost.setEntity(nameValuePairs);  <newline46mondego><newline46mondego>    HttpResponse response   = httpClient.exectue(httpPost);       <newline46mondego><newline46mondego>    // Be aware, if your return data type is also xml, then using replace empty string,<newline46mondego>    // otherwise, it my not retrieve or seen all data.<newline46mondego><newline46mondego>}<newline46mondego><newline46mondego>private static String getRequestTypeStringBuilder(){<newline46mondego>     StringBuilder body = new StringBuilder(<doubleQuotes46><?xml version=\<doubleQuotes46>1.0 \<doubleQuotes46>encoding=\<doubleQuotes46>UTF-8\<doubleQuotes46>?><doubleQuotes46>);<newline46mondego>    body.append(<doubleQuotes46><!DOCTYPE My System\<doubleQuotes46>Abc.dtd\<doubleQuotes46>><doubleQuotes46>);<newline46mondego>    // Please append detail your xml body in here;<newline46mondego>    return body.toString();<newline46mondego>}<newline46mondego>"
